marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ISRN00ITA,EURA14,2021-05-05 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ISRN00ITA,EURA14,2021-05-06 11:59:00,-0.00594,0.00044,0.00288,-0.00594,0.00044,0.00288
ISRN00ITA,EURA14,2021-05-07 11:59:00,-0.00453,-0.00262,0.00889,-0.00453,-0.00262,0.00889
ISRN00ITA,EURA14,2021-05-08 11:59:00,-0.00182,0.00101,-0.00181,-0.00182,0.00101,-0.00181
ISRN00ITA,EURA14,2021-05-09 11:59:00,-0.00132,0.00132,0.00036,-0.00132,0.00132,0.00036
ISRN00ITA,EURA14,2021-05-10 11:59:00,-0.00256,0.00018,0.01055,-0.00256,0.00018,0.01055
ISRN00ITA,EURA14,2021-05-11 11:59:00,-0.00473,0.00088,0.00767,-0.00473,0.00088,0.00767
ISRN00ITA,EURA14,2021-05-12 11:59:00,-0.00312,-0.00195,0.00404,-0.00312,-0.00195,0.00404
ISRN00ITA,EURA14,2021-05-13 11:59:00,-0.00115,-0.00094,0.00081,-0.00115,-0.00094,0.00081
ISRN00ITA,EURA14,2021-05-14 11:59:00,-0.00367,0.00202,0.00196,-0.00367,0.00202,0.00196
ISRN00ITA,EURA14,2021-05-15 11:59:00,-0.00443,-0.00023,-0.00082,-0.00443,-0.00023,-0.00082
ISRN00ITA,EURA14,2021-05-16 11:59:00,-0.00085,0.00182,0.00168,-0.00085,0.00182,0.00168
ISRN00ITA,EURA14,2021-05-17 11:59:00,-0.01083,-0.00148,0.00534,-0.01083,-0.00148,0.00534
ISRN00ITA,EURA14,2021-05-18 11:59:00,-0.00165,0.00028,0.00097,-0.00165,0.00028,0.00097
ISRN00ITA,EURA14,2021-05-19 11:59:00,-0.00934,-0.00306,0.0114,-0.00934,-0.00306,0.0114
ISRN00ITA,EURA14,2021-05-20 11:59:00,-0.0021,0.00437,-0.00269,-0.0021,0.00437,-0.00269
ISRN00ITA,EURA14,2021-05-21 11:59:00,-0.00268,0.00147,0.00371,-0.00268,0.00147,0.00371
ISRN00ITA,EURA14,2021-05-22 11:59:00,-0.00103,0.00109,0.0074,-0.00103,0.00109,0.0074
ISRN00ITA,EURA14,2021-05-23 11:59:00,-0.00215,0.00063,0.00879,-0.00215,0.00063,0.00879
ISRN00ITA,EURA14,2021-05-24 11:59:00,-0.00283,0.00236,0.00368,-0.00283,0.00236,0.00368
ISRN00ITA,EURA14,2021-05-25 11:59:00,-0.005,-0.00086,0.00719,-0.005,-0.00086,0.00719
ISRN00ITA,EURA14,2021-05-26 11:59:00,-0.00247,0.00132,0.00654,-0.00247,0.00132,0.00654
ISRN00ITA,EURA14,2021-05-27 11:59:00,-0.00276,0.00081,0.00999,-0.00276,0.00081,0.00999
ISRN00ITA,EURA14,2021-05-28 11:59:00,-0.0035,0.00148,0.00448,-0.0035,0.00148,0.00448
ISRN00ITA,EURA14,2021-05-29 11:59:00,-0.00471,0.00031,-0.00017,-0.00471,0.00031,-0.00017
ISRN00ITA,EURA14,2021-05-30 11:59:00,-0.00338,0.00089,0.00159,-0.00338,0.00089,0.00159
ISRN00ITA,EURA14,2021-05-31 11:59:00,-0.00175,0.00209,0.00614,-0.00175,0.00209,0.00614
ISRN00ITA,EURA14,2021-06-01 11:59:00,-0.00157,0.00228,0.00469,-0.00157,0.00228,0.00469
ISRN00ITA,EURA14,2021-06-02 11:59:00,-0.00171,0.00175,0.00129,-0.00171,0.00175,0.00129
ISRN00ITA,EURA14,2021-06-03 11:59:00,-0.00288,0.0013,0.00332,-0.00288,0.0013,0.00332
ISRN00ITA,EURA14,2021-06-04 11:59:00,-0.00223,0.00297,-0.00201,-0.00223,0.00297,-0.00201
ISRN00ITA,EURA14,2021-06-05 11:59:00,-0.00397,0.00057,2e-05,-0.00397,0.00057,2e-05
ISRN00ITA,EURA14,2021-06-06 11:59:00,-0.00345,0.00294,-0.00119,-0.00345,0.00294,-0.00119
ISRN00ITA,EURA14,2021-06-07 11:59:00,-0.00326,0.00215,0.00401,-0.00326,0.00215,0.00401
ISRN00ITA,EURA14,2021-06-08 11:59:00,-0.00026,0.00235,-0.00572,-0.00026,0.00235,-0.00572
ISRN00ITA,EURA14,2021-06-09 11:59:00,-0.00158,0.00121,-0.00469,-0.00158,0.00121,-0.00469
ISRN00ITA,EURA14,2021-06-10 11:59:00,-0.00027,0.00167,-0.00166,-0.00027,0.00167,-0.00166
ISRN00ITA,EURA14,2021-06-11 11:59:00,-0.00167,0.00278,-0.00277,-0.00167,0.00278,-0.00277
ISRN00ITA,EURA14,2021-06-12 11:59:00,0.00112,0.00108,-0.01024,0.00112,0.00108,-0.01024
ISRN00ITA,EURA14,2021-06-13 11:59:00,-0.00285,0.00037,0.00361,-0.00285,0.00037,0.00361
ISRN00ITA,EURA14,2021-06-14 11:59:00,-0.00049,0.00432,0.00116,-0.00049,0.00432,0.00116
ISRN00ITA,EURA14,2021-06-15 11:59:00,-0.00264,0.00553,-0.00988,-0.00264,0.00553,-0.00988
ISRN00ITA,EURA14,2021-06-16 11:59:00,-0.0016,0.00201,0.00466,-0.0016,0.00201,0.00466
ISRN00ITA,EURA14,2021-06-17 11:59:00,-0.00168,0.00141,0.0077,-0.00168,0.00141,0.0077
ISRN00ITA,EURA14,2021-06-18 11:59:00,-0.0004,0.00175,-0.00119,-0.0004,0.00175,-0.00119
ISRN00ITA,EURA14,2021-06-19 11:59:00,-0.00062,0.00291,0.00048,-0.00062,0.00291,0.00048
ISRN00ITA,EURA14,2021-06-20 11:59:00,-0.00235,0.00197,0.00032,-0.00235,0.00197,0.00032
ISRN00ITA,EURA14,2021-06-21 11:59:00,-0.00141,0.00255,0.0004,-0.00141,0.00255,0.0004
ISRN00ITA,EURA14,2021-06-22 11:59:00,-0.00184,0.00258,0.00337,-0.00184,0.00258,0.00337
ISRN00ITA,EURA14,2021-06-23 11:59:00,-0.00312,0.00307,-0.00191,-0.00312,0.00307,-0.00191
ISRN00ITA,EURA14,2021-06-24 11:59:00,-0.00265,0.0037,0.00104,-0.00265,0.0037,0.00104
ISRN00ITA,EURA14,2021-06-25 11:59:00,-0.00096,0.00503,-0.00095,-0.00096,0.00503,-0.00095
ISRN00ITA,EURA14,2021-06-26 11:59:00,-0.0038,0.0053,0.006,-0.0038,0.0053,0.006
ISRN00ITA,EURA14,2021-06-27 11:59:00,-0.00281,0.00266,-0.00259,-0.00281,0.00266,-0.00259
ISRN00ITA,EURA14,2021-06-28 11:59:00,-0.00068,0.00378,0.00095,-0.00068,0.00378,0.00095
ISRN00ITA,EURA14,2021-06-29 11:59:00,-0.00234,0.00416,0.00382,-0.00234,0.00416,0.00382
ISRN00ITA,EURA14,2021-06-30 11:59:00,-0.00294,0.00134,0.01148,-0.00294,0.00134,0.01148
ISRN00ITA,EURA14,2021-07-01 11:59:00,0.00046,0.00085,0.0037,0.00046,0.00085,0.0037
ISRN00ITA,EURA14,2021-07-02 11:59:00,-0.00105,0.00411,-0.00213,-0.00105,0.00411,-0.00213
ISRN00ITA,EURA14,2021-07-03 11:59:00,-0.00307,0.00315,0.00077,-0.00307,0.00315,0.00077
ISRN00ITA,EURA14,2021-07-04 11:59:00,-0.00041,0.00416,0.00013,-0.00041,0.00416,0.00013
ISRN00ITA,EURA14,2021-07-05 11:59:00,-0.00144,0.00623,0.0015,-0.00144,0.00623,0.0015
ISRN00ITA,EURA14,2021-07-06 11:59:00,-0.00135,0.00437,-0.00263,-0.00135,0.00437,-0.00263
ISRN00ITA,EURA14,2021-07-07 11:59:00,-0.00217,0.00585,0.00182,-0.00217,0.00585,0.00182
ISRN00ITA,EURA14,2021-07-08 11:59:00,-0.00074,0.00506,-0.00219,-0.00074,0.00506,-0.00219
ISRN00ITA,EURA14,2021-07-09 11:59:00,-0.001,0.00753,-0.00033,-0.001,0.00753,-0.00033
ISRN00ITA,EURA14,2021-07-10 11:59:00,-0.00413,0.00534,0.00551,-0.00413,0.00534,0.00551
ISRN00ITA,EURA14,2021-07-11 11:59:00,0.00017,0.00594,0.00765,0.00017,0.00594,0.00765
ISRN00ITA,EURA14,2021-07-12 11:59:00,-0.00254,0.00698,-0.00037,-0.00254,0.00698,-0.00037
ISRN00ITA,EURA14,2021-07-13 11:59:00,0.00062,0.00727,0.00688,0.00062,0.00727,0.00688
ISRN00ITA,EURA14,2021-07-14 11:59:00,-0.00558,0.00554,0.00746,-0.00558,0.00554,0.00746
ISRN00ITA,EURA14,2021-07-15 11:59:00,-0.00235,0.00624,-0.00345,-0.00235,0.00624,-0.00345
ISRN00ITA,EURA14,2021-07-16 11:59:00,-0.00243,0.00728,-0.00079,-0.00243,0.00728,-0.00079
ISRN00ITA,EURA14,2021-07-17 11:59:00,0.00077,0.00799,-0.00075,0.00077,0.00799,-0.00075
ISRN00ITA,EURA14,2021-07-18 11:59:00,0.00157,0.00937,-0.00294,0.00157,0.00937,-0.00294
ISRN00ITA,EURA14,2021-07-19 11:59:00,0.00159,0.00774,0.00509,0.00159,0.00774,0.00509
ISRN00ITA,EURA14,2021-07-20 11:59:00,0.00103,0.00719,-0.00279,0.00103,0.00719,-0.00279
ISRN00ITA,EURA14,2021-07-21 11:59:00,-0.00025,0.00522,-0.01084,-0.00025,0.00522,-0.01084
ISRN00ITA,EURA14,2021-07-22 11:59:00,0.0013,0.00723,-0.00251,0.0013,0.00723,-0.00251
ISRN00ITA,EURA14,2021-07-23 11:59:00,-0.00154,0.00623,0.00539,-0.00154,0.00623,0.00539
ISRN00ITA,EURA14,2021-07-24 11:59:00,0.00064,0.00676,-0.00461,0.00064,0.00676,-0.00461
ISRN00ITA,EURA14,2021-07-25 11:59:00,-0.00036,0.00514,0.00371,-0.00036,0.00514,0.00371
ISRN00ITA,EURA14,2021-07-26 11:59:00,-0.0013,0.00897,-0.00701,-0.0013,0.00897,-0.00701
ISRN00ITA,EURA14,2021-07-27 11:59:00,-0.00143,0.00711,-0.00241,-0.00143,0.00711,-0.00241
ISRN00ITA,EURA14,2021-07-28 11:59:00,-0.00038,0.00801,-0.00128,-0.00038,0.00801,-0.00128
ISRN00ITA,EURA14,2021-07-29 11:59:00,-5e-05,0.00758,-0.00054,-5e-05,0.00758,-0.00054
ISRN00ITA,EURA14,2021-07-30 11:59:00,-0.00148,0.00491,-0.00183,-0.00148,0.00491,-0.00183
