marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ITFA00ITA,EURA14,2005-06-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ITFA00ITA,EURA14,2005-06-25 11:59:00,-0.00252,0.00044,0.00487,-0.00252,0.00044,0.00487
ITFA00ITA,EURA14,2005-06-26 11:59:00,-0.00241,0.00169,-0.0043,-0.00241,0.00169,-0.0043
ITFA00ITA,EURA14,2005-06-27 11:59:00,-0.0015,0.00213,-0.01001,-0.0015,0.00213,-0.01001
ITFA00ITA,EURA14,2005-06-28 11:59:00,-0.00017,0.00107,-0.01066,-0.00017,0.00107,-0.01066
ITFA00ITA,EURA14,2005-06-29 11:59:00,-0.00276,-0.00083,-0.01515,-0.00276,-0.00083,-0.01515
ITFA00ITA,EURA14,2005-06-30 11:59:00,-0.00895,-0.00167,0.01137,-0.00895,-0.00167,0.01137
ITFA00ITA,EURA14,2005-07-01 11:59:00,0.00149,0.0051,-0.00143,0.00149,0.0051,-0.00143
ITFA00ITA,EURA14,2005-07-02 11:59:00,-0.00075,0.00258,-0.00826,-0.00075,0.00258,-0.00826
ITFA00ITA,EURA14,2005-07-03 11:59:00,0.00106,0.0034,-0.00937,0.00106,0.0034,-0.00937
ITFA00ITA,EURA14,2005-07-04 11:59:00,-0.00139,0.00127,-0.0032,-0.00139,0.00127,-0.0032
ITFA00ITA,EURA14,2005-07-05 11:59:00,-0.00256,0.00221,-0.01068,-0.00256,0.00221,-0.01068
ITFA00ITA,EURA14,2005-07-06 11:59:00,-0.00107,0.0006,-0.00597,-0.00107,0.0006,-0.00597
ITFA00ITA,EURA14,2005-07-07 11:59:00,-0.00174,0.00238,0.00869,-0.00174,0.00238,0.00869
ITFA00ITA,EURA14,2005-07-08 11:59:00,0.00014,0.00067,0.02139,0.00014,0.00067,0.02139
ITFA00ITA,EURA14,2005-07-09 11:59:00,-0.00198,0.0019,-0.01202,-0.00198,0.0019,-0.01202
ITFA00ITA,EURA14,2005-07-10 11:59:00,0.00167,0.00296,-0.0036,0.00167,0.00296,-0.0036
ITFA00ITA,EURA14,2005-07-11 11:59:00,-0.0008,0.00126,-0.01463,-0.0008,0.00126,-0.01463
ITFA00ITA,EURA14,2005-07-12 11:59:00,0.00149,0.00336,-0.00974,0.00149,0.00336,-0.00974
ITFA00ITA,EURA14,2005-07-13 11:59:00,0.00185,0.0033,-0.01748,0.00185,0.0033,-0.01748
ITFA00ITA,EURA14,2005-07-14 11:59:00,0.00085,0.00305,-0.01624,0.00085,0.00305,-0.01624
ITFA00ITA,EURA14,2005-07-15 11:59:00,-0.00065,0.00178,-0.00276,-0.00065,0.00178,-0.00276
ITFA00ITA,EURA14,2005-07-16 11:59:00,0.00339,0.00452,0.00156,0.00339,0.00452,0.00156
ITFA00ITA,EURA14,2005-07-17 11:59:00,0.00027,0.00053,0.00024,0.00027,0.00053,0.00024
ITFA00ITA,EURA14,2005-07-18 11:59:00,-0.00405,0.00037,0.00169,-0.00405,0.00037,0.00169
ITFA00ITA,EURA14,2005-07-19 11:59:00,-0.00085,0.00154,-0.00903,-0.00085,0.00154,-0.00903
