marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ITGT00ITA,EURA14,2004-07-05 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ITGT00ITA,EURA14,2004-07-06 11:59:00,0.00118,0.00083,-0.01366,0.00118,0.00083,-0.01366
ITGT00ITA,EURA14,2004-07-07 11:59:00,0.001415,0.0012699999999999999,-0.014794999999999999,0.001415,0.0012699999999999999,-0.014794999999999999
ITGT00ITA,EURA14,2004-07-08 11:59:00,0.00165,0.00171,-0.01593,0.00165,0.00171,-0.01593
ITGT00ITA,EURA14,2004-07-09 11:59:00,-0.00059,-0.0001,0.00798,-0.00059,-0.0001,0.00798
ITGT00ITA,EURA14,2004-07-10 11:59:00,-0.00248,0.0004,-0.00369,-0.00248,0.0004,-0.00369
ITGT00ITA,EURA14,2004-07-11 11:59:00,-0.00307,0.00146,-0.00958,-0.00307,0.00146,-0.00958
ITGT00ITA,EURA14,2004-07-21 11:59:00,0.0046,0.0019,-0.01072,0.0046,0.0019,-0.01072
ITGT00ITA,EURA14,2004-07-22 11:59:00,0.00136,0.00074,-0.00344,0.00136,0.00074,-0.00344
ITGT00ITA,EURA14,2004-07-23 11:59:00,0.00196,0.00169,-0.00609,0.00196,0.00169,-0.00609
ITGT00ITA,EURA14,2004-07-24 11:59:00,0.00142,0.00219,-0.01225,0.00142,0.00219,-0.01225
ITGT00ITA,EURA14,2004-07-25 11:59:00,0.01381,0.0052,-0.02176,0.01381,0.0052,-0.02176
ITGT00ITA,EURA14,2004-07-26 11:59:00,0.0082,0.00573,-0.01003,0.0082,0.00573,-0.01003
ITGT00ITA,EURA14,2004-07-27 11:59:00,0.01395,0.00612,-0.02409,0.01395,0.00612,-0.02409
ITGT00ITA,EURA14,2004-07-28 11:59:00,0.00591,0.0037,-0.01781,0.00591,0.0037,-0.01781
ITGT00ITA,EURA14,2004-07-29 11:59:00,0.00134,0.00213,-0.01067,0.00134,0.00213,-0.01067
ITGT00ITA,EURA14,2004-07-30 11:59:00,0.00197,0.00108,-0.00399,0.00197,0.00108,-0.00399
ITGT00ITA,EURA14,2004-07-31 11:59:00,0.00273,0.00357,-0.01734,0.00273,0.00357,-0.01734
ITGT00ITA,EURA14,2004-08-01 11:59:00,0.0038,-0.00103,0.00039,0.0038,-0.00103,0.00039
ITGT00ITA,EURA14,2004-08-02 11:59:00,0.00105,0.00215,-0.00169,0.00105,0.00215,-0.00169
ITGT00ITA,EURA14,2004-08-03 11:59:00,0.00387,0.00112,-0.00653,0.00387,0.00112,-0.00653
ITGT00ITA,EURA14,2004-08-04 11:59:00,0.00242,0.00218,0.00041,0.00242,0.00218,0.00041
ITGT00ITA,EURA14,2004-08-05 11:59:00,0.00533,0.00259,-0.00381,0.00533,0.00259,-0.00381
ITGT00ITA,EURA14,2004-08-06 11:59:00,0.00475,0.00403,-0.01325,0.00475,0.00403,-0.01325
ITGT00ITA,EURA14,2004-08-07 11:59:00,0.00147,0.00132,-0.00486,0.00147,0.00132,-0.00486
ITGT00ITA,EURA14,2004-09-01 11:59:00,0.00058,0.00172,-0.01201,0.00058,0.00172,-0.01201
ITGT00ITA,EURA14,2004-09-02 11:59:00,0.00231,0.00331,-0.01805,0.00231,0.00331,-0.01805
ITGT00ITA,EURA14,2004-09-03 11:59:00,0.0037,0.00309,-0.0085,0.0037,0.00309,-0.0085
ITGT00ITA,EURA14,2004-09-04 11:59:00,0.01391,0.00952,-0.03531,0.01391,0.00952,-0.03531
ITGT00ITA,EURA14,2004-09-05 11:59:00,0.01104,0.00773,-0.02113,0.01104,0.00773,-0.02113
ITGT00ITA,EURA14,2004-09-06 11:59:00,0.00965,0.00776,-0.03665,0.00965,0.00776,-0.03665
ITGT00ITA,EURA14,2004-09-07 11:59:00,0.01143,0.0094,-0.03327,0.01143,0.0094,-0.03327
ITGT00ITA,EURA14,2004-09-08 11:59:00,0.00601,0.00586,-0.02248,0.00601,0.00586,-0.02248
ITGT00ITA,EURA14,2004-09-09 11:59:00,0.01399,0.00758,-0.03303,0.01399,0.00758,-0.03303
ITGT00ITA,EURA14,2004-09-10 11:59:00,0.00486,0.00409,-0.01399,0.00486,0.00409,-0.01399
ITGT00ITA,EURA14,2004-09-11 11:59:00,0.00262,0.00221,-0.01393,0.00262,0.00221,-0.01393
ITGT00ITA,EURA14,2004-09-12 11:59:00,0.00392,0.00347,-0.01365,0.00392,0.00347,-0.01365
ITGT00ITA,EURA14,2004-09-13 11:59:00,0.0037,0.00509,-0.0066,0.0037,0.00509,-0.0066
ITGT00ITA,EURA14,2004-09-14 11:59:00,0.00467,0.00265,-0.00494,0.00467,0.00265,-0.00494
ITGT00ITA,EURA14,2004-09-15 11:59:00,0.00255,0.00313,-0.00075,0.00255,0.00313,-0.00075
ITGT00ITA,EURA14,2004-09-16 11:59:00,0.00681,0.00287,-0.00847,0.00681,0.00287,-0.00847
ITGT00ITA,EURA14,2004-09-17 11:59:00,0.02187,0.0059,-0.01486,0.02187,0.0059,-0.01486
ITGT00ITA,EURA14,2004-09-18 11:59:00,0.00564,0.00479,-0.01552,0.00564,0.00479,-0.01552
ITGT00ITA,EURA14,2004-09-19 11:59:00,0.00328,0.00277,-0.00976,0.00328,0.00277,-0.00976
ITGT00ITA,EURA14,2004-09-20 11:59:00,-0.00127,-0.00013,0.00177,-0.00127,-0.00013,0.00177
ITGT00ITA,EURA14,2004-09-21 11:59:00,0.00046,0.00113,0.00247,0.00046,0.00113,0.00247
ITGT00ITA,EURA14,2004-09-22 11:59:00,0.00258,0.00175,-0.00487,0.00258,0.00175,-0.00487
ITGT00ITA,EURA14,2004-09-23 11:59:00,0.0022,0.00066,0.00204,0.0022,0.00066,0.00204
ITGT00ITA,EURA14,2004-09-27 11:59:00,0.00721,0.00677,-0.01984,0.00721,0.00677,-0.01984
ITGT00ITA,EURA14,2004-09-28 11:59:00,0.00848,0.00496,-0.0141,0.00848,0.00496,-0.0141
ITGT00ITA,EURA14,2004-09-29 11:59:00,0.00286,0.00261,-0.0125,0.00286,0.00261,-0.0125
ITGT00ITA,EURA14,2004-09-30 11:59:00,0.00303,0.00241,-0.01013,0.00303,0.00241,-0.01013
ITGT00ITA,EURA14,2004-10-01 11:59:00,0.00573,0.00291,-0.01169,0.00573,0.00291,-0.01169
ITGT00ITA,EURA14,2004-10-02 11:59:00,0.0035,0.0038,-0.01551,0.0035,0.0038,-0.01551
ITGT00ITA,EURA14,2004-10-03 11:59:00,0.00382,0.00301,-0.01742,0.00382,0.00301,-0.01742
ITGT00ITA,EURA14,2004-10-04 11:59:00,0.00335,0.00299,-0.01351,0.00335,0.00299,-0.01351
ITGT00ITA,EURA14,2004-10-05 11:59:00,0.00404,0.00284,-0.00978,0.00404,0.00284,-0.00978
ITGT00ITA,EURA14,2004-10-06 11:59:00,0.00334,0.00288,-0.00817,0.00334,0.00288,-0.00817
ITGT00ITA,EURA14,2004-10-07 11:59:00,0.00436,0.00189,-0.01211,0.00436,0.00189,-0.01211
ITGT00ITA,EURA14,2004-10-08 11:59:00,0.00516,0.00324,-0.01082,0.00516,0.00324,-0.01082
ITGT00ITA,EURA14,2004-10-09 11:59:00,0.0053,0.00391,-0.0053,0.0053,0.00391,-0.0053
ITGT00ITA,EURA14,2004-10-10 11:59:00,0.00449,0.00311,-0.00806,0.00449,0.00311,-0.00806
ITGT00ITA,EURA14,2004-10-11 11:59:00,0.00415,0.00424,-0.01452,0.00415,0.00424,-0.01452
ITGT00ITA,EURA14,2004-10-12 11:59:00,0.00747,0.00467,-0.02389,0.00747,0.00467,-0.02389
ITGT00ITA,EURA14,2004-10-13 11:59:00,0.00605,0.00465,-0.01426,0.00605,0.00465,-0.01426
ITGT00ITA,EURA14,2004-10-14 11:59:00,0.00402,0.00356,-0.01511,0.00402,0.00356,-0.01511
ITGT00ITA,EURA14,2004-10-15 11:59:00,0.00271,0.00564,-0.01129,0.00271,0.00564,-0.01129
ITGT00ITA,EURA14,2004-10-16 11:59:00,0.00215,0.00159,-0.00166,0.00215,0.00159,-0.00166
ITGT00ITA,EURA14,2004-10-17 11:59:00,-0.00197,0.00119,0.00235,-0.00197,0.00119,0.00235
ITGT00ITA,EURA14,2004-10-18 11:59:00,0.00067,0.00108,-0.00641,0.00067,0.00108,-0.00641
ITGT00ITA,EURA14,2004-10-19 11:59:00,0.00542,0.00562,-0.02167,0.00542,0.00562,-0.02167
ITGT00ITA,EURA14,2004-10-20 11:59:00,0.00343,0.00268,-0.01234,0.00343,0.00268,-0.01234
ITGT00ITA,EURA14,2004-10-21 11:59:00,0.00298,0.00398,-0.01434,0.00298,0.00398,-0.01434
ITGT00ITA,EURA14,2004-10-22 11:59:00,0.00316,0.00281,-0.01375,0.00316,0.00281,-0.01375
ITGT00ITA,EURA14,2004-10-23 11:59:00,0.00369,0.00298,-0.0164,0.00369,0.00298,-0.0164
ITGT00ITA,EURA14,2004-10-24 11:59:00,0.00259,0.0021,-0.01243,0.00259,0.0021,-0.01243
ITGT00ITA,EURA14,2004-10-25 11:59:00,0.00324,0.00158,-0.01473,0.00324,0.00158,-0.01473
ITGT00ITA,EURA14,2004-10-26 11:59:00,0.00292,0.0035,-0.01305,0.00292,0.0035,-0.01305
ITGT00ITA,EURA14,2004-10-27 11:59:00,0.00335,0.00255,-0.00983,0.00335,0.00255,-0.00983
ITGT00ITA,EURA14,2004-10-28 11:59:00,0.0022,0.00378,-0.01176,0.0022,0.00378,-0.01176
ITGT00ITA,EURA14,2004-10-29 11:59:00,0.004,0.00364,-0.01345,0.004,0.00364,-0.01345
ITGT00ITA,EURA14,2004-10-30 11:59:00,0.00407,0.00361,-0.00712,0.00407,0.00361,-0.00712
ITGT00ITA,EURA14,2004-10-31 11:59:00,0.0028,0.00671,-0.02056,0.0028,0.00671,-0.02056
ITGT00ITA,EURA14,2004-11-01 11:59:00,0.00292,0.00448,-0.01303,0.00292,0.00448,-0.01303
ITGT00ITA,EURA14,2004-11-02 11:59:00,0.00244,0.00358,-0.01442,0.00244,0.00358,-0.01442
ITGT00ITA,EURA14,2004-11-03 11:59:00,0.00803,0.00839,-0.01996,0.00803,0.00839,-0.01996
ITGT00ITA,EURA14,2004-11-04 11:59:00,0.01186,0.00465,-0.01023,0.01186,0.00465,-0.01023
ITGT00ITA,EURA14,2004-11-05 11:59:00,0.00335,0.0034,-0.0138,0.00335,0.0034,-0.0138
