marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ITRA00ITA,EURA14,2004-11-26 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ITRA00ITA,EURA14,2004-11-29 11:59:00,-0.00129,-0.00029,-0.00298,-0.00129,-0.00029,-0.00298
ITRA00ITA,EURA14,2004-11-30 11:59:00,0.00123,0.00078,-0.00167,0.00123,0.00078,-0.00167
ITRA00ITA,EURA14,2004-12-01 11:59:00,0.00065,-0.00026,-0.00377,0.00065,-0.00026,-0.00377
ITRA00ITA,EURA14,2004-12-02 11:59:00,0.00275,-0.0005,-0.00674,0.00275,-0.0005,-0.00674
ITRA00ITA,EURA14,2004-12-03 11:59:00,0.00098,0.001,0.00047,0.00098,0.001,0.00047
ITRA00ITA,EURA14,2004-12-04 11:59:00,0.00041,0.00015,-0.00369,0.00041,0.00015,-0.00369
ITRA00ITA,EURA14,2004-12-05 11:59:00,0.00033,0.00035,-0.00582,0.00033,0.00035,-0.00582
ITRA00ITA,EURA14,2004-12-06 11:59:00,8e-05,0.00078,-0.0049,8e-05,0.00078,-0.0049
ITRA00ITA,EURA14,2004-12-07 11:59:00,0.0,0.00058,-0.00354,0.0,0.00058,-0.00354
ITRA00ITA,EURA14,2004-12-08 11:59:00,0.00038,0.00013,-0.0037,0.00038,0.00013,-0.0037
ITRA00ITA,EURA14,2004-12-09 11:59:00,-0.00135,0.00066,0.00343,-0.00135,0.00066,0.00343
ITRA00ITA,EURA14,2004-12-10 11:59:00,-0.00044,0.00165,-0.00619,-0.00044,0.00165,-0.00619
ITRA00ITA,EURA14,2004-12-11 11:59:00,-8e-05,0.00032,-0.00614,-8e-05,0.00032,-0.00614
ITRA00ITA,EURA14,2004-12-12 11:59:00,-0.00049,0.00051,-0.00638,-0.00049,0.00051,-0.00638
ITRA00ITA,EURA14,2004-12-13 11:59:00,0.00023,0.00046,-0.00527,0.00023,0.00046,-0.00527
ITRA00ITA,EURA14,2004-12-14 11:59:00,4e-05,0.00065,-0.00685,4e-05,0.00065,-0.00685
ITRA00ITA,EURA14,2004-12-15 11:59:00,0.00049,0.00046,-0.00368,0.00049,0.00046,-0.00368
ITRA00ITA,EURA14,2004-12-16 11:59:00,-0.00071,-0.00082,-0.0036,-0.00071,-0.00082,-0.0036
ITRA00ITA,EURA14,2004-12-17 11:59:00,-0.00023,-0.00051,0.00163,-0.00023,-0.00051,0.00163
ITRA00ITA,EURA14,2004-12-18 11:59:00,0.00168,-0.00021,0.00021,0.00168,-0.00021,0.00021
ITRA00ITA,EURA14,2004-12-19 11:59:00,-9e-05,-0.00029,0.00346,-9e-05,-0.00029,0.00346
ITRA00ITA,EURA14,2004-12-20 11:59:00,-9e-05,-0.00031,0.00097,-9e-05,-0.00031,0.00097
ITRA00ITA,EURA14,2004-12-21 11:59:00,0.00066,0.00088,-0.0055,0.00066,0.00088,-0.0055
ITRA00ITA,EURA14,2004-12-22 11:59:00,0.00011,0.00064,-0.00713,0.00011,0.00064,-0.00713
ITRA00ITA,EURA14,2005-01-07 11:59:00,-0.00096,-0.00082,-0.00345,-0.00096,-0.00082,-0.00345
ITRA00ITA,EURA14,2005-01-08 11:59:00,-0.0006,-0.00134,-0.00321,-0.0006,-0.00134,-0.00321
ITRA00ITA,EURA14,2005-01-09 11:59:00,-6e-05,-0.00107,-0.00563,-6e-05,-0.00107,-0.00563
ITRA00ITA,EURA14,2005-01-10 11:59:00,-0.00121,-0.00077,-0.00324,-0.00121,-0.00077,-0.00324
ITRA00ITA,EURA14,2005-01-11 11:59:00,0.00036,-0.00183,-0.00337,0.00036,-0.00183,-0.00337
ITRA00ITA,EURA14,2005-01-12 11:59:00,-0.00065,-0.00167,0.00089,-0.00065,-0.00167,0.00089
ITRA00ITA,EURA14,2005-01-13 11:59:00,-0.00023,-0.00048,0.0012,-0.00023,-0.00048,0.0012
ITRA00ITA,EURA14,2005-01-14 11:59:00,-0.00024,0.00017,-0.00229,-0.00024,0.00017,-0.00229
ITRA00ITA,EURA14,2005-01-15 11:59:00,-0.00152,-0.00061,-0.00075,-0.00152,-0.00061,-0.00075
ITRA00ITA,EURA14,2005-01-16 11:59:00,-0.00212,0.00042,-0.00814,-0.00212,0.00042,-0.00814
ITRA00ITA,EURA14,2005-01-17 11:59:00,-0.00054,-0.00114,-0.00462,-0.00054,-0.00114,-0.00462
ITRA00ITA,EURA14,2005-01-18 11:59:00,-0.0008,-0.00086,0.00036,-0.0008,-0.00086,0.00036
ITRA00ITA,EURA14,2005-01-19 11:59:00,-0.0006,-0.00177,0.00342,-0.0006,-0.00177,0.00342
ITRA00ITA,EURA14,2005-01-20 11:59:00,-0.00089,-0.00161,-0.00036,-0.00089,-0.00161,-0.00036
ITRA00ITA,EURA14,2005-01-21 11:59:00,-0.00083,-0.00094,0.00395,-0.00083,-0.00094,0.00395
ITRA00ITA,EURA14,2005-01-22 11:59:00,-0.00117,0.00089,-0.00033,-0.00117,0.00089,-0.00033
ITRA00ITA,EURA14,2005-01-23 11:59:00,0.00074,-0.00132,-0.00215,0.00074,-0.00132,-0.00215
ITRA00ITA,EURA14,2005-01-24 11:59:00,0.0002,0.00059,0.00588,0.0002,0.00059,0.00588
ITRA00ITA,EURA14,2005-01-25 11:59:00,0.00136,-0.00144,0.00685,0.00136,-0.00144,0.00685
ITRA00ITA,EURA14,2005-01-26 11:59:00,0.00217,-0.00138,0.00415,0.00217,-0.00138,0.00415
ITRA00ITA,EURA14,2005-01-27 11:59:00,-0.00041,9e-05,0.00047,-0.00041,9e-05,0.00047
ITRA00ITA,EURA14,2005-01-28 11:59:00,0.00134,-6e-05,-0.00117,0.00134,-6e-05,-0.00117
ITRA00ITA,EURA14,2005-01-29 11:59:00,0.00409,-0.00045,-0.0028,0.00409,-0.00045,-0.0028
ITRA00ITA,EURA14,2005-01-30 11:59:00,0.0020499999999999997,-0.000345,-0.0021149999999999997,0.0020499999999999997,-0.000345,-0.0021149999999999997
ITRA00ITA,EURA14,2005-01-31 11:59:00,1e-05,-0.00024,-0.00143,1e-05,-0.00024,-0.00143
ITRA00ITA,EURA14,2005-02-01 11:59:00,0.00043,0.00049,-0.00434,0.00043,0.00049,-0.00434
ITRA00ITA,EURA14,2005-02-02 11:59:00,0.00094,0.00095,-0.0022,0.00094,0.00095,-0.0022
ITRA00ITA,EURA14,2005-02-03 11:59:00,-5e-05,0.00016,-0.00091,-5e-05,0.00016,-0.00091
ITRA00ITA,EURA14,2005-02-04 11:59:00,1e-05,0.00091,-0.0038,1e-05,0.00091,-0.0038
ITRA00ITA,EURA14,2005-02-05 11:59:00,9e-05,0.00095,0.00139,9e-05,0.00095,0.00139
ITRA00ITA,EURA14,2005-02-06 11:59:00,0.00051,0.0007,-0.00184,0.00051,0.0007,-0.00184
ITRA00ITA,EURA14,2005-02-07 11:59:00,0.00123,0.00151,-1e-05,0.00123,0.00151,-1e-05
