marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LANC00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
LANC00ITA,EURA14,2012-01-21 11:59:00,-0.00082,0.00064,-0.00203,-0.00082,0.00064,-0.00203
LANC00ITA,EURA14,2012-01-22 11:59:00,-0.00029,0.00027,0.00034,-0.00029,0.00027,0.00034
LANC00ITA,EURA14,2012-01-23 11:59:00,-0.00082,0.00065,-0.00143,-0.00082,0.00065,-0.00143
LANC00ITA,EURA14,2012-01-24 11:59:00,0.0008,0.00089,-3e-05,0.0008,0.00089,-3e-05
LANC00ITA,EURA14,2012-01-25 11:59:00,0.00319,0.00168,-0.00087,0.00319,0.00168,-0.00087
LANC00ITA,EURA14,2012-01-26 11:59:00,0.00096,0.00118,-0.00436,0.00096,0.00118,-0.00436
LANC00ITA,EURA14,2012-01-27 11:59:00,-0.00101,0.00124,-0.00414,-0.00101,0.00124,-0.00414
LANC00ITA,EURA14,2012-01-31 11:59:00,0.00084,0.00155,-0.00021,0.00084,0.00155,-0.00021
LANC00ITA,EURA14,2012-02-01 11:59:00,0.00082,0.00254,1e-05,0.00082,0.00254,1e-05
LANC00ITA,EURA14,2012-02-02 11:59:00,0.0049,0.00418,0.00216,0.0049,0.00418,0.00216
LANC00ITA,EURA14,2012-02-03 11:59:00,0.0025,0.00182,0.00037,0.0025,0.00182,0.00037
LANC00ITA,EURA14,2012-02-04 11:59:00,0.00189,0.001,-0.0045,0.00189,0.001,-0.0045
LANC00ITA,EURA14,2012-02-05 11:59:00,0.00195,0.00142,0.00011,0.00195,0.00142,0.00011
LANC00ITA,EURA14,2012-02-06 11:59:00,0.0043,0.00326,0.00647,0.0043,0.00326,0.00647
LANC00ITA,EURA14,2012-02-07 11:59:00,0.002785,0.001985,0.00311,0.002785,0.001985,0.00311
LANC00ITA,EURA14,2012-02-08 11:59:00,0.00127,0.00071,-0.00025,0.00127,0.00071,-0.00025
LANC00ITA,EURA14,2012-02-09 11:59:00,0.0008,0.00072,-0.00427,0.0008,0.00072,-0.00427
LANC00ITA,EURA14,2012-02-10 11:59:00,0.00038,0.00112,-0.00023,0.00038,0.00112,-0.00023
LANC00ITA,EURA14,2012-02-11 11:59:00,0.00033,0.00184,0.00101,0.00033,0.00184,0.00101
LANC00ITA,EURA14,2012-02-12 11:59:00,0.00124,-6e-05,-0.00329,0.00124,-6e-05,-0.00329
LANC00ITA,EURA14,2012-02-13 11:59:00,-0.00057,-0.00029,-0.00293,-0.00057,-0.00029,-0.00293
LANC00ITA,EURA14,2012-02-14 11:59:00,-0.00066,7e-05,-0.00534,-0.00066,7e-05,-0.00534
LANC00ITA,EURA14,2012-02-15 11:59:00,0.00059,-0.00042,-0.00382,0.00059,-0.00042,-0.00382
LANC00ITA,EURA14,2012-02-16 11:59:00,-0.00041,-0.00074,-0.00246,-0.00041,-0.00074,-0.00246
LANC00ITA,EURA14,2012-02-17 11:59:00,-0.00094,-0.00037,0.00041,-0.00094,-0.00037,0.00041
LANC00ITA,EURA14,2012-02-18 11:59:00,0.00015,-7e-05,-0.00511,0.00015,-7e-05,-0.00511
LANC00ITA,EURA14,2012-02-19 11:59:00,-0.00032,0.00016,-0.00585,-0.00032,0.00016,-0.00585
LANC00ITA,EURA14,2012-02-20 11:59:00,-0.001,0.0007,-0.00574,-0.001,0.0007,-0.00574
LANC00ITA,EURA14,2012-02-21 11:59:00,0.00112,0.00145,-0.00444,0.00112,0.00145,-0.00444
LANC00ITA,EURA14,2012-02-22 11:59:00,0.00122,7e-05,-0.00466,0.00122,7e-05,-0.00466
LANC00ITA,EURA14,2012-02-23 11:59:00,-0.00049,-0.00076,0.00051,-0.00049,-0.00076,0.00051
LANC00ITA,EURA14,2012-02-24 11:59:00,-0.00113,-0.00102,-0.00236,-0.00113,-0.00102,-0.00236
LANC00ITA,EURA14,2012-02-25 11:59:00,-0.00162,-0.00049,-0.00082,-0.00162,-0.00049,-0.00082
LANC00ITA,EURA14,2012-02-26 11:59:00,-0.00067,0.00058,0.00124,-0.00067,0.00058,0.00124
LANC00ITA,EURA14,2012-02-27 11:59:00,-0.00148,-0.00024,-0.00503,-0.00148,-0.00024,-0.00503
LANC00ITA,EURA14,2012-02-28 11:59:00,-0.00138,-0.00079,-0.00232,-0.00138,-0.00079,-0.00232
LANC00ITA,EURA14,2012-02-29 11:59:00,-0.0009,0.00047,-0.00251,-0.0009,0.00047,-0.00251
LANC00ITA,EURA14,2012-03-01 11:59:00,-0.00155,0.00059,-0.00494,-0.00155,0.00059,-0.00494
LANC00ITA,EURA14,2012-03-02 11:59:00,-4e-05,-0.00021,-0.0091,-4e-05,-0.00021,-0.0091
LANC00ITA,EURA14,2012-03-03 11:59:00,-0.0016,6e-05,-0.00288,-0.0016,6e-05,-0.00288
LANC00ITA,EURA14,2012-03-04 11:59:00,-0.00153,8e-05,-0.00264,-0.00153,8e-05,-0.00264
LANC00ITA,EURA14,2012-03-05 11:59:00,-9e-05,0.00036,0.00089,-9e-05,0.00036,0.00089
LANC00ITA,EURA14,2012-03-06 11:59:00,-0.0013,0.00198,-0.00225,-0.0013,0.00198,-0.00225
LANC00ITA,EURA14,2012-03-07 11:59:00,0.00105,0.00011,-0.00359,0.00105,0.00011,-0.00359
LANC00ITA,EURA14,2012-03-08 11:59:00,0.00165,-0.00041,-0.00417,0.00165,-0.00041,-0.00417
LANC00ITA,EURA14,2012-03-09 11:59:00,0.00217,0.00088,-0.00285,0.00217,0.00088,-0.00285
LANC00ITA,EURA14,2012-03-10 11:59:00,-0.00023,-0.0008,-0.00443,-0.00023,-0.0008,-0.00443
LANC00ITA,EURA14,2012-03-11 11:59:00,4e-05,-0.0007,-0.00615,4e-05,-0.0007,-0.00615
LANC00ITA,EURA14,2012-03-12 11:59:00,-0.00079,-0.00209,-0.0103,-0.00079,-0.00209,-0.0103
LANC00ITA,EURA14,2012-03-13 11:59:00,1e-05,-0.00053,-0.00205,1e-05,-0.00053,-0.00205
LANC00ITA,EURA14,2012-03-14 11:59:00,0.0005,-9e-05,-0.01091,0.0005,-9e-05,-0.01091
LANC00ITA,EURA14,2012-03-15 11:59:00,-0.00108,-0.00036,-0.00735,-0.00108,-0.00036,-0.00735
LANC00ITA,EURA14,2012-03-16 11:59:00,5e-05,0.00037,-0.0139,5e-05,0.00037,-0.0139
LANC00ITA,EURA14,2012-03-17 11:59:00,-0.00064,-0.00035,-0.01202,-0.00064,-0.00035,-0.01202
