marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LARI00ITA,EURA14,2006-10-18 11:59:00,0.01452,-0.01752,0.01178,0.01452,-0.01752,0.01178
LARI00ITA,EURA14,2006-10-19 11:59:00,0.00964,-0.01391,0.02489,0.00964,-0.01391,0.02489
LARI00ITA,EURA14,2006-10-20 11:59:00,0.01001,-0.01583,0.01468,0.01001,-0.01583,0.01468
LARI00ITA,EURA14,2006-10-21 11:59:00,0.01002,-0.01657,0.01651,0.01002,-0.01657,0.01651
LARI00ITA,EURA14,2006-10-22 11:59:00,0.01107,-0.01683,0.01347,0.01107,-0.01683,0.01347
LARI00ITA,EURA14,2006-10-23 11:59:00,0.01091,-0.01334,0.01423,0.01091,-0.01334,0.01423
LARI00ITA,EURA14,2006-10-24 11:59:00,0.01229,-0.01542,0.01792,0.01229,-0.01542,0.01792
LARI00ITA,EURA14,2006-10-25 11:59:00,0.01153,-0.01516,0.014714999999999999,0.01153,-0.01516,0.014714999999999999
LARI00ITA,EURA14,2006-10-26 11:59:00,0.01077,-0.0149,0.01151,0.01077,-0.0149,0.01151
LARI00ITA,EURA14,2006-10-27 11:59:00,0.0111,-0.01372,0.01241,0.0111,-0.01372,0.01241
LARI00ITA,EURA14,2006-10-31 11:59:00,0.0108,-0.01626,0.01461,0.0108,-0.01626,0.01461
LARI00ITA,EURA14,2006-11-01 11:59:00,0.01101,-0.01578,0.02068,0.01101,-0.01578,0.02068
LARI00ITA,EURA14,2006-11-02 11:59:00,0.01184,-0.01545,0.02567,0.01184,-0.01545,0.02567
LARI00ITA,EURA14,2006-11-03 11:59:00,0.01036,-0.01588,0.01523,0.01036,-0.01588,0.01523
LARI00ITA,EURA14,2006-11-04 11:59:00,0.01019,-0.01511,0.01301,0.01019,-0.01511,0.01301
LARI00ITA,EURA14,2006-11-05 11:59:00,0.01125,-0.01565,0.01585,0.01125,-0.01565,0.01585
LARI00ITA,EURA14,2006-11-06 11:59:00,0.01092,-0.01624,0.01793,0.01092,-0.01624,0.01793
LARI00ITA,EURA14,2006-11-07 11:59:00,0.01202,-0.01703,0.0164,0.01202,-0.01703,0.0164
LARI00ITA,EURA14,2006-11-08 11:59:00,0.01101,-0.0165,0.01593,0.01101,-0.0165,0.01593
LARI00ITA,EURA14,2006-11-09 11:59:00,0.01122,-0.01699,0.01586,0.01122,-0.01699,0.01586
LARI00ITA,EURA14,2006-11-10 11:59:00,0.01153,-0.01525,0.01804,0.01153,-0.01525,0.01804
LARI00ITA,EURA14,2006-11-11 11:59:00,0.01134,-0.01717,0.01817,0.01134,-0.01717,0.01817
LARI00ITA,EURA14,2006-11-12 11:59:00,0.0102,-0.01636,0.02048,0.0102,-0.01636,0.02048
LARI00ITA,EURA14,2006-11-13 11:59:00,0.01099,-0.01512,0.0247,0.01099,-0.01512,0.0247
LARI00ITA,EURA14,2006-11-14 11:59:00,0.01108,-0.01733,0.01688,0.01108,-0.01733,0.01688
LARI00ITA,EURA14,2006-11-15 11:59:00,0.01154,-0.01733,0.01407,0.01154,-0.01733,0.01407
LARI00ITA,EURA14,2006-11-16 11:59:00,0.01205,-0.01562,0.01601,0.01205,-0.01562,0.01601
LARI00ITA,EURA14,2006-11-17 11:59:00,0.0116,-0.01597,0.01733,0.0116,-0.01597,0.01733
LARI00ITA,EURA14,2006-11-18 11:59:00,0.01136,-0.01612,0.01217,0.01136,-0.01612,0.01217
LARI00ITA,EURA14,2006-11-19 11:59:00,0.01164,-0.01666,0.01602,0.01164,-0.01666,0.01602
LARI00ITA,EURA14,2006-11-20 11:59:00,0.01249,-0.01627,0.02285,0.01249,-0.01627,0.02285
LARI00ITA,EURA14,2006-11-21 11:59:00,0.01211,-0.01644,0.02005,0.01211,-0.01644,0.02005
LARI00ITA,EURA14,2006-11-22 11:59:00,0.01183,-0.01886,0.03302,0.01183,-0.01886,0.03302
LARI00ITA,EURA14,2006-11-23 11:59:00,0.01243,-0.01611,0.02139,0.01243,-0.01611,0.02139
LARI00ITA,EURA14,2006-11-24 11:59:00,0.01171,-0.01703,0.01877,0.01171,-0.01703,0.01877
LARI00ITA,EURA14,2006-11-25 11:59:00,0.01141,-0.01679,0.01542,0.01141,-0.01679,0.01542
LARI00ITA,EURA14,2006-11-26 11:59:00,0.01118,-0.01662,0.01632,0.01118,-0.01662,0.01632
LARI00ITA,EURA14,2006-11-27 11:59:00,0.01086,-0.01621,0.01619,0.01086,-0.01621,0.01619
LARI00ITA,EURA14,2006-11-28 11:59:00,0.01133,-0.01686,0.0207,0.01133,-0.01686,0.0207
LARI00ITA,EURA14,2006-11-29 11:59:00,0.01109,-0.01555,0.01625,0.01109,-0.01555,0.01625
LARI00ITA,EURA14,2006-11-30 11:59:00,0.0113,-0.01657,0.01458,0.0113,-0.01657,0.01458
LARI00ITA,EURA14,2006-12-01 11:59:00,0.01082,-0.01575,0.01469,0.01082,-0.01575,0.01469
LARI00ITA,EURA14,2006-12-02 11:59:00,0.01128,-0.01689,0.01827,0.01128,-0.01689,0.01827
LARI00ITA,EURA14,2006-12-03 11:59:00,0.01129,-0.01731,0.01837,0.01129,-0.01731,0.01837
LARI00ITA,EURA14,2006-12-04 11:59:00,0.01199,-0.01823,0.01896,0.01199,-0.01823,0.01896
LARI00ITA,EURA14,2006-12-05 11:59:00,0.01023,-0.01866,0.01871,0.01023,-0.01866,0.01871
LARI00ITA,EURA14,2006-12-06 11:59:00,0.01157,-0.01828,0.01849,0.01157,-0.01828,0.01849
LARI00ITA,EURA14,2006-12-07 11:59:00,0.01103,-0.01673,0.01984,0.01103,-0.01673,0.01984
LARI00ITA,EURA14,2006-12-08 11:59:00,0.01288,-0.01555,0.01964,0.01288,-0.01555,0.01964
