marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LARN00ITA,EURA14,2016-05-03 11:59:00,0.00092,0.00015,0.00491,0.00092,0.00015,0.00491
LARN00ITA,EURA14,2016-05-04 11:59:00,-0.00054,0.00168,0.00305,-0.00054,0.00168,0.00305
LARN00ITA,EURA14,2016-05-05 11:59:00,0.00029,0.00276,0.00659,0.00029,0.00276,0.00659
LARN00ITA,EURA14,2016-05-06 11:59:00,-0.0003,0.00157,0.0015,-0.0003,0.00157,0.0015
LARN00ITA,EURA14,2016-05-07 11:59:00,0.00049,-6e-05,0.00853,0.00049,-6e-05,0.00853
LARN00ITA,EURA14,2016-05-08 11:59:00,-0.00012,0.00284,-0.00394,-0.00012,0.00284,-0.00394
LARN00ITA,EURA14,2016-05-09 11:59:00,0.00015,0.00218,-1e-05,0.00015,0.00218,-1e-05
LARN00ITA,EURA14,2016-05-10 11:59:00,0.00117,0.00206,0.00244,0.00117,0.00206,0.00244
LARN00ITA,EURA14,2016-05-11 11:59:00,0.0002,0.00195,0.00855,0.0002,0.00195,0.00855
LARN00ITA,EURA14,2016-05-12 11:59:00,0.00078,0.00132,-0.00062,0.00078,0.00132,-0.00062
LARN00ITA,EURA14,2016-05-13 11:59:00,-0.00104,-0.00061,0.00836,-0.00104,-0.00061,0.00836
LARN00ITA,EURA14,2016-05-14 11:59:00,-0.00088,0.00109,0.00485,-0.00088,0.00109,0.00485
LARN00ITA,EURA14,2016-05-15 11:59:00,0.00028,0.00225,0.00145,0.00028,0.00225,0.00145
LARN00ITA,EURA14,2016-05-16 11:59:00,0.00222,0.00337,0.00135,0.00222,0.00337,0.00135
LARN00ITA,EURA14,2016-05-17 11:59:00,0.00031,0.00337,-0.0042,0.00031,0.00337,-0.0042
LARN00ITA,EURA14,2016-05-18 11:59:00,-6e-05,0.00166,-0.00377,-6e-05,0.00166,-0.00377
LARN00ITA,EURA14,2016-05-19 11:59:00,-8e-05,0.00164,0.0041,-8e-05,0.00164,0.0041
LARN00ITA,EURA14,2016-05-20 11:59:00,0.00088,0.00174,-0.00063,0.00088,0.00174,-0.00063
LARN00ITA,EURA14,2016-05-21 11:59:00,5e-05,0.00179,0.00034,5e-05,0.00179,0.00034
LARN00ITA,EURA14,2016-05-22 11:59:00,0.00017,0.00243,-0.00062,0.00017,0.00243,-0.00062
LARN00ITA,EURA14,2016-05-23 11:59:00,-0.00372,0.00066,0.00155,-0.00372,0.00066,0.00155
LARN00ITA,EURA14,2016-05-24 11:59:00,-0.00072,0.00235,0.00683,-0.00072,0.00235,0.00683
LARN00ITA,EURA14,2016-05-25 11:59:00,0.00073,0.00193,0.00461,0.00073,0.00193,0.00461
LARN00ITA,EURA14,2016-05-26 11:59:00,0.00019,0.00167,-0.00169,0.00019,0.00167,-0.00169
LARN00ITA,EURA14,2016-05-27 11:59:00,0.00042,0.00126,0.00337,0.00042,0.00126,0.00337
LARN00ITA,EURA14,2016-05-28 11:59:00,0.00056,0.0001,0.00705,0.00056,0.0001,0.00705
LARN00ITA,EURA14,2016-05-29 11:59:00,0.00121,0.00112,0.00203,0.00121,0.00112,0.00203
