marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LNSS00ITA,EURA14,2006-05-30 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
LNSS00ITA,EURA14,2006-05-31 11:59:00,-0.00348,0.00516,-0.01251,-0.00348,0.00516,-0.01251
LNSS00ITA,EURA14,2006-06-01 11:59:00,-0.00475,0.00425,-0.0118,-0.00475,0.00425,-0.0118
LNSS00ITA,EURA14,2006-06-02 11:59:00,-0.00307,0.0047,-0.01461,-0.00307,0.0047,-0.01461
LNSS00ITA,EURA14,2006-06-03 11:59:00,-0.00375,0.00275,-0.01866,-0.00375,0.00275,-0.01866
LNSS00ITA,EURA14,2006-06-04 11:59:00,-0.00439,0.00287,-0.02046,-0.00439,0.00287,-0.02046
LNSS00ITA,EURA14,2006-06-05 11:59:00,-0.0052,0.0053,-0.02741,-0.0052,0.0053,-0.02741
LNSS00ITA,EURA14,2006-06-06 11:59:00,-0.00405,0.00341,-0.02301,-0.00405,0.00341,-0.02301
LNSS00ITA,EURA14,2006-06-07 11:59:00,-0.00421,0.00146,-0.01986,-0.00421,0.00146,-0.01986
LNSS00ITA,EURA14,2006-06-08 11:59:00,-0.0045,0.00323,-0.02267,-0.0045,0.00323,-0.02267
LNSS00ITA,EURA14,2006-06-09 11:59:00,-0.00422,0.00449,-0.01886,-0.00422,0.00449,-0.01886
LNSS00ITA,EURA14,2006-06-10 11:59:00,-0.00345,0.00264,-0.01973,-0.00345,0.00264,-0.01973
LNSS00ITA,EURA14,2006-06-11 11:59:00,-0.00254,0.00419,-0.01531,-0.00254,0.00419,-0.01531
LNSS00ITA,EURA14,2006-06-12 11:59:00,-0.00414,0.0013,-0.0191,-0.00414,0.0013,-0.0191
LNSS00ITA,EURA14,2006-06-13 11:59:00,-0.0036,0.00297,-0.0164,-0.0036,0.00297,-0.0164
LNSS00ITA,EURA14,2006-06-14 11:59:00,-0.00344,0.00292,-0.01869,-0.00344,0.00292,-0.01869
LNSS00ITA,EURA14,2006-06-15 11:59:00,-0.00406,0.00392,-0.02163,-0.00406,0.00392,-0.02163
LNSS00ITA,EURA14,2006-06-16 11:59:00,-0.00302,0.00273,-0.01496,-0.00302,0.00273,-0.01496
LNSS00ITA,EURA14,2006-06-17 11:59:00,-0.00207,0.00272,-0.02085,-0.00207,0.00272,-0.02085
LNSS00ITA,EURA14,2006-06-18 11:59:00,-0.00231,0.00249,-0.00737,-0.00231,0.00249,-0.00737
LNSS00ITA,EURA14,2006-06-19 11:59:00,-0.00153,0.00469,-0.01638,-0.00153,0.00469,-0.01638
LNSS00ITA,EURA14,2006-06-20 11:59:00,-0.00141,0.00258,-0.0127,-0.00141,0.00258,-0.0127
