marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
LPEL00ITA,EURA14,2008-04-11 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
LPEL00ITA,EURA14,2008-04-12 11:59:00,-0.00322,-0.00047,0.01976,-0.00322,-0.00047,0.01976
LPEL00ITA,EURA14,2008-04-13 11:59:00,0.00891,-0.00375,0.01938,0.00891,-0.00375,0.01938
LPEL00ITA,EURA14,2008-04-14 11:59:00,0.00962,-0.0064,0.02252,0.00962,-0.0064,0.02252
LPEL00ITA,EURA14,2008-04-15 11:59:00,0.01081,-0.00652,0.03058,0.01081,-0.00652,0.03058
LPEL00ITA,EURA14,2008-04-16 11:59:00,-0.00308,-0.00237,0.021,-0.00308,-0.00237,0.021
LPEL00ITA,EURA14,2008-04-17 11:59:00,0.00192,-0.00624,0.02347,0.00192,-0.00624,0.02347
LPEL00ITA,EURA14,2008-04-18 11:59:00,0.00435,-0.00459,0.03132,0.00435,-0.00459,0.03132
LPEL00ITA,EURA14,2008-04-19 11:59:00,0.00541,-0.0084,0.03132,0.00541,-0.0084,0.03132
LPEL00ITA,EURA14,2008-04-20 11:59:00,0.00787,-0.00639,0.02719,0.00787,-0.00639,0.02719
LPEL00ITA,EURA14,2008-04-21 11:59:00,0.00881,-0.0046,0.01882,0.00881,-0.0046,0.01882
LPEL00ITA,EURA14,2008-04-22 11:59:00,-0.01514,-0.00538,0.01701,-0.01514,-0.00538,0.01701
LPEL00ITA,EURA14,2008-04-23 11:59:00,0.00934,-0.00501,0.01786,0.00934,-0.00501,0.01786
LPEL00ITA,EURA14,2008-04-24 11:59:00,0.00855,-0.00487,0.01461,0.00855,-0.00487,0.01461
LPEL00ITA,EURA14,2008-04-25 11:59:00,0.00951,-0.00542,0.01959,0.00951,-0.00542,0.01959
LPEL00ITA,EURA14,2008-04-26 11:59:00,0.01065,-0.0098,0.02149,0.01065,-0.0098,0.02149
LPEL00ITA,EURA14,2008-04-27 11:59:00,0.01048,-0.00657,0.02403,0.01048,-0.00657,0.02403
LPEL00ITA,EURA14,2008-04-28 11:59:00,0.00914,-0.0065,0.01916,0.00914,-0.0065,0.01916
LPEL00ITA,EURA14,2008-04-29 11:59:00,0.00832,-0.00592,0.01456,0.00832,-0.00592,0.01456
LPEL00ITA,EURA14,2008-04-30 11:59:00,0.00615,-0.00593,0.01673,0.00615,-0.00593,0.01673
LPEL00ITA,EURA14,2008-05-01 11:59:00,0.00779,-0.00673,0.02083,0.00779,-0.00673,0.02083
LPEL00ITA,EURA14,2008-05-02 11:59:00,0.00802,-0.00685,0.02089,0.00802,-0.00685,0.02089
LPEL00ITA,EURA14,2008-05-03 11:59:00,0.00711,-0.00467,0.01081,0.00711,-0.00467,0.01081
LPEL00ITA,EURA14,2008-05-04 11:59:00,0.00992,-0.00789,0.0289,0.00992,-0.00789,0.0289
LPEL00ITA,EURA14,2008-05-05 11:59:00,0.00503,-0.00567,0.0094,0.00503,-0.00567,0.0094
LPEL00ITA,EURA14,2008-05-06 11:59:00,0.00856,-0.00478,0.01856,0.00856,-0.00478,0.01856
LPEL00ITA,EURA14,2008-05-07 11:59:00,0.00961,-0.00656,0.02184,0.00961,-0.00656,0.02184
LPEL00ITA,EURA14,2008-05-08 11:59:00,0.01096,-0.0062,0.02242,0.01096,-0.0062,0.02242
LPEL00ITA,EURA14,2008-05-09 11:59:00,0.00828,-0.00613,0.02076,0.00828,-0.00613,0.02076
LPEL00ITA,EURA14,2008-05-10 11:59:00,0.00891,-0.00627,0.01788,0.00891,-0.00627,0.01788
LPEL00ITA,EURA14,2008-05-11 11:59:00,0.00916,-0.00646,0.01721,0.00916,-0.00646,0.01721
LPEL00ITA,EURA14,2008-05-12 11:59:00,0.00955,-0.00718,0.02561,0.00955,-0.00718,0.02561
LPEL00ITA,EURA14,2008-05-13 11:59:00,0.00908,-0.00674,0.01989,0.00908,-0.00674,0.01989
LPEL00ITA,EURA14,2008-05-14 11:59:00,0.00816,-0.00649,0.01228,0.00816,-0.00649,0.01228
LPEL00ITA,EURA14,2008-05-15 11:59:00,0.01146,-0.00873,0.0212,0.01146,-0.00873,0.0212
LPEL00ITA,EURA14,2008-05-16 11:59:00,0.00222,-0.00545,0.01042,0.00222,-0.00545,0.01042
LPEL00ITA,EURA14,2008-05-17 11:59:00,0.00991,-0.00578,0.0295,0.00991,-0.00578,0.0295
LPEL00ITA,EURA14,2008-05-18 11:59:00,0.0069,-0.00893,0.0385,0.0069,-0.00893,0.0385
LPEL00ITA,EURA14,2008-05-19 11:59:00,0.01096,-0.00564,0.02259,0.01096,-0.00564,0.02259
LPEL00ITA,EURA14,2008-05-20 11:59:00,0.00888,-0.00512,0.02709,0.00888,-0.00512,0.02709
LPEL00ITA,EURA14,2008-05-21 11:59:00,0.00902,-0.00682,0.02545,0.00902,-0.00682,0.02545
LPEL00ITA,EURA14,2008-05-22 11:59:00,0.01069,-0.00473,0.01615,0.01069,-0.00473,0.01615
LPEL00ITA,EURA14,2008-05-23 11:59:00,0.00863,-0.00879,0.02942,0.00863,-0.00879,0.02942
LPEL00ITA,EURA14,2008-05-24 11:59:00,0.00921,-0.00719,0.0223,0.00921,-0.00719,0.0223
LPEL00ITA,EURA14,2008-05-25 11:59:00,0.00872,-0.00416,0.01173,0.00872,-0.00416,0.01173
LPEL00ITA,EURA14,2008-05-26 11:59:00,0.01015,-0.00599,0.02143,0.01015,-0.00599,0.02143
LPEL00ITA,EURA14,2008-05-27 11:59:00,0.0086,-0.00932,0.03622,0.0086,-0.00932,0.03622
LPEL00ITA,EURA14,2008-05-28 11:59:00,0.00965,-0.00721,0.01896,0.00965,-0.00721,0.01896
LPEL00ITA,EURA14,2008-05-29 11:59:00,0.01642,-0.00733,0.02602,0.01642,-0.00733,0.02602
