marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
M0SE00ITA,EURA14,2004-10-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
M0SE00ITA,EURA14,2004-10-16 11:59:00,-0.0025,0.00149,0.00042,-0.0025,0.00149,0.00042
M0SE00ITA,EURA14,2004-10-17 11:59:00,-0.00214,0.00159,0.00314,-0.00214,0.00159,0.00314
M0SE00ITA,EURA14,2004-10-18 11:59:00,-0.00119,0.00145,0.0036,-0.00119,0.00145,0.0036
M0SE00ITA,EURA14,2004-10-19 11:59:00,-0.00091,0.00223,0.00221,-0.00091,0.00223,0.00221
M0SE00ITA,EURA14,2004-10-20 11:59:00,-0.00097,0.00123,0.00106,-0.00097,0.00123,0.00106
M0SE00ITA,EURA14,2004-10-21 11:59:00,-0.00179,0.0021,0.00122,-0.00179,0.0021,0.00122
M0SE00ITA,EURA14,2004-10-22 11:59:00,-0.00098,0.00225,0.00052,-0.00098,0.00225,0.00052
M0SE00ITA,EURA14,2004-10-23 11:59:00,-0.00152,0.00189,-0.00161,-0.00152,0.00189,-0.00161
M0SE00ITA,EURA14,2004-10-24 11:59:00,-0.00101,0.00112,-0.00207,-0.00101,0.00112,-0.00207
M0SE00ITA,EURA14,2004-10-25 11:59:00,-0.00177,0.00213,0.00064,-0.00177,0.00213,0.00064
M0SE00ITA,EURA14,2004-10-26 11:59:00,-0.00054,0.0019,-0.00159,-0.00054,0.0019,-0.00159
M0SE00ITA,EURA14,2004-10-27 11:59:00,-0.00115,0.00234,0.00119,-0.00115,0.00234,0.00119
M0SE00ITA,EURA14,2004-10-28 11:59:00,-0.0001,0.00118,0.0021,-0.0001,0.00118,0.0021
M0SE00ITA,EURA14,2004-10-29 11:59:00,-0.00125,0.00121,0.00488,-0.00125,0.00121,0.00488
M0SE00ITA,EURA14,2004-10-30 11:59:00,-0.0027,0.00049,0.0014,-0.0027,0.00049,0.0014
M0SE00ITA,EURA14,2004-10-31 11:59:00,-0.00369,0.00304,0.00512,-0.00369,0.00304,0.00512
M0SE00ITA,EURA14,2004-11-01 11:59:00,-0.0014,0.00078,0.00043,-0.0014,0.00078,0.00043
M0SE00ITA,EURA14,2004-11-02 11:59:00,-0.00291,0.00069,-0.00262,-0.00291,0.00069,-0.00262
M0SE00ITA,EURA14,2004-11-03 11:59:00,8e-05,0.0009,-0.00039,8e-05,0.0009,-0.00039
M0SE00ITA,EURA14,2004-11-04 11:59:00,-0.00197,0.00214,0.00323,-0.00197,0.00214,0.00323
M0SE00ITA,EURA14,2004-11-05 11:59:00,-0.00146,0.00216,0.00073,-0.00146,0.00216,0.00073
M0SE00ITA,EURA14,2004-11-06 11:59:00,-0.00249,0.00356,-0.00063,-0.00249,0.00356,-0.00063
M0SE00ITA,EURA14,2004-11-07 11:59:00,-0.00187,0.00184,0.00293,-0.00187,0.00184,0.00293
M0SE00ITA,EURA14,2004-11-08 11:59:00,-0.001155,0.0022849999999999997,0.0019649999999999997,-0.001155,0.0022849999999999997,0.0019649999999999997
M0SE00ITA,EURA14,2004-11-09 11:59:00,-0.00044,0.00273,0.001,-0.00044,0.00273,0.001
M0SE00ITA,EURA14,2004-11-10 11:59:00,2e-05,0.00251,0.00336,2e-05,0.00251,0.00336
M0SE00ITA,EURA14,2004-11-11 11:59:00,-0.00155,0.00249,-0.0005,-0.00155,0.00249,-0.0005
M0SE00ITA,EURA14,2004-11-12 11:59:00,0.00052,0.00274,0.00422,0.00052,0.00274,0.00422
M0SE00ITA,EURA14,2004-11-13 11:59:00,-0.00141,0.00305,0.00217,-0.00141,0.00305,0.00217
M0SE00ITA,EURA14,2004-11-14 11:59:00,-0.00064,0.00301,0.00146,-0.00064,0.00301,0.00146
M0SE00ITA,EURA14,2004-11-15 11:59:00,-8e-05,0.00274,0.00105,-8e-05,0.00274,0.00105
