marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MACE01ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MACE01ITA,EURA14,2012-01-21 11:59:00,0.00034,0.00036,0.00084,0.00034,0.00036,0.00084
MACE01ITA,EURA14,2012-01-22 11:59:00,0.00107,-0.00012,0.00227,0.00107,-0.00012,0.00227
MACE01ITA,EURA14,2012-01-23 11:59:00,-0.00038,-0.00051,0.00115,-0.00038,-0.00051,0.00115
MACE01ITA,EURA14,2012-01-24 11:59:00,-0.00057,-0.00069,-0.00319,-0.00057,-0.00069,-0.00319
MACE01ITA,EURA14,2012-01-25 11:59:00,0.00072,-0.00173,-0.00098,0.00072,-0.00173,-0.00098
MACE01ITA,EURA14,2012-01-26 11:59:00,-8e-05,-9e-05,-0.00285,-8e-05,-9e-05,-0.00285
MACE01ITA,EURA14,2012-01-27 11:59:00,-0.0003,0.00016,-0.0039,-0.0003,0.00016,-0.0039
MACE01ITA,EURA14,2012-01-31 11:59:00,0.00104,0.00061,-0.00257,0.00104,0.00061,-0.00257
MACE01ITA,EURA14,2012-02-01 11:59:00,0.00249,-0.00462,0.00035,0.00249,-0.00462,0.00035
MACE01ITA,EURA14,2012-02-02 11:59:00,0.00253,0.00017,-0.00071,0.00253,0.00017,-0.00071
MACE01ITA,EURA14,2012-02-03 11:59:00,0.00035,-0.00031,0.00077,0.00035,-0.00031,0.00077
MACE01ITA,EURA14,2012-02-04 11:59:00,0.00133,-0.00062,0.003,0.00133,-0.00062,0.003
MACE01ITA,EURA14,2012-02-05 11:59:00,0.00022,-0.00061,-0.0024,0.00022,-0.00061,-0.0024
MACE01ITA,EURA14,2012-02-06 11:59:00,0.00021,0.00048,0.00213,0.00021,0.00048,0.00213
MACE01ITA,EURA14,2012-02-07 11:59:00,0.00031,-0.00301,0.00895,0.00031,-0.00301,0.00895
MACE01ITA,EURA14,2012-02-08 11:59:00,0.00137,-0.00036,-0.00013,0.00137,-0.00036,-0.00013
MACE01ITA,EURA14,2012-02-09 11:59:00,-0.00046,0.00145,-0.00642,-0.00046,0.00145,-0.00642
MACE01ITA,EURA14,2012-02-10 11:59:00,-0.00242,-0.00279,-0.00443,-0.00242,-0.00279,-0.00443
MACE01ITA,EURA14,2012-02-11 11:59:00,-0.0004,-0.00081,0.00446,-0.0004,-0.00081,0.00446
MACE01ITA,EURA14,2012-02-12 11:59:00,-7e-05,0.00186,0.00165,-7e-05,0.00186,0.00165
MACE01ITA,EURA14,2012-02-13 11:59:00,-0.00089,0.00192,0.00024,-0.00089,0.00192,0.00024
MACE01ITA,EURA14,2012-02-14 11:59:00,-0.00115,0.00012,0.00012,-0.00115,0.00012,0.00012
MACE01ITA,EURA14,2012-02-15 11:59:00,0.00074,-0.00033,-0.00185,0.00074,-0.00033,-0.00185
MACE01ITA,EURA14,2012-02-16 11:59:00,-0.00045,-0.00039,0.00449,-0.00045,-0.00039,0.00449
MACE01ITA,EURA14,2012-02-17 11:59:00,-0.00027,0.00035,0.00194,-0.00027,0.00035,0.00194
MACE01ITA,EURA14,2012-02-18 11:59:00,0.00082,-0.0002,-0.00327,0.00082,-0.0002,-0.00327
MACE01ITA,EURA14,2012-02-19 11:59:00,0.00024,0.00055,0.00028,0.00024,0.00055,0.00028
MACE01ITA,EURA14,2012-02-20 11:59:00,-0.00112,-0.00064,-0.00386,-0.00112,-0.00064,-0.00386
MACE01ITA,EURA14,2012-02-21 11:59:00,0.00034,-0.00016,-0.00419,0.00034,-0.00016,-0.00419
MACE01ITA,EURA14,2012-02-22 11:59:00,0.00018,-0.00078,-0.00235,0.00018,-0.00078,-0.00235
