marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MAGL00ITA,EURA14,2012-01-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MAGL00ITA,EURA14,2012-01-26 11:59:00,0.00071,-0.00068,-0.00024,0.00071,-0.00068,-0.00024
MAGL00ITA,EURA14,2012-01-27 11:59:00,0.00081,-0.00012,0.00042,0.00081,-0.00012,0.00042
MAGL00ITA,EURA14,2012-01-31 11:59:00,0.00212,-0.00018,-0.00161,0.00212,-0.00018,-0.00161
MAGL00ITA,EURA14,2012-02-01 11:59:00,0.00256,0.00131,-0.00932,0.00256,0.00131,-0.00932
MAGL00ITA,EURA14,2012-02-06 11:59:00,0.0008,0.00167,0.00076,0.0008,0.00167,0.00076
MAGL00ITA,EURA14,2012-02-07 11:59:00,0.00054,0.00127,-0.00023,0.00054,0.00127,-0.00023
MAGL00ITA,EURA14,2012-02-08 11:59:00,0.0015049999999999998,0.000905,-0.003995,0.0015049999999999998,0.000905,-0.003995
MAGL00ITA,EURA14,2012-02-09 11:59:00,0.00247,0.00054,-0.00776,0.00247,0.00054,-0.00776
MAGL00ITA,EURA14,2012-02-10 11:59:00,-4e-05,-0.00065,-0.00409,-4e-05,-0.00065,-0.00409
MAGL00ITA,EURA14,2012-02-16 11:59:00,0.00037,-0.00109,0.00056,0.00037,-0.00109,0.00056
MAGL00ITA,EURA14,2012-02-21 11:59:00,0.00146,0.00092,-0.00687,0.00146,0.00092,-0.00687
MAGL00ITA,EURA14,2012-02-22 11:59:00,0.00149,-0.00081,-0.00624,0.00149,-0.00081,-0.00624
MAGL00ITA,EURA14,2012-02-23 11:59:00,0.00232,-0.00026,-0.00425,0.00232,-0.00026,-0.00425
MAGL00ITA,EURA14,2012-02-24 11:59:00,0.00127,-0.00152,-0.00239,0.00127,-0.00152,-0.00239
MAGL00ITA,EURA14,2012-02-25 11:59:00,0.00031,-0.0013,0.00052,0.00031,-0.0013,0.00052
MAGL00ITA,EURA14,2012-02-26 11:59:00,-6e-05,-7e-05,-0.00041,-6e-05,-7e-05,-0.00041
MAGL00ITA,EURA14,2012-02-27 11:59:00,-0.00073,-0.00054,-0.00084,-0.00073,-0.00054,-0.00084
