marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MANO00ITA,EURA14,2011-02-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MANO00ITA,EURA14,2011-02-15 11:59:00,-0.01048,-0.00432,0.00508,-0.01048,-0.00432,0.00508
MANO00ITA,EURA14,2011-02-16 11:59:00,-0.01077,-0.00711,0.01187,-0.01077,-0.00711,0.01187
MANO00ITA,EURA14,2011-02-17 11:59:00,-0.01324,-0.00582,0.01414,-0.01324,-0.00582,0.01414
MANO00ITA,EURA14,2011-02-18 11:59:00,-0.01128,-0.00548,0.01665,-0.01128,-0.00548,0.01665
MANO00ITA,EURA14,2011-02-19 11:59:00,-0.0124,-0.00531,0.01037,-0.0124,-0.00531,0.01037
MANO00ITA,EURA14,2011-02-20 11:59:00,-0.012,-0.00418,0.00884,-0.012,-0.00418,0.00884
MANO00ITA,EURA14,2011-02-21 11:59:00,-0.01227,-0.00765,0.00911,-0.01227,-0.00765,0.00911
MANO00ITA,EURA14,2011-02-22 11:59:00,-0.0124,-0.00457,0.00616,-0.0124,-0.00457,0.00616
MANO00ITA,EURA14,2011-02-23 11:59:00,-0.012795,-0.0052250000000000005,0.00601,-0.012795,-0.0052250000000000005,0.00601
MANO00ITA,EURA14,2011-02-24 11:59:00,-0.01319,-0.00588,0.00586,-0.01319,-0.00588,0.00586
MANO00ITA,EURA14,2011-02-25 11:59:00,-0.01304,-0.00486,0.00479,-0.01304,-0.00486,0.00479
MANO00ITA,EURA14,2011-02-26 11:59:00,-0.00906,-0.00355,-0.00104,-0.00906,-0.00355,-0.00104
MANO00ITA,EURA14,2011-02-27 11:59:00,-0.01272,-0.00518,0.00821,-0.01272,-0.00518,0.00821
MANO00ITA,EURA14,2011-02-28 11:59:00,-0.01264,-0.00786,0.00962,-0.01264,-0.00786,0.00962
MANO00ITA,EURA14,2011-03-01 11:59:00,-0.00954,-0.00678,-0.00111,-0.00954,-0.00678,-0.00111
MANO00ITA,EURA14,2011-03-02 11:59:00,-0.01206,-0.00711,0.01135,-0.01206,-0.00711,0.01135
MANO00ITA,EURA14,2011-03-03 11:59:00,-0.01086,-0.00825,0.01036,-0.01086,-0.00825,0.01036
