marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MGAB00ITA,EURA14,2008-04-03 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MGAB00ITA,EURA14,2008-04-04 11:59:00,0.00034,0.00054,0.00348,0.00034,0.00054,0.00348
MGAB00ITA,EURA14,2008-04-05 11:59:00,0.00123,-0.00032,0.0055,0.00123,-0.00032,0.0055
MGAB00ITA,EURA14,2008-04-06 11:59:00,6e-05,-0.00291,0.01724,6e-05,-0.00291,0.01724
MGAB00ITA,EURA14,2008-04-07 11:59:00,0.00409,0.00108,0.01331,0.00409,0.00108,0.01331
MGAB00ITA,EURA14,2008-04-08 11:59:00,0.00125,-0.0021,0.00624,0.00125,-0.0021,0.00624
MGAB00ITA,EURA14,2008-04-09 11:59:00,0.00116,-0.002,0.00922,0.00116,-0.002,0.00922
MGAB00ITA,EURA14,2008-04-10 11:59:00,0.00363,0.00084,0.0154,0.00363,0.00084,0.0154
MGAB00ITA,EURA14,2008-04-11 11:59:00,0.00761,8e-05,0.01375,0.00761,8e-05,0.01375
MGAB00ITA,EURA14,2008-04-12 11:59:00,0.00318,-0.0002,0.00156,0.00318,-0.0002,0.00156
MGAB00ITA,EURA14,2008-04-13 11:59:00,0.00119,-0.0004,0.00062,0.00119,-0.0004,0.00062
MGAB00ITA,EURA14,2008-04-14 11:59:00,-0.00042,-0.00041,0.00125,-0.00042,-0.00041,0.00125
MGAB00ITA,EURA14,2008-04-15 11:59:00,0.00082,-0.00211,0.00375,0.00082,-0.00211,0.00375
MGAB00ITA,EURA14,2008-04-16 11:59:00,0.00111,-0.00193,0.00889,0.00111,-0.00193,0.00889
MGAB00ITA,EURA14,2008-04-17 11:59:00,0.00139,-0.00188,0.013,0.00139,-0.00188,0.013
MGAB00ITA,EURA14,2008-04-18 11:59:00,0.00386,-0.00167,0.01477,0.00386,-0.00167,0.01477
MGAB00ITA,EURA14,2008-04-19 11:59:00,0.00089,-0.00122,0.02041,0.00089,-0.00122,0.02041
MGAB00ITA,EURA14,2008-04-20 11:59:00,0.00072,-0.00142,0.00632,0.00072,-0.00142,0.00632
MGAB00ITA,EURA14,2008-04-21 11:59:00,0.00192,-8e-05,0.0115,0.00192,-8e-05,0.0115
MGAB00ITA,EURA14,2008-04-22 11:59:00,5e-05,-0.00165,0.00939,5e-05,-0.00165,0.00939
MGAB00ITA,EURA14,2008-04-23 11:59:00,9e-05,-0.00165,0.00855,9e-05,-0.00165,0.00855
MGAB00ITA,EURA14,2008-04-24 11:59:00,0.00082,-0.00132,0.00617,0.00082,-0.00132,0.00617
MGAB00ITA,EURA14,2008-04-25 11:59:00,0.00189,-0.0004,0.00991,0.00189,-0.0004,0.00991
MGAB00ITA,EURA14,2008-04-26 11:59:00,-0.0009,0.00075,-0.00141,-0.0009,0.00075,-0.00141
MGAB00ITA,EURA14,2008-04-27 11:59:00,0.0008,0.0005,0.00544,0.0008,0.0005,0.00544
MGAB00ITA,EURA14,2008-04-28 11:59:00,0.00075,-0.00155,0.00409,0.00075,-0.00155,0.00409
MGAB00ITA,EURA14,2008-04-29 11:59:00,-0.00023,-0.00278,0.00308,-0.00023,-0.00278,0.00308
MGAB00ITA,EURA14,2008-04-30 11:59:00,0.0012,-0.00173,0.00775,0.0012,-0.00173,0.00775
MGAB00ITA,EURA14,2008-05-01 11:59:00,0.00078,0.00022,0.00103,0.00078,0.00022,0.00103
MGAB00ITA,EURA14,2008-05-02 11:59:00,0.00013,0.00016,0.00972,0.00013,0.00016,0.00972
MGAB00ITA,EURA14,2008-05-03 11:59:00,-0.00109,-0.00044,0.00945,-0.00109,-0.00044,0.00945
MGAB00ITA,EURA14,2008-05-04 11:59:00,0.00025,-0.00065,0.00779,0.00025,-0.00065,0.00779
MGAB00ITA,EURA14,2008-05-05 11:59:00,-6e-05,0.00012,0.0099,-6e-05,0.00012,0.0099
MGAB00ITA,EURA14,2008-05-06 11:59:00,8e-05,-0.00157,0.00514,8e-05,-0.00157,0.00514
MGAB00ITA,EURA14,2008-05-07 11:59:00,0.00147,-0.00102,0.00709,0.00147,-0.00102,0.00709
MGAB00ITA,EURA14,2008-05-08 11:59:00,0.0004,-0.00117,0.00918,0.0004,-0.00117,0.00918
MGAB00ITA,EURA14,2008-05-09 11:59:00,0.00114,-0.00135,0.00478,0.00114,-0.00135,0.00478
MGAB00ITA,EURA14,2008-05-10 11:59:00,-0.00046,-0.00163,0.00997,-0.00046,-0.00163,0.00997
MGAB00ITA,EURA14,2008-05-11 11:59:00,-0.00046,-0.00092,0.00785,-0.00046,-0.00092,0.00785
MGAB00ITA,EURA14,2008-05-12 11:59:00,0.00059,-0.00075,0.00843,0.00059,-0.00075,0.00843
MGAB00ITA,EURA14,2008-05-13 11:59:00,0.00133,-0.00263,0.01039,0.00133,-0.00263,0.01039
MGAB00ITA,EURA14,2008-05-14 11:59:00,0.0006,0.00036,0.00243,0.0006,0.00036,0.00243
MGAB00ITA,EURA14,2008-05-15 11:59:00,-0.00114,-0.0019,0.00853,-0.00114,-0.0019,0.00853
MGAB00ITA,EURA14,2008-05-16 11:59:00,0.00108,-0.00259,0.00899,0.00108,-0.00259,0.00899
MGAB00ITA,EURA14,2008-05-17 11:59:00,0.00044,-0.00122,0.00867,0.00044,-0.00122,0.00867
MGAB00ITA,EURA14,2008-05-18 11:59:00,0.0006,-0.00108,0.01406,0.0006,-0.00108,0.01406
MGAB00ITA,EURA14,2008-05-19 11:59:00,0.00149,-0.00128,0.0136,0.00149,-0.00128,0.0136
MGAB00ITA,EURA14,2008-05-20 11:59:00,-0.00039,-0.00022,0.01708,-0.00039,-0.00022,0.01708
MGAB00ITA,EURA14,2008-05-21 11:59:00,0.00047,-0.00079,0.00913,0.00047,-0.00079,0.00913
MGAB00ITA,EURA14,2008-05-22 11:59:00,3e-05,-0.00101,0.00586,3e-05,-0.00101,0.00586
MGAB00ITA,EURA14,2008-05-23 11:59:00,0.0012,-0.00321,0.01166,0.0012,-0.00321,0.01166
MGAB00ITA,EURA14,2008-05-24 11:59:00,-0.00037,-0.00235,0.00597,-0.00037,-0.00235,0.00597
MGAB00ITA,EURA14,2008-05-25 11:59:00,0.00082,-0.00217,0.00681,0.00082,-0.00217,0.00681
MGAB00ITA,EURA14,2008-05-26 11:59:00,0.00028,-0.00145,0.00948,0.00028,-0.00145,0.00948
MGAB00ITA,EURA14,2008-05-27 11:59:00,-0.00212,-0.00152,0.00389,-0.00212,-0.00152,0.00389
MGAB00ITA,EURA14,2008-05-28 11:59:00,-5e-05,-0.00125,0.00669,-5e-05,-0.00125,0.00669
MGAB00ITA,EURA14,2008-05-29 11:59:00,-0.00047,-0.00248,0.01021,-0.00047,-0.00248,0.01021
MGAB00ITA,EURA14,2008-05-30 11:59:00,0.00109,-0.00217,0.0059,0.00109,-0.00217,0.0059
MGAB00ITA,EURA14,2008-05-31 11:59:00,0.00031,-0.00105,0.00423,0.00031,-0.00105,0.00423
MGAB00ITA,EURA14,2008-06-01 11:59:00,0.00098,-0.00148,0.0096,0.00098,-0.00148,0.0096
