marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MLAG00ITA,EURA14,2012-08-03 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MLAG00ITA,EURA14,2012-08-04 11:59:00,-0.0004,-0.0003,0.00965,-0.0004,-0.0003,0.00965
MLAG00ITA,EURA14,2012-08-05 11:59:00,0.00209,0.00055,0.00438,0.00209,0.00055,0.00438
MLAG00ITA,EURA14,2012-08-06 11:59:00,-0.00061,-0.00302,-0.00134,-0.00061,-0.00302,-0.00134
MLAG00ITA,EURA14,2012-08-07 11:59:00,-0.00078,0.0012,0.00422,-0.00078,0.0012,0.00422
MLAG00ITA,EURA14,2012-08-08 11:59:00,0.00027,0.00024,0.00495,0.00027,0.00024,0.00495
MLAG00ITA,EURA14,2012-08-09 11:59:00,0.00148,-0.00043,0.01092,0.00148,-0.00043,0.01092
MLAG00ITA,EURA14,2012-08-10 11:59:00,-0.00208,0.0012,0.0087,-0.00208,0.0012,0.0087
MLAG00ITA,EURA14,2012-08-11 11:59:00,0.00109,0.00196,0.00372,0.00109,0.00196,0.00372
MLAG00ITA,EURA14,2012-08-12 11:59:00,0.0003,-0.00117,0.00498,0.0003,-0.00117,0.00498
MLAG00ITA,EURA14,2012-08-13 11:59:00,0.00035,-0.00109,0.00441,0.00035,-0.00109,0.00441
MLAG00ITA,EURA14,2012-08-14 11:59:00,0.00169,0.00022,0.01477,0.00169,0.00022,0.01477
MLAG00ITA,EURA14,2012-08-15 11:59:00,-0.00097,0.00147,0.00415,-0.00097,0.00147,0.00415
MLAG00ITA,EURA14,2012-08-16 11:59:00,0.00083,0.00028,-0.00309,0.00083,0.00028,-0.00309
MLAG00ITA,EURA14,2012-08-17 11:59:00,0.00335,0.00147,-0.00013,0.00335,0.00147,-0.00013
MLAG00ITA,EURA14,2012-08-18 11:59:00,0.00062,3e-05,0.00745,0.00062,3e-05,0.00745
MLAG00ITA,EURA14,2012-08-19 11:59:00,0.00096,0.00109,0.00609,0.00096,0.00109,0.00609
MLAG00ITA,EURA14,2012-08-20 11:59:00,0.00151,-0.0008,0.00671,0.00151,-0.0008,0.00671
MLAG00ITA,EURA14,2012-08-21 11:59:00,0.00145,0.00055,0.00633,0.00145,0.00055,0.00633
MLAG00ITA,EURA14,2012-08-22 11:59:00,0.00048,0.0013,0.00935,0.00048,0.0013,0.00935
MLAG00ITA,EURA14,2012-08-23 11:59:00,0.00167,0.00032,-0.00104,0.00167,0.00032,-0.00104
MLAG00ITA,EURA14,2012-08-24 11:59:00,0.0008,-0.00199,0.02772,0.0008,-0.00199,0.02772
MLAG00ITA,EURA14,2012-08-25 11:59:00,0.00151,0.00115,0.00622,0.00151,0.00115,0.00622
MLAG00ITA,EURA14,2012-08-26 11:59:00,-0.00191,0.0046,0.00152,-0.00191,0.0046,0.00152
MLAG00ITA,EURA14,2012-08-27 11:59:00,0.00104,0.00056,0.00607,0.00104,0.00056,0.00607
MLAG00ITA,EURA14,2012-08-28 11:59:00,0.00116,-0.00162,0.0052,0.00116,-0.00162,0.0052
MLAG00ITA,EURA14,2012-08-29 11:59:00,-0.00012,-0.00196,0.00906,-0.00012,-0.00196,0.00906
MLAG00ITA,EURA14,2012-08-30 11:59:00,-0.00254,0.00097,-0.00562,-0.00254,0.00097,-0.00562
MLAG00ITA,EURA14,2012-08-31 11:59:00,-0.00203,-0.00437,0.00108,-0.00203,-0.00437,0.00108
MLAG00ITA,EURA14,2012-09-01 11:59:00,0.00323,0.00062,0.02166,0.00323,0.00062,0.02166
MLAG00ITA,EURA14,2012-09-02 11:59:00,-0.00064,-0.00177,0.00744,-0.00064,-0.00177,0.00744
MLAG00ITA,EURA14,2012-09-03 11:59:00,0.0012,0.00036,-0.0008,0.0012,0.00036,-0.0008
MLAG00ITA,EURA14,2012-09-04 11:59:00,0.001,-0.00129,0.0086,0.001,-0.00129,0.0086
MLAG00ITA,EURA14,2012-09-05 11:59:00,-7e-05,-0.00018,-0.00128,-7e-05,-0.00018,-0.00128
MLAG00ITA,EURA14,2012-09-06 11:59:00,-0.00241,-0.00122,0.00369,-0.00241,-0.00122,0.00369
MLAG00ITA,EURA14,2012-09-07 11:59:00,0.00117,-0.00028,0.00371,0.00117,-0.00028,0.00371
MLAG00ITA,EURA14,2012-09-08 11:59:00,0.00117,0.00134,0.00236,0.00117,0.00134,0.00236
MLAG00ITA,EURA14,2012-09-09 11:59:00,0.00159,-0.00202,0.00643,0.00159,-0.00202,0.00643
MLAG00ITA,EURA14,2012-09-10 11:59:00,0.00067,0.0,0.0082,0.00067,0.0,0.0082
MLAG00ITA,EURA14,2012-09-11 11:59:00,-0.00022,0.00094,0.00544,-0.00022,0.00094,0.00544
MLAG00ITA,EURA14,2012-09-12 11:59:00,-0.00179,-0.00336,0.00796,-0.00179,-0.00336,0.00796
MLAG00ITA,EURA14,2012-09-13 11:59:00,-0.00154,-0.00131,0.00463,-0.00154,-0.00131,0.00463
MLAG00ITA,EURA14,2012-09-14 11:59:00,-0.00231,-0.00078,0.00416,-0.00231,-0.00078,0.00416
MLAG00ITA,EURA14,2012-09-15 11:59:00,-0.00038,-0.00086,0.00646,-0.00038,-0.00086,0.00646
MLAG00ITA,EURA14,2012-09-16 11:59:00,-0.00106,0.00023,0.00583,-0.00106,0.00023,0.00583
MLAG00ITA,EURA14,2012-09-17 11:59:00,0.0003,-0.0016,0.00307,0.0003,-0.0016,0.00307
MLAG00ITA,EURA14,2012-09-18 11:59:00,0.0023,-0.0015,0.00447,0.0023,-0.0015,0.00447
MLAG00ITA,EURA14,2012-09-19 11:59:00,0.00214,0.00022,0.00201,0.00214,0.00022,0.00201
MLAG00ITA,EURA14,2012-09-20 11:59:00,0.00099,5e-05,0.00789,0.00099,5e-05,0.00789
MLAG00ITA,EURA14,2012-09-21 11:59:00,0.00162,-0.00134,0.00272,0.00162,-0.00134,0.00272
MLAG00ITA,EURA14,2012-09-22 11:59:00,-0.00275,-0.00185,0.00122,-0.00275,-0.00185,0.00122
MLAG00ITA,EURA14,2012-09-23 11:59:00,0.00251,0.00201,0.00423,0.00251,0.00201,0.00423
MLAG00ITA,EURA14,2012-09-24 11:59:00,0.00306,-0.00373,-0.00036,0.00306,-0.00373,-0.00036
MLAG00ITA,EURA14,2012-09-25 11:59:00,0.00107,0.00363,-0.01558,0.00107,0.00363,-0.01558
MLAG00ITA,EURA14,2012-09-26 11:59:00,-0.0009,-0.00717,-0.02325,-0.0009,-0.00717,-0.02325
MLAG00ITA,EURA14,2012-09-27 11:59:00,-0.00176,-0.00736,0.01326,-0.00176,-0.00736,0.01326
