marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MOCA01ITA,EURA14,2012-09-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MOCA01ITA,EURA14,2012-09-19 11:59:00,-0.00061,0.0011,0.00164,-0.00061,0.0011,0.00164
MOCA01ITA,EURA14,2012-09-20 11:59:00,0.00134,0.00185,-0.00077,0.00134,0.00185,-0.00077
MOCA01ITA,EURA14,2012-09-21 11:59:00,0.00152,0.00174,0.00075,0.00152,0.00174,0.00075
MOCA01ITA,EURA14,2012-09-22 11:59:00,0.00056,0.00143,0.00433,0.00056,0.00143,0.00433
MOCA01ITA,EURA14,2012-09-23 11:59:00,0.00147,0.00104,3e-05,0.00147,0.00104,3e-05
MOCA01ITA,EURA14,2012-09-24 11:59:00,0.00076,-4e-05,0.00625,0.00076,-4e-05,0.00625
MOCA01ITA,EURA14,2012-09-25 11:59:00,0.00038,0.00224,-0.00154,0.00038,0.00224,-0.00154
MOCA01ITA,EURA14,2012-09-26 11:59:00,0.00153,9e-05,0.01317,0.00153,9e-05,0.01317
MOCA01ITA,EURA14,2012-09-27 11:59:00,0.00065,0.00108,0.0019,0.00065,0.00108,0.0019
MOCA01ITA,EURA14,2012-09-28 11:59:00,0.00169,0.00079,0.00263,0.00169,0.00079,0.00263
MOCA01ITA,EURA14,2012-09-29 11:59:00,0.00238,0.00098,0.00502,0.00238,0.00098,0.00502
MOCA01ITA,EURA14,2012-09-30 11:59:00,0.00097,0.00099,0.01047,0.00097,0.00099,0.01047
MOCA01ITA,EURA14,2012-10-01 11:59:00,0.00226,0.00133,0.00173,0.00226,0.00133,0.00173
MOCA01ITA,EURA14,2012-10-02 11:59:00,0.00145,0.00082,0.00305,0.00145,0.00082,0.00305
MOCA01ITA,EURA14,2012-10-03 11:59:00,0.00135,0.00143,0.00352,0.00135,0.00143,0.00352
MOCA01ITA,EURA14,2012-10-04 11:59:00,0.00129,0.00118,-0.00068,0.00129,0.00118,-0.00068
MOCA01ITA,EURA14,2012-10-05 11:59:00,0.00106,0.00147,-0.00175,0.00106,0.00147,-0.00175
MOCA01ITA,EURA14,2012-10-06 11:59:00,0.00074,0.00074,0.00381,0.00074,0.00074,0.00381
MOCA01ITA,EURA14,2012-10-07 11:59:00,0.00099,0.00053,0.00715,0.00099,0.00053,0.00715
MOCA01ITA,EURA14,2012-10-08 11:59:00,0.00035,0.00159,0.00214,0.00035,0.00159,0.00214
MOCA01ITA,EURA14,2012-10-09 11:59:00,0.00103,0.00049,0.00708,0.00103,0.00049,0.00708
MOCA01ITA,EURA14,2012-10-10 11:59:00,0.00106,0.00186,0.00633,0.00106,0.00186,0.00633
MOCA01ITA,EURA14,2012-10-11 11:59:00,6e-05,0.00108,0.01076,6e-05,0.00108,0.01076
MOCA01ITA,EURA14,2012-10-12 11:59:00,0.00109,0.00137,0.00967,0.00109,0.00137,0.00967
MOCA01ITA,EURA14,2012-10-13 11:59:00,0.00228,0.00248,0.0023,0.00228,0.00248,0.0023
MOCA01ITA,EURA14,2012-10-14 11:59:00,0.00182,0.00222,0.00446,0.00182,0.00222,0.00446
MOCA01ITA,EURA14,2012-10-15 11:59:00,0.00015,0.00051,0.01319,0.00015,0.00051,0.01319
MOCA01ITA,EURA14,2012-10-16 11:59:00,0.00036,0.00186,0.00447,0.00036,0.00186,0.00447
MOCA01ITA,EURA14,2012-10-17 11:59:00,0.00169,0.00153,0.00143,0.00169,0.00153,0.00143
MOCA01ITA,EURA14,2012-10-18 11:59:00,0.00236,0.00161,4e-05,0.00236,0.00161,4e-05
MOCA01ITA,EURA14,2012-10-19 11:59:00,0.00146,0.00155,0.00295,0.00146,0.00155,0.00295
MOCA01ITA,EURA14,2012-10-20 11:59:00,0.00201,0.00205,0.00148,0.00201,0.00205,0.00148
MOCA01ITA,EURA14,2012-10-21 11:59:00,0.00081,0.00204,0.00635,0.00081,0.00204,0.00635
MOCA01ITA,EURA14,2012-10-22 11:59:00,0.00115,0.00184,0.00594,0.00115,0.00184,0.00594
MOCA01ITA,EURA14,2012-10-23 11:59:00,0.00168,0.00089,-0.00092,0.00168,0.00089,-0.00092
MOCA01ITA,EURA14,2012-10-24 11:59:00,0.00112,0.00179,-0.00094,0.00112,0.00179,-0.00094
MOCA01ITA,EURA14,2012-10-25 11:59:00,0.0006,0.00159,0.00278,0.0006,0.00159,0.00278
MOCA01ITA,EURA14,2012-10-26 11:59:00,0.00114,0.00034,0.0042,0.00114,0.00034,0.0042
MOCA01ITA,EURA14,2012-10-27 11:59:00,0.00182,0.00323,0.01076,0.00182,0.00323,0.01076
MOCA01ITA,EURA14,2012-10-28 11:59:00,0.00165,0.00196,0.00553,0.00165,0.00196,0.00553
MOCA01ITA,EURA14,2012-10-29 11:59:00,0.00085,0.00286,0.00071,0.00085,0.00286,0.00071
MOCA01ITA,EURA14,2012-10-30 11:59:00,0.0019,0.00215,0.00189,0.0019,0.00215,0.00189
