marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MOIE00ITA,EURA14,2005-02-19 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MOIE00ITA,EURA14,2005-02-20 11:59:00,0.001135,0.000875,0.005375,0.001135,0.000875,0.005375
MOIE00ITA,EURA14,2005-02-21 11:59:00,0.00227,0.00175,0.01075,0.00227,0.00175,0.01075
MOIE00ITA,EURA14,2005-02-25 11:59:00,0.00082,0.00131,-0.00469,0.00082,0.00131,-0.00469
MOIE00ITA,EURA14,2005-02-26 11:59:00,-0.00024,0.0003,-0.00434,-0.00024,0.0003,-0.00434
MOIE00ITA,EURA14,2005-02-27 11:59:00,-0.00042,-0.00021,-0.00314,-0.00042,-0.00021,-0.00314
MOIE00ITA,EURA14,2005-02-28 11:59:00,-0.0012499999999999998,-0.0005499999999999999,-0.004775,-0.0012499999999999998,-0.0005499999999999999,-0.004775
MOIE00ITA,EURA14,2005-03-01 11:59:00,-0.00208,-0.00089,-0.00641,-0.00208,-0.00089,-0.00641
MOIE00ITA,EURA14,2005-03-02 11:59:00,-0.00148,0.00023,-0.00625,-0.00148,0.00023,-0.00625
MOIE00ITA,EURA14,2005-03-03 11:59:00,-0.00114,-2e-05,-0.00622,-0.00114,-2e-05,-0.00622
MOIE00ITA,EURA14,2005-03-04 11:59:00,-0.00072,0.00148,-0.00442,-0.00072,0.00148,-0.00442
MOIE00ITA,EURA14,2005-03-05 11:59:00,-0.00111,-0.00013,-0.0032,-0.00111,-0.00013,-0.0032
MOIE00ITA,EURA14,2005-03-06 11:59:00,-0.00014,0.00117,0.00125,-0.00014,0.00117,0.00125
MOIE00ITA,EURA14,2005-03-07 11:59:00,-0.00041000000000000005,0.00191,0.000795,-0.00041000000000000005,0.00191,0.000795
MOIE00ITA,EURA14,2005-03-08 11:59:00,-0.00068,0.00265,0.00034,-0.00068,0.00265,0.00034
MOIE00ITA,EURA14,2005-03-09 11:59:00,-0.00049,-0.00108,-0.00638,-0.00049,-0.00108,-0.00638
MOIE00ITA,EURA14,2005-03-10 11:59:00,-0.00064,0.00078,-0.00816,-0.00064,0.00078,-0.00816
