marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MOMA00ITA,EURA14,2020-10-26 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MOMA00ITA,EURA14,2020-10-27 11:59:00,-0.00193,-0.00674,-0.00635,-0.00193,-0.00674,-0.00635
MOMA00ITA,EURA14,2020-10-28 11:59:00,-0.00309,-0.00772,-0.00869,-0.00309,-0.00772,-0.00869
MOMA00ITA,EURA14,2020-10-29 11:59:00,-0.00267,-0.00597,-0.00295,-0.00267,-0.00597,-0.00295
MOMA00ITA,EURA14,2020-10-30 11:59:00,-0.00326,-0.00659,-0.0071,-0.00326,-0.00659,-0.0071
MOMA00ITA,EURA14,2020-10-31 11:59:00,-0.00322,-0.00568,-0.00112,-0.00322,-0.00568,-0.00112
MOMA00ITA,EURA14,2020-11-01 11:59:00,-0.00218,-0.00666,-0.00087,-0.00218,-0.00666,-0.00087
MOMA00ITA,EURA14,2020-11-02 11:59:00,-0.00265,-0.00641,-0.00536,-0.00265,-0.00641,-0.00536
MOMA00ITA,EURA14,2020-11-03 11:59:00,-0.00226,-0.00669,-0.00515,-0.00226,-0.00669,-0.00515
MOMA00ITA,EURA14,2020-11-04 11:59:00,-0.00211,-0.00598,-0.00114,-0.00211,-0.00598,-0.00114
MOMA00ITA,EURA14,2020-11-05 11:59:00,-0.00227,-0.00611,-0.00149,-0.00227,-0.00611,-0.00149
MOMA00ITA,EURA14,2020-11-06 11:59:00,-0.00263,-0.0056,-0.00853,-0.00263,-0.0056,-0.00853
MOMA00ITA,EURA14,2020-11-07 11:59:00,-0.00314,-0.0063,-0.01111,-0.00314,-0.0063,-0.01111
MOMA00ITA,EURA14,2020-11-08 11:59:00,-0.00235,-0.00662,-0.0101,-0.00235,-0.00662,-0.0101
MOMA00ITA,EURA14,2020-11-09 11:59:00,-0.00295,-0.0059,0.00209,-0.00295,-0.0059,0.00209
MOMA00ITA,EURA14,2020-11-10 11:59:00,-0.00269,-0.00586,0.0025,-0.00269,-0.00586,0.0025
MOMA00ITA,EURA14,2020-11-11 11:59:00,-0.00223,-0.00525,-0.00189,-0.00223,-0.00525,-0.00189
MOMA00ITA,EURA14,2020-11-12 11:59:00,-0.00222,-0.00539,-0.00511,-0.00222,-0.00539,-0.00511
MOMA00ITA,EURA14,2020-11-13 11:59:00,-0.003,-0.00471,-0.00204,-0.003,-0.00471,-0.00204
MOMA00ITA,EURA14,2020-11-14 11:59:00,-0.00248,-0.0059,-0.00495,-0.00248,-0.0059,-0.00495
MOMA00ITA,EURA14,2020-11-15 11:59:00,-0.00299,-0.00666,-0.00166,-0.00299,-0.00666,-0.00166
MOMA00ITA,EURA14,2020-11-16 11:59:00,-0.00219,-0.00653,-0.00776,-0.00219,-0.00653,-0.00776
MOMA00ITA,EURA14,2020-11-17 11:59:00,-0.00236,-0.00698,-0.00119,-0.00236,-0.00698,-0.00119
MOMA00ITA,EURA14,2020-11-18 11:59:00,-0.00217,-0.00615,-0.00828,-0.00217,-0.00615,-0.00828
MOMA00ITA,EURA14,2020-11-19 11:59:00,-0.0021,-0.00639,-0.0041,-0.0021,-0.00639,-0.0041
MOMA00ITA,EURA14,2020-11-20 11:59:00,-0.00286,-0.00655,-0.00044,-0.00286,-0.00655,-0.00044
MOMA00ITA,EURA14,2020-11-21 11:59:00,-0.00597,-0.00698,-0.00039,-0.00597,-0.00698,-0.00039
MOMA00ITA,EURA14,2020-11-22 11:59:00,-0.00137,-0.00551,-0.00305,-0.00137,-0.00551,-0.00305
MOMA00ITA,EURA14,2020-11-23 11:59:00,-0.00177,-0.00594,-0.00272,-0.00177,-0.00594,-0.00272
MOMA00ITA,EURA14,2020-11-24 11:59:00,-0.00242,-0.00482,-0.00287,-0.00242,-0.00482,-0.00287
MOMA00ITA,EURA14,2020-11-25 11:59:00,-0.00227,-0.00659,-0.01053,-0.00227,-0.00659,-0.01053
MOMA00ITA,EURA14,2020-11-26 11:59:00,-0.0031,-0.00579,-0.00211,-0.0031,-0.00579,-0.00211
MOMA00ITA,EURA14,2020-11-27 11:59:00,-0.00289,-0.00688,-0.00556,-0.00289,-0.00688,-0.00556
MOMA00ITA,EURA14,2020-11-28 11:59:00,-0.00314,-0.00686,-0.00102,-0.00314,-0.00686,-0.00102
MOMA00ITA,EURA14,2020-11-29 11:59:00,-0.00353,-0.00619,0.00579,-0.00353,-0.00619,0.00579
MOMA00ITA,EURA14,2020-11-30 11:59:00,-0.00324,-0.00607,-0.01177,-0.00324,-0.00607,-0.01177
MOMA00ITA,EURA14,2020-12-01 11:59:00,-0.00178,-0.00671,-0.00407,-0.00178,-0.00671,-0.00407
MOMA00ITA,EURA14,2020-12-02 11:59:00,-0.00167,-0.0035,-0.00585,-0.00167,-0.0035,-0.00585
MOMA00ITA,EURA14,2020-12-03 11:59:00,-0.00182,-0.00559,-0.01062,-0.00182,-0.00559,-0.01062
MOMA00ITA,EURA14,2020-12-04 11:59:00,0.00029,-0.00492,-0.00894,0.00029,-0.00492,-0.00894
MOMA00ITA,EURA14,2020-12-05 11:59:00,0.00062,-0.00313,0.0089,0.00062,-0.00313,0.0089
MOMA00ITA,EURA14,2020-12-06 11:59:00,-0.00228,-0.00474,-0.00251,-0.00228,-0.00474,-0.00251
MOMA00ITA,EURA14,2020-12-07 11:59:00,-6e-05,-0.00448,-0.00032,-6e-05,-0.00448,-0.00032
MOMA00ITA,EURA14,2020-12-08 11:59:00,-0.00014,-0.00503,-0.00167,-0.00014,-0.00503,-0.00167
MOMA00ITA,EURA14,2020-12-09 11:59:00,-0.00202,-0.00591,0.00201,-0.00202,-0.00591,0.00201
MOMA00ITA,EURA14,2020-12-10 11:59:00,2e-05,-0.00608,-0.00788,2e-05,-0.00608,-0.00788
MOMA00ITA,EURA14,2020-12-11 11:59:00,-0.00168,-0.00686,-0.0043,-0.00168,-0.00686,-0.0043
MOMA00ITA,EURA14,2020-12-12 11:59:00,-0.00235,-0.00621,0.00404,-0.00235,-0.00621,0.00404
MOMA00ITA,EURA14,2020-12-13 11:59:00,-0.00193,-0.00533,-0.01046,-0.00193,-0.00533,-0.01046
MOMA00ITA,EURA14,2020-12-14 11:59:00,-0.00286,-0.0062,-0.00278,-0.00286,-0.0062,-0.00278
MOMA00ITA,EURA14,2020-12-15 11:59:00,-0.0019,-0.00534,-0.00296,-0.0019,-0.00534,-0.00296
MOMA00ITA,EURA14,2020-12-16 11:59:00,-0.001745,-0.005145,-0.009749999999999998,-0.001745,-0.005145,-0.009749999999999998
MOMA00ITA,EURA14,2020-12-17 11:59:00,-0.00159,-0.00495,-0.01654,-0.00159,-0.00495,-0.01654
MOMA00ITA,EURA14,2020-12-18 11:59:00,-0.00184,-0.0057,-0.01223,-0.00184,-0.0057,-0.01223
MOMA00ITA,EURA14,2020-12-19 11:59:00,-0.00165,-0.00504,-0.00431,-0.00165,-0.00504,-0.00431
MOMA00ITA,EURA14,2020-12-20 11:59:00,-0.00114,-0.00506,-0.00263,-0.00114,-0.00506,-0.00263
MOMA00ITA,EURA14,2020-12-21 11:59:00,-0.00165,-0.00541,-0.00055,-0.00165,-0.00541,-0.00055
