marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MONA00ITA,EURA14,2016-11-09 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MONA00ITA,EURA14,2016-11-10 11:59:00,-0.00236,0.00151,-0.01716,-0.00236,0.00151,-0.01716
MONA00ITA,EURA14,2016-11-11 11:59:00,-0.01447,-0.00104,-0.02728,-0.01447,-0.00104,-0.02728
MONA00ITA,EURA14,2016-11-12 11:59:00,-0.00217,0.00154,-0.00925,-0.00217,0.00154,-0.00925
MONA00ITA,EURA14,2016-11-13 11:59:00,-0.0008,0.00154,-0.01098,-0.0008,0.00154,-0.01098
MONA00ITA,EURA14,2016-11-14 11:59:00,-9e-05,0.00159,-0.00957,-9e-05,0.00159,-0.00957
MONA00ITA,EURA14,2016-11-15 11:59:00,-0.00024,0.00127,-0.01144,-0.00024,0.00127,-0.01144
MONA00ITA,EURA14,2016-11-16 11:59:00,-0.00059,0.00083,-0.00879,-0.00059,0.00083,-0.00879
MONA00ITA,EURA14,2016-11-17 11:59:00,-0.00074,0.00081,-0.0134,-0.00074,0.00081,-0.0134
MONA00ITA,EURA14,2016-11-18 11:59:00,-0.00522,0.00013,-0.00029,-0.00522,0.00013,-0.00029
MONA00ITA,EURA14,2016-11-19 11:59:00,0.00086,0.005,-0.02799,0.00086,0.005,-0.02799
MONA00ITA,EURA14,2016-11-20 11:59:00,-0.00025,0.00078,-0.0078,-0.00025,0.00078,-0.0078
MONA00ITA,EURA14,2016-11-21 11:59:00,-0.0004,0.00083,-0.0142,-0.0004,0.00083,-0.0142
MONA00ITA,EURA14,2016-11-22 11:59:00,0.00059,0.0018,-0.00943,0.00059,0.0018,-0.00943
MONA00ITA,EURA14,2016-11-23 11:59:00,-4e-05,0.00225,-0.00846,-4e-05,0.00225,-0.00846
MONA00ITA,EURA14,2016-11-24 11:59:00,-0.00039,0.00206,-0.00803,-0.00039,0.00206,-0.00803
MONA00ITA,EURA14,2016-11-25 11:59:00,4e-05,0.00269,-0.004,4e-05,0.00269,-0.004
MONA00ITA,EURA14,2016-11-26 11:59:00,2e-05,0.00191,-0.01082,2e-05,0.00191,-0.01082
MONA00ITA,EURA14,2016-11-27 11:59:00,-0.00072,0.00271,-0.01382,-0.00072,0.00271,-0.01382
MONA00ITA,EURA14,2016-11-28 11:59:00,-0.00125,0.00243,-0.01151,-0.00125,0.00243,-0.01151
MONA00ITA,EURA14,2016-11-29 11:59:00,-0.0018,0.00175,-0.01022,-0.0018,0.00175,-0.01022
MONA00ITA,EURA14,2016-11-30 11:59:00,-0.00088,0.00256,-0.01412,-0.00088,0.00256,-0.01412
MONA00ITA,EURA14,2016-12-01 11:59:00,-0.00071,0.00299,-0.0091,-0.00071,0.00299,-0.0091
MONA00ITA,EURA14,2016-12-02 11:59:00,-0.00168,0.00275,-0.00861,-0.00168,0.00275,-0.00861
MONA00ITA,EURA14,2016-12-03 11:59:00,-0.00123,0.00272,-0.00895,-0.00123,0.00272,-0.00895
MONA00ITA,EURA14,2016-12-04 11:59:00,-0.00067,0.00278,-0.00944,-0.00067,0.00278,-0.00944
MONA00ITA,EURA14,2016-12-05 11:59:00,-0.00125,0.00292,-0.01357,-0.00125,0.00292,-0.01357
MONA00ITA,EURA14,2016-12-06 11:59:00,-0.00043,0.0022,-0.00971,-0.00043,0.0022,-0.00971
MONA00ITA,EURA14,2016-12-07 11:59:00,-0.00014,0.00303,-0.01687,-0.00014,0.00303,-0.01687
MONA00ITA,EURA14,2016-12-08 11:59:00,-0.00087,0.00249,-0.01115,-0.00087,0.00249,-0.01115
MONA00ITA,EURA14,2016-12-09 11:59:00,-0.00186,0.00243,-0.00754,-0.00186,0.00243,-0.00754
MONA00ITA,EURA14,2016-12-10 11:59:00,-0.0028,0.00259,-0.00893,-0.0028,0.00259,-0.00893
MONA00ITA,EURA14,2016-12-11 11:59:00,-0.00165,0.00248,-0.00741,-0.00165,0.00248,-0.00741
MONA00ITA,EURA14,2016-12-12 11:59:00,-0.003,0.00294,-0.00743,-0.003,0.00294,-0.00743
MONA00ITA,EURA14,2016-12-13 11:59:00,-0.00154,0.00305,-0.0131,-0.00154,0.00305,-0.0131
MONA00ITA,EURA14,2016-12-14 11:59:00,-0.00079,0.00253,-0.00725,-0.00079,0.00253,-0.00725
MONA00ITA,EURA14,2016-12-15 11:59:00,-0.00149,0.00279,-0.00864,-0.00149,0.00279,-0.00864
MONA00ITA,EURA14,2016-12-16 11:59:00,-0.00108,0.00305,-0.0124,-0.00108,0.00305,-0.0124
MONA00ITA,EURA14,2016-12-17 11:59:00,-0.00139,0.00363,-0.0108,-0.00139,0.00363,-0.0108
MONA00ITA,EURA14,2016-12-18 11:59:00,-0.00087,0.00356,-0.011,-0.00087,0.00356,-0.011
MONA00ITA,EURA14,2016-12-19 11:59:00,-0.00177,0.00368,-0.0092,-0.00177,0.00368,-0.0092
MONA00ITA,EURA14,2016-12-20 11:59:00,-0.00154,0.00402,-0.00799,-0.00154,0.00402,-0.00799
MONA00ITA,EURA14,2016-12-21 11:59:00,-0.00119,0.00313,-0.01061,-0.00119,0.00313,-0.01061
MONA00ITA,EURA14,2016-12-22 11:59:00,-0.00235,0.00312,-0.01157,-0.00235,0.00312,-0.01157
MONA00ITA,EURA14,2016-12-23 11:59:00,-0.0021,0.00298,-0.00839,-0.0021,0.00298,-0.00839
MONA00ITA,EURA14,2016-12-24 11:59:00,-0.00232,0.00263,-0.00851,-0.00232,0.00263,-0.00851
MONA00ITA,EURA14,2016-12-25 11:59:00,-0.00237,0.00286,-0.0077,-0.00237,0.00286,-0.0077
MONA00ITA,EURA14,2016-12-26 11:59:00,-0.00252,0.00283,-0.00703,-0.00252,0.00283,-0.00703
MONA00ITA,EURA14,2016-12-27 11:59:00,-0.00169,0.00172,-0.00439,-0.00169,0.00172,-0.00439
MONA00ITA,EURA14,2016-12-28 11:59:00,-0.00298,0.00264,-0.00716,-0.00298,0.00264,-0.00716
MONA00ITA,EURA14,2016-12-29 11:59:00,-0.00086,0.00394,-0.00865,-0.00086,0.00394,-0.00865
MONA00ITA,EURA14,2016-12-30 11:59:00,-0.00068,0.00203,-0.00688,-0.00068,0.00203,-0.00688
MONA00ITA,EURA14,2016-12-31 11:59:00,-0.00142,0.0032,-0.01016,-0.00142,0.0032,-0.01016
MONA00ITA,EURA14,2017-01-01 11:59:00,-0.00148,0.00318,-0.0046,-0.00148,0.00318,-0.0046
MONA00ITA,EURA14,2017-01-02 11:59:00,7e-05,0.00247,0.00067,7e-05,0.00247,0.00067
MONA00ITA,EURA14,2017-01-03 11:59:00,-0.00235,0.00336,-0.01946,-0.00235,0.00336,-0.01946
MONA00ITA,EURA14,2017-01-04 11:59:00,-0.00556,0.00483,-0.0113,-0.00556,0.00483,-0.0113
