marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MORR00ITA,EURA14,2019-02-05 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MORR00ITA,EURA14,2019-02-06 11:59:00,0.00071,4e-05,-0.00361,0.00071,4e-05,-0.00361
MORR00ITA,EURA14,2019-02-07 11:59:00,0.00103,-0.00097,-0.00372,0.00103,-0.00097,-0.00372
MORR00ITA,EURA14,2019-02-08 11:59:00,0.00059,-0.00133,-0.0033,0.00059,-0.00133,-0.0033
MORR00ITA,EURA14,2019-02-09 11:59:00,0.00035,-0.0013,-0.00754,0.00035,-0.0013,-0.00754
MORR00ITA,EURA14,2019-02-10 11:59:00,0.00034,-0.00182,-0.01323,0.00034,-0.00182,-0.01323
MORR00ITA,EURA14,2019-02-11 11:59:00,0.00046,-0.00066,-0.00527,0.00046,-0.00066,-0.00527
MORR00ITA,EURA14,2019-02-12 11:59:00,0.00058,0.0005,-0.00874,0.00058,0.0005,-0.00874
MORR00ITA,EURA14,2019-02-13 11:59:00,0.00022,-0.00089,-0.00898,0.00022,-0.00089,-0.00898
MORR00ITA,EURA14,2019-02-14 11:59:00,0.00015,5e-05,-0.00521,0.00015,5e-05,-0.00521
MORR00ITA,EURA14,2019-02-15 11:59:00,0.00053,-0.00102,-0.00797,0.00053,-0.00102,-0.00797
MORR00ITA,EURA14,2019-02-16 11:59:00,3e-05,-0.00058,-0.00813,3e-05,-0.00058,-0.00813
MORR00ITA,EURA14,2019-02-17 11:59:00,0.00013,-0.00026,-0.00703,0.00013,-0.00026,-0.00703
MORR00ITA,EURA14,2019-02-18 11:59:00,0.00024,-0.00022,-0.00539,0.00024,-0.00022,-0.00539
MORR00ITA,EURA14,2019-02-19 11:59:00,-4e-05,-0.00079,-0.00681,-4e-05,-0.00079,-0.00681
MORR00ITA,EURA14,2019-02-20 11:59:00,-0.00022,-8e-05,-0.00522,-0.00022,-8e-05,-0.00522
MORR00ITA,EURA14,2019-02-21 11:59:00,-0.00057,-0.00038,-0.0037,-0.00057,-0.00038,-0.0037
MORR00ITA,EURA14,2019-02-22 11:59:00,0.00056,0.00031,0.00397,0.00056,0.00031,0.00397
MORR00ITA,EURA14,2019-02-23 11:59:00,-0.0005,0.00175,-0.00253,-0.0005,0.00175,-0.00253
MORR00ITA,EURA14,2019-02-24 11:59:00,-0.00016,0.00032,-0.0037,-0.00016,0.00032,-0.0037
MORR00ITA,EURA14,2019-02-25 11:59:00,-0.00173,-0.00119,-0.00263,-0.00173,-0.00119,-0.00263
MORR00ITA,EURA14,2019-02-26 11:59:00,-0.00048,-0.00152,1e-05,-0.00048,-0.00152,1e-05
MORR00ITA,EURA14,2019-02-27 11:59:00,-0.00087,0.00037,-0.0008,-0.00087,0.00037,-0.0008
MORR00ITA,EURA14,2019-02-28 11:59:00,-0.00055,-0.00048,-0.00388,-0.00055,-0.00048,-0.00388
MORR00ITA,EURA14,2019-03-01 11:59:00,-0.00076,-0.00062,0.00085,-0.00076,-0.00062,0.00085
MORR00ITA,EURA14,2019-03-02 11:59:00,-4e-05,-0.00066,0.0029,-4e-05,-0.00066,0.0029
MORR00ITA,EURA14,2019-03-05 11:59:00,0.0003,-0.00024,-0.00079,0.0003,-0.00024,-0.00079
MORR00ITA,EURA14,2019-03-06 11:59:00,0.00126,-0.0006,-0.00425,0.00126,-0.0006,-0.00425
MORR00ITA,EURA14,2019-03-07 11:59:00,0.00465,0.00045,-0.00182,0.00465,0.00045,-0.00182
MORR00ITA,EURA14,2019-03-08 11:59:00,0.00014,0.00066,-0.00279,0.00014,0.00066,-0.00279
MORR00ITA,EURA14,2019-03-09 11:59:00,0.00156,7e-05,-0.00506,0.00156,7e-05,-0.00506
MORR00ITA,EURA14,2019-03-10 11:59:00,-0.00172,0.0011,-0.00374,-0.00172,0.0011,-0.00374
MORR00ITA,EURA14,2019-03-11 11:59:00,0.00039,0.00134,-0.00857,0.00039,0.00134,-0.00857
MORR00ITA,EURA14,2019-03-12 11:59:00,0.00061,0.00076,-0.00289,0.00061,0.00076,-0.00289
MORR00ITA,EURA14,2019-03-13 11:59:00,0.00013,-0.00045,0.00049,0.00013,-0.00045,0.00049
MORR00ITA,EURA14,2019-03-14 11:59:00,0.00116,0.00068,-0.00171,0.00116,0.00068,-0.00171
MORR00ITA,EURA14,2019-03-15 11:59:00,0.00018,-2e-05,0.00339,0.00018,-2e-05,0.00339
MORR00ITA,EURA14,2019-03-16 11:59:00,0.00034,8e-05,-0.00347,0.00034,8e-05,-0.00347
MORR00ITA,EURA14,2019-03-17 11:59:00,0.00077,1e-05,-0.00449,0.00077,1e-05,-0.00449
MORR00ITA,EURA14,2019-03-18 11:59:00,-4e-05,-0.00069,-0.0023,-4e-05,-0.00069,-0.0023
MORR00ITA,EURA14,2019-03-19 11:59:00,0.00096,0.00073,0.00087,0.00096,0.00073,0.00087
MORR00ITA,EURA14,2019-03-20 11:59:00,-0.00029,0.00127,0.00017,-0.00029,0.00127,0.00017
MORR00ITA,EURA14,2019-03-21 11:59:00,0.00088,0.00061,-0.00093,0.00088,0.00061,-0.00093
MORR00ITA,EURA14,2019-03-22 11:59:00,0.00016,0.00029,0.00368,0.00016,0.00029,0.00368
MORR00ITA,EURA14,2019-03-23 11:59:00,0.00108,0.00063,0.00136,0.00108,0.00063,0.00136
MORR00ITA,EURA14,2019-03-24 11:59:00,0.00058,0.00017,0.00315,0.00058,0.00017,0.00315
MORR00ITA,EURA14,2019-03-25 11:59:00,0.00113,-6e-05,0.00497,0.00113,-6e-05,0.00497
MORR00ITA,EURA14,2019-03-26 11:59:00,0.00177,-0.00029,0.00305,0.00177,-0.00029,0.00305
MORR00ITA,EURA14,2019-03-27 11:59:00,0.00125,0.00055,-0.0004,0.00125,0.00055,-0.0004
MORR00ITA,EURA14,2019-03-28 11:59:00,0.00102,0.00056,-0.00155,0.00102,0.00056,-0.00155
MORR00ITA,EURA14,2019-03-29 11:59:00,0.0016,0.00051,-0.00217,0.0016,0.00051,-0.00217
MORR00ITA,EURA14,2019-03-30 11:59:00,0.00142,-0.00014,0.00067,0.00142,-0.00014,0.00067
MORR00ITA,EURA14,2019-03-31 11:59:00,0.001,0.00085,-0.00337,0.001,0.00085,-0.00337
MORR00ITA,EURA14,2019-04-01 11:59:00,0.00131,0.0005549999999999999,-0.0013050000000000002,0.00131,0.0005549999999999999,-0.0013050000000000002
MORR00ITA,EURA14,2019-04-02 11:59:00,0.00162,0.00026,0.00076,0.00162,0.00026,0.00076
MORR00ITA,EURA14,2019-04-03 11:59:00,0.00172,8e-05,-0.00101,0.00172,8e-05,-0.00101
MORR00ITA,EURA14,2019-04-04 11:59:00,0.00095,6e-05,0.0016,0.00095,6e-05,0.0016
MORR00ITA,EURA14,2019-04-05 11:59:00,0.00263,0.00018,-0.00025,0.00263,0.00018,-0.00025
MORR00ITA,EURA14,2019-04-06 11:59:00,0.00121,-3e-05,0.00239,0.00121,-3e-05,0.00239
MORR00ITA,EURA14,2019-04-07 11:59:00,0.00054,0.00067,0.00134,0.00054,0.00067,0.00134
MORR00ITA,EURA14,2019-04-08 11:59:00,0.00091,0.00091,0.00082,0.00091,0.00091,0.00082
MORR00ITA,EURA14,2019-04-09 11:59:00,0.00187,0.00103,0.00202,0.00187,0.00103,0.00202
MORR00ITA,EURA14,2019-04-10 11:59:00,0.00182,0.00111,-0.00503,0.00182,0.00111,-0.00503
MORR00ITA,EURA14,2019-04-11 11:59:00,0.00168,0.00169,-0.00324,0.00168,0.00169,-0.00324
MORR00ITA,EURA14,2019-04-12 11:59:00,0.00154,0.00136,-0.00274,0.00154,0.00136,-0.00274
MORR00ITA,EURA14,2019-04-13 11:59:00,0.00182,0.0016,-0.00591,0.00182,0.0016,-0.00591
MORR00ITA,EURA14,2019-04-14 11:59:00,0.00146,0.00109,-0.00061,0.00146,0.00109,-0.00061
MORR00ITA,EURA14,2019-04-15 11:59:00,0.00065,0.00149,-0.00522,0.00065,0.00149,-0.00522
MORR00ITA,EURA14,2019-04-16 11:59:00,0.00275,0.0005,-0.00672,0.00275,0.0005,-0.00672
MORR00ITA,EURA14,2019-04-17 11:59:00,0.001985,0.00082,-0.006905,0.001985,0.00082,-0.006905
MORR00ITA,EURA14,2019-04-18 11:59:00,0.00122,0.00114,-0.00709,0.00122,0.00114,-0.00709
MORR00ITA,EURA14,2019-04-19 11:59:00,0.00074,0.00073,-0.00944,0.00074,0.00073,-0.00944
MORR00ITA,EURA14,2019-04-20 11:59:00,0.00049,0.00071,-0.00776,0.00049,0.00071,-0.00776
MORR00ITA,EURA14,2019-04-21 11:59:00,0.00165,-0.00118,-0.00758,0.00165,-0.00118,-0.00758
MORR00ITA,EURA14,2019-04-22 11:59:00,0.0018,0.00062,-0.00536,0.0018,0.00062,-0.00536
MORR00ITA,EURA14,2019-04-23 11:59:00,0.00233,0.00157,-0.00671,0.00233,0.00157,-0.00671
MORR00ITA,EURA14,2019-04-24 11:59:00,0.00052,0.00097,-0.00524,0.00052,0.00097,-0.00524
MORR00ITA,EURA14,2019-04-25 11:59:00,0.00117,0.00084,-0.00911,0.00117,0.00084,-0.00911
MORR00ITA,EURA14,2019-04-26 11:59:00,0.00181,-0.00104,-0.00237,0.00181,-0.00104,-0.00237
MORR00ITA,EURA14,2019-04-27 11:59:00,0.00123,0.00031,-0.00493,0.00123,0.00031,-0.00493
MORR00ITA,EURA14,2019-04-28 11:59:00,0.00213,7e-05,-0.00917,0.00213,7e-05,-0.00917
MORR00ITA,EURA14,2019-04-29 11:59:00,0.00111,0.00094,-0.00308,0.00111,0.00094,-0.00308
MORR00ITA,EURA14,2019-04-30 11:59:00,0.0017,0.00078,-0.00419,0.0017,0.00078,-0.00419
MORR00ITA,EURA14,2019-05-01 11:59:00,0.00194,0.00083,-0.00682,0.00194,0.00083,-0.00682
MORR00ITA,EURA14,2019-05-02 11:59:00,0.00165,0.000455,-0.004005,0.00165,0.000455,-0.004005
MORR00ITA,EURA14,2019-05-03 11:59:00,0.00136,8e-05,-0.00119,0.00136,8e-05,-0.00119
MORR00ITA,EURA14,2019-05-04 11:59:00,0.00192,0.00037,0.00103,0.00192,0.00037,0.00103
MORR00ITA,EURA14,2019-05-05 11:59:00,-0.00028,0.00131,-0.00025,-0.00028,0.00131,-0.00025
MORR00ITA,EURA14,2019-05-08 11:59:00,0.00178,0.00045,-0.00317,0.00178,0.00045,-0.00317
MORR00ITA,EURA14,2019-05-09 11:59:00,0.00102,0.00108,-0.00482,0.00102,0.00108,-0.00482
MORR00ITA,EURA14,2019-05-10 11:59:00,0.00212,0.00115,-0.00625,0.00212,0.00115,-0.00625
MORR00ITA,EURA14,2019-05-11 11:59:00,0.00085,0.00203,-0.00902,0.00085,0.00203,-0.00902
MORR00ITA,EURA14,2019-05-15 11:59:00,0.00092,0.00082,-0.00547,0.00092,0.00082,-0.00547
MORR00ITA,EURA14,2019-05-16 11:59:00,0.00161,0.001,-0.00714,0.00161,0.001,-0.00714
MORR00ITA,EURA14,2019-05-17 11:59:00,0.00146,0.00066,-0.00397,0.00146,0.00066,-0.00397
MORR00ITA,EURA14,2019-05-18 11:59:00,-0.00238,0.00027,-0.00221,-0.00238,0.00027,-0.00221
MORR00ITA,EURA14,2019-05-19 11:59:00,0.00186,0.00119,-0.00167,0.00186,0.00119,-0.00167
MORR00ITA,EURA14,2019-05-20 11:59:00,0.00153,0.00053,-0.0022,0.00153,0.00053,-0.0022
MORR00ITA,EURA14,2019-05-21 11:59:00,0.00127,0.00119,-0.00359,0.00127,0.00119,-0.00359
MORR00ITA,EURA14,2019-05-22 11:59:00,0.00239,0.00183,-0.00265,0.00239,0.00183,-0.00265
MORR00ITA,EURA14,2019-05-23 11:59:00,0.00193,0.00244,-0.0121,0.00193,0.00244,-0.0121
MORR00ITA,EURA14,2019-05-24 11:59:00,0.00153,0.00314,-0.00868,0.00153,0.00314,-0.00868
MORR00ITA,EURA14,2019-05-25 11:59:00,0.00256,0.00167,-0.00449,0.00256,0.00167,-0.00449
MORR00ITA,EURA14,2019-05-26 11:59:00,0.00258,0.00089,-0.00379,0.00258,0.00089,-0.00379
MORR00ITA,EURA14,2019-05-27 11:59:00,0.00104,0.00054,-0.00133,0.00104,0.00054,-0.00133
MORR00ITA,EURA14,2019-05-28 11:59:00,0.00131,0.00113,-0.0007,0.00131,0.00113,-0.0007
MORR00ITA,EURA14,2019-05-29 11:59:00,0.00218,0.00263,-0.00327,0.00218,0.00263,-0.00327
MORR00ITA,EURA14,2019-05-30 11:59:00,0.00131,0.00156,-0.00584,0.00131,0.00156,-0.00584
MORR00ITA,EURA14,2019-05-31 11:59:00,0.00131,0.0009,-0.0023,0.00131,0.0009,-0.0023
MORR00ITA,EURA14,2019-06-01 11:59:00,0.00068,0.00168,-0.00055,0.00068,0.00168,-0.00055
MORR00ITA,EURA14,2019-06-02 11:59:00,0.00237,0.0004,-0.0043,0.00237,0.0004,-0.0043
MORR00ITA,EURA14,2019-06-03 11:59:00,0.00148,0.00123,0.00078,0.00148,0.00123,0.00078
MORR00ITA,EURA14,2019-06-04 11:59:00,0.00078,0.00086,-0.00802,0.00078,0.00086,-0.00802
MORR00ITA,EURA14,2019-06-05 11:59:00,-8.500000000000011e-05,-0.0004699999999999998,-0.00588,-8.500000000000011e-05,-0.0004699999999999998,-0.00588
MORR00ITA,EURA14,2019-06-06 11:59:00,-0.00095,-0.0018,-0.00374,-0.00095,-0.0018,-0.00374
MORR00ITA,EURA14,2019-06-07 11:59:00,0.00223,0.00106,-0.00378,0.00223,0.00106,-0.00378
MORR00ITA,EURA14,2019-06-08 11:59:00,0.00068,0.00034,-0.00415,0.00068,0.00034,-0.00415
