marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MRRA00ITA,EURA14,2006-11-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MRRA00ITA,EURA14,2006-11-07 11:59:00,-0.001,-0.00036,0.00378,-0.001,-0.00036,0.00378
MRRA00ITA,EURA14,2006-11-08 11:59:00,-0.00083,-0.00043,0.00135,-0.00083,-0.00043,0.00135
MRRA00ITA,EURA14,2006-11-09 11:59:00,-0.00028,0.00073,0.00043,-0.00028,0.00073,0.00043
MRRA00ITA,EURA14,2006-11-10 11:59:00,-0.00169,0.00159,0.0002,-0.00169,0.00159,0.0002
MRRA00ITA,EURA14,2006-11-11 11:59:00,-0.0007,0.00038,0.00714,-0.0007,0.00038,0.00714
MRRA00ITA,EURA14,2006-11-12 11:59:00,-0.00083,-0.00126,0.00915,-0.00083,-0.00126,0.00915
MRRA00ITA,EURA14,2006-11-13 11:59:00,-0.00049,-0.0002,0.00465,-0.00049,-0.0002,0.00465
MRRA00ITA,EURA14,2006-11-14 11:59:00,-0.0012,-0.00021,0.00353,-0.0012,-0.00021,0.00353
MRRA00ITA,EURA14,2006-11-15 11:59:00,8e-05,-0.00069,0.00288,8e-05,-0.00069,0.00288
MRRA00ITA,EURA14,2006-11-16 11:59:00,0.00041,5e-05,0.00361,0.00041,5e-05,0.00361
MRRA00ITA,EURA14,2006-11-17 11:59:00,-0.00096,-0.00014,0.00345,-0.00096,-0.00014,0.00345
MRRA00ITA,EURA14,2006-11-18 11:59:00,0.00012,0.00041,0.00478,0.00012,0.00041,0.00478
MRRA00ITA,EURA14,2006-11-19 11:59:00,-0.00141,-0.00055,0.00463,-0.00141,-0.00055,0.00463
MRRA00ITA,EURA14,2006-11-20 11:59:00,-0.00019,0.00015,0.004,-0.00019,0.00015,0.004
MRRA00ITA,EURA14,2006-11-21 11:59:00,-0.00116,-0.00087,0.00767,-0.00116,-0.00087,0.00767
MRRA00ITA,EURA14,2006-11-22 11:59:00,-0.00033,-0.002,0.01152,-0.00033,-0.002,0.01152
MRRA00ITA,EURA14,2006-11-23 11:59:00,0.00045,-0.00129,0.01134,0.00045,-0.00129,0.01134
MRRA00ITA,EURA14,2006-11-24 11:59:00,-2e-05,-0.00014,0.00559,-2e-05,-0.00014,0.00559
MRRA00ITA,EURA14,2006-11-25 11:59:00,-0.00069,-0.00091,0.00426,-0.00069,-0.00091,0.00426
MRRA00ITA,EURA14,2006-11-26 11:59:00,-0.00062,-0.00037,0.00364,-0.00062,-0.00037,0.00364
MRRA00ITA,EURA14,2006-11-27 11:59:00,-7e-05,-0.00066,0.0044,-7e-05,-0.00066,0.0044
MRRA00ITA,EURA14,2006-11-28 11:59:00,-0.00044,-0.00035,0.00561,-0.00044,-0.00035,0.00561
MRRA00ITA,EURA14,2006-11-29 11:59:00,-0.00125,0.00049,0.00392,-0.00125,0.00049,0.00392
MRRA00ITA,EURA14,2006-11-30 11:59:00,-2e-05,0.00017,0.00388,-2e-05,0.00017,0.00388
MRRA00ITA,EURA14,2006-12-01 11:59:00,-0.00013,-0.0007,0.0038,-0.00013,-0.0007,0.0038
