marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MTER00ITA,EURA14,2010-09-15 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MTER00ITA,EURA14,2010-09-16 11:59:00,0.00068,0.00175,0.00187,0.00068,0.00175,0.00187
MTER00ITA,EURA14,2010-09-17 11:59:00,0.00136,0.0035,0.00374,0.00136,0.0035,0.00374
MTER00ITA,EURA14,2010-09-18 11:59:00,-0.00028,-0.00181,0.01296,-0.00028,-0.00181,0.01296
MTER00ITA,EURA14,2010-09-19 11:59:00,-0.00246,-0.00055,0.00185,-0.00246,-0.00055,0.00185
MTER00ITA,EURA14,2010-09-20 11:59:00,-0.00048,-3e-05,-0.00135,-0.00048,-3e-05,-0.00135
MTER00ITA,EURA14,2010-09-21 11:59:00,-0.00027,-0.00047,0.00358,-0.00027,-0.00047,0.00358
MTER00ITA,EURA14,2010-09-22 11:59:00,-0.00047,0.00103,-0.00117,-0.00047,0.00103,-0.00117
MTER00ITA,EURA14,2010-09-23 11:59:00,-0.00061,-0.00033,0.00424,-0.00061,-0.00033,0.00424
MTER00ITA,EURA14,2010-09-24 11:59:00,0.00012,-0.001,0.00245,0.00012,-0.001,0.00245
MTER00ITA,EURA14,2010-09-25 11:59:00,-0.00088,-0.00227,0.00214,-0.00088,-0.00227,0.00214
MTER00ITA,EURA14,2010-09-26 11:59:00,-0.00237,-0.00197,0.00531,-0.00237,-0.00197,0.00531
MTER00ITA,EURA14,2010-09-27 11:59:00,0.00173,-0.00159,0.00837,0.00173,-0.00159,0.00837
MTER00ITA,EURA14,2010-09-28 11:59:00,-0.00149,-0.00032,0.01443,-0.00149,-0.00032,0.01443
MTER00ITA,EURA14,2010-09-29 11:59:00,-0.00043,-0.00032,0.00251,-0.00043,-0.00032,0.00251
MTER00ITA,EURA14,2010-09-30 11:59:00,7e-05,-0.0005,-0.00233,7e-05,-0.0005,-0.00233
MTER00ITA,EURA14,2010-10-01 11:59:00,0.00047,-0.00095,-0.00012,0.00047,-0.00095,-0.00012
MTER00ITA,EURA14,2010-10-02 11:59:00,0.00028,-0.00038,-0.00204,0.00028,-0.00038,-0.00204
MTER00ITA,EURA14,2010-10-03 11:59:00,-0.00096,-8e-05,0.00012,-0.00096,-8e-05,0.00012
MTER00ITA,EURA14,2010-10-04 11:59:00,4e-05,-0.00184,-0.00301,4e-05,-0.00184,-0.00301
MTER00ITA,EURA14,2010-10-05 11:59:00,-0.00206,-0.00096,-0.00235,-0.00206,-0.00096,-0.00235
MTER00ITA,EURA14,2010-10-06 11:59:00,-0.00103,-0.00065,0.00027,-0.00103,-0.00065,0.00027
MTER00ITA,EURA14,2010-10-07 11:59:00,0.00041,-0.00084,-0.00032,0.00041,-0.00084,-0.00032
MTER00ITA,EURA14,2010-10-08 11:59:00,-0.00079,-0.00016,0.00139,-0.00079,-0.00016,0.00139
MTER00ITA,EURA14,2010-10-09 11:59:00,-0.0007,-0.00071,0.00025,-0.0007,-0.00071,0.00025
MTER00ITA,EURA14,2010-10-10 11:59:00,-0.00055,-0.00143,0.00388,-0.00055,-0.00143,0.00388
MTER00ITA,EURA14,2010-10-11 11:59:00,-0.00032,-0.00068,-0.00159,-0.00032,-0.00068,-0.00159
MTER00ITA,EURA14,2010-10-12 11:59:00,0.00065,-0.00121,0.00371,0.00065,-0.00121,0.00371
MTER00ITA,EURA14,2010-10-13 11:59:00,-0.0003,-0.00124,0.00273,-0.0003,-0.00124,0.00273
MTER00ITA,EURA14,2010-10-14 11:59:00,0.00016,-0.00185,0.00523,0.00016,-0.00185,0.00523
MTER00ITA,EURA14,2010-10-15 11:59:00,0.00023,-0.00133,0.00316,0.00023,-0.00133,0.00316
MTER00ITA,EURA14,2010-10-16 11:59:00,0.00067,-0.00077,0.00012,0.00067,-0.00077,0.00012
MTER00ITA,EURA14,2010-10-17 11:59:00,2e-05,-0.00133,0.00179,2e-05,-0.00133,0.00179
MTER00ITA,EURA14,2010-10-18 11:59:00,-0.00073,-0.0009,0.00041,-0.00073,-0.0009,0.00041
MTER00ITA,EURA14,2010-10-19 11:59:00,0.00138,-0.00131,0.00258,0.00138,-0.00131,0.00258
MTER00ITA,EURA14,2010-10-20 11:59:00,0.0008,-0.00089,0.00277,0.0008,-0.00089,0.00277
MTER00ITA,EURA14,2010-10-21 11:59:00,0.00077,-0.00087,-0.00597,0.00077,-0.00087,-0.00597
MTER00ITA,EURA14,2010-10-22 11:59:00,0.00044,-0.00012,-0.00297,0.00044,-0.00012,-0.00297
MTER00ITA,EURA14,2010-10-23 11:59:00,0.00101,0.00085,-0.00211,0.00101,0.00085,-0.00211
MTER00ITA,EURA14,2010-10-24 11:59:00,-0.0012,-1e-05,-0.00683,-0.0012,-1e-05,-0.00683
MTER00ITA,EURA14,2010-10-25 11:59:00,0.00213,-0.00091,0.01212,0.00213,-0.00091,0.01212
MTER00ITA,EURA14,2010-10-26 11:59:00,2e-05,0.00014,0.00464,2e-05,0.00014,0.00464
MTER00ITA,EURA14,2010-10-27 11:59:00,-0.0005,-0.00133,0.00099,-0.0005,-0.00133,0.00099
MTER00ITA,EURA14,2010-10-28 11:59:00,1e-05,0.00053,0.00108,1e-05,0.00053,0.00108
MTER00ITA,EURA14,2010-10-29 11:59:00,0.00051,-0.00072,-0.0043,0.00051,-0.00072,-0.0043
MTER00ITA,EURA14,2010-10-30 11:59:00,0.00041,-0.0007,-5e-05,0.00041,-0.0007,-5e-05
MTER00ITA,EURA14,2010-10-31 11:59:00,0.00429,-3e-05,0.0096,0.00429,-3e-05,0.0096
MTER00ITA,EURA14,2010-11-01 11:59:00,0.00026,0.0002,0.00637,0.00026,0.0002,0.00637
MTER00ITA,EURA14,2010-11-02 11:59:00,0.00073,-0.00025,0.00204,0.00073,-0.00025,0.00204
MTER00ITA,EURA14,2010-11-03 11:59:00,0.00019,-0.00103,0.00276,0.00019,-0.00103,0.00276
MTER00ITA,EURA14,2010-11-04 11:59:00,0.0006,-0.00017,-0.00401,0.0006,-0.00017,-0.00401
MTER00ITA,EURA14,2010-11-05 11:59:00,0.00024,-0.00093,4e-05,0.00024,-0.00093,4e-05
MTER00ITA,EURA14,2010-11-06 11:59:00,-0.00015,-0.00071,0.00355,-0.00015,-0.00071,0.00355
MTER00ITA,EURA14,2010-11-07 11:59:00,-0.00041,-0.00289,0.00618,-0.00041,-0.00289,0.00618
MTER00ITA,EURA14,2010-11-08 11:59:00,-0.00109,-0.00315,0.00864,-0.00109,-0.00315,0.00864
MTER00ITA,EURA14,2010-11-09 11:59:00,-0.00356,-0.00598,0.00659,-0.00356,-0.00598,0.00659
MTER00ITA,EURA14,2010-11-10 11:59:00,-0.00163,-0.0024,-0.00725,-0.00163,-0.0024,-0.00725
MTER00ITA,EURA14,2010-11-11 11:59:00,-0.0017,-0.00187,0.00143,-0.0017,-0.00187,0.00143
MTER00ITA,EURA14,2010-11-12 11:59:00,-0.00075,-0.00183,0.00091,-0.00075,-0.00183,0.00091
MTER00ITA,EURA14,2010-11-13 11:59:00,-0.0004,-0.00276,0.00338,-0.0004,-0.00276,0.00338
MTER00ITA,EURA14,2010-11-14 11:59:00,-0.0001,-0.00171,0.00031,-0.0001,-0.00171,0.00031
MTER00ITA,EURA14,2010-11-15 11:59:00,-0.001,-0.00161,-0.00092,-0.001,-0.00161,-0.00092
MTER00ITA,EURA14,2010-11-16 11:59:00,0.00027,-0.00097,0.00743,0.00027,-0.00097,0.00743
MTER00ITA,EURA14,2010-11-17 11:59:00,-0.0009,-0.00057,0.00322,-0.0009,-0.00057,0.00322
MTER00ITA,EURA14,2010-11-18 11:59:00,-0.0009,-0.00294,-0.00177,-0.0009,-0.00294,-0.00177
MTER00ITA,EURA14,2010-11-19 11:59:00,-0.00043,-0.0021,0.005,-0.00043,-0.0021,0.005
MTER00ITA,EURA14,2010-11-20 11:59:00,0.00014,-0.00051,0.00049,0.00014,-0.00051,0.00049
MTER00ITA,EURA14,2010-11-21 11:59:00,-0.00224,-0.00162,0.00732,-0.00224,-0.00162,0.00732
