marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MTTO00ITA,EURA14,2005-07-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MTTO00ITA,EURA14,2005-07-15 11:59:00,0.00183,-0.0009,0.0036200000000000004,0.00183,-0.0009,0.0036200000000000004
MTTO00ITA,EURA14,2005-07-16 11:59:00,0.00366,-0.0018,0.00724,0.00366,-0.0018,0.00724
MTTO00ITA,EURA14,2005-07-17 11:59:00,0.00678,-0.00169,-0.00281,0.00678,-0.00169,-0.00281
MTTO00ITA,EURA14,2005-07-18 11:59:00,0.00247,-0.0012,-0.00057,0.00247,-0.0012,-0.00057
MTTO00ITA,EURA14,2005-07-19 11:59:00,0.00573,0.00113,-0.00246,0.00573,0.00113,-0.00246
MTTO00ITA,EURA14,2005-07-20 11:59:00,0.00234,-0.00368,0.00849,0.00234,-0.00368,0.00849
MTTO00ITA,EURA14,2005-07-21 11:59:00,0.00068,-0.00192,0.00171,0.00068,-0.00192,0.00171
MTTO00ITA,EURA14,2005-07-22 11:59:00,0.00281,-0.00121,0.01232,0.00281,-0.00121,0.01232
MTTO00ITA,EURA14,2005-07-23 11:59:00,0.00387,-0.00177,0.00712,0.00387,-0.00177,0.00712
MTTO00ITA,EURA14,2005-07-24 11:59:00,0.0026,-0.00164,0.01008,0.0026,-0.00164,0.01008
MTTO00ITA,EURA14,2005-07-25 11:59:00,0.00444,-0.00173,0.01119,0.00444,-0.00173,0.01119
MTTO00ITA,EURA14,2005-07-26 11:59:00,0.00327,-0.00231,0.00172,0.00327,-0.00231,0.00172
MTTO00ITA,EURA14,2005-07-27 11:59:00,0.00236,-0.00178,0.00609,0.00236,-0.00178,0.00609
MTTO00ITA,EURA14,2005-07-28 11:59:00,0.00124,-0.0014,0.00641,0.00124,-0.0014,0.00641
MTTO00ITA,EURA14,2005-07-29 11:59:00,0.00264,-0.00244,0.00991,0.00264,-0.00244,0.00991
MTTO00ITA,EURA14,2005-07-30 11:59:00,0.00362,-0.00048,0.00392,0.00362,-0.00048,0.00392
MTTO00ITA,EURA14,2005-07-31 11:59:00,0.00288,-0.0007,0.01404,0.00288,-0.0007,0.01404
MTTO00ITA,EURA14,2005-08-01 11:59:00,0.00407,-0.00214,0.00676,0.00407,-0.00214,0.00676
MTTO00ITA,EURA14,2005-08-02 11:59:00,0.0055,-3e-05,0.00239,0.0055,-3e-05,0.00239
MTTO00ITA,EURA14,2005-08-03 11:59:00,0.00382,-0.00146,0.01361,0.00382,-0.00146,0.01361
MTTO00ITA,EURA14,2005-08-04 11:59:00,0.00478,-0.00185,-0.00226,0.00478,-0.00185,-0.00226
MTTO00ITA,EURA14,2005-08-05 11:59:00,0.00144,-0.00506,0.00358,0.00144,-0.00506,0.00358
MTTO00ITA,EURA14,2005-08-06 11:59:00,0.00273,0.0002,0.0061,0.00273,0.0002,0.0061
MTTO00ITA,EURA14,2005-08-07 11:59:00,0.00304,0.0006,0.00371,0.00304,0.0006,0.00371
MTTO00ITA,EURA14,2005-08-10 11:59:00,0.00412,-0.00095,0.00147,0.00412,-0.00095,0.00147
MTTO00ITA,EURA14,2005-08-11 11:59:00,0.00453,0.00041,0.00679,0.00453,0.00041,0.00679
MTTO00ITA,EURA14,2005-08-12 11:59:00,0.00222,-0.00168,0.00732,0.00222,-0.00168,0.00732
MTTO00ITA,EURA14,2005-08-13 11:59:00,0.00386,0.00013,0.00265,0.00386,0.00013,0.00265
MTTO00ITA,EURA14,2005-08-14 11:59:00,0.00241,0.00079,0.00248,0.00241,0.00079,0.00248
MTTO00ITA,EURA14,2005-08-15 11:59:00,0.00319,-0.00011,0.01018,0.00319,-0.00011,0.01018
MTTO00ITA,EURA14,2005-08-16 11:59:00,0.00548,-0.00196,0.00697,0.00548,-0.00196,0.00697
MTTO00ITA,EURA14,2005-08-17 11:59:00,0.00323,-0.0005,0.00478,0.00323,-0.0005,0.00478
MTTO00ITA,EURA14,2005-08-18 11:59:00,0.00372,-0.00056,0.01228,0.00372,-0.00056,0.01228
MTTO00ITA,EURA14,2005-08-19 11:59:00,0.00269,-0.0012,0.0038,0.00269,-0.0012,0.0038
MTTO00ITA,EURA14,2005-09-25 11:59:00,0.00278,0.00014,-0.00096,0.00278,0.00014,-0.00096
MTTO00ITA,EURA14,2005-09-26 11:59:00,0.00322,0.00161,0.01003,0.00322,0.00161,0.01003
MTTO00ITA,EURA14,2005-09-27 11:59:00,0.00206,0.00135,-0.01189,0.00206,0.00135,-0.01189
MTTO00ITA,EURA14,2005-09-28 11:59:00,0.00167,0.00129,0.00189,0.00167,0.00129,0.00189
MTTO00ITA,EURA14,2005-09-29 11:59:00,0.00237,0.00058,0.00573,0.00237,0.00058,0.00573
MTTO00ITA,EURA14,2005-09-30 11:59:00,0.00189,0.00095,0.00239,0.00189,0.00095,0.00239
MTTO00ITA,EURA14,2005-10-01 11:59:00,0.00263,-0.00092,0.00435,0.00263,-0.00092,0.00435
MTTO00ITA,EURA14,2005-10-02 11:59:00,0.00457,0.002,0.00365,0.00457,0.002,0.00365
MTTO00ITA,EURA14,2005-10-03 11:59:00,0.00072,0.00193,0.00601,0.00072,0.00193,0.00601
MTTO00ITA,EURA14,2005-10-04 11:59:00,0.00318,0.00052,0.00438,0.00318,0.00052,0.00438
MTTO00ITA,EURA14,2005-10-05 11:59:00,0.00292,0.00162,0.00417,0.00292,0.00162,0.00417
MTTO00ITA,EURA14,2005-10-06 11:59:00,0.00341,0.00072,0.00087,0.00341,0.00072,0.00087
