marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MUR100ITA,EURA14,2012-08-02 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MUR100ITA,EURA14,2012-08-03 11:59:00,0.0004,0.00139,-0.00521,0.0004,0.00139,-0.00521
MUR100ITA,EURA14,2012-08-04 11:59:00,0.00011,0.00059,0.00183,0.00011,0.00059,0.00183
MUR100ITA,EURA14,2012-08-05 11:59:00,0.00174,0.00185,-0.00105,0.00174,0.00185,-0.00105
MUR100ITA,EURA14,2012-08-06 11:59:00,0.00334,0.00164,-0.00075,0.00334,0.00164,-0.00075
MUR100ITA,EURA14,2012-08-07 11:59:00,-0.00193,0.00133,0.00337,-0.00193,0.00133,0.00337
MUR100ITA,EURA14,2012-08-08 11:59:00,-0.00013,-0.00029,0.00669,-0.00013,-0.00029,0.00669
MUR100ITA,EURA14,2012-08-09 11:59:00,-0.00103,-0.00059,0.00785,-0.00103,-0.00059,0.00785
MUR100ITA,EURA14,2012-08-10 11:59:00,-0.00117,0.00087,0.00277,-0.00117,0.00087,0.00277
MUR100ITA,EURA14,2012-08-11 11:59:00,0.00059,0.00076,6e-05,0.00059,0.00076,6e-05
MUR100ITA,EURA14,2012-08-12 11:59:00,0.00096,0.0002,0.00401,0.00096,0.0002,0.00401
MUR100ITA,EURA14,2012-08-13 11:59:00,-0.00021,0.00188,0.00816,-0.00021,0.00188,0.00816
MUR100ITA,EURA14,2012-08-14 11:59:00,-0.00073,-0.00045,0.00597,-0.00073,-0.00045,0.00597
MUR100ITA,EURA14,2012-08-15 11:59:00,0.00066,0.00068,0.00597,0.00066,0.00068,0.00597
MUR100ITA,EURA14,2012-08-16 11:59:00,-0.00044,-0.00034,0.00238,-0.00044,-0.00034,0.00238
MUR100ITA,EURA14,2012-08-17 11:59:00,0.00014,0.00067,0.00403,0.00014,0.00067,0.00403
MUR100ITA,EURA14,2012-08-18 11:59:00,0.00021,0.00169,0.004,0.00021,0.00169,0.004
MUR100ITA,EURA14,2012-08-19 11:59:00,-0.00047,-0.00023,0.00237,-0.00047,-0.00023,0.00237
MUR100ITA,EURA14,2012-08-20 11:59:00,-0.00062,-0.00026,0.00276,-0.00062,-0.00026,0.00276
MUR100ITA,EURA14,2012-08-21 11:59:00,0.00057,-0.00085,0.01264,0.00057,-0.00085,0.01264
MUR100ITA,EURA14,2012-08-22 11:59:00,0.00027,0.00046,0.00772,0.00027,0.00046,0.00772
MUR100ITA,EURA14,2012-08-23 11:59:00,0.00114,1e-05,0.00218,0.00114,1e-05,0.00218
MUR100ITA,EURA14,2012-08-24 11:59:00,-0.00028,-0.00042,0.00387,-0.00028,-0.00042,0.00387
MUR100ITA,EURA14,2012-08-25 11:59:00,0.00105,-0.00014,0.00098,0.00105,-0.00014,0.00098
