marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MURB00ITA,EURA14,2004-06-25 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MURB00ITA,EURA14,2004-06-26 11:59:00,9e-05,0.00151,0.00375,9e-05,0.00151,0.00375
MURB00ITA,EURA14,2004-06-27 11:59:00,0.00071,0.00154,0.00296,0.00071,0.00154,0.00296
MURB00ITA,EURA14,2004-06-28 11:59:00,-0.00128,0.00272,-0.00061,-0.00128,0.00272,-0.00061
MURB00ITA,EURA14,2004-06-29 11:59:00,-0.00074,-0.0001,-0.002,-0.00074,-0.0001,-0.002
MURB00ITA,EURA14,2004-06-30 11:59:00,0.00034,1e-05,-0.00177,0.00034,1e-05,-0.00177
MURB00ITA,EURA14,2004-07-01 11:59:00,-0.00111,0.00027,0.00635,-0.00111,0.00027,0.00635
MURB00ITA,EURA14,2004-07-02 11:59:00,0.00024,0.00051,-0.00522,0.00024,0.00051,-0.00522
MURB00ITA,EURA14,2004-07-03 11:59:00,-0.0013,0.00176,-0.00122,-0.0013,0.00176,-0.00122
MURB00ITA,EURA14,2004-07-04 11:59:00,-0.00045,0.00148,0.00237,-0.00045,0.00148,0.00237
MURB00ITA,EURA14,2004-07-05 11:59:00,-8e-05,0.00179,0.00571,-8e-05,0.00179,0.00571
MURB00ITA,EURA14,2004-07-06 11:59:00,0.00132,0.00011,0.00494,0.00132,0.00011,0.00494
MURB00ITA,EURA14,2004-07-07 11:59:00,-0.00273,0.00034,0.00905,-0.00273,0.00034,0.00905
MURB00ITA,EURA14,2004-07-08 11:59:00,-2e-05,0.00019,0.01007,-2e-05,0.00019,0.01007
MURB00ITA,EURA14,2004-07-09 11:59:00,0.00151,0.00014,0.01816,0.00151,0.00014,0.01816
MURB00ITA,EURA14,2004-07-10 11:59:00,-0.00076,0.00182,0.00035,-0.00076,0.00182,0.00035
MURB00ITA,EURA14,2004-07-11 11:59:00,0.00171,0.00166,-0.00453,0.00171,0.00166,-0.00453
MURB00ITA,EURA14,2004-07-12 11:59:00,-0.00018,0.00077,0.0013,-0.00018,0.00077,0.0013
MURB00ITA,EURA14,2004-07-13 11:59:00,-0.00046,0.00066,0.00663,-0.00046,0.00066,0.00663
MURB00ITA,EURA14,2004-07-14 11:59:00,-0.00137,0.0,-0.00165,-0.00137,0.0,-0.00165
MURB00ITA,EURA14,2004-07-15 11:59:00,-0.00025,0.00149,0.00061,-0.00025,0.00149,0.00061
MURB00ITA,EURA14,2004-07-16 11:59:00,0.00154,0.00106,8e-05,0.00154,0.00106,8e-05
MURB00ITA,EURA14,2004-07-17 11:59:00,0.0002,0.00075,0.00492,0.0002,0.00075,0.00492
MURB00ITA,EURA14,2004-07-18 11:59:00,0.00099,0.00064,-0.00018,0.00099,0.00064,-0.00018
MURB00ITA,EURA14,2004-07-19 11:59:00,0.00135,0.00099,0.00413,0.00135,0.00099,0.00413
MURB00ITA,EURA14,2004-07-20 11:59:00,0.00171,0.00028,0.00522,0.00171,0.00028,0.00522
MURB00ITA,EURA14,2004-07-21 11:59:00,-0.00029,0.00156,0.00644,-0.00029,0.00156,0.00644
MURB00ITA,EURA14,2004-07-22 11:59:00,0.00359,-0.00036,0.0087,0.00359,-0.00036,0.0087
MURB00ITA,EURA14,2004-07-23 11:59:00,0.00158,0.00135,0.00256,0.00158,0.00135,0.00256
MURB00ITA,EURA14,2004-07-24 11:59:00,0.0018,0.00208,-0.00093,0.0018,0.00208,-0.00093
MURB00ITA,EURA14,2004-07-25 11:59:00,0.00021,0.00118,-0.0024,0.00021,0.00118,-0.0024
MURB00ITA,EURA14,2004-07-26 11:59:00,0.0023,-0.00085,0.00847,0.0023,-0.00085,0.00847
MURB00ITA,EURA14,2004-07-27 11:59:00,0.00063,-0.00033,-0.00282,0.00063,-0.00033,-0.00282
MURB00ITA,EURA14,2004-07-28 11:59:00,0.00167,0.00079,0.00129,0.00167,0.00079,0.00129
MURB00ITA,EURA14,2004-07-29 11:59:00,0.00135,0.00111,0.00446,0.00135,0.00111,0.00446
MURB00ITA,EURA14,2004-07-30 11:59:00,0.00288,0.00247,-0.0015,0.00288,0.00247,-0.0015
MURB00ITA,EURA14,2004-07-31 11:59:00,0.00139,0.00247,0.00597,0.00139,0.00247,0.00597
MURB00ITA,EURA14,2004-08-01 11:59:00,0.00188,0.00116,0.01081,0.00188,0.00116,0.01081
MURB00ITA,EURA14,2004-08-02 11:59:00,0.00469,0.00309,0.00634,0.00469,0.00309,0.00634
MURB00ITA,EURA14,2004-08-03 11:59:00,0.00207,-0.00013,0.00195,0.00207,-0.00013,0.00195
MURB00ITA,EURA14,2004-08-04 11:59:00,0.0041,0.00268,0.0089,0.0041,0.00268,0.0089
MURB00ITA,EURA14,2004-08-05 11:59:00,0.00267,0.00102,0.00483,0.00267,0.00102,0.00483
MURB00ITA,EURA14,2004-08-06 11:59:00,0.00147,0.00341,0.00814,0.00147,0.00341,0.00814
MURB00ITA,EURA14,2004-08-07 11:59:00,0.00272,0.0028,-0.00484,0.00272,0.0028,-0.00484
MURB00ITA,EURA14,2004-08-08 11:59:00,0.00451,0.0012,0.00356,0.00451,0.0012,0.00356
MURB00ITA,EURA14,2004-08-09 11:59:00,0.00222,0.002,-0.0029,0.00222,0.002,-0.0029
MURB00ITA,EURA14,2004-08-10 11:59:00,0.00101,0.00206,0.00085,0.00101,0.00206,0.00085
MURB00ITA,EURA14,2004-08-11 11:59:00,0.0027,0.00388,-0.00044,0.0027,0.00388,-0.00044
MURB00ITA,EURA14,2004-08-12 11:59:00,0.004,0.00147,0.00152,0.004,0.00147,0.00152
