marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MVAL00ITA,EURA14,2006-06-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MVAL00ITA,EURA14,2006-06-29 11:59:00,0.00037,-0.00074,0.02193,0.00037,-0.00074,0.02193
MVAL00ITA,EURA14,2006-06-30 11:59:00,-0.00508,-0.00441,0.02481,-0.00508,-0.00441,0.02481
MVAL00ITA,EURA14,2006-07-01 11:59:00,-0.0016,-0.00219,0.00376,-0.0016,-0.00219,0.00376
MVAL00ITA,EURA14,2006-07-02 11:59:00,-0.00128,-0.00126,0.01243,-0.00128,-0.00126,0.01243
MVAL00ITA,EURA14,2006-07-03 11:59:00,-0.00324,-0.00261,0.01882,-0.00324,-0.00261,0.01882
MVAL00ITA,EURA14,2006-07-04 11:59:00,-0.0045,-0.00251,0.00909,-0.0045,-0.00251,0.00909
MVAL00ITA,EURA14,2006-07-05 11:59:00,-0.00047,-0.00042,0.00914,-0.00047,-0.00042,0.00914
MVAL00ITA,EURA14,2006-07-06 11:59:00,-0.00213,-0.00072,-0.00137,-0.00213,-0.00072,-0.00137
MVAL00ITA,EURA14,2006-07-07 11:59:00,-0.00126,0.00016,0.00607,-0.00126,0.00016,0.00607
MVAL00ITA,EURA14,2006-07-08 11:59:00,-0.00168,-0.00151,0.00441,-0.00168,-0.00151,0.00441
MVAL00ITA,EURA14,2006-07-09 11:59:00,-0.00086,-0.00248,0.00976,-0.00086,-0.00248,0.00976
MVAL00ITA,EURA14,2006-07-10 11:59:00,-0.00027,-0.00099,0.00763,-0.00027,-0.00099,0.00763
MVAL00ITA,EURA14,2006-07-11 11:59:00,-0.0005,-0.00206,0.00226,-0.0005,-0.00206,0.00226
MVAL00ITA,EURA14,2006-07-12 11:59:00,-0.00246,-0.00179,0.00048,-0.00246,-0.00179,0.00048
MVAL00ITA,EURA14,2006-07-13 11:59:00,-0.00037,-0.0003,0.00032,-0.00037,-0.0003,0.00032
MVAL00ITA,EURA14,2006-07-14 11:59:00,-0.00035,-0.0036,0.00365,-0.00035,-0.0036,0.00365
