marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
MZRA00ITA,EURA14,2019-08-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
MZRA00ITA,EURA14,2019-08-13 11:59:00,-0.000635,0.001445,0.006125,-0.000635,0.001445,0.006125
MZRA00ITA,EURA14,2019-08-14 11:59:00,-0.00127,0.00289,0.01225,-0.00127,0.00289,0.01225
MZRA00ITA,EURA14,2019-08-15 11:59:00,0.00029,-0.00084,0.00166,0.00029,-0.00084,0.00166
MZRA00ITA,EURA14,2019-08-16 11:59:00,-0.00025,-0.00038,-0.00467,-0.00025,-0.00038,-0.00467
MZRA00ITA,EURA14,2019-08-17 11:59:00,-0.00072,-0.00033,-0.0016,-0.00072,-0.00033,-0.0016
MZRA00ITA,EURA14,2019-08-18 11:59:00,-0.00017,-0.00076,-0.00109,-0.00017,-0.00076,-0.00109
MZRA00ITA,EURA14,2019-08-19 11:59:00,0.00034,-0.00118,0.00332,0.00034,-0.00118,0.00332
MZRA00ITA,EURA14,2019-08-20 11:59:00,0.00027,-0.00106,0.00119,0.00027,-0.00106,0.00119
MZRA00ITA,EURA14,2019-08-21 11:59:00,-0.00077,0.00112,0.00034,-0.00077,0.00112,0.00034
MZRA00ITA,EURA14,2019-08-22 11:59:00,-0.00101,0.00248,0.00529,-0.00101,0.00248,0.00529
MZRA00ITA,EURA14,2019-08-23 11:59:00,0.00158,0.00244,0.00135,0.00158,0.00244,0.00135
MZRA00ITA,EURA14,2019-08-24 11:59:00,-0.00048,-0.00022,-0.00626,-0.00048,-0.00022,-0.00626
MZRA00ITA,EURA14,2019-08-25 11:59:00,-0.00077,-0.00177,0.00352,-0.00077,-0.00177,0.00352
MZRA00ITA,EURA14,2019-08-26 11:59:00,-0.00026,0.00097,0.00114,-0.00026,0.00097,0.00114
MZRA00ITA,EURA14,2019-08-27 11:59:00,0.00057,-0.00063,0.00102,0.00057,-0.00063,0.00102
MZRA00ITA,EURA14,2019-08-28 11:59:00,-0.00096,-0.0013,-0.00021,-0.00096,-0.0013,-0.00021
MZRA00ITA,EURA14,2019-08-29 11:59:00,0.00071,0.00021,0.00059,0.00071,0.00021,0.00059
MZRA00ITA,EURA14,2019-08-30 11:59:00,0.00109,0.0004,0.00087,0.00109,0.0004,0.00087
MZRA00ITA,EURA14,2019-08-31 11:59:00,0.00081,-0.00118,0.00187,0.00081,-0.00118,0.00187
MZRA00ITA,EURA14,2019-09-01 11:59:00,0.00108,0.00072,-0.0033,0.00108,0.00072,-0.0033
MZRA00ITA,EURA14,2019-09-02 11:59:00,0.00062,-5e-05,0.00066,0.00062,-5e-05,0.00066
MZRA00ITA,EURA14,2019-09-03 11:59:00,-0.00092,-0.0011,0.00164,-0.00092,-0.0011,0.00164
MZRA00ITA,EURA14,2019-09-04 11:59:00,0.00173,0.00023,0.00143,0.00173,0.00023,0.00143
MZRA00ITA,EURA14,2019-09-05 11:59:00,0.00041,0.00015,-0.00456,0.00041,0.00015,-0.00456
MZRA00ITA,EURA14,2019-09-06 11:59:00,-0.00372,0.0006,-0.00942,-0.00372,0.0006,-0.00942
MZRA00ITA,EURA14,2019-09-07 11:59:00,-0.00224,0.00131,-0.0077,-0.00224,0.00131,-0.0077
MZRA00ITA,EURA14,2019-09-08 11:59:00,-0.00144,-0.00128,-0.0006,-0.00144,-0.00128,-0.0006
MZRA00ITA,EURA14,2019-09-09 11:59:00,-0.00081,0.00043,0.00559,-0.00081,0.00043,0.00559
MZRA00ITA,EURA14,2019-09-10 11:59:00,0.00117,0.00079,0.00548,0.00117,0.00079,0.00548
MZRA00ITA,EURA14,2019-09-11 11:59:00,0.00082,-0.00034,-0.00084,0.00082,-0.00034,-0.00084
MZRA00ITA,EURA14,2019-09-12 11:59:00,0.00095,0.00101,-0.00262,0.00095,0.00101,-0.00262
MZRA00ITA,EURA14,2019-09-13 11:59:00,0.00054,0.00151,-0.00085,0.00054,0.00151,-0.00085
MZRA00ITA,EURA14,2019-09-14 11:59:00,0.00103,0.00061,-0.00398,0.00103,0.00061,-0.00398
MZRA00ITA,EURA14,2019-09-15 11:59:00,0.00074,0.00049,-0.00425,0.00074,0.00049,-0.00425
MZRA00ITA,EURA14,2019-09-16 11:59:00,-0.00027,0.00149,0.00273,-0.00027,0.00149,0.00273
MZRA00ITA,EURA14,2019-09-17 11:59:00,0.00087,0.00128,0.00136,0.00087,0.00128,0.00136
MZRA00ITA,EURA14,2019-09-18 11:59:00,0.00028,0.00038,0.0001,0.00028,0.00038,0.0001
MZRA00ITA,EURA14,2019-09-19 11:59:00,0.0012,-0.00178,0.00383,0.0012,-0.00178,0.00383
MZRA00ITA,EURA14,2019-09-20 11:59:00,0.00099,3e-05,0.0016,0.00099,3e-05,0.0016
MZRA00ITA,EURA14,2019-09-21 11:59:00,0.0014,0.0005,-0.00067,0.0014,0.0005,-0.00067
MZRA00ITA,EURA14,2019-09-22 11:59:00,-0.00151,-0.00204,-0.00407,-0.00151,-0.00204,-0.00407
MZRA00ITA,EURA14,2019-09-23 11:59:00,-0.00015,0.0017,0.00314,-0.00015,0.0017,0.00314
