marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
NEMI00ITA,EURA14,2006-05-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
NEMI00ITA,EURA14,2006-05-25 11:59:00,0.00183,-0.0016,0.00536,0.00183,-0.0016,0.00536
NEMI00ITA,EURA14,2006-05-26 11:59:00,0.0024,-0.00176,0.0061,0.0024,-0.00176,0.0061
NEMI00ITA,EURA14,2006-05-27 11:59:00,0.00367,-0.00198,0.00758,0.00367,-0.00198,0.00758
NEMI00ITA,EURA14,2006-05-28 11:59:00,0.00371,-0.00167,0.01407,0.00371,-0.00167,0.01407
NEMI00ITA,EURA14,2006-05-29 11:59:00,0.00449,-0.00423,0.00792,0.00449,-0.00423,0.00792
NEMI00ITA,EURA14,2006-05-30 11:59:00,0.00084,-0.00229,0.0114,0.00084,-0.00229,0.0114
NEMI00ITA,EURA14,2006-05-31 11:59:00,0.00148,-0.00239,0.01786,0.00148,-0.00239,0.01786
NEMI00ITA,EURA14,2006-06-01 11:59:00,0.00445,-0.00125,0.00809,0.00445,-0.00125,0.00809
NEMI00ITA,EURA14,2006-06-02 11:59:00,0.00419,-0.00119,0.01245,0.00419,-0.00119,0.01245
NEMI00ITA,EURA14,2006-06-03 11:59:00,0.00365,-0.00238,0.00607,0.00365,-0.00238,0.00607
NEMI00ITA,EURA14,2006-06-04 11:59:00,0.00414,-0.00201,0.00932,0.00414,-0.00201,0.00932
NEMI00ITA,EURA14,2006-06-05 11:59:00,0.00279,-0.0014,0.00151,0.00279,-0.0014,0.00151
NEMI00ITA,EURA14,2006-06-06 11:59:00,0.00431,-0.00087,0.00777,0.00431,-0.00087,0.00777
NEMI00ITA,EURA14,2006-06-07 11:59:00,0.00345,-0.0023,0.00754,0.00345,-0.0023,0.00754
NEMI00ITA,EURA14,2006-06-08 11:59:00,0.00327,-0.00302,0.01155,0.00327,-0.00302,0.01155
NEMI00ITA,EURA14,2006-06-09 11:59:00,0.00239,-0.00254,0.00296,0.00239,-0.00254,0.00296
NEMI00ITA,EURA14,2006-06-10 11:59:00,0.00503,-0.00264,0.00178,0.00503,-0.00264,0.00178
NEMI00ITA,EURA14,2006-06-11 11:59:00,0.00425,-0.00235,0.00798,0.00425,-0.00235,0.00798
NEMI00ITA,EURA14,2006-06-12 11:59:00,0.00527,-0.00177,0.01568,0.00527,-0.00177,0.01568
NEMI00ITA,EURA14,2006-06-13 11:59:00,0.00555,-0.00174,0.00589,0.00555,-0.00174,0.00589
NEMI00ITA,EURA14,2006-06-14 11:59:00,0.00396,-0.00487,0.01446,0.00396,-0.00487,0.01446
NEMI00ITA,EURA14,2006-06-15 11:59:00,0.00393,-0.00352,0.00991,0.00393,-0.00352,0.00991
NEMI00ITA,EURA14,2006-06-16 11:59:00,0.0049,-0.00282,0.01217,0.0049,-0.00282,0.01217
NEMI00ITA,EURA14,2006-06-17 11:59:00,0.00316,-0.00289,0.01559,0.00316,-0.00289,0.01559
NEMI00ITA,EURA14,2006-06-18 11:59:00,0.00281,-0.00201,0.00744,0.00281,-0.00201,0.00744
NEMI00ITA,EURA14,2006-06-19 11:59:00,0.00285,-0.0025,0.01077,0.00285,-0.0025,0.01077
NEMI00ITA,EURA14,2006-06-20 11:59:00,0.00219,-0.00363,0.00787,0.00219,-0.00363,0.00787
NEMI00ITA,EURA14,2006-06-21 11:59:00,0.00399,-0.0033,0.00919,0.00399,-0.0033,0.00919
NEMI00ITA,EURA14,2006-06-22 11:59:00,0.0027,-0.00239,0.01018,0.0027,-0.00239,0.01018
NEMI00ITA,EURA14,2006-06-23 11:59:00,0.00274,-0.00249,0.00776,0.00274,-0.00249,0.00776
NEMI00ITA,EURA14,2006-06-24 11:59:00,0.00217,-0.00316,0.01421,0.00217,-0.00316,0.01421
NEMI00ITA,EURA14,2006-06-25 11:59:00,0.00264,-0.00374,0.01255,0.00264,-0.00374,0.01255
NEMI00ITA,EURA14,2006-06-26 11:59:00,0.00279,-0.00435,0.01126,0.00279,-0.00435,0.01126
NEMI00ITA,EURA14,2006-06-27 11:59:00,0.0016,-0.0032,0.00656,0.0016,-0.0032,0.00656
NEMI00ITA,EURA14,2006-06-28 11:59:00,0.00239,-0.00259,0.00825,0.00239,-0.00259,0.00825
NEMI00ITA,EURA14,2006-06-29 11:59:00,0.00302,-0.00414,0.01159,0.00302,-0.00414,0.01159
NEMI00ITA,EURA14,2006-06-30 11:59:00,0.00277,-0.0026,0.00506,0.00277,-0.0026,0.00506
NEMI00ITA,EURA14,2006-07-01 11:59:00,0.00431,-0.00154,0.00483,0.00431,-0.00154,0.00483
NEMI00ITA,EURA14,2006-07-02 11:59:00,0.00557,-0.00229,0.00395,0.00557,-0.00229,0.00395
NEMI00ITA,EURA14,2006-07-03 11:59:00,0.00377,-0.00167,-0.00036,0.00377,-0.00167,-0.00036
NEMI00ITA,EURA14,2006-07-04 11:59:00,0.00616,-0.00106,0.00444,0.00616,-0.00106,0.00444
NEMI00ITA,EURA14,2006-07-05 11:59:00,0.00373,-0.00099,0.00506,0.00373,-0.00099,0.00506
NEMI00ITA,EURA14,2006-07-06 11:59:00,0.00254,-0.00165,-0.00344,0.00254,-0.00165,-0.00344
NEMI00ITA,EURA14,2006-07-07 11:59:00,0.0082,-0.00414,0.01664,0.0082,-0.00414,0.01664
NEMI00ITA,EURA14,2006-07-08 11:59:00,0.00286,-0.00508,0.00803,0.00286,-0.00508,0.00803
NEMI00ITA,EURA14,2006-07-09 11:59:00,0.00478,-0.00151,0.00923,0.00478,-0.00151,0.00923
NEMI00ITA,EURA14,2006-07-10 11:59:00,0.0012,-0.00443,0.00652,0.0012,-0.00443,0.00652
NEMI00ITA,EURA14,2006-07-11 11:59:00,0.00375,-0.00283,0.01309,0.00375,-0.00283,0.01309
NEMI00ITA,EURA14,2006-07-12 11:59:00,0.0007,-0.00447,0.01022,0.0007,-0.00447,0.01022
NEMI00ITA,EURA14,2006-07-13 11:59:00,0.00304,-0.00021,0.00579,0.00304,-0.00021,0.00579
NEMI00ITA,EURA14,2006-07-14 11:59:00,0.00547,-0.00236,0.00768,0.00547,-0.00236,0.00768
NEMI00ITA,EURA14,2006-07-15 11:59:00,0.00313,-0.00243,0.00537,0.00313,-0.00243,0.00537
NEMI00ITA,EURA14,2006-07-16 11:59:00,0.0041,-0.0022,0.01067,0.0041,-0.0022,0.01067
NEMI00ITA,EURA14,2006-07-17 11:59:00,0.00373,-0.00042,0.0034,0.00373,-0.00042,0.0034
NEMI00ITA,EURA14,2006-07-18 11:59:00,0.00243,-0.00221,0.0079,0.00243,-0.00221,0.0079
NEMI00ITA,EURA14,2006-07-19 11:59:00,0.0029,-0.00144,0.00496,0.0029,-0.00144,0.00496
NEMI00ITA,EURA14,2006-07-20 11:59:00,0.00112,-0.00296,0.00764,0.00112,-0.00296,0.00764
NEMI00ITA,EURA14,2006-07-21 11:59:00,0.00355,-0.0026,0.01254,0.00355,-0.0026,0.01254
NEMI00ITA,EURA14,2006-07-22 11:59:00,0.00229,-0.00491,0.00562,0.00229,-0.00491,0.00562
NEMI00ITA,EURA14,2006-07-23 11:59:00,0.00204,-0.00271,0.01584,0.00204,-0.00271,0.01584
NEMI00ITA,EURA14,2006-07-24 11:59:00,-0.00222,-0.00341,0.0215,-0.00222,-0.00341,0.0215
NEMI00ITA,EURA14,2006-07-25 11:59:00,0.00084,-0.00334,0.00809,0.00084,-0.00334,0.00809
NEMI00ITA,EURA14,2006-07-26 11:59:00,0.00459,-0.00384,0.01001,0.00459,-0.00384,0.01001
NEMI00ITA,EURA14,2006-07-27 11:59:00,0.00234,-0.00459,0.00426,0.00234,-0.00459,0.00426
NEMI00ITA,EURA14,2006-07-28 11:59:00,0.00129,-0.00101,0.00883,0.00129,-0.00101,0.00883
NEMI00ITA,EURA14,2006-07-29 11:59:00,0.00163,-0.00378,0.01252,0.00163,-0.00378,0.01252
NEMI00ITA,EURA14,2006-07-30 11:59:00,0.00303,-0.00019,0.00761,0.00303,-0.00019,0.00761
NEMI00ITA,EURA14,2006-07-31 11:59:00,0.00328,-0.00116,-0.00091,0.00328,-0.00116,-0.00091
NEMI00ITA,EURA14,2006-08-01 11:59:00,0.00481,-0.00301,0.00715,0.00481,-0.00301,0.00715
NEMI00ITA,EURA14,2006-08-02 11:59:00,0.00171,-0.00279,0.00712,0.00171,-0.00279,0.00712
NEMI00ITA,EURA14,2006-08-03 11:59:00,-0.00041,-0.0044,0.00126,-0.00041,-0.0044,0.00126
NEMI00ITA,EURA14,2006-08-04 11:59:00,0.00021,-0.00097,0.00959,0.00021,-0.00097,0.00959
NEMI00ITA,EURA14,2006-08-05 11:59:00,-0.0002,-0.00324,0.01166,-0.0002,-0.00324,0.01166
NEMI00ITA,EURA14,2006-08-06 11:59:00,0.00474,-0.00502,0.00842,0.00474,-0.00502,0.00842
NEMI00ITA,EURA14,2006-08-07 11:59:00,0.00297,-0.00158,-0.00461,0.00297,-0.00158,-0.00461
NEMI00ITA,EURA14,2006-08-08 11:59:00,0.00454,-0.00519,0.00221,0.00454,-0.00519,0.00221
NEMI00ITA,EURA14,2006-08-09 11:59:00,0.00348,-0.0047,0.00045,0.00348,-0.0047,0.00045
NEMI00ITA,EURA14,2006-08-10 11:59:00,0.00066,-0.00334,0.00807,0.00066,-0.00334,0.00807
NEMI00ITA,EURA14,2006-08-11 11:59:00,0.00308,-0.0038,0.00452,0.00308,-0.0038,0.00452
NEMI00ITA,EURA14,2006-08-12 11:59:00,0.00345,-0.00315,0.00882,0.00345,-0.00315,0.00882
NEMI00ITA,EURA14,2006-08-13 11:59:00,0.00339,-0.00175,0.00368,0.00339,-0.00175,0.00368
NEMI00ITA,EURA14,2006-08-14 11:59:00,0.00541,-0.00348,0.00434,0.00541,-0.00348,0.00434
NEMI00ITA,EURA14,2006-08-15 11:59:00,0.00265,-0.00312,0.00025,0.00265,-0.00312,0.00025
NEMI00ITA,EURA14,2006-08-16 11:59:00,0.00196,-0.00311,0.00819,0.00196,-0.00311,0.00819
NEMI00ITA,EURA14,2006-08-17 11:59:00,0.00294,-0.004,0.00793,0.00294,-0.004,0.00793
NEMI00ITA,EURA14,2006-08-18 11:59:00,0.00173,-0.0026,0.01088,0.00173,-0.0026,0.01088
NEMI00ITA,EURA14,2006-08-19 11:59:00,0.00359,-0.00385,0.00943,0.00359,-0.00385,0.00943
