marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
NRC200ITA,EURA14,2017-05-02 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
NRC200ITA,EURA14,2017-05-03 11:59:00,-0.00264,-0.00202,0.00688,-0.00264,-0.00202,0.00688
NRC200ITA,EURA14,2017-05-04 11:59:00,-0.00351,-0.00347,0.01248,-0.00351,-0.00347,0.01248
NRC200ITA,EURA14,2017-05-05 11:59:00,-0.00376,-0.00253,0.01088,-0.00376,-0.00253,0.01088
NRC200ITA,EURA14,2017-05-06 11:59:00,-0.00295,-0.00239,0.00927,-0.00295,-0.00239,0.00927
NRC200ITA,EURA14,2017-05-07 11:59:00,-0.00238,-0.00229,0.01303,-0.00238,-0.00229,0.01303
NRC200ITA,EURA14,2017-05-08 11:59:00,-0.0016,-0.00272,0.00629,-0.0016,-0.00272,0.00629
NRC200ITA,EURA14,2017-05-09 11:59:00,-0.00144,-0.00114,0.00604,-0.00144,-0.00114,0.00604
NRC200ITA,EURA14,2017-05-10 11:59:00,-0.00058,-0.0006,0.00102,-0.00058,-0.0006,0.00102
NRC200ITA,EURA14,2017-05-11 11:59:00,-0.00132,-0.00156,0.01064,-0.00132,-0.00156,0.01064
NRC200ITA,EURA14,2017-05-12 11:59:00,-0.00088,-0.00647,0.0008,-0.00088,-0.00647,0.0008
NRC200ITA,EURA14,2017-05-13 11:59:00,-0.00134,-0.00221,0.00636,-0.00134,-0.00221,0.00636
NRC200ITA,EURA14,2017-05-14 11:59:00,-0.0033,-0.00185,0.00033,-0.0033,-0.00185,0.00033
NRC200ITA,EURA14,2017-05-15 11:59:00,-0.00105,-0.00066,-0.00295,-0.00105,-0.00066,-0.00295
NRC200ITA,EURA14,2017-05-16 11:59:00,-0.00109,-0.00169,0.01416,-0.00109,-0.00169,0.01416
NRC200ITA,EURA14,2017-05-17 11:59:00,-0.00249,-0.00171,-5e-05,-0.00249,-0.00171,-5e-05
NRC200ITA,EURA14,2017-05-18 11:59:00,-0.0014,-0.00175,-0.00163,-0.0014,-0.00175,-0.00163
NRC200ITA,EURA14,2017-05-19 11:59:00,-0.00414,-0.00353,0.00457,-0.00414,-0.00353,0.00457
NRC200ITA,EURA14,2017-05-20 11:59:00,-0.00244,-0.00298,-0.0005,-0.00244,-0.00298,-0.0005
NRC200ITA,EURA14,2017-05-21 11:59:00,0.00029,-0.00033,-0.0066,0.00029,-0.00033,-0.0066
NRC200ITA,EURA14,2017-05-22 11:59:00,9e-05,-0.00187,0.00056,9e-05,-0.00187,0.00056
NRC200ITA,EURA14,2017-05-23 11:59:00,-0.00348,-0.00165,-4e-05,-0.00348,-0.00165,-4e-05
NRC200ITA,EURA14,2017-05-24 11:59:00,-0.00194,-0.00439,0.00236,-0.00194,-0.00439,0.00236
NRC200ITA,EURA14,2017-05-25 11:59:00,-0.00213,-0.00076,-0.0048,-0.00213,-0.00076,-0.0048
NRC200ITA,EURA14,2017-05-26 11:59:00,-0.00195,-0.00244,0.00322,-0.00195,-0.00244,0.00322
NRC200ITA,EURA14,2017-05-27 11:59:00,-0.00077,-0.00114,0.00061,-0.00077,-0.00114,0.00061
NRC200ITA,EURA14,2017-05-28 11:59:00,-0.00081,-0.00165,-0.00112,-0.00081,-0.00165,-0.00112
NRC200ITA,EURA14,2017-05-29 11:59:00,-0.00181,-0.00251,0.00286,-0.00181,-0.00251,0.00286
NRC200ITA,EURA14,2017-05-30 11:59:00,-0.00275,-0.00285,0.00196,-0.00275,-0.00285,0.00196
NRC200ITA,EURA14,2017-05-31 11:59:00,-0.00377,-0.00296,-0.00254,-0.00377,-0.00296,-0.00254
NRC200ITA,EURA14,2017-06-03 11:59:00,-0.00204,-0.00487,0.0045,-0.00204,-0.00487,0.0045
NRC200ITA,EURA14,2017-06-04 11:59:00,-0.00381,-0.00187,0.00315,-0.00381,-0.00187,0.00315
NRC200ITA,EURA14,2017-06-05 11:59:00,-0.00583,-0.00359,0.00403,-0.00583,-0.00359,0.00403
NRC200ITA,EURA14,2017-06-06 11:59:00,-0.00364,-0.00309,0.00267,-0.00364,-0.00309,0.00267
NRC200ITA,EURA14,2017-06-07 11:59:00,-0.0056,-0.00406,-0.00021,-0.0056,-0.00406,-0.00021
NRC200ITA,EURA14,2017-06-08 11:59:00,-0.00434,-0.00185,-0.00123,-0.00434,-0.00185,-0.00123
NRC200ITA,EURA14,2017-06-09 11:59:00,-0.00373,-0.00294,0.00102,-0.00373,-0.00294,0.00102
NRC200ITA,EURA14,2017-06-10 11:59:00,-0.00242,-0.00251,0.00349,-0.00242,-0.00251,0.00349
NRC200ITA,EURA14,2017-06-11 11:59:00,-0.00499,-0.00072,0.00149,-0.00499,-0.00072,0.00149
NRC200ITA,EURA14,2017-06-12 11:59:00,-0.00339,-0.00318,0.00326,-0.00339,-0.00318,0.00326
NRC200ITA,EURA14,2017-06-13 11:59:00,-0.00437,-0.00254,-0.00083,-0.00437,-0.00254,-0.00083
NRC200ITA,EURA14,2017-06-14 11:59:00,-0.00453,-0.00532,0.0117,-0.00453,-0.00532,0.0117
NRC200ITA,EURA14,2017-06-15 11:59:00,-0.00465,-0.00308,0.00481,-0.00465,-0.00308,0.00481
NRC200ITA,EURA14,2017-06-16 11:59:00,-0.00605,-0.00449,0.00954,-0.00605,-0.00449,0.00954
NRC200ITA,EURA14,2017-06-17 11:59:00,-0.00549,0.00108,0.0098,-0.00549,0.00108,0.0098
NRC200ITA,EURA14,2017-06-18 11:59:00,-0.00515,-0.00239,-0.00069,-0.00515,-0.00239,-0.00069
NRC200ITA,EURA14,2017-06-19 11:59:00,-0.00494,-0.00346,-0.00391,-0.00494,-0.00346,-0.00391
NRC200ITA,EURA14,2017-06-20 11:59:00,-0.00493,-0.00256,0.00464,-0.00493,-0.00256,0.00464
NRC200ITA,EURA14,2017-06-21 11:59:00,-0.00513,-0.00408,0.00654,-0.00513,-0.00408,0.00654
NRC200ITA,EURA14,2017-06-22 11:59:00,-0.0066,-0.00376,0.00629,-0.0066,-0.00376,0.00629
NRC200ITA,EURA14,2017-06-23 11:59:00,-0.00621,-0.00351,0.00652,-0.00621,-0.00351,0.00652
NRC200ITA,EURA14,2017-06-24 11:59:00,-0.00559,-0.00117,0.00102,-0.00559,-0.00117,0.00102
NRC200ITA,EURA14,2017-06-25 11:59:00,-0.00555,-0.00593,0.00932,-0.00555,-0.00593,0.00932
NRC200ITA,EURA14,2017-06-26 11:59:00,-0.00375,-0.00356,0.01199,-0.00375,-0.00356,0.01199
NRC200ITA,EURA14,2017-06-27 11:59:00,-0.004665,-0.003715,0.01234,-0.004665,-0.003715,0.01234
NRC200ITA,EURA14,2017-06-28 11:59:00,-0.00558,-0.00387,0.01269,-0.00558,-0.00387,0.01269
NRC200ITA,EURA14,2017-07-03 11:59:00,-0.00393,-0.00359,0.01182,-0.00393,-0.00359,0.01182
NRC200ITA,EURA14,2017-07-04 11:59:00,-0.0022,-0.00216,0.00229,-0.0022,-0.00216,0.00229
NRC200ITA,EURA14,2017-07-05 11:59:00,-0.00273,-0.00124,0.00657,-0.00273,-0.00124,0.00657
NRC200ITA,EURA14,2017-07-06 11:59:00,-0.00302,-0.00287,0.00723,-0.00302,-0.00287,0.00723
NRC200ITA,EURA14,2017-07-07 11:59:00,-0.00394,-0.00147,0.00102,-0.00394,-0.00147,0.00102
NRC200ITA,EURA14,2017-07-08 11:59:00,-0.00419,-0.00407,0.0066,-0.00419,-0.00407,0.0066
NRC200ITA,EURA14,2017-07-09 11:59:00,-0.0047,-0.00236,0.00911,-0.0047,-0.00236,0.00911
NRC200ITA,EURA14,2017-07-10 11:59:00,-0.00534,-0.00883,0.02199,-0.00534,-0.00883,0.02199
NRC200ITA,EURA14,2017-07-11 11:59:00,-0.00855,-0.00548,0.00904,-0.00855,-0.00548,0.00904
NRC200ITA,EURA14,2017-07-12 11:59:00,-0.00858,-0.00429,0.01008,-0.00858,-0.00429,0.01008
NRC200ITA,EURA14,2017-07-13 11:59:00,-0.00442,-0.00362,0.00788,-0.00442,-0.00362,0.00788
NRC200ITA,EURA14,2017-07-14 11:59:00,-0.00344,-0.00407,0.01828,-0.00344,-0.00407,0.01828
NRC200ITA,EURA14,2017-07-15 11:59:00,-0.00989,-0.00233,0.0119,-0.00989,-0.00233,0.0119
NRC200ITA,EURA14,2017-07-16 11:59:00,-0.00349,-0.00198,0.00139,-0.00349,-0.00198,0.00139
NRC200ITA,EURA14,2017-07-17 11:59:00,-0.00344,-0.00359,0.01011,-0.00344,-0.00359,0.01011
NRC200ITA,EURA14,2017-07-18 11:59:00,-0.00427,-0.00303,0.00596,-0.00427,-0.00303,0.00596
NRC200ITA,EURA14,2017-07-19 11:59:00,-0.00474,-0.00295,0.00639,-0.00474,-0.00295,0.00639
NRC200ITA,EURA14,2017-07-20 11:59:00,-0.00519,-0.00285,0.00888,-0.00519,-0.00285,0.00888
NRC200ITA,EURA14,2017-07-21 11:59:00,-0.00554,-0.00212,0.00369,-0.00554,-0.00212,0.00369
NRC200ITA,EURA14,2017-07-22 11:59:00,-0.00424,-0.00515,0.00645,-0.00424,-0.00515,0.00645
NRC200ITA,EURA14,2017-07-23 11:59:00,-0.00331,-0.00699,0.014,-0.00331,-0.00699,0.014
NRC200ITA,EURA14,2017-07-24 11:59:00,-0.00341,-0.00587,0.02392,-0.00341,-0.00587,0.02392
NRC200ITA,EURA14,2017-07-25 11:59:00,-0.0042,-0.0032,0.01419,-0.0042,-0.0032,0.01419
NRC200ITA,EURA14,2017-07-26 11:59:00,-0.00373,-0.00528,0.00432,-0.00373,-0.00528,0.00432
NRC200ITA,EURA14,2017-07-27 11:59:00,-0.00409,-0.00342,0.01646,-0.00409,-0.00342,0.01646
NRC200ITA,EURA14,2017-07-28 11:59:00,-0.00616,-0.0025,0.00482,-0.00616,-0.0025,0.00482
NRC200ITA,EURA14,2017-07-29 11:59:00,-0.0042,-0.00335,0.00539,-0.0042,-0.00335,0.00539
NRC200ITA,EURA14,2017-07-30 11:59:00,-0.00418,-0.00262,0.00022,-0.00418,-0.00262,0.00022
NRC200ITA,EURA14,2017-07-31 11:59:00,-0.00454,-0.00298,0.00391,-0.00454,-0.00298,0.00391
NRC200ITA,EURA14,2017-08-01 11:59:00,-0.00393,-0.00349,0.00976,-0.00393,-0.00349,0.00976
NRC200ITA,EURA14,2017-08-02 11:59:00,-0.00515,-0.0042,0.01147,-0.00515,-0.0042,0.01147
NRC200ITA,EURA14,2017-08-03 11:59:00,-0.0050750000000000005,-0.00397,0.009675,-0.0050750000000000005,-0.00397,0.009675
NRC200ITA,EURA14,2017-08-04 11:59:00,-0.005,-0.00374,0.00788,-0.005,-0.00374,0.00788
NRC200ITA,EURA14,2017-08-05 11:59:00,-0.00528,-0.0037,0.0098,-0.00528,-0.0037,0.0098
