marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
NRCI00ITA,EURA14,2016-04-26 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
NRCI00ITA,EURA14,2016-04-27 11:59:00,-0.00148,-0.00053,0.00387,-0.00148,-0.00053,0.00387
NRCI00ITA,EURA14,2016-04-28 11:59:00,0.00085,0.00264,0.00284,0.00085,0.00264,0.00284
NRCI00ITA,EURA14,2016-04-29 11:59:00,0.00145,0.00347,-0.00191,0.00145,0.00347,-0.00191
NRCI00ITA,EURA14,2016-04-30 11:59:00,0.00078,0.00439,-0.00536,0.00078,0.00439,-0.00536
NRCI00ITA,EURA14,2016-05-01 11:59:00,0.00177,0.00277,0.00785,0.00177,0.00277,0.00785
NRCI00ITA,EURA14,2016-05-02 11:59:00,0.00205,0.00469,-0.00809,0.00205,0.00469,-0.00809
NRCI00ITA,EURA14,2016-05-03 11:59:00,0.00189,0.00378,-0.0061,0.00189,0.00378,-0.0061
NRCI00ITA,EURA14,2016-05-04 11:59:00,0.0011,0.00233,-0.00241,0.0011,0.00233,-0.00241
NRCI00ITA,EURA14,2016-05-05 11:59:00,0.00077,0.00277,-0.0038,0.00077,0.00277,-0.0038
NRCI00ITA,EURA14,2016-05-06 11:59:00,0.00242,0.00232,0.00443,0.00242,0.00232,0.00443
NRCI00ITA,EURA14,2016-05-07 11:59:00,0.00146,0.00244,-0.00442,0.00146,0.00244,-0.00442
NRCI00ITA,EURA14,2016-05-08 11:59:00,0.00244,0.00101,0.00116,0.00244,0.00101,0.00116
NRCI00ITA,EURA14,2016-05-09 11:59:00,0.00185,0.00349,-0.00489,0.00185,0.00349,-0.00489
NRCI00ITA,EURA14,2016-05-10 11:59:00,0.00141,0.00294,-0.00526,0.00141,0.00294,-0.00526
NRCI00ITA,EURA14,2016-05-11 11:59:00,0.00049,0.00211,0.00831,0.00049,0.00211,0.00831
NRCI00ITA,EURA14,2016-05-12 11:59:00,0.00018,0.00231,0.00656,0.00018,0.00231,0.00656
NRCI00ITA,EURA14,2016-05-13 11:59:00,0.00074,0.00194,0.00368,0.00074,0.00194,0.00368
NRCI00ITA,EURA14,2016-05-14 11:59:00,0.00059,0.00297,-0.00466,0.00059,0.00297,-0.00466
NRCI00ITA,EURA14,2016-05-15 11:59:00,0.00182,0.00218,-0.00041,0.00182,0.00218,-0.00041
NRCI00ITA,EURA14,2016-05-16 11:59:00,0.00263,0.00343,-0.0065,0.00263,0.00343,-0.0065
NRCI00ITA,EURA14,2016-05-17 11:59:00,0.00174,0.00412,-0.00569,0.00174,0.00412,-0.00569
NRCI00ITA,EURA14,2016-05-18 11:59:00,0.00064,0.00364,-0.01102,0.00064,0.00364,-0.01102
NRCI00ITA,EURA14,2016-05-19 11:59:00,0.0022,0.00323,-0.00378,0.0022,0.00323,-0.00378
NRCI00ITA,EURA14,2016-05-20 11:59:00,0.00411,0.00921,0.0102,0.00411,0.00921,0.0102
NRCI00ITA,EURA14,2016-05-21 11:59:00,0.00135,0.00545,-0.00696,0.00135,0.00545,-0.00696
NRCI00ITA,EURA14,2016-05-22 11:59:00,0.00145,0.00278,-0.00844,0.00145,0.00278,-0.00844
NRCI00ITA,EURA14,2016-05-23 11:59:00,-0.00031,0.00372,0.00118,-0.00031,0.00372,0.00118
NRCI00ITA,EURA14,2016-05-24 11:59:00,0.00088,0.00178,-0.00052,0.00088,0.00178,-0.00052
NRCI00ITA,EURA14,2016-05-25 11:59:00,0.00028,0.00413,-0.00712,0.00028,0.00413,-0.00712
NRCI00ITA,EURA14,2016-05-26 11:59:00,0.00139,0.00407,-0.00376,0.00139,0.00407,-0.00376
NRCI00ITA,EURA14,2016-05-27 11:59:00,0.00173,0.00315,-0.0056,0.00173,0.00315,-0.0056
NRCI00ITA,EURA14,2016-05-30 11:59:00,0.0015,0.0029,-0.01613,0.0015,0.0029,-0.01613
NRCI00ITA,EURA14,2016-05-31 11:59:00,0.00285,0.00204,0.00292,0.00285,0.00204,0.00292
NRCI00ITA,EURA14,2016-06-01 11:59:00,0.00072,0.0027,-0.00401,0.00072,0.0027,-0.00401
NRCI00ITA,EURA14,2016-06-02 11:59:00,0.0007,0.00344,-0.00236,0.0007,0.00344,-0.00236
NRCI00ITA,EURA14,2016-06-03 11:59:00,0.00142,0.00422,-0.0039,0.00142,0.00422,-0.0039
NRCI00ITA,EURA14,2016-06-04 11:59:00,0.00059,0.00489,-0.00378,0.00059,0.00489,-0.00378
NRCI00ITA,EURA14,2016-06-05 11:59:00,0.00014,0.00356,-0.00285,0.00014,0.00356,-0.00285
NRCI00ITA,EURA14,2016-06-06 11:59:00,-0.00051,0.00204,-0.00818,-0.00051,0.00204,-0.00818
NRCI00ITA,EURA14,2016-06-07 11:59:00,0.00103,0.00371,-0.00356,0.00103,0.00371,-0.00356
NRCI00ITA,EURA14,2016-06-08 11:59:00,-0.00028,0.00466,-0.00851,-0.00028,0.00466,-0.00851
NRCI00ITA,EURA14,2016-06-09 11:59:00,0.00107,0.00464,-0.00811,0.00107,0.00464,-0.00811
NRCI00ITA,EURA14,2016-06-10 11:59:00,0.00044,0.00503,-0.00558,0.00044,0.00503,-0.00558
NRCI00ITA,EURA14,2016-06-11 11:59:00,-0.00083,0.00191,-0.00704,-0.00083,0.00191,-0.00704
NRCI00ITA,EURA14,2016-06-12 11:59:00,-0.00021,0.00043,-0.00841,-0.00021,0.00043,-0.00841
NRCI00ITA,EURA14,2016-06-13 11:59:00,-0.00057,0.00356,0.00098,-0.00057,0.00356,0.00098
NRCI00ITA,EURA14,2016-06-14 11:59:00,-0.00304,0.00166,-0.01009,-0.00304,0.00166,-0.01009
NRCI00ITA,EURA14,2016-06-15 11:59:00,-0.00109,0.00268,0.00161,-0.00109,0.00268,0.00161
NRCI00ITA,EURA14,2016-06-16 11:59:00,0.00379,0.00301,0.00221,0.00379,0.00301,0.00221
NRCI00ITA,EURA14,2016-06-17 11:59:00,-0.00051,0.00388,-0.00376,-0.00051,0.00388,-0.00376
NRCI00ITA,EURA14,2016-06-18 11:59:00,-1e-05,0.00663,-0.01341,-1e-05,0.00663,-0.01341
NRCI00ITA,EURA14,2016-06-19 11:59:00,-0.00162,0.00654,-0.0081,-0.00162,0.00654,-0.0081
NRCI00ITA,EURA14,2016-06-20 11:59:00,0.00039,0.00464,-0.00862,0.00039,0.00464,-0.00862
NRCI00ITA,EURA14,2016-06-21 11:59:00,0.00257,0.00372,-0.00686,0.00257,0.00372,-0.00686
NRCI00ITA,EURA14,2016-06-22 11:59:00,0.00025,0.0052,-0.00783,0.00025,0.0052,-0.00783
NRCI00ITA,EURA14,2016-06-23 11:59:00,0.00152,0.00549,0.00502,0.00152,0.00549,0.00502
NRCI00ITA,EURA14,2016-06-24 11:59:00,0.00088,-3e-05,-0.01532,0.00088,-3e-05,-0.01532
NRCI00ITA,EURA14,2016-06-27 11:59:00,-0.00158,-0.00143,-0.00419,-0.00158,-0.00143,-0.00419
NRCI00ITA,EURA14,2016-06-28 11:59:00,-0.00333,0.00346,-0.00596,-0.00333,0.00346,-0.00596
NRCI00ITA,EURA14,2016-06-29 11:59:00,0.00029,0.00441,-0.00368,0.00029,0.00441,-0.00368
NRCI00ITA,EURA14,2016-06-30 11:59:00,-0.00249,0.00213,-0.00613,-0.00249,0.00213,-0.00613
NRCI00ITA,EURA14,2016-07-01 11:59:00,-0.00097,0.00214,-0.00759,-0.00097,0.00214,-0.00759
NRCI00ITA,EURA14,2016-07-02 11:59:00,-0.00048,0.0023,0.00074,-0.00048,0.0023,0.00074
NRCI00ITA,EURA14,2016-07-03 11:59:00,-0.00065,0.00495,-0.0014,-0.00065,0.00495,-0.0014
NRCI00ITA,EURA14,2016-07-04 11:59:00,-0.0007,0.00208,-0.00416,-0.0007,0.00208,-0.00416
NRCI00ITA,EURA14,2016-07-05 11:59:00,-0.00178,-0.00044,0.00268,-0.00178,-0.00044,0.00268
NRCI00ITA,EURA14,2016-07-06 11:59:00,-0.00051,0.0041,-0.00532,-0.00051,0.0041,-0.00532
NRCI00ITA,EURA14,2016-07-07 11:59:00,-0.00193,0.00561,-0.00361,-0.00193,0.00561,-0.00361
NRCI00ITA,EURA14,2016-07-08 11:59:00,-0.00114,0.00608,-0.00338,-0.00114,0.00608,-0.00338
NRCI00ITA,EURA14,2016-07-09 11:59:00,-0.00134,0.00204,-0.00166,-0.00134,0.00204,-0.00166
NRCI00ITA,EURA14,2016-07-10 11:59:00,-0.00217,0.00592,0.00789,-0.00217,0.00592,0.00789
NRCI00ITA,EURA14,2016-07-11 11:59:00,-0.00507,0.00142,0.01363,-0.00507,0.00142,0.01363
NRCI00ITA,EURA14,2016-07-12 11:59:00,-0.00233,0.0033,0.00605,-0.00233,0.0033,0.00605
NRCI00ITA,EURA14,2016-07-13 11:59:00,0.00024,0.00663,0.00072,0.00024,0.00663,0.00072
NRCI00ITA,EURA14,2016-07-14 11:59:00,-0.00102,0.00663,0.00109,-0.00102,0.00663,0.00109
NRCI00ITA,EURA14,2016-07-15 11:59:00,-0.00127,0.0068,-0.00101,-0.00127,0.0068,-0.00101
NRCI00ITA,EURA14,2016-07-16 11:59:00,-0.00115,0.00528,0.00147,-0.00115,0.00528,0.00147
NRCI00ITA,EURA14,2016-07-17 11:59:00,-0.00177,0.00439,-0.00179,-0.00177,0.00439,-0.00179
NRCI00ITA,EURA14,2016-07-18 11:59:00,-0.00095,0.00269,-0.00023,-0.00095,0.00269,-0.00023
NRCI00ITA,EURA14,2016-07-19 11:59:00,-0.00281,0.00451,-0.00279,-0.00281,0.00451,-0.00279
NRCI00ITA,EURA14,2016-07-20 11:59:00,0.00056,0.00484,-0.00181,0.00056,0.00484,-0.00181
NRCI00ITA,EURA14,2016-07-21 11:59:00,-0.00141,0.00347,0.00262,-0.00141,0.00347,0.00262
NRCI00ITA,EURA14,2016-07-22 11:59:00,-0.00167,0.00477,-0.003,-0.00167,0.00477,-0.003
NRCI00ITA,EURA14,2016-07-23 11:59:00,-0.00096,0.00501,-0.00073,-0.00096,0.00501,-0.00073
NRCI00ITA,EURA14,2016-07-24 11:59:00,-0.00166,0.0034,0.00366,-0.00166,0.0034,0.00366
NRCI00ITA,EURA14,2016-07-25 11:59:00,-4e-05,0.00465,-7e-05,-4e-05,0.00465,-7e-05
NRCI00ITA,EURA14,2016-07-26 11:59:00,-0.0062,0.0046,0.00728,-0.0062,0.0046,0.00728
NRCI00ITA,EURA14,2016-07-27 11:59:00,-0.00034,0.00217,-0.00148,-0.00034,0.00217,-0.00148
NRCI00ITA,EURA14,2016-07-28 11:59:00,-0.00348,0.00386,-0.00101,-0.00348,0.00386,-0.00101
NRCI00ITA,EURA14,2016-07-29 11:59:00,-0.00223,0.00174,0.00062,-0.00223,0.00174,0.00062
NRCI00ITA,EURA14,2016-07-30 11:59:00,-0.00331,0.00555,-0.00858,-0.00331,0.00555,-0.00858
NRCI00ITA,EURA14,2016-07-31 11:59:00,-0.00456,0.00523,0.0146,-0.00456,0.00523,0.0146
NRCI00ITA,EURA14,2016-08-01 11:59:00,-0.00327,0.00345,0.00634,-0.00327,0.00345,0.00634
NRCI00ITA,EURA14,2016-08-02 11:59:00,-0.00099,0.00473,-0.01082,-0.00099,0.00473,-0.01082
NRCI00ITA,EURA14,2016-08-03 11:59:00,-0.00292,0.00289,-0.00078,-0.00292,0.00289,-0.00078
NRCI00ITA,EURA14,2016-08-04 11:59:00,-0.00368,0.00248,-0.00014,-0.00368,0.00248,-0.00014
