marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
OCRA00ITA,EURA14,2006-11-08 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
OCRA00ITA,EURA14,2006-11-09 11:59:00,0.00178,-0.00042,0.00634,0.00178,-0.00042,0.00634
OCRA00ITA,EURA14,2006-11-22 11:59:00,0.00044,-0.00203,0.01092,0.00044,-0.00203,0.01092
OCRA00ITA,EURA14,2006-11-23 11:59:00,0.00122,-0.00133,0.00776,0.00122,-0.00133,0.00776
OCRA00ITA,EURA14,2006-11-24 11:59:00,0.00064,-0.00032,0.00429,0.00064,-0.00032,0.00429
OCRA00ITA,EURA14,2006-11-25 11:59:00,0.00057,-0.00091,0.00035,0.00057,-0.00091,0.00035
OCRA00ITA,EURA14,2006-11-26 11:59:00,0.00064,0.00037,-0.00137,0.00064,0.00037,-0.00137
OCRA00ITA,EURA14,2006-11-27 11:59:00,0.00019,0.00087,-0.00033,0.00019,0.00087,-0.00033
OCRA00ITA,EURA14,2006-11-28 11:59:00,0.00059,0.00035,0.00313,0.00059,0.00035,0.00313
OCRA00ITA,EURA14,2006-11-29 11:59:00,-0.00026,0.00105,0.00275,-0.00026,0.00105,0.00275
OCRA00ITA,EURA14,2006-11-30 11:59:00,0.0,0.00209,0.00079,0.0,0.00209,0.00079
OCRA00ITA,EURA14,2006-12-01 11:59:00,0.00026,0.00014,0.00029,0.00026,0.00014,0.00029
OCRA00ITA,EURA14,2006-12-02 11:59:00,-0.00011,-7e-05,0.0006,-0.00011,-7e-05,0.0006
OCRA00ITA,EURA14,2006-12-03 11:59:00,-0.00041,-0.00089,0.00133,-0.00041,-0.00089,0.00133
OCRA00ITA,EURA14,2006-12-04 11:59:00,0.00048,-0.0012,0.00259,0.00048,-0.0012,0.00259
OCRA00ITA,EURA14,2006-12-05 11:59:00,-0.00033,-0.00077,0.0077,-0.00033,-0.00077,0.0077
OCRA00ITA,EURA14,2006-12-06 11:59:00,-0.00028,-0.00042,0.00446,-0.00028,-0.00042,0.00446
OCRA00ITA,EURA14,2006-12-07 11:59:00,0.0003,0.00066,0.00369,0.0003,0.00066,0.00369
OCRA00ITA,EURA14,2006-12-08 11:59:00,0.00114,-0.00171,0.00433,0.00114,-0.00171,0.00433
OCRA00ITA,EURA14,2006-12-09 11:59:00,0.00351,-0.00032,-0.00149,0.00351,-0.00032,-0.00149
OCRA00ITA,EURA14,2006-12-10 11:59:00,-0.00033,-0.00048,0.00304,-0.00033,-0.00048,0.00304
OCRA00ITA,EURA14,2006-12-11 11:59:00,0.00098,-0.00056,0.00017,0.00098,-0.00056,0.00017
OCRA00ITA,EURA14,2006-12-12 11:59:00,-0.00011,0.00037,0.00566,-0.00011,0.00037,0.00566
OCRA00ITA,EURA14,2006-12-13 11:59:00,2e-05,0.00091,-0.00027,2e-05,0.00091,-0.00027
OCRA00ITA,EURA14,2006-12-14 11:59:00,-0.00025,0.00098,0.00244,-0.00025,0.00098,0.00244
OCRA00ITA,EURA14,2006-12-15 11:59:00,0.00031,0.00094,0.00263,0.00031,0.00094,0.00263
OCRA00ITA,EURA14,2006-12-16 11:59:00,-0.00032,0.00016,0.00621,-0.00032,0.00016,0.00621
OCRA00ITA,EURA14,2006-12-17 11:59:00,-0.00097,0.0007,0.0058,-0.00097,0.0007,0.0058
OCRA00ITA,EURA14,2006-12-18 11:59:00,0.00082,0.00122,0.00867,0.00082,0.00122,0.00867
OCRA00ITA,EURA14,2006-12-19 11:59:00,4e-05,0.00051,0.01151,4e-05,0.00051,0.01151
OCRA00ITA,EURA14,2006-12-20 11:59:00,0.00041,0.00042,0.00468,0.00041,0.00042,0.00468
OCRA00ITA,EURA14,2006-12-21 11:59:00,0.00013,-0.00012,0.00346,0.00013,-0.00012,0.00346
OCRA00ITA,EURA14,2006-12-22 11:59:00,0.00027,0.00061,0.00845,0.00027,0.00061,0.00845
OCRA00ITA,EURA14,2006-12-23 11:59:00,-0.00068,0.00058,0.00716,-0.00068,0.00058,0.00716
OCRA00ITA,EURA14,2006-12-24 11:59:00,0.00027,0.00037,0.0031,0.00027,0.00037,0.0031
OCRA00ITA,EURA14,2006-12-25 11:59:00,-0.00291,0.00113,0.01362,-0.00291,0.00113,0.01362
OCRA00ITA,EURA14,2006-12-26 11:59:00,0.00099,0.00034,0.00234,0.00099,0.00034,0.00234
OCRA00ITA,EURA14,2006-12-27 11:59:00,0.00053,0.00101,-0.00046,0.00053,0.00101,-0.00046
OCRA00ITA,EURA14,2006-12-28 11:59:00,0.00045,0.00028,0.00111,0.00045,0.00028,0.00111
OCRA00ITA,EURA14,2006-12-29 11:59:00,0.00038,0.00125,0.00281,0.00038,0.00125,0.00281
OCRA00ITA,EURA14,2006-12-30 11:59:00,0.00213,0.00068,0.00196,0.00213,0.00068,0.00196
OCRA00ITA,EURA14,2006-12-31 11:59:00,-0.0002,0.00043,-0.00101,-0.0002,0.00043,-0.00101
OCRA00ITA,EURA14,2007-01-01 11:59:00,0.00056,-0.0003,-0.0007,0.00056,-0.0003,-0.0007
OCRA00ITA,EURA14,2007-01-02 11:59:00,-5e-05,0.0006,0.01274,-5e-05,0.0006,0.01274
OCRA00ITA,EURA14,2007-01-03 11:59:00,-0.00026,-0.00165,0.00586,-0.00026,-0.00165,0.00586
OCRA00ITA,EURA14,2007-01-04 11:59:00,-1e-05,-0.00096,0.00324,-1e-05,-0.00096,0.00324
OCRA00ITA,EURA14,2007-01-05 11:59:00,0.00032,-0.00029,0.00541,0.00032,-0.00029,0.00541
OCRA00ITA,EURA14,2007-01-06 11:59:00,0.0007,-0.00063,0.00242,0.0007,-0.00063,0.00242
OCRA00ITA,EURA14,2007-01-07 11:59:00,0.00111,-0.00025,0.0008,0.00111,-0.00025,0.0008
OCRA00ITA,EURA14,2007-01-08 11:59:00,0.00073,-0.00014,0.00805,0.00073,-0.00014,0.00805
OCRA00ITA,EURA14,2007-01-09 11:59:00,0.00106,0.00041,0.00294,0.00106,0.00041,0.00294
OCRA00ITA,EURA14,2007-01-10 11:59:00,0.00026,4e-05,0.00269,0.00026,4e-05,0.00269
OCRA00ITA,EURA14,2007-01-11 11:59:00,0.00137,5e-05,0.00163,0.00137,5e-05,0.00163
OCRA00ITA,EURA14,2007-01-12 11:59:00,0.00135,0.00087,0.00494,0.00135,0.00087,0.00494
OCRA00ITA,EURA14,2007-01-13 11:59:00,0.00052,0.00129,0.00188,0.00052,0.00129,0.00188
OCRA00ITA,EURA14,2007-01-14 11:59:00,0.00097,0.00058,0.00577,0.00097,0.00058,0.00577
OCRA00ITA,EURA14,2007-01-15 11:59:00,0.00118,0.00097,0.00311,0.00118,0.00097,0.00311
OCRA00ITA,EURA14,2007-01-16 11:59:00,0.00061,0.00022,0.00415,0.00061,0.00022,0.00415
OCRA00ITA,EURA14,2007-01-17 11:59:00,0.00043,9e-05,0.00528,0.00043,9e-05,0.00528
OCRA00ITA,EURA14,2007-01-18 11:59:00,0.00201,0.00084,-0.00164,0.00201,0.00084,-0.00164
OCRA00ITA,EURA14,2007-01-19 11:59:00,0.0001,-0.0005,0.00647,0.0001,-0.0005,0.00647
OCRA00ITA,EURA14,2007-01-20 11:59:00,0.00078,0.00071,0.00688,0.00078,0.00071,0.00688
OCRA00ITA,EURA14,2007-01-21 11:59:00,0.00187,-0.00072,0.00447,0.00187,-0.00072,0.00447
OCRA00ITA,EURA14,2007-01-22 11:59:00,0.00011,0.00169,0.00621,0.00011,0.00169,0.00621
OCRA00ITA,EURA14,2007-01-23 11:59:00,0.00481,-0.0013,0.00083,0.00481,-0.0013,0.00083
OCRA00ITA,EURA14,2007-01-24 11:59:00,0.00201,-0.00025,0.00532,0.00201,-0.00025,0.00532
OCRA00ITA,EURA14,2007-01-25 11:59:00,0.0026,0.00087,0.00637,0.0026,0.00087,0.00637
OCRA00ITA,EURA14,2007-01-26 11:59:00,0.0009,-0.00064,0.00378,0.0009,-0.00064,0.00378
OCRA00ITA,EURA14,2007-01-27 11:59:00,0.00075,0.00116,0.00546,0.00075,0.00116,0.00546
OCRA00ITA,EURA14,2007-01-28 11:59:00,0.00107,0.00135,-0.00164,0.00107,0.00135,-0.00164
OCRA00ITA,EURA14,2007-01-29 11:59:00,0.00054,0.00048,0.00061,0.00054,0.00048,0.00061
OCRA00ITA,EURA14,2007-01-30 11:59:00,0.00084,0.00105,0.00316,0.00084,0.00105,0.00316
OCRA00ITA,EURA14,2007-01-31 11:59:00,0.00035,0.0004,-0.00125,0.00035,0.0004,-0.00125
OCRA00ITA,EURA14,2007-02-01 11:59:00,0.00022,0.00052,0.00206,0.00022,0.00052,0.00206
OCRA00ITA,EURA14,2007-02-02 11:59:00,0.00211,0.00197,0.00124,0.00211,0.00197,0.00124
OCRA00ITA,EURA14,2007-02-03 11:59:00,0.00174,0.00162,0.00335,0.00174,0.00162,0.00335
OCRA00ITA,EURA14,2007-02-04 11:59:00,-0.00138,0.00305,0.00785,-0.00138,0.00305,0.00785
OCRA00ITA,EURA14,2007-02-05 11:59:00,0.00037,0.00134,0.00246,0.00037,0.00134,0.00246
OCRA00ITA,EURA14,2007-02-06 11:59:00,0.00116,0.00022,0.00877,0.00116,0.00022,0.00877
OCRA00ITA,EURA14,2007-02-07 11:59:00,0.00069,0.00037,0.00757,0.00069,0.00037,0.00757
OCRA00ITA,EURA14,2007-02-08 11:59:00,0.00106,0.001,0.00501,0.00106,0.001,0.00501
OCRA00ITA,EURA14,2007-02-09 11:59:00,0.00127,-0.00015,0.00795,0.00127,-0.00015,0.00795
OCRA00ITA,EURA14,2007-02-10 11:59:00,-8e-05,0.00066,0.00847,-8e-05,0.00066,0.00847
OCRA00ITA,EURA14,2007-02-11 11:59:00,0.00129,0.00045,-0.00036,0.00129,0.00045,-0.00036
OCRA00ITA,EURA14,2007-02-12 11:59:00,-0.00046,0.0012,-0.00369,-0.00046,0.0012,-0.00369
OCRA00ITA,EURA14,2007-02-13 11:59:00,-0.00076,0.00087,0.00578,-0.00076,0.00087,0.00578
OCRA00ITA,EURA14,2007-02-14 11:59:00,0.00103,0.00035,0.00011,0.00103,0.00035,0.00011
OCRA00ITA,EURA14,2007-02-15 11:59:00,0.00039,0.00112,0.00114,0.00039,0.00112,0.00114
OCRA00ITA,EURA14,2007-02-16 11:59:00,-0.00081,0.00058,0.00293,-0.00081,0.00058,0.00293
OCRA00ITA,EURA14,2007-02-17 11:59:00,0.00114,0.00215,0.00166,0.00114,0.00215,0.00166
