marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
OLGI00ITA,EURA14,2008-04-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
OLGI00ITA,EURA14,2008-04-02 11:59:00,0.00239,-0.00158,0.00973,0.00239,-0.00158,0.00973
OLGI00ITA,EURA14,2008-04-03 11:59:00,0.00164,-0.00111,0.01633,0.00164,-0.00111,0.01633
OLGI00ITA,EURA14,2008-04-04 11:59:00,0.00343,-0.00092,0.01013,0.00343,-0.00092,0.01013
OLGI00ITA,EURA14,2008-04-05 11:59:00,0.00234,-0.0008,0.00696,0.00234,-0.0008,0.00696
OLGI00ITA,EURA14,2008-04-06 11:59:00,0.00073,-0.00365,0.01737,0.00073,-0.00365,0.01737
OLGI00ITA,EURA14,2008-04-07 11:59:00,0.00271,-0.00301,0.01198,0.00271,-0.00301,0.01198
OLGI00ITA,EURA14,2008-04-08 11:59:00,0.00265,-0.00241,0.01458,0.00265,-0.00241,0.01458
OLGI00ITA,EURA14,2008-04-09 11:59:00,0.00143,-0.0027,0.01549,0.00143,-0.0027,0.01549
OLGI00ITA,EURA14,2008-04-10 11:59:00,0.00196,-0.00391,0.00802,0.00196,-0.00391,0.00802
OLGI00ITA,EURA14,2008-04-11 11:59:00,0.00074,-0.00271,0.01175,0.00074,-0.00271,0.01175
OLGI00ITA,EURA14,2008-04-12 11:59:00,0.0029,-0.00236,0.00648,0.0029,-0.00236,0.00648
OLGI00ITA,EURA14,2008-04-13 11:59:00,0.00205,-0.00242,0.00896,0.00205,-0.00242,0.00896
OLGI00ITA,EURA14,2008-04-14 11:59:00,0.00111,-0.00131,0.00932,0.00111,-0.00131,0.00932
OLGI00ITA,EURA14,2008-04-15 11:59:00,0.00084,-0.00053,0.00955,0.00084,-0.00053,0.00955
OLGI00ITA,EURA14,2008-04-16 11:59:00,0.00196,-0.00211,0.00922,0.00196,-0.00211,0.00922
OLGI00ITA,EURA14,2008-04-17 11:59:00,0.00208,-0.00252,0.01399,0.00208,-0.00252,0.01399
OLGI00ITA,EURA14,2008-04-18 11:59:00,0.00279,-0.00336,0.01472,0.00279,-0.00336,0.01472
OLGI00ITA,EURA14,2008-04-19 11:59:00,0.00262,-0.00296,0.00454,0.00262,-0.00296,0.00454
OLGI00ITA,EURA14,2008-04-20 11:59:00,0.00286,-0.00204,0.00796,0.00286,-0.00204,0.00796
OLGI00ITA,EURA14,2008-04-21 11:59:00,0.00287,-0.00081,0.01598,0.00287,-0.00081,0.01598
OLGI00ITA,EURA14,2008-04-24 11:59:00,0.00101,-0.00424,0.00626,0.00101,-0.00424,0.00626
OLGI00ITA,EURA14,2008-04-25 11:59:00,0.0005,-0.00281,0.00772,0.0005,-0.00281,0.00772
