marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
OSIM00ITA,EURA14,2012-01-20 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
OSIM00ITA,EURA14,2012-01-21 11:59:00,0.00161,-0.00106,-0.00261,0.00161,-0.00106,-0.00261
OSIM00ITA,EURA14,2012-01-22 11:59:00,0.00144,-0.00132,-0.00467,0.00144,-0.00132,-0.00467
OSIM00ITA,EURA14,2012-01-23 11:59:00,0.00062,-0.00144,-0.00518,0.00062,-0.00144,-0.00518
OSIM00ITA,EURA14,2012-01-24 11:59:00,0.00093,-0.00262,0.00186,0.00093,-0.00262,0.00186
OSIM00ITA,EURA14,2012-01-25 11:59:00,0.00079,-0.00201,-0.00556,0.00079,-0.00201,-0.00556
OSIM00ITA,EURA14,2012-01-26 11:59:00,0.00054,-0.00179,-0.01044,0.00054,-0.00179,-0.01044
OSIM00ITA,EURA14,2012-01-27 11:59:00,0.00099,-0.00091,-0.0105,0.00099,-0.00091,-0.0105
OSIM00ITA,EURA14,2012-01-28 11:59:00,0.00073,-0.0013,-0.01076,0.00073,-0.0013,-0.01076
OSIM00ITA,EURA14,2012-01-29 11:59:00,0.00096,-0.0023,-0.00124,0.00096,-0.0023,-0.00124
OSIM00ITA,EURA14,2012-01-30 11:59:00,0.00091,-0.00292,-0.00376,0.00091,-0.00292,-0.00376
OSIM00ITA,EURA14,2012-01-31 11:59:00,0.00403,-0.00414,0.0027,0.00403,-0.00414,0.0027
OSIM00ITA,EURA14,2012-02-01 11:59:00,0.00216,-0.00311,0.00365,0.00216,-0.00311,0.00365
OSIM00ITA,EURA14,2012-02-02 11:59:00,0.00315,-0.00534,0.00055,0.00315,-0.00534,0.00055
OSIM00ITA,EURA14,2012-02-03 11:59:00,0.00395,-0.00433,0.00062,0.00395,-0.00433,0.00062
OSIM00ITA,EURA14,2012-02-04 11:59:00,0.00109,-0.00063,-0.00819,0.00109,-0.00063,-0.00819
OSIM00ITA,EURA14,2012-02-05 11:59:00,0.00324,0.00227,-0.00041,0.00324,0.00227,-0.00041
OSIM00ITA,EURA14,2012-02-06 11:59:00,0.00019,0.00238,0.01373,0.00019,0.00238,0.01373
OSIM00ITA,EURA14,2012-02-07 11:59:00,0.00068,-0.0006549999999999998,0.005105,0.00068,-0.0006549999999999998,0.005105
OSIM00ITA,EURA14,2012-02-08 11:59:00,0.00117,-0.00369,-0.00352,0.00117,-0.00369,-0.00352
OSIM00ITA,EURA14,2012-02-09 11:59:00,0.00246,-0.00424,-0.01893,0.00246,-0.00424,-0.01893
OSIM00ITA,EURA14,2012-02-10 11:59:00,-0.0002,-0.00457,-0.00524,-0.0002,-0.00457,-0.00524
OSIM00ITA,EURA14,2012-02-11 11:59:00,-0.00049,-0.00283,0.01971,-0.00049,-0.00283,0.01971
OSIM00ITA,EURA14,2012-02-12 11:59:00,0.00059,0.00258,0.00361,0.00059,0.00258,0.00361
