marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
OTRA00ITA,EURA14,2009-02-28 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
OTRA00ITA,EURA14,2009-03-01 11:59:00,-0.00018,0.000385,-0.00079,-0.00018,0.000385,-0.00079
OTRA00ITA,EURA14,2009-03-02 11:59:00,-0.00036,0.00077,-0.00158,-0.00036,0.00077,-0.00158
OTRA00ITA,EURA14,2009-03-03 11:59:00,-0.0016950000000000003,-0.0027400000000000002,-0.00047999999999999996,-0.0016950000000000003,-0.0027400000000000002,-0.00047999999999999996
OTRA00ITA,EURA14,2009-03-04 11:59:00,-0.00303,-0.00625,0.00062,-0.00303,-0.00625,0.00062
OTRA00ITA,EURA14,2009-03-05 11:59:00,-0.0009000000000000002,-0.0035350000000000004,0.006305,-0.0009000000000000002,-0.0035350000000000004,0.006305
OTRA00ITA,EURA14,2009-03-06 11:59:00,0.00123,-0.00082,0.01199,0.00123,-0.00082,0.01199
OTRA00ITA,EURA14,2009-03-07 11:59:00,0.00053,0.00283,-0.0053,0.00053,0.00283,-0.0053
OTRA00ITA,EURA14,2009-03-08 11:59:00,-0.00066,0.00022,-0.00343,-0.00066,0.00022,-0.00343
OTRA00ITA,EURA14,2009-03-09 11:59:00,0.00055,-0.0008,-0.00859,0.00055,-0.0008,-0.00859
OTRA00ITA,EURA14,2009-03-10 11:59:00,-0.00016,1e-05,-0.00229,-0.00016,1e-05,-0.00229
OTRA00ITA,EURA14,2009-03-11 11:59:00,-0.00064,0.0012,-0.00503,-0.00064,0.0012,-0.00503
OTRA00ITA,EURA14,2009-03-12 11:59:00,-0.00187,0.00285,-0.00815,-0.00187,0.00285,-0.00815
OTRA00ITA,EURA14,2009-03-13 11:59:00,-0.00034,4e-05,-0.00416,-0.00034,4e-05,-0.00416
OTRA00ITA,EURA14,2009-03-14 11:59:00,-0.00059,6e-05,-0.0004,-0.00059,6e-05,-0.0004
OTRA00ITA,EURA14,2009-03-15 11:59:00,-0.00211,0.00086,-0.0055,-0.00211,0.00086,-0.0055
OTRA00ITA,EURA14,2009-03-16 11:59:00,-0.00128,0.00072,0.00309,-0.00128,0.00072,0.00309
OTRA00ITA,EURA14,2009-03-17 11:59:00,0.00053,0.00283,-0.00882,0.00053,0.00283,-0.00882
OTRA00ITA,EURA14,2009-03-20 11:59:00,0.00133,0.00355,-0.00854,0.00133,0.00355,-0.00854
OTRA00ITA,EURA14,2009-03-21 11:59:00,7.999999999999999e-05,0.002945,-0.00779,7.999999999999999e-05,0.002945,-0.00779
OTRA00ITA,EURA14,2009-03-22 11:59:00,-0.00117,0.00234,-0.00704,-0.00117,0.00234,-0.00704
OTRA00ITA,EURA14,2009-03-23 11:59:00,-0.00059,-0.00043,-0.00357,-0.00059,-0.00043,-0.00357
OTRA00ITA,EURA14,2009-03-26 11:59:00,0.00046,0.00065,-0.0004,0.00046,0.00065,-0.0004
OTRA00ITA,EURA14,2009-03-27 11:59:00,0.00059,0.00043,-0.00089,0.00059,0.00043,-0.00089
OTRA00ITA,EURA14,2009-03-28 11:59:00,0.00197,-0.00043,-0.0028,0.00197,-0.00043,-0.0028
OTRA00ITA,EURA14,2009-03-29 11:59:00,-0.00323,-0.00621,-0.01812,-0.00323,-0.00621,-0.01812
OTRA00ITA,EURA14,2009-03-30 11:59:00,-0.00192,-0.0029,-0.00022,-0.00192,-0.0029,-0.00022
OTRA00ITA,EURA14,2009-03-31 11:59:00,-0.00186,0.00203,0.00421,-0.00186,0.00203,0.00421
OTRA00ITA,EURA14,2009-04-01 11:59:00,-0.00193,0.00053,-0.00549,-0.00193,0.00053,-0.00549
OTRA00ITA,EURA14,2009-04-02 11:59:00,-0.00011,0.00161,0.00383,-0.00011,0.00161,0.00383
OTRA00ITA,EURA14,2009-04-03 11:59:00,-0.00131,-0.00092,-0.00411,-0.00131,-0.00092,-0.00411
OTRA00ITA,EURA14,2009-04-04 11:59:00,-0.00044,-0.00134,-1e-05,-0.00044,-0.00134,-1e-05
OTRA00ITA,EURA14,2009-04-05 11:59:00,-0.00189,-0.00047,-0.00262,-0.00189,-0.00047,-0.00262
OTRA00ITA,EURA14,2009-04-06 11:59:00,-0.0018349999999999998,0.000835,0.0002199999999999997,-0.0008010475125634368,-5.0079184214230315e-05,-0.005206463103504882
OTRA00ITA,EURA14,2009-04-07 11:59:00,-0.00178,0.00214,0.00306,-0.0007460475125634369,0.0012549208157857697,-0.0023664631035048823
OTRA00ITA,EURA14,2009-04-08 11:59:00,-0.00252,0.00217,0.00341,-0.0014860475125634371,0.0012849208157857698,-0.002016463103504882
OTRA00ITA,EURA14,2009-04-09 11:59:00,-0.00033,0.00137,0.00463,0.000703952487436563,0.00048492081578576957,-0.0007964631035048825
OTRA00ITA,EURA14,2009-04-10 11:59:00,-0.002,-0.00011,0.00931,-0.000966047512563437,-0.0009950791842142303,0.0038835368964951185
OTRA00ITA,EURA14,2009-04-11 11:59:00,-0.0014,0.00176,0.00414,-0.000366047512563437,0.0008749208157857697,-0.0012864631035048825
OTRA00ITA,EURA14,2009-04-12 11:59:00,-0.00139,0.00121,0.00786,-0.00035604751256343697,0.0003249208157857696,0.0024335368964951186
OTRA00ITA,EURA14,2009-04-13 11:59:00,0.00169,0.00297,-0.00537,0.0027239524874365633,0.0020849208157857698,-0.010796463103504881
OTRA00ITA,EURA14,2009-04-14 11:59:00,-0.00269,0.00181,0.00318,-0.0016560475125634371,0.0009249208157857696,-0.002246463103504882
OTRA00ITA,EURA14,2009-04-15 11:59:00,-0.00221,0.00106,-0.00033,-0.0011760475125634372,0.00017492081578576962,-0.005756463103504882
OTRA00ITA,EURA14,2009-04-16 11:59:00,-0.00106,0.00134,-0.00081,-2.604751256343697e-05,0.0004549208157857697,-0.006236463103504882
OTRA00ITA,EURA14,2009-04-17 11:59:00,-0.00198,-5e-05,0.00349,-0.000946047512563437,-0.0009350791842142304,-0.001936463103504882
OTRA00ITA,EURA14,2009-04-18 11:59:00,-0.00335,0.00128,0.00623,-0.002316047512563437,0.00039492081578576977,0.0008035368964951183
OTRA00ITA,EURA14,2009-04-19 11:59:00,-0.00259,0.00262,0.00236,-0.0015560475125634369,0.0017349208157857697,-0.003066463103504882
OTRA00ITA,EURA14,2009-04-20 11:59:00,-0.00264,0.00211,0.00251,-0.001606047512563437,0.0012249208157857697,-0.002916463103504882
OTRA00ITA,EURA14,2009-04-21 11:59:00,-0.00206,0.00314,-0.00845,-0.0010260475125634372,0.0022549208157857698,-0.01387646310350488
OTRA00ITA,EURA14,2009-04-22 11:59:00,-0.00355,0.00304,-0.00445,-0.0025160475125634374,0.00215492081578577,-0.009876463103504882
OTRA00ITA,EURA14,2009-04-23 11:59:00,-0.00312,0.00133,-0.00708,-0.0020860475125634367,0.0004449208157857697,-0.012506463103504882
OTRA00ITA,EURA14,2009-04-24 11:59:00,-0.00184,0.00202,-0.00615,-0.0008060475125634371,0.0011349208157857699,-0.011576463103504882
OTRA00ITA,EURA14,2009-04-25 11:59:00,-0.00162,0.00116,-0.00389,-0.0005860475125634369,0.00027492081578576967,-0.009316463103504882
OTRA00ITA,EURA14,2009-04-26 11:59:00,-0.00289,-0.00026,0.00242,-0.0018560475125634372,-0.0011450791842142303,-0.003006463103504882
OTRA00ITA,EURA14,2009-04-27 11:59:00,-0.00162,-0.00163,0.00392,-0.0005860475125634369,-0.00251507918421423,-0.0015064631035048822
OTRA00ITA,EURA14,2009-04-28 11:59:00,-0.00206,0.00128,-0.00072,-0.0010260475125634372,0.00039492081578576977,-0.006146463103504882
OTRA00ITA,EURA14,2009-04-29 11:59:00,-0.00218,0.0008,0.01022,-0.001146047512563437,-8.50791842142303e-05,0.004793536896495118
OTRA00ITA,EURA14,2009-04-30 11:59:00,-0.00074,0.00281,0.00121,0.000293952487436563,0.0019249208157857698,-0.004216463103504882
OTRA00ITA,EURA14,2009-05-11 11:59:00,-0.00056,0.00098,0.00775,0.00047395248743656304,9.492081578576963e-05,0.002323536896495118
OTRA00ITA,EURA14,2009-05-12 11:59:00,-0.00135,0.00142,0.00281,-0.0003160475125634371,0.0005349208157857697,-0.002616463103504882
OTRA00ITA,EURA14,2009-05-13 11:59:00,-0.00225,-0.00053,0.00807,-0.0012160475125634368,-0.0014150791842142303,0.0026435368964951187
OTRA00ITA,EURA14,2009-05-14 11:59:00,-0.00208,0.00186,-0.00345,-0.0010460475125634368,0.0009749208157857698,-0.008876463103504883
OTRA00ITA,EURA14,2009-05-15 11:59:00,-0.00123,0.00128,0.0083,-0.00019604751256343698,0.00039492081578576977,0.002873536896495118
OTRA00ITA,EURA14,2009-05-16 11:59:00,-0.00137,0.0002,0.00631,-0.0003360475125634369,-0.0006850791842142304,0.0008835368964951176
OTRA00ITA,EURA14,2009-05-17 11:59:00,-0.0016,-0.0008,0.003,-0.0005660475125634371,-0.0016850791842142304,-0.002426463103504882
OTRA00ITA,EURA14,2009-05-18 11:59:00,0.00026,0.00082,-0.00249,0.001293952487436563,-6.507918421423035e-05,-0.007916463103504882
OTRA00ITA,EURA14,2009-05-19 11:59:00,-0.00332,4e-05,-0.00583,-0.0022860475125634373,-0.0008450791842142303,-0.011256463103504883
OTRA00ITA,EURA14,2009-05-20 11:59:00,-0.00142,0.00111,-0.00266,-0.00038604751256343705,0.00022492081578576976,-0.008086463103504882
OTRA00ITA,EURA14,2009-05-21 11:59:00,0.00111,0.00098,0.0034,0.002143952487436563,9.492081578576963e-05,-0.0020264631035048822
OTRA00ITA,EURA14,2009-05-22 11:59:00,-0.00236,0.00037,-0.00268,-0.0013260475125634371,-0.0005150791842142303,-0.008106463103504883
OTRA00ITA,EURA14,2009-05-23 11:59:00,-0.00236,0.00165,-0.00031,-0.0013260475125634371,0.0007649208157857697,-0.005736463103504882
OTRA00ITA,EURA14,2009-05-24 11:59:00,-0.00182,0.0003,0.00339,-0.000786047512563437,-0.0005850791842142303,-0.0020364631035048823
OTRA00ITA,EURA14,2009-05-25 11:59:00,-0.00188,0.00057,0.00133,-0.000846047512563437,-0.00031507918421423036,-0.004096463103504882
OTRA00ITA,EURA14,2009-05-26 11:59:00,-0.00172,0.00149,0.00236,-0.000686047512563437,0.0006049208157857697,-0.003066463103504882
OTRA00ITA,EURA14,2009-05-27 11:59:00,-0.00199,0.00096,-0.00358,-0.000956047512563437,7.492081578576969e-05,-0.009006463103504881
OTRA00ITA,EURA14,2009-05-28 11:59:00,-0.00088,-5e-05,0.00732,0.00015395248743656296,-0.0009350791842142304,0.001893536896495118
OTRA00ITA,EURA14,2009-05-29 11:59:00,-0.00066,2e-05,0.00746,0.000373952487436563,-0.0008650791842142303,0.0020335368964951176
OTRA00ITA,EURA14,2009-05-30 11:59:00,-0.00218,0.00033,0.00209,-0.001146047512563437,-0.0005550791842142303,-0.003336463103504882
OTRA00ITA,EURA14,2009-05-31 11:59:00,-0.00141,0.00026,0.00114,-0.000376047512563437,-0.0006250791842142304,-0.0042864631035048825
OTRA00ITA,EURA14,2009-06-01 11:59:00,-0.00226,0.00144,0.00743,-0.0012260475125634369,0.0005549208157857698,0.002003536896495118
OTRA00ITA,EURA14,2009-06-02 11:59:00,-0.00314,0.00099,0.00851,-0.002106047512563437,0.00010492081578576966,0.003083536896495118
OTRA00ITA,EURA14,2009-06-03 11:59:00,-0.00299,0.00026,0.01222,-0.001956047512563437,-0.0006250791842142304,0.006793536896495118
OTRA00ITA,EURA14,2009-06-04 11:59:00,-0.0012,-0.00093,0.0073,-0.0001660475125634369,-0.0018150791842142305,0.001873536896495118
OTRA00ITA,EURA14,2009-06-05 11:59:00,-0.00166,-0.0022,0.01109,-0.000626047512563437,-0.0030850791842142304,0.005663536896495117
OTRA00ITA,EURA14,2009-06-06 11:59:00,-0.00545,-0.00902,0.00561,-0.004416047512563437,-0.009905079184214231,0.00018353689649511836
OTRA00ITA,EURA14,2009-06-07 11:59:00,-0.00325,0.00066,0.01487,-0.0022160475125634366,-0.00022507918421423034,0.009443536896495117
OTRA00ITA,EURA14,2009-06-08 11:59:00,0.00037,0.00143,-0.00274,0.0014039524874365629,0.0005449208157857697,-0.008166463103504882
OTRA00ITA,EURA14,2009-06-09 11:59:00,-0.00078,0.00099,-0.00116,0.000253952487436563,0.00010492081578576966,-0.0065864631035048825
OTRA00ITA,EURA14,2009-06-10 11:59:00,0.00104,3e-05,0.00571,0.002073952487436563,-0.0008550791842142304,0.00028353689649511776
OTRA00ITA,EURA14,2009-06-11 11:59:00,-0.00102,0.00119,0.00047,1.3952487436562919e-05,0.00030492081578576975,-0.004956463103504882
OTRA00ITA,EURA14,2009-06-12 11:59:00,-0.00262,0.00173,-0.00554,-0.001586047512563437,0.0008449208157857696,-0.010966463103504881
OTRA00ITA,EURA14,2009-06-13 11:59:00,-0.00355,0.0002,-0.001,-0.0025160475125634374,-0.0006850791842142304,-0.006426463103504882
