marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
OVRA00ITA,EURA14,2006-11-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
OVRA00ITA,EURA14,2006-11-07 11:59:00,0.00024,-0.00118,-0.00321,0.00024,-0.00118,-0.00321
OVRA00ITA,EURA14,2006-11-08 11:59:00,-0.00143,-0.00117,-0.00271,-0.00143,-0.00117,-0.00271
OVRA00ITA,EURA14,2006-11-09 11:59:00,0.00078,-0.00018,0.01402,0.00078,-0.00018,0.01402
OVRA00ITA,EURA14,2006-11-10 11:59:00,0.00161,0.00077,-0.0065,0.00161,0.00077,-0.0065
OVRA00ITA,EURA14,2006-11-11 11:59:00,-0.002,0.00143,0.00087,-0.002,0.00143,0.00087
OVRA00ITA,EURA14,2006-11-12 11:59:00,-0.00331,-0.00051,-0.00158,-0.00331,-0.00051,-0.00158
OVRA00ITA,EURA14,2006-11-13 11:59:00,-0.00066,0.00048,0.00509,-0.00066,0.00048,0.00509
OVRA00ITA,EURA14,2006-11-14 11:59:00,-0.00087,-0.00018,8e-05,-0.00087,-0.00018,8e-05
OVRA00ITA,EURA14,2006-11-15 11:59:00,-0.00088,-0.00036,-0.00482,-0.00088,-0.00036,-0.00482
OVRA00ITA,EURA14,2006-11-16 11:59:00,-0.00167,0.00045,-0.00495,-0.00167,0.00045,-0.00495
OVRA00ITA,EURA14,2006-11-17 11:59:00,-0.00209,-0.00056,-0.00122,-0.00209,-0.00056,-0.00122
OVRA00ITA,EURA14,2006-11-18 11:59:00,0.00027,0.00019,0.00021,0.00027,0.00019,0.00021
OVRA00ITA,EURA14,2006-11-19 11:59:00,-0.00044,0.00054,0.00144,-0.00044,0.00054,0.00144
OVRA00ITA,EURA14,2006-11-20 11:59:00,-0.00449,-7e-05,-0.0029,-0.00449,-7e-05,-0.0029
OVRA00ITA,EURA14,2006-11-21 11:59:00,-0.00157,-0.00228,0.00601,-0.00157,-0.00228,0.00601
OVRA00ITA,EURA14,2006-11-22 11:59:00,-0.00038,0.00143,0.00264,-0.00038,0.00143,0.00264
OVRA00ITA,EURA14,2006-11-23 11:59:00,0.00024,-0.0001,0.00473,0.00024,-0.0001,0.00473
OVRA00ITA,EURA14,2006-11-24 11:59:00,-0.00116,-0.00077,0.00232,-0.00116,-0.00077,0.00232
OVRA00ITA,EURA14,2006-11-25 11:59:00,-0.000825,-0.00033,-0.0019949999999999994,-0.000825,-0.00033,-0.0019949999999999994
OVRA00ITA,EURA14,2006-11-26 11:59:00,-0.00049,0.00011,-0.00631,-0.00049,0.00011,-0.00631
OVRA00ITA,EURA14,2006-11-27 11:59:00,-0.00065,0.00076,-0.00209,-0.00065,0.00076,-0.00209
OVRA00ITA,EURA14,2006-11-28 11:59:00,-0.00059,0.0002,-0.00425,-0.00059,0.0002,-0.00425
OVRA00ITA,EURA14,2006-11-29 11:59:00,-0.00186,0.00073,-0.00079,-0.00186,0.00073,-0.00079
OVRA00ITA,EURA14,2006-11-30 11:59:00,-0.00204,0.00055,0.00234,-0.00204,0.00055,0.00234
OVRA00ITA,EURA14,2006-12-01 11:59:00,-0.00093,0.00015,-0.00299,-0.00093,0.00015,-0.00299
OVRA00ITA,EURA14,2006-12-02 11:59:00,-0.00111,-0.00054,-0.00144,-0.00111,-0.00054,-0.00144
OVRA00ITA,EURA14,2006-12-03 11:59:00,-0.00224,-0.00173,-0.00489,-0.00224,-0.00173,-0.00489
OVRA00ITA,EURA14,2006-12-04 11:59:00,-0.0034,-0.00192,-0.00559,-0.0034,-0.00192,-0.00559
OVRA00ITA,EURA14,2006-12-05 11:59:00,-0.00058,-0.00142,-4e-05,-0.00058,-0.00142,-4e-05
OVRA00ITA,EURA14,2006-12-06 11:59:00,-0.00091,-0.00013,0.00576,-0.00091,-0.00013,0.00576
OVRA00ITA,EURA14,2006-12-07 11:59:00,-0.00137,-0.00037,-0.00048,-0.00137,-0.00037,-0.00048
OVRA00ITA,EURA14,2006-12-08 11:59:00,-0.0005,0.00081,-0.00221,-0.0005,0.00081,-0.00221
OVRA00ITA,EURA14,2006-12-09 11:59:00,-0.00145,0.00323,6e-05,-0.00145,0.00323,6e-05
OVRA00ITA,EURA14,2006-12-10 11:59:00,-0.00131,0.00075,-0.00248,-0.00131,0.00075,-0.00248
OVRA00ITA,EURA14,2006-12-11 11:59:00,0.00044,0.0002,-0.0048,0.00044,0.0002,-0.0048
OVRA00ITA,EURA14,2006-12-12 11:59:00,-0.00084,0.00086,-0.00089,-0.00084,0.00086,-0.00089
