marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PAGL00ITA,EURA14,2010-04-09 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PAGL00ITA,EURA14,2010-04-10 11:59:00,-0.0013,-0.0002,0.00702,-0.0013,-0.0002,0.00702
PAGL00ITA,EURA14,2010-04-11 11:59:00,-0.00196,-0.00114,0.01234,-0.00196,-0.00114,0.01234
PAGL00ITA,EURA14,2010-04-12 11:59:00,-0.0008,2e-05,0.01209,-0.0008,2e-05,0.01209
PAGL00ITA,EURA14,2010-04-13 11:59:00,-0.00068,-0.00122,0.00772,-0.00068,-0.00122,0.00772
PAGL00ITA,EURA14,2010-04-14 11:59:00,-0.00238,0.00032,0.00678,-0.00238,0.00032,0.00678
PAGL00ITA,EURA14,2010-04-15 11:59:00,-0.00154,0.00028,0.00336,-0.00154,0.00028,0.00336
PAGL00ITA,EURA14,2010-04-16 11:59:00,-0.00056,0.00024,0.003,-0.00056,0.00024,0.003
PAGL00ITA,EURA14,2010-04-17 11:59:00,-0.00051,0.00072,0.00185,-0.00051,0.00072,0.00185
PAGL00ITA,EURA14,2010-04-18 11:59:00,0.00097,0.00016,0.01043,0.00097,0.00016,0.01043
PAGL00ITA,EURA14,2010-04-19 11:59:00,-0.00263,7e-05,-0.00605,-0.00263,7e-05,-0.00605
PAGL00ITA,EURA14,2010-04-20 11:59:00,-0.00184,0.00031,3e-05,-0.00184,0.00031,3e-05
PAGL00ITA,EURA14,2010-04-21 11:59:00,-0.00238,0.00059,-0.00484,-0.00238,0.00059,-0.00484
PAGL00ITA,EURA14,2010-04-22 11:59:00,-0.00216,-0.00012,-0.00028,-0.00216,-0.00012,-0.00028
PAGL00ITA,EURA14,2010-04-23 11:59:00,0.00144,-0.00113,0.01375,0.00144,-0.00113,0.01375
PAGL00ITA,EURA14,2010-04-24 11:59:00,0.00038,0.00045,0.00634,0.00038,0.00045,0.00634
PAGL00ITA,EURA14,2010-04-25 11:59:00,-0.00118,0.00176,0.00222,-0.00118,0.00176,0.00222
PAGL00ITA,EURA14,2010-04-26 11:59:00,-0.00157,0.00035,-0.00263,-0.00157,0.00035,-0.00263
PAGL00ITA,EURA14,2010-04-27 11:59:00,-0.00156,0.00032,-0.00203,-0.00156,0.00032,-0.00203
PAGL00ITA,EURA14,2010-04-28 11:59:00,-0.00102,0.00045,-0.00587,-0.00102,0.00045,-0.00587
PAGL00ITA,EURA14,2010-04-29 11:59:00,-0.00133,-0.00065,-0.00384,-0.00133,-0.00065,-0.00384
PAGL00ITA,EURA14,2010-04-30 11:59:00,-0.00132,-0.00078,-0.00457,-0.00132,-0.00078,-0.00457
