marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PAVO00ITA,EURA14,2022-04-11 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PAVO00ITA,EURA14,2022-04-12 11:59:00,0.00114,0.00021,0.00247,0.00114,0.00021,0.00247
PAVO00ITA,EURA14,2022-04-13 11:59:00,0.00127,-0.0014,0.00324,0.00127,-0.0014,0.00324
PAVO00ITA,EURA14,2022-04-14 11:59:00,0.00087,0.00042,0.00484,0.00087,0.00042,0.00484
PAVO00ITA,EURA14,2022-04-15 11:59:00,0.00099,-0.0009,0.00928,0.00099,-0.0009,0.00928
PAVO00ITA,EURA14,2022-04-16 11:59:00,0.0,-0.00019,0.0098,0.0,-0.00019,0.0098
PAVO00ITA,EURA14,2022-04-17 11:59:00,0.00023,-0.00042,0.00783,0.00023,-0.00042,0.00783
PAVO00ITA,EURA14,2022-04-18 11:59:00,0.00112,-0.0007,0.00639,0.00112,-0.0007,0.00639
PAVO00ITA,EURA14,2022-04-19 11:59:00,0.00136,-0.00092,0.00419,0.00136,-0.00092,0.00419
PAVO00ITA,EURA14,2022-04-20 11:59:00,0.00142,-0.0011,0.00157,0.00142,-0.0011,0.00157
PAVO00ITA,EURA14,2022-04-21 11:59:00,0.00277,-0.00057,0.0122,0.00277,-0.00057,0.0122
PAVO00ITA,EURA14,2022-04-22 11:59:00,0.00182,-0.00042,0.00295,0.00182,-0.00042,0.00295
PAVO00ITA,EURA14,2022-04-23 11:59:00,0.00116,-0.00082,0.00189,0.00116,-0.00082,0.00189
PAVO00ITA,EURA14,2022-04-24 11:59:00,0.00113,-0.00043,0.00465,0.00113,-0.00043,0.00465
PAVO00ITA,EURA14,2022-04-25 11:59:00,0.00101,-0.00063,0.00739,0.00101,-0.00063,0.00739
PAVO00ITA,EURA14,2022-04-26 11:59:00,0.00102,-0.00093,0.00382,0.00102,-0.00093,0.00382
PAVO00ITA,EURA14,2022-04-27 11:59:00,0.00021,0.00084,0.00641,0.00021,0.00084,0.00641
PAVO00ITA,EURA14,2022-04-28 11:59:00,-0.00144,0.00109,0.0067,-0.00144,0.00109,0.0067
PAVO00ITA,EURA14,2022-04-29 11:59:00,0.00023,0.00081,0.01046,0.00023,0.00081,0.01046
PAVO00ITA,EURA14,2022-04-30 11:59:00,0.00018,0.0002,0.0059,0.00018,0.0002,0.0059
PAVO00ITA,EURA14,2022-05-01 11:59:00,0.00056,-0.00165,0.01002,0.00056,-0.00165,0.01002
PAVO00ITA,EURA14,2022-05-02 11:59:00,0.00201,-0.00104,0.00854,0.00201,-0.00104,0.00854
PAVO00ITA,EURA14,2022-05-03 11:59:00,-0.00225,0.00042,0.00582,-0.00225,0.00042,0.00582
PAVO00ITA,EURA14,2022-05-04 11:59:00,-0.00049,0.00069,0.00378,-0.00049,0.00069,0.00378
PAVO00ITA,EURA14,2022-05-05 11:59:00,0.00145,-0.00127,0.00738,0.00145,-0.00127,0.00738
PAVO00ITA,EURA14,2022-05-06 11:59:00,0.00251,-0.00142,0.00412,0.00251,-0.00142,0.00412
PAVO00ITA,EURA14,2022-05-07 11:59:00,-0.00077,-0.00165,0.01136,-0.00077,-0.00165,0.01136
PAVO00ITA,EURA14,2022-05-08 11:59:00,0.00142,-0.00193,0.0116,0.00142,-0.00193,0.0116
PAVO00ITA,EURA14,2022-05-09 11:59:00,-0.00048,0.0,0.00646,-0.00048,0.0,0.00646
PAVO00ITA,EURA14,2022-05-10 11:59:00,-0.00039,-0.00192,0.00588,-0.00039,-0.00192,0.00588
PAVO00ITA,EURA14,2022-05-11 11:59:00,-0.00136,-0.00063,0.00821,-0.00136,-0.00063,0.00821
PAVO00ITA,EURA14,2022-05-12 11:59:00,0.00108,-0.00152,0.00531,0.00108,-0.00152,0.00531
PAVO00ITA,EURA14,2022-05-13 11:59:00,0.00019,-0.00196,0.00558,0.00019,-0.00196,0.00558
PAVO00ITA,EURA14,2022-05-14 11:59:00,-4e-05,-0.00168,0.00664,-4e-05,-0.00168,0.00664
PAVO00ITA,EURA14,2022-05-15 11:59:00,0.00039,-0.0017,0.00412,0.00039,-0.0017,0.00412
PAVO00ITA,EURA14,2022-05-16 11:59:00,0.00038,-0.00057,0.00157,0.00038,-0.00057,0.00157
PAVO00ITA,EURA14,2022-05-17 11:59:00,-0.00034,-0.00147,0.00456,-0.00034,-0.00147,0.00456
PAVO00ITA,EURA14,2022-05-18 11:59:00,-0.00106,0.0007,0.01148,-0.00106,0.0007,0.01148
PAVO00ITA,EURA14,2022-05-19 11:59:00,-0.00071,-0.00034,0.00709,-0.00071,-0.00034,0.00709
PAVO00ITA,EURA14,2022-05-20 11:59:00,0.00039,-3e-05,0.00085,0.00039,-3e-05,0.00085
PAVO00ITA,EURA14,2022-05-21 11:59:00,0.00044,-0.00056,0.00479,0.00044,-0.00056,0.00479
PAVO00ITA,EURA14,2022-05-22 11:59:00,-0.00168,-0.00121,0.00502,-0.00168,-0.00121,0.00502
PAVO00ITA,EURA14,2022-05-23 11:59:00,-0.00057,-0.00186,0.00642,-0.00057,-0.00186,0.00642
PAVO00ITA,EURA14,2022-05-24 11:59:00,-0.00076,-0.00112,0.00902,-0.00076,-0.00112,0.00902
PAVO00ITA,EURA14,2022-05-25 11:59:00,-0.00073,-0.00124,0.00488,-0.00073,-0.00124,0.00488
PAVO00ITA,EURA14,2022-05-26 11:59:00,0.00029,-0.00056,0.00487,0.00029,-0.00056,0.00487
PAVO00ITA,EURA14,2022-05-27 11:59:00,0.00064,-0.00179,0.00129,0.00064,-0.00179,0.00129
PAVO00ITA,EURA14,2022-05-28 11:59:00,0.00118,-0.00324,0.01302,0.00118,-0.00324,0.01302
PAVO00ITA,EURA14,2022-05-29 11:59:00,0.0003,-0.00211,0.01039,0.0003,-0.00211,0.01039
PAVO00ITA,EURA14,2022-05-30 11:59:00,0.00056,-0.00276,0.01073,0.00056,-0.00276,0.01073
PAVO00ITA,EURA14,2022-05-31 11:59:00,0.00248,-0.00171,-0.00028,0.00248,-0.00171,-0.00028
PAVO00ITA,EURA14,2022-06-01 11:59:00,0.00093,-0.0018,0.00677,0.00093,-0.0018,0.00677
PAVO00ITA,EURA14,2022-06-02 11:59:00,0.00039,-0.00081,0.00518,0.00039,-0.00081,0.00518
PAVO00ITA,EURA14,2022-06-03 11:59:00,0.00168,-0.00168,0.00467,0.00168,-0.00168,0.00467
PAVO00ITA,EURA14,2022-06-04 11:59:00,0.00159,-0.00238,0.00794,0.00159,-0.00238,0.00794
PAVO00ITA,EURA14,2022-06-05 11:59:00,0.00098,-0.00256,0.00621,0.00098,-0.00256,0.00621
PAVO00ITA,EURA14,2022-06-06 11:59:00,-0.00025,-0.00281,0.00451,-0.00025,-0.00281,0.00451
PAVO00ITA,EURA14,2022-06-07 11:59:00,0.00096,-0.00254,0.01156,0.00096,-0.00254,0.01156
PAVO00ITA,EURA14,2022-06-08 11:59:00,0.00208,-0.00264,0.00275,0.00208,-0.00264,0.00275
PAVO00ITA,EURA14,2022-06-09 11:59:00,0.00188,-0.0016,0.01181,0.00188,-0.0016,0.01181
PAVO00ITA,EURA14,2022-06-10 11:59:00,0.00167,-0.00132,0.00509,0.00167,-0.00132,0.00509
PAVO00ITA,EURA14,2022-06-11 11:59:00,0.00131,-0.00093,0.00043,0.00131,-0.00093,0.00043
PAVO00ITA,EURA14,2022-06-12 11:59:00,0.00129,-0.00177,0.00558,0.00129,-0.00177,0.00558
PAVO00ITA,EURA14,2022-06-13 11:59:00,0.00152,-0.00273,0.00455,0.00152,-0.00273,0.00455
PAVO00ITA,EURA14,2022-06-14 11:59:00,-0.00014,-0.00119,-0.00044,-0.00014,-0.00119,-0.00044
PAVO00ITA,EURA14,2022-06-15 11:59:00,-0.00017,-0.00076,0.00052,-0.00017,-0.00076,0.00052
PAVO00ITA,EURA14,2022-06-16 11:59:00,-0.0003,-0.00207,0.00782,-0.0003,-0.00207,0.00782
PAVO00ITA,EURA14,2022-06-17 11:59:00,0.00039,-0.00255,-0.0012,0.00039,-0.00255,-0.0012
PAVO00ITA,EURA14,2022-06-18 11:59:00,0.00081,-0.00155,0.0058,0.00081,-0.00155,0.0058
PAVO00ITA,EURA14,2022-06-19 11:59:00,0.00087,-0.00186,0.00777,0.00087,-0.00186,0.00777
PAVO00ITA,EURA14,2022-06-20 11:59:00,0.00113,-0.00241,0.00675,0.00113,-0.00241,0.00675
PAVO00ITA,EURA14,2022-06-21 11:59:00,0.00168,-0.00174,0.00553,0.00168,-0.00174,0.00553
PAVO00ITA,EURA14,2022-06-22 11:59:00,0.00014,-0.00463,0.00836,0.00014,-0.00463,0.00836
PAVO00ITA,EURA14,2022-06-23 11:59:00,0.00042,-0.00161,0.00414,0.00042,-0.00161,0.00414
PAVO00ITA,EURA14,2022-06-24 11:59:00,0.00214,-0.00262,0.01254,0.00214,-0.00262,0.01254
