marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PBRA00ITA,EURA14,2006-06-12 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PBRA00ITA,EURA14,2006-06-13 11:59:00,-8e-05,0.00177,-0.00877,-8e-05,0.00177,-0.00877
PBRA00ITA,EURA14,2006-06-14 11:59:00,0.00065,0.00084,-0.00814,0.00065,0.00084,-0.00814
PBRA00ITA,EURA14,2006-06-15 11:59:00,-6e-05,0.00205,-0.00973,-6e-05,0.00205,-0.00973
PBRA00ITA,EURA14,2006-06-16 11:59:00,-0.00058,0.0006,-0.00782,-0.00058,0.0006,-0.00782
PBRA00ITA,EURA14,2006-06-17 11:59:00,-0.0009,0.0027,-0.00774,-0.0009,0.0027,-0.00774
PBRA00ITA,EURA14,2006-06-18 11:59:00,5e-05,0.00027,-0.00993,5e-05,0.00027,-0.00993
PBRA00ITA,EURA14,2006-06-19 11:59:00,-0.00492,0.00224,-0.01646,-0.00492,0.00224,-0.01646
PBRA00ITA,EURA14,2006-06-20 11:59:00,-0.00032,0.0046,-0.01276,-0.00032,0.0046,-0.01276
PBRA00ITA,EURA14,2006-06-21 11:59:00,0.00085,6e-05,-0.01399,0.00085,6e-05,-0.01399
PBRA00ITA,EURA14,2006-06-22 11:59:00,-0.00546,0.00454,-0.00414,-0.00546,0.00454,-0.00414
PBRA00ITA,EURA14,2006-06-23 11:59:00,-0.00184,0.00282,-0.01148,-0.00184,0.00282,-0.01148
PBRA00ITA,EURA14,2006-06-24 11:59:00,-0.00139,0.00244,-0.00718,-0.00139,0.00244,-0.00718
PBRA00ITA,EURA14,2006-06-25 11:59:00,-0.00265,0.00294,-0.01694,-0.00265,0.00294,-0.01694
PBRA00ITA,EURA14,2006-06-26 11:59:00,0.00091,-0.0015,-0.01388,0.00091,-0.0015,-0.01388
PBRA00ITA,EURA14,2006-06-27 11:59:00,0.00131,0.00323,-0.0164,0.00131,0.00323,-0.0164
PBRA00ITA,EURA14,2006-06-28 11:59:00,-0.00242,0.00353,-0.01324,-0.00242,0.00353,-0.01324
PBRA00ITA,EURA14,2006-06-29 11:59:00,-0.0034,0.00284,-0.03175,-0.0034,0.00284,-0.03175
PBRA00ITA,EURA14,2006-06-30 11:59:00,-0.00071,0.00161,-0.0169,-0.00071,0.00161,-0.0169
PBRA00ITA,EURA14,2006-07-01 11:59:00,-0.00157,0.0014,-0.01441,-0.00157,0.0014,-0.01441
PBRA00ITA,EURA14,2006-07-02 11:59:00,0.00074,0.00244,-0.014,0.00074,0.00244,-0.014
PBRA00ITA,EURA14,2006-07-03 11:59:00,0.0,0.00274,-0.00168,0.0,0.00274,-0.00168
PBRA00ITA,EURA14,2006-07-04 11:59:00,0.00236,0.00647,-0.01773,0.00236,0.00647,-0.01773
PBRA00ITA,EURA14,2006-07-05 11:59:00,0.00265,0.00543,-0.02129,0.00265,0.00543,-0.02129
PBRA00ITA,EURA14,2006-07-06 11:59:00,0.00213,0.00795,-0.01789,0.00213,0.00795,-0.01789
PBRA00ITA,EURA14,2006-07-07 11:59:00,0.00315,0.00424,-0.01132,0.00315,0.00424,-0.01132
PBRA00ITA,EURA14,2006-07-10 11:59:00,0.00233,0.00466,-0.02284,0.00233,0.00466,-0.02284
PBRA00ITA,EURA14,2006-07-11 11:59:00,0.00328,0.00609,-0.02336,0.00328,0.00609,-0.02336
PBRA00ITA,EURA14,2006-07-12 11:59:00,0.00079,0.00497,-0.0181,0.00079,0.00497,-0.0181
PBRA00ITA,EURA14,2006-07-13 11:59:00,0.00177,0.00375,-0.02538,0.00177,0.00375,-0.02538
PBRA00ITA,EURA14,2006-07-14 11:59:00,0.00666,0.01033,-0.02433,0.00666,0.01033,-0.02433
PBRA00ITA,EURA14,2006-07-15 11:59:00,0.00266,0.0048,-0.01476,0.00266,0.0048,-0.01476
PBRA00ITA,EURA14,2006-07-16 11:59:00,0.00318,0.00598,-0.01698,0.00318,0.00598,-0.01698
PBRA00ITA,EURA14,2006-07-17 11:59:00,0.00428,0.00685,-0.0277,0.00428,0.00685,-0.0277
PBRA00ITA,EURA14,2006-07-18 11:59:00,0.005,0.00922,-0.03262,0.005,0.00922,-0.03262
PBRA00ITA,EURA14,2006-07-19 11:59:00,0.00525,0.0069,-0.01727,0.00525,0.0069,-0.01727
PBRA00ITA,EURA14,2006-07-20 11:59:00,0.00667,0.00821,-0.02004,0.00667,0.00821,-0.02004
PBRA00ITA,EURA14,2006-07-21 11:59:00,0.00804,0.01043,-0.01752,0.00804,0.01043,-0.01752
PBRA00ITA,EURA14,2006-07-22 11:59:00,0.00596,0.01125,-0.01706,0.00596,0.01125,-0.01706
PBRA00ITA,EURA14,2006-07-23 11:59:00,0.0087,0.00887,-0.02067,0.0087,0.00887,-0.02067
PBRA00ITA,EURA14,2006-07-24 11:59:00,0.00718,0.01071,-0.01826,0.00718,0.01071,-0.01826
PBRA00ITA,EURA14,2006-07-25 11:59:00,0.00556,0.01017,-0.01965,0.00556,0.01017,-0.01965
PBRA00ITA,EURA14,2006-07-26 11:59:00,0.00206,0.01075,-0.02388,0.00206,0.01075,-0.02388
