marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PERU00ITA,EURA14,2005-08-26 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PERU00ITA,EURA14,2005-08-27 11:59:00,0.00047,-0.00018,0.01261,0.00047,-0.00018,0.01261
PERU00ITA,EURA14,2005-08-28 11:59:00,0.0007,0.00586,0.01052,0.0007,0.00586,0.01052
PERU00ITA,EURA14,2005-08-31 11:59:00,0.00198,0.00301,0.01078,0.00198,0.00301,0.01078
PERU00ITA,EURA14,2005-09-01 11:59:00,0.001915,0.00236,0.00816,0.001915,0.00236,0.00816
PERU00ITA,EURA14,2005-09-02 11:59:00,0.00185,0.00171,0.00554,0.00185,0.00171,0.00554
PERU00ITA,EURA14,2005-09-03 11:59:00,0.00057,-0.00022,0.00643,0.00057,-0.00022,0.00643
PERU00ITA,EURA14,2005-09-04 11:59:00,-3.000000000000008e-05,0.000735,0.01063,-3.000000000000008e-05,0.000735,0.01063
PERU00ITA,EURA14,2005-09-05 11:59:00,-0.00063,0.00169,0.01483,-0.00063,0.00169,0.01483
PERU00ITA,EURA14,2005-09-06 11:59:00,0.00217,0.00043,0.01051,0.00217,0.00043,0.01051
PERU00ITA,EURA14,2005-09-07 11:59:00,-0.00206,0.00591,0.01388,-0.00206,0.00591,0.01388
PERU00ITA,EURA14,2005-09-08 11:59:00,0.00123,0.00277,0.01734,0.00123,0.00277,0.01734
PERU00ITA,EURA14,2005-09-09 11:59:00,0.00303,0.00095,0.00925,0.00303,0.00095,0.00925
PERU00ITA,EURA14,2005-09-10 11:59:00,0.00124,-0.00028,0.01425,0.00124,-0.00028,0.01425
PERU00ITA,EURA14,2005-09-11 11:59:00,0.00255,-0.00066,0.00902,0.00255,-0.00066,0.00902
PERU00ITA,EURA14,2005-09-12 11:59:00,0.00055,0.00028,0.00546,0.00055,0.00028,0.00546
PERU00ITA,EURA14,2005-09-13 11:59:00,0.00083,-3e-05,0.00699,0.00083,-3e-05,0.00699
PERU00ITA,EURA14,2005-09-14 11:59:00,-0.00147,0.0002,0.01061,-0.00147,0.0002,0.01061
PERU00ITA,EURA14,2005-09-15 11:59:00,-0.00062,0.00121,0.00671,-0.00062,0.00121,0.00671
PERU00ITA,EURA14,2005-09-16 11:59:00,-0.0002,0.00041,0.00404,-0.0002,0.00041,0.00404
PERU00ITA,EURA14,2005-09-17 11:59:00,-0.00041,0.00336,0.01396,-0.00041,0.00336,0.01396
PERU00ITA,EURA14,2005-09-18 11:59:00,-0.00254,0.0049,0.01882,-0.00254,0.0049,0.01882
PERU00ITA,EURA14,2005-09-19 11:59:00,-0.00077,0.00125,0.01321,-0.00077,0.00125,0.01321
PERU00ITA,EURA14,2005-09-20 11:59:00,0.0006,0.00144,0.00946,0.0006,0.00144,0.00946
PERU00ITA,EURA14,2005-09-21 11:59:00,-7e-05,0.00139,0.00527,-7e-05,0.00139,0.00527
PERU00ITA,EURA14,2005-09-22 11:59:00,0.00047,-0.00021,0.01417,0.00047,-0.00021,0.01417
PERU00ITA,EURA14,2005-09-27 11:59:00,0.00356,-0.00113,0.01599,0.00356,-0.00113,0.01599
PERU00ITA,EURA14,2005-09-28 11:59:00,0.00022,0.00032,0.00913,0.00022,0.00032,0.00913
PERU00ITA,EURA14,2005-09-29 11:59:00,8e-05,0.00266,0.00613,8e-05,0.00266,0.00613
PERU00ITA,EURA14,2005-09-30 11:59:00,-0.00025,0.00013,0.00855,-0.00025,0.00013,0.00855
PERU00ITA,EURA14,2005-10-01 11:59:00,0.00127,-0.00167,0.00774,0.00127,-0.00167,0.00774
PERU00ITA,EURA14,2005-10-02 11:59:00,-0.00026,0.00147,0.01025,-0.00026,0.00147,0.01025
PERU00ITA,EURA14,2005-10-03 11:59:00,-0.00302,0.00257,0.01276,-0.00302,0.00257,0.01276
PERU00ITA,EURA14,2005-10-04 11:59:00,-0.00023,0.00432,0.01722,-0.00023,0.00432,0.01722
PERU00ITA,EURA14,2005-10-05 11:59:00,-0.00034,0.00222,0.02644,-0.00034,0.00222,0.02644
PERU00ITA,EURA14,2005-10-18 11:59:00,0.00081,-0.00475,-0.04751,-0.0020422893185583647,-0.0026133356670347565,0.010417789544834848
PERU00ITA,EURA14,2005-10-19 11:59:00,0.0004,-0.00222,-0.03804,-0.0024522893185583644,-8.333566703475678e-05,0.019887789544834847
PERU00ITA,EURA14,2005-10-20 11:59:00,-0.00056,0.00399,-0.03395,-0.0034122893185583644,0.006126664332965243,0.023977789544834843
PERU00ITA,EURA14,2005-10-21 11:59:00,0.00219,0.00075,-0.03123,-0.0006622893185583645,0.0028866643329652436,0.026697789544834843
PERU00ITA,EURA14,2005-10-22 11:59:00,0.00202,-0.00103,-0.03946,-0.0008322893185583645,0.0011066643329652433,0.018467789544834842
PERU00ITA,EURA14,2005-10-23 11:59:00,0.00198,-0.0007,-0.04297,-0.0008722893185583646,0.0014366643329652433,0.014957789544834843
PERU00ITA,EURA14,2005-10-24 11:59:00,0.00154,0.00098,-0.04453,-0.0013122893185583647,0.0031166643329652434,0.013397789544834844
PERU00ITA,EURA14,2005-10-25 11:59:00,0.00134,-0.00163,-0.04632,-0.0015122893185583646,0.0005066643329652435,0.011607789544834844
PERU00ITA,EURA14,2005-10-26 11:59:00,0.00195,-0.0016,-0.04483,-0.0009022893185583647,0.0005366643329652433,0.013097789544834842
PERU00ITA,EURA14,2005-10-27 11:59:00,0.00062,-0.00135,-0.04445,-0.0022322893185583647,0.0007866643329652433,0.013477789544834841
PERU00ITA,EURA14,2005-10-28 11:59:00,0.00103,-0.00095,-0.04516,-0.0018222893185583645,0.0011866643329652435,0.012767789544834846
PERU00ITA,EURA14,2005-10-29 11:59:00,0.00205,-0.00067,-0.04316,-0.0008022893185583644,0.0014666643329652434,0.014767789544834847
PERU00ITA,EURA14,2005-10-30 11:59:00,0.00154,-0.00141,-0.04386,-0.0013122893185583647,0.0007266643329652434,0.014067789544834841
PERU00ITA,EURA14,2005-10-31 11:59:00,0.00104,-0.00179,-0.04334,-0.0018122893185583647,0.0003466643329652435,0.014587789544834848
PERU00ITA,EURA14,2005-11-01 11:59:00,-0.00083,0.00013,-0.04515,-0.0036822893185583646,0.0022666643329652433,0.012777789544834842
PERU00ITA,EURA14,2005-11-02 11:59:00,0.00144,0.00014,-0.04344,-0.0014122893185583645,0.0022766643329652433,0.014487789544834845
PERU00ITA,EURA14,2005-11-03 11:59:00,0.00159,-0.00225,-0.04088,-0.0012622893185583646,-0.00011333566703475642,0.017047789544834845
PERU00ITA,EURA14,2005-11-04 11:59:00,0.00186,-0.00126,-0.03929,-0.0009922893185583645,0.0008766643329652434,0.018637789544834846
PERU00ITA,EURA14,2005-11-08 11:59:00,0.00145,-0.00143,-0.04663,-0.0014022893185583647,0.0007066643329652433,0.011297789544834846
PERU00ITA,EURA14,2005-11-09 11:59:00,0.0011,-0.00109,-0.04654,-0.0017522893185583646,0.0010466643329652434,0.011387789544834846
PERU00ITA,EURA14,2005-11-10 11:59:00,-0.00073,-0.00101,-0.04762,-0.0035822893185583644,0.0011266643329652434,0.010307789544834842
PERU00ITA,EURA14,2005-11-11 11:59:00,0.00051,-0.00218,-0.04845,-0.0023422893185583646,-4.333566703475667e-05,0.009477789544834844
PERU00ITA,EURA14,2005-11-12 11:59:00,0.00015,-0.002,-0.04364,-0.0027022893185583647,0.00013666433296524337,0.014287789544834846
PERU00ITA,EURA14,2005-11-13 11:59:00,-0.00023,-0.00041,-0.04276,-0.003082289318558365,0.0017266643329652434,0.015167789544834845
PERU00ITA,EURA14,2005-11-14 11:59:00,-0.0507,0.0273,-0.1272,-0.05355228931855836,0.029436664332965243,-0.06927221045516516
PERU00ITA,EURA14,2005-11-15 11:59:00,-0.00048,-0.0013,-0.03485,-0.0033322893185583646,0.0008366643329652435,0.023077789544834845
PERU00ITA,EURA14,2005-11-16 11:59:00,0.00119,0.00092,-0.03312,-0.0016622893185583645,0.0030566643329652437,0.024807789544834848
PERU00ITA,EURA14,2005-11-17 11:59:00,0.00032,-0.00054,-0.0357,-0.0025322893185583647,0.0015966643329652433,0.02222778954483484
PERU00ITA,EURA14,2005-11-18 11:59:00,0.00069,-0.0007,-0.03592,-0.0021622893185583645,0.0014366643329652433,0.022007789544834844
PERU00ITA,EURA14,2005-11-19 11:59:00,0.00034,-0.00057,-0.04527,-0.0025122893185583646,0.0015666643329652434,0.012657789544834847
PERU00ITA,EURA14,2005-11-20 11:59:00,0.00106,-0.00151,-0.0448,-0.0017922893185583647,0.0006266643329652434,0.013127789544834845
PERU00ITA,EURA14,2005-11-21 11:59:00,0.00012,-0.0002,-0.03977,-0.0027322893185583647,0.0019366643329652433,0.018157789544834844
PERU00ITA,EURA14,2005-11-22 11:59:00,0.00085,-0.0002,-0.03967,-0.0020022893185583646,0.0019366643329652433,0.018257789544834847
PERU00ITA,EURA14,2005-11-23 11:59:00,4e-05,-0.00105,-0.0409,-0.0028122893185583645,0.0010866643329652435,0.017027789544834845
PERU00ITA,EURA14,2005-11-24 11:59:00,0.00032,-0.00207,-0.0354,-0.0025322893185583647,6.666433296524362e-05,0.022527789544834843
PERU00ITA,EURA14,2005-11-25 11:59:00,-3e-05,-0.00047,-0.03978,-0.0028822893185583647,0.0016666643329652435,0.01814778954483484
PERU00ITA,EURA14,2005-11-26 11:59:00,-0.00391,-0.0003,-0.03386,-0.006762289318558365,0.0018366643329652435,0.024067789544834843
PERU00ITA,EURA14,2005-11-27 11:59:00,-0.00134,-0.00169,-0.03334,-0.004192289318558365,0.0004466643329652433,0.024587789544834843
PERU00ITA,EURA14,2005-11-28 11:59:00,0.00115,-0.00153,-0.04246,-0.0017022893185583646,0.0006066643329652435,0.015467789544834847
PERU00ITA,EURA14,2005-11-29 11:59:00,0.00037,-0.00238,-0.03384,-0.0024822893185583645,-0.00024333566703475676,0.024087789544834842
PERU00ITA,EURA14,2005-11-30 11:59:00,-0.0027,-0.00223,-0.0296,-0.005552289318558365,-9.33356670347568e-05,0.028327789544834843
PERU00ITA,EURA14,2005-12-01 11:59:00,-0.00169,-0.00097,-0.02702,-0.004542289318558365,0.0011666643329652435,0.030907789544834845
PERU00ITA,EURA14,2005-12-02 11:59:00,-0.00019,2e-05,-0.03492,-0.0030422893185583647,0.0021566643329652435,0.023007789544834845
PERU00ITA,EURA14,2005-12-03 11:59:00,-0.00231,-0.00021,-0.03211,-0.005162289318558364,0.0019266643329652433,0.025817789544834845
PERU00ITA,EURA14,2005-12-04 11:59:00,0.00141,0.00071,-0.03547,-0.0014422893185583646,0.0028466643329652435,0.022457789544834843
PERU00ITA,EURA14,2005-12-05 11:59:00,-0.00261,-0.00067,-0.02784,-0.005462289318558364,0.0014666643329652434,0.030087789544834844
PERU00ITA,EURA14,2005-12-06 11:59:00,-0.00236,-0.00301,-0.02786,-0.005212289318558365,-0.0008733356670347567,0.030067789544834845
PERU00ITA,EURA14,2005-12-07 11:59:00,-0.00063,-0.00076,-0.03567,-0.0034822893185583645,0.0013766643329652434,0.022257789544834844
PERU00ITA,EURA14,2005-12-08 11:59:00,-0.00063,-7e-05,-0.03784,-0.0034822893185583645,0.0020666643329652432,0.020087789544834846
PERU00ITA,EURA14,2005-12-09 11:59:00,-0.00257,-0.00208,-0.03501,-0.005422289318558364,5.666433296524359e-05,0.022917789544834845
PERU00ITA,EURA14,2005-12-10 11:59:00,0.00133,0.0002,-0.04565,-0.0015222893185583646,0.0023366643329652435,0.012277789544834841
PERU00ITA,EURA14,2005-12-11 11:59:00,0.00238,-0.00142,-0.04941,-0.00047228931855836445,0.0007166643329652434,0.008517789544834842
PERU00ITA,EURA14,2005-12-12 11:59:00,0.00019,-0.00059,-0.04563,-0.0026622893185583646,0.0015466643329652434,0.012297789544834847
PERU00ITA,EURA14,2005-12-13 11:59:00,-0.00111,-0.00046,-0.04265,-0.0039622893185583645,0.0016766643329652435,0.015277789544834844
PERU00ITA,EURA14,2005-12-14 11:59:00,-1e-05,-0.00037,-0.04122,-0.0028622893185583646,0.0017666643329652433,0.016707789544834845
PERU00ITA,EURA14,2005-12-15 11:59:00,-8e-05,-0.00196,-0.04117,-0.002932289318558365,0.00017666433296524347,0.016757789544834846
PERU00ITA,EURA14,2005-12-16 11:59:00,-0.00134,-0.00147,-0.04187,-0.004192289318558365,0.0006666643329652435,0.016057789544834847
PERU00ITA,EURA14,2005-12-17 11:59:00,-0.00071,-0.00158,-0.03571,-0.0035622893185583648,0.0005566643329652434,0.022217789544834846
PERU00ITA,EURA14,2005-12-18 11:59:00,-1e-05,-0.00115,-0.04492,-0.0028622893185583646,0.0009866643329652434,0.013007789544834843
PERU00ITA,EURA14,2005-12-19 11:59:00,-9e-05,-0.00091,-0.04616,-0.0029422893185583644,0.0012266643329652434,0.011767789544834845
PERU00ITA,EURA14,2005-12-20 11:59:00,5e-05,-0.00083,-0.04543,-0.0028022893185583645,0.0013066643329652434,0.012497789544834846
PERU00ITA,EURA14,2005-12-21 11:59:00,1e-05,-0.00104,-0.0443,-0.0028422893185583646,0.0010966643329652435,0.013627789544834845
PERU00ITA,EURA14,2005-12-22 11:59:00,-0.00117,-0.00105,-0.04538,-0.004022289318558365,0.0010866643329652435,0.012547789544834848
PERU00ITA,EURA14,2005-12-23 11:59:00,0.00012,-0.00169,-0.04606,-0.0027322893185583647,0.0004466643329652433,0.011867789544834847
PERU00ITA,EURA14,2005-12-24 11:59:00,-0.0002,-0.00176,-0.04634,-0.0030522893185583647,0.00037666433296524335,0.011587789544834845
PERU00ITA,EURA14,2005-12-25 11:59:00,-0.00179,-0.0013,-0.04249,-0.0046422893185583645,0.0008366643329652435,0.015437789544834844
PERU00ITA,EURA14,2005-12-26 11:59:00,-0.00241,-0.00129,-0.03069,-0.0052622893185583644,0.0008466643329652435,0.027237789544834846
PERU00ITA,EURA14,2005-12-27 11:59:00,-0.00345,-0.00224,-0.02964,-0.0063022893185583646,-0.0001033356670347564,0.028287789544834845
PERU00ITA,EURA14,2005-12-28 11:59:00,0.00073,-0.00264,-0.03668,-0.002122289318558365,-0.0005033356670347566,0.021247789544834847
PERU00ITA,EURA14,2005-12-29 11:59:00,0.00018,-0.00302,-0.04103,-0.0026722893185583646,-0.0008833356670347567,0.016897789544834847
PERU00ITA,EURA14,2005-12-30 11:59:00,0.00018,-0.00223,-0.04408,-0.0026722893185583646,-9.33356670347568e-05,0.013847789544834843
PERU00ITA,EURA14,2005-12-31 11:59:00,0.00028,-0.00293,-0.03345,-0.0025722893185583648,-0.0007933356670347565,0.024477789544834844
PERU00ITA,EURA14,2006-01-01 11:59:00,-0.00071,-0.00201,-0.02942,-0.0035622893185583648,0.00012666433296524334,0.028507789544834843
PERU00ITA,EURA14,2006-01-02 11:59:00,-0.00173,-0.00399,-0.02239,-0.004582289318558364,-0.0018533356670347562,0.035537789544834844
PERU00ITA,EURA14,2006-01-03 11:59:00,0.00122,-0.00014,-0.03573,-0.0016322893185583647,0.0019966643329652435,0.022197789544834846
PERU00ITA,EURA14,2006-01-04 11:59:00,0.00087,-9e-05,-0.03516,-0.0019822893185583645,0.0020466643329652436,0.022767789544834847
PERU00ITA,EURA14,2006-01-05 11:59:00,0.00102,-0.00213,-0.03891,-0.0018322893185583645,6.66433296524346e-06,0.019017789544834844
PERU00ITA,EURA14,2006-01-06 11:59:00,0.00081,-0.00137,-0.04328,-0.0020422893185583647,0.0007666643329652435,0.014647789544834845
PERU00ITA,EURA14,2006-01-07 11:59:00,0.00097,-0.00087,-0.04596,-0.0018822893185583647,0.0012666643329652433,0.011967789544834843
PERU00ITA,EURA14,2006-01-08 11:59:00,7e-05,-0.00131,-0.04746,-0.0027822893185583644,0.0008266643329652434,0.010467789544834842
PERU00ITA,EURA14,2006-01-09 11:59:00,-0.00018,-0.00178,-0.04629,-0.0030322893185583647,0.0003566643329652435,0.011637789544834846
PERU00ITA,EURA14,2006-01-10 11:59:00,-0.00039,-0.00192,-0.04792,-0.0032422893185583648,0.00021666433296524336,0.010007789544834847
PERU00ITA,EURA14,2006-01-11 11:59:00,0.00034,-0.001,-0.04771,-0.0025122893185583646,0.0011366643329652434,0.010217789544834842
PERU00ITA,EURA14,2006-01-12 11:59:00,0.0003,-0.00106,-0.05084,-0.0025522893185583647,0.0010766643329652434,0.007087789544834841
PERU00ITA,EURA14,2006-01-13 11:59:00,-0.0001,-0.00178,-0.04609,-0.0029522893185583645,0.0003566643329652435,0.011837789544834845
PERU00ITA,EURA14,2006-01-14 11:59:00,0.00028,-0.00194,-0.04654,-0.0025722893185583648,0.0001966643329652433,0.011387789544834846
PERU00ITA,EURA14,2006-01-15 11:59:00,0.00065,-0.00201,-0.04467,-0.0022022893185583647,0.00012666433296524334,0.013257789544834843
PERU00ITA,EURA14,2006-01-16 11:59:00,0.00027,-0.00218,-0.04204,-0.0025822893185583648,-4.333566703475667e-05,0.015887789544834843
PERU00ITA,EURA14,2006-01-17 11:59:00,-0.00039,-0.00131,-0.04356,-0.0032422893185583648,0.0008266643329652434,0.014367789544834843
PERU00ITA,EURA14,2006-01-18 11:59:00,9e-05,-0.00241,-0.03131,-0.002762289318558365,-0.0002733356670347564,0.026617789544834847
PERU00ITA,EURA14,2006-01-19 11:59:00,0.0002,-0.00115,-0.04149,-0.0026522893185583645,0.0009866643329652434,0.016437789544834845
PERU00ITA,EURA14,2006-01-20 11:59:00,0.00043,-0.00077,-0.0439,-0.002422289318558365,0.0013666643329652436,0.014027789544834843
PERU00ITA,EURA14,2006-01-21 11:59:00,-0.0006,-0.00121,-0.03959,-0.0034522893185583645,0.0009266643329652435,0.018337789544834844
PERU00ITA,EURA14,2006-01-22 11:59:00,0.0011,-0.00037,-0.04226,-0.0017522893185583646,0.0017666643329652433,0.015667789544834845
PERU00ITA,EURA14,2006-01-23 11:59:00,0.00219,-0.00272,-0.03578,-0.0006622893185583645,-0.0005833356670347568,0.022147789544834845
PERU00ITA,EURA14,2006-01-24 11:59:00,0.00178,-0.00332,-0.04041,-0.0010722893185583647,-0.0011833356670347566,0.017517789544834843
