marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PESC00ITA,EURA14,2012-02-01 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PESC00ITA,EURA14,2012-02-02 11:59:00,0.00022,-0.00165,-0.00082,0.00022,-0.00165,-0.00082
PESC00ITA,EURA14,2012-02-03 11:59:00,0.01024,-0.00519,0.01028,0.01024,-0.00519,0.01028
PESC00ITA,EURA14,2012-02-04 11:59:00,0.00365,-0.00138,-0.00633,0.00365,-0.00138,-0.00633
PESC00ITA,EURA14,2012-02-05 11:59:00,0.00361,0.00121,-0.00901,0.00361,0.00121,-0.00901
PESC00ITA,EURA14,2012-02-06 11:59:00,0.00152,-0.00015,-8e-05,0.00152,-0.00015,-8e-05
PESC00ITA,EURA14,2012-02-07 11:59:00,0.00158,-0.00246,-0.00467,0.00158,-0.00246,-0.00467
PESC00ITA,EURA14,2012-02-08 11:59:00,-0.00043,-0.00045,-0.00617,-0.00043,-0.00045,-0.00617
PESC00ITA,EURA14,2012-02-09 11:59:00,0.00081,-0.00094,-0.00201,0.00081,-0.00094,-0.00201
PESC00ITA,EURA14,2012-02-10 11:59:00,0.00824,-0.00159,0.00281,0.00824,-0.00159,0.00281
PESC00ITA,EURA14,2012-02-11 11:59:00,0.004605000000000001,-0.0031349999999999998,-0.000725,0.004605000000000001,-0.0031349999999999998,-0.000725
PESC00ITA,EURA14,2012-02-12 11:59:00,0.00097,-0.00468,-0.00426,0.00097,-0.00468,-0.00426
PESC00ITA,EURA14,2012-02-13 11:59:00,-0.00078,-0.00166,-0.00485,-0.00078,-0.00166,-0.00485
PESC00ITA,EURA14,2012-02-14 11:59:00,-0.00052,-0.00124,-0.0053,-0.00052,-0.00124,-0.0053
PESC00ITA,EURA14,2012-02-15 11:59:00,0.00023,-0.00167,-0.0058,0.00023,-0.00167,-0.0058
PESC00ITA,EURA14,2012-02-16 11:59:00,-0.00059,-0.00184,-0.00298,-0.00059,-0.00184,-0.00298
PESC00ITA,EURA14,2012-02-17 11:59:00,-0.00038,-0.00154,-0.00205,-0.00038,-0.00154,-0.00205
PESC00ITA,EURA14,2012-02-18 11:59:00,0.00082,-0.0014,-0.00701,0.00082,-0.0014,-0.00701
PESC00ITA,EURA14,2012-02-19 11:59:00,0.00045,-0.00157,-0.00466,0.00045,-0.00157,-0.00466
PESC00ITA,EURA14,2012-02-20 11:59:00,-0.00155,-0.00074,-0.00794,-0.00155,-0.00074,-0.00794
PESC00ITA,EURA14,2012-02-21 11:59:00,-0.00108,-0.00085,-0.00075,-0.00108,-0.00085,-0.00075
PESC00ITA,EURA14,2012-02-22 11:59:00,-0.00069,-0.0006,-0.00555,-0.00069,-0.0006,-0.00555
PESC00ITA,EURA14,2012-02-23 11:59:00,7e-05,-0.00142,-0.00346,7e-05,-0.00142,-0.00346
PESC00ITA,EURA14,2012-02-24 11:59:00,-0.00013,-0.00249,-0.00315,-0.00013,-0.00249,-0.00315
PESC00ITA,EURA14,2012-02-25 11:59:00,-0.00068,-0.00115,-0.00105,-0.00068,-0.00115,-0.00105
PESC00ITA,EURA14,2012-02-26 11:59:00,-0.00085,-0.00159,-0.00113,-0.00085,-0.00159,-0.00113
PESC00ITA,EURA14,2012-02-27 11:59:00,-0.00065,-0.00144,-0.00214,-0.00065,-0.00144,-0.00214
PESC00ITA,EURA14,2012-02-28 11:59:00,0.00023,-0.00203,-0.00763,0.00023,-0.00203,-0.00763
PESC00ITA,EURA14,2012-02-29 11:59:00,-0.00043,-0.00121,0.0001,-0.00043,-0.00121,0.0001
