marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PET100ITA,EURA14,2012-07-19 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PET100ITA,EURA14,2012-07-20 11:59:00,-0.00231,0.00057,0.00424,-0.00231,0.00057,0.00424
PET100ITA,EURA14,2012-07-21 11:59:00,-0.00059,-8e-05,0.00367,-0.00059,-8e-05,0.00367
PET100ITA,EURA14,2012-07-22 11:59:00,-0.00201,-0.00246,0.01136,-0.00201,-0.00246,0.01136
PET100ITA,EURA14,2012-07-23 11:59:00,7e-05,0.00017,0.00822,7e-05,0.00017,0.00822
PET100ITA,EURA14,2012-07-24 11:59:00,-0.00238,-0.00491,0.00589,-0.00238,-0.00491,0.00589
PET100ITA,EURA14,2012-07-25 11:59:00,-0.00202,1e-05,0.00432,-0.00202,1e-05,0.00432
PET100ITA,EURA14,2012-07-26 11:59:00,-0.00164,0.00095,0.00133,-0.00164,0.00095,0.00133
PET100ITA,EURA14,2012-07-27 11:59:00,-0.00276,-0.00038,0.00696,-0.00276,-0.00038,0.00696
PET100ITA,EURA14,2012-07-28 11:59:00,-0.00145,-0.00107,-0.00095,-0.00145,-0.00107,-0.00095
PET100ITA,EURA14,2012-07-29 11:59:00,-0.00181,0.0007,-0.00034,-0.00181,0.0007,-0.00034
PET100ITA,EURA14,2012-07-30 11:59:00,-0.00096,0.00053,0.00116,-0.00096,0.00053,0.00116
PET100ITA,EURA14,2012-07-31 11:59:00,0.00031,-0.0019,0.00425,0.00031,-0.0019,0.00425
PET100ITA,EURA14,2012-08-01 11:59:00,0.00189,-0.00053,-0.00283,0.00189,-0.00053,-0.00283
PET100ITA,EURA14,2012-08-02 11:59:00,-0.00113,0.00076,-0.00703,-0.00113,0.00076,-0.00703
PET100ITA,EURA14,2012-08-03 11:59:00,-0.00206,-0.00107,-0.00381,-0.00206,-0.00107,-0.00381
PET100ITA,EURA14,2012-08-04 11:59:00,-0.00098,0.00016,-0.00753,-0.00098,0.00016,-0.00753
PET100ITA,EURA14,2012-08-05 11:59:00,-0.00157,0.0005,-0.00452,-0.00157,0.0005,-0.00452
PET100ITA,EURA14,2012-08-06 11:59:00,-0.00172,-0.00051,2e-05,-0.00172,-0.00051,2e-05
PET100ITA,EURA14,2012-08-07 11:59:00,-0.00254,0.00058,-0.00013,-0.00254,0.00058,-0.00013
PET100ITA,EURA14,2012-08-08 11:59:00,-0.00206,0.00105,0.00449,-0.00206,0.00105,0.00449
PET100ITA,EURA14,2012-08-09 11:59:00,-0.00021,-0.00134,-0.00123,-0.00021,-0.00134,-0.00123
PET100ITA,EURA14,2012-08-10 11:59:00,-0.00079,-0.00018,0.00234,-0.00079,-0.00018,0.00234
PET100ITA,EURA14,2012-08-11 11:59:00,0.00069,4e-05,0.00337,0.00069,4e-05,0.00337
PET100ITA,EURA14,2012-08-12 11:59:00,9e-05,-0.00168,0.00814,9e-05,-0.00168,0.00814
PET100ITA,EURA14,2012-08-13 11:59:00,-0.00079,0.00076,0.00066,-0.00079,0.00076,0.00066
PET100ITA,EURA14,2012-08-14 11:59:00,-0.00215,-0.00022,-0.00221,-0.00215,-0.00022,-0.00221
PET100ITA,EURA14,2012-08-15 11:59:00,-0.00139,-0.00062,0.00124,-0.00139,-0.00062,0.00124
PET100ITA,EURA14,2012-08-16 11:59:00,-0.00168,-0.00196,-0.00021,-0.00168,-0.00196,-0.00021
PET100ITA,EURA14,2012-08-17 11:59:00,0.00283,0.00034,0.00223,0.00283,0.00034,0.00223
PET100ITA,EURA14,2012-08-18 11:59:00,0.00114,0.00062,0.00308,0.00114,0.00062,0.00308
PET100ITA,EURA14,2012-08-19 11:59:00,0.0002,0.00049,-0.00126,0.0002,0.00049,-0.00126
PET100ITA,EURA14,2012-08-20 11:59:00,-0.00053,-0.00017,0.00363,-0.00053,-0.00017,0.00363
PET100ITA,EURA14,2012-08-21 11:59:00,0.00079,-9e-05,0.00046,0.00079,-9e-05,0.00046
PET100ITA,EURA14,2012-08-22 11:59:00,-0.00047,-0.00034,0.00326,-0.00047,-0.00034,0.00326
PET100ITA,EURA14,2012-08-23 11:59:00,0.00064,-0.00037,-0.00335,0.00064,-0.00037,-0.00335
PET100ITA,EURA14,2012-08-24 11:59:00,-0.00045,-0.0003,0.00905,-0.00045,-0.0003,0.00905
PET100ITA,EURA14,2012-08-25 11:59:00,-0.00053,-0.00099,0.008,-0.00053,-0.00099,0.008
PET100ITA,EURA14,2012-08-26 11:59:00,-0.00093,-0.00025,0.00993,-0.00093,-0.00025,0.00993
PET100ITA,EURA14,2012-08-27 11:59:00,-0.00034,-0.00073,0.00487,-0.00034,-0.00073,0.00487
PET100ITA,EURA14,2012-08-28 11:59:00,0.00034,-9e-05,0.00383,0.00034,-9e-05,0.00383
PET100ITA,EURA14,2012-08-29 11:59:00,-0.00075,-0.00073,0.00423,-0.00075,-0.00073,0.00423
PET100ITA,EURA14,2012-08-30 11:59:00,-0.00129,-0.00132,0.00409,-0.00129,-0.00132,0.00409
PET100ITA,EURA14,2012-08-31 11:59:00,0.00135,0.00364,0.00457,0.00135,0.00364,0.00457
PET100ITA,EURA14,2012-09-01 11:59:00,-0.00237,0.00157,0.01395,-0.00237,0.00157,0.01395
PET100ITA,EURA14,2012-09-02 11:59:00,-0.00197,0.00102,0.0109,-0.00197,0.00102,0.0109
PET100ITA,EURA14,2012-09-03 11:59:00,-0.00157,0.00047,0.00785,-0.00157,0.00047,0.00785
PET100ITA,EURA14,2012-09-04 11:59:00,6e-05,-0.00116,0.00071,6e-05,-0.00116,0.00071
PET100ITA,EURA14,2012-09-05 11:59:00,-0.00128,-0.00395,0.0064,-0.00128,-0.00395,0.0064
PET100ITA,EURA14,2012-09-06 11:59:00,-0.00125,-0.00181,0.0023,-0.00125,-0.00181,0.0023
PET100ITA,EURA14,2012-09-07 11:59:00,-0.0026,-0.00112,0.00521,-0.0026,-0.00112,0.00521
