marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PETC00ITA,EURA14,2008-04-10 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PETC00ITA,EURA14,2008-04-11 11:59:00,-0.00435,0.00142,0.0095,-0.00435,0.00142,0.0095
PETC00ITA,EURA14,2008-04-12 11:59:00,-0.00298,0.00102,0.0034,-0.00298,0.00102,0.0034
PETC00ITA,EURA14,2008-04-13 11:59:00,-0.00688,-0.00163,-0.0005,-0.00688,-0.00163,-0.0005
PETC00ITA,EURA14,2008-04-14 11:59:00,-0.00648,-0.00042,-0.00031,-0.00648,-0.00042,-0.00031
PETC00ITA,EURA14,2008-04-15 11:59:00,-0.00625,-0.00264,0.0093,-0.00625,-0.00264,0.0093
PETC00ITA,EURA14,2008-04-16 11:59:00,-0.00588,-0.00201,0.00077,-0.00588,-0.00201,0.00077
PETC00ITA,EURA14,2008-04-17 11:59:00,-0.00707,-0.00233,0.00232,-0.00707,-0.00233,0.00232
PETC00ITA,EURA14,2008-04-18 11:59:00,-0.00529,0.00051,0.01274,-0.00529,0.00051,0.01274
PETC00ITA,EURA14,2008-04-19 11:59:00,-0.00557,-0.00259,0.00919,-0.00557,-0.00259,0.00919
PETC00ITA,EURA14,2008-04-20 11:59:00,-0.00576,-0.00175,0.00627,-0.00576,-0.00175,0.00627
PETC00ITA,EURA14,2008-04-21 11:59:00,-0.0051,-0.0034,0.00879,-0.0051,-0.0034,0.00879
PETC00ITA,EURA14,2008-04-22 11:59:00,-0.00691,-0.00229,0.00561,-0.00691,-0.00229,0.00561
PETC00ITA,EURA14,2008-04-23 11:59:00,-0.00454,-0.00126,-0.00053,-0.00454,-0.00126,-0.00053
PETC00ITA,EURA14,2008-04-24 11:59:00,-0.00629,-0.00186,-0.00154,-0.00629,-0.00186,-0.00154
PETC00ITA,EURA14,2008-04-25 11:59:00,-0.00538,-0.00059,0.0007,-0.00538,-0.00059,0.0007
PETC00ITA,EURA14,2008-04-26 11:59:00,-0.00691,-0.00192,-0.00351,-0.00691,-0.00192,-0.00351
