marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PIBI00ITA,EURA14,2011-12-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PIBI00ITA,EURA14,2011-12-07 11:59:00,0.00242,0.0021,-0.00702,0.00242,0.0021,-0.00702
PIBI00ITA,EURA14,2011-12-08 11:59:00,0.00322,0.00154,0.00233,0.00322,0.00154,0.00233
PIBI00ITA,EURA14,2011-12-09 11:59:00,0.00221,0.00099,0.0007,0.00221,0.00099,0.0007
PIBI00ITA,EURA14,2011-12-10 11:59:00,0.0026,0.00171,0.0052,0.0026,0.00171,0.0052
PIBI00ITA,EURA14,2011-12-11 11:59:00,0.00392,0.00238,0.00303,0.00392,0.00238,0.00303
PIBI00ITA,EURA14,2011-12-12 11:59:00,0.0026699999999999996,0.003935,0.00558,0.0026699999999999996,0.003935,0.00558
PIBI00ITA,EURA14,2011-12-13 11:59:00,0.00142,0.00549,0.00813,0.00142,0.00549,0.00813
PIBI00ITA,EURA14,2011-12-14 11:59:00,-0.00126,0.00749,0.02425,-0.00126,0.00749,0.02425
PIBI00ITA,EURA14,2011-12-15 11:59:00,-0.00256,0.00455,-0.00355,-0.00256,0.00455,-0.00355
PIBI00ITA,EURA14,2011-12-16 11:59:00,0.00328,0.00291,0.00639,0.00328,0.00291,0.00639
PIBI00ITA,EURA14,2011-12-17 11:59:00,0.00164,0.00447,0.00679,0.00164,0.00447,0.00679
PIBI00ITA,EURA14,2011-12-18 11:59:00,0.00323,0.00196,-0.00015,0.00323,0.00196,-0.00015
PIBI00ITA,EURA14,2011-12-19 11:59:00,0.00339,0.00338,0.00451,0.00339,0.00338,0.00451
PIBI00ITA,EURA14,2011-12-20 11:59:00,0.00355,0.00169,-0.0027,0.00355,0.00169,-0.0027
PIBI00ITA,EURA14,2011-12-21 11:59:00,0.00324,0.00139,-0.00132,0.00324,0.00139,-0.00132
PIBI00ITA,EURA14,2011-12-22 11:59:00,0.00034,0.00041,-0.00031,0.00034,0.00041,-0.00031
PIBI00ITA,EURA14,2011-12-23 11:59:00,0.00203,0.0008,-0.00598,0.00203,0.0008,-0.00598
