marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PIET00ITA,EURA14,2006-06-29 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PIET00ITA,EURA14,2006-06-30 11:59:00,-0.00203,-0.00051,-0.00573,-0.00203,-0.00051,-0.00573
PIET00ITA,EURA14,2006-07-01 11:59:00,-0.00233,0.00075,-0.01432,-0.00233,0.00075,-0.01432
PIET00ITA,EURA14,2006-07-02 11:59:00,-0.00013,0.00049,-0.01099,-0.00013,0.00049,-0.01099
PIET00ITA,EURA14,2006-07-03 11:59:00,-0.0018,-0.00267,-0.00939,-0.0018,-0.00267,-0.00939
PIET00ITA,EURA14,2006-07-04 11:59:00,-0.00164,-0.00098,-0.00885,-0.00164,-0.00098,-0.00885
PIET00ITA,EURA14,2006-07-05 11:59:00,0.00087,0.00166,-0.01541,0.00087,0.00166,-0.01541
PIET00ITA,EURA14,2006-07-06 11:59:00,0.00061,0.00103,-0.01578,0.00061,0.00103,-0.01578
PIET00ITA,EURA14,2006-07-07 11:59:00,0.00093,0.00189,-0.01919,0.00093,0.00189,-0.01919
PIET00ITA,EURA14,2006-07-08 11:59:00,-6e-05,0.00031,-0.01665,-6e-05,0.00031,-0.01665
PIET00ITA,EURA14,2006-07-09 11:59:00,0.00072,0.00192,-0.0164,0.00072,0.00192,-0.0164
PIET00ITA,EURA14,2006-07-10 11:59:00,-0.0002,0.00093,-0.01696,-0.0002,0.00093,-0.01696
PIET00ITA,EURA14,2006-07-11 11:59:00,-0.00129,-0.00078,-0.0151,-0.00129,-0.00078,-0.0151
PIET00ITA,EURA14,2006-07-12 11:59:00,-0.00048,0.00167,-0.01741,-0.00048,0.00167,-0.01741
PIET00ITA,EURA14,2006-07-13 11:59:00,-0.00377,0.0003,-0.01151,-0.00377,0.0003,-0.01151
PIET00ITA,EURA14,2006-07-14 11:59:00,-0.00342,0.00211,-0.01018,-0.00342,0.00211,-0.01018
PIET00ITA,EURA14,2006-07-15 11:59:00,-0.00141,3e-05,-0.01178,-0.00141,3e-05,-0.01178
PIET00ITA,EURA14,2006-07-16 11:59:00,0.00037,0.00065,-0.01385,0.00037,0.00065,-0.01385
PIET00ITA,EURA14,2006-07-17 11:59:00,-0.00373,0.00026,-0.01132,-0.00373,0.00026,-0.01132
PIET00ITA,EURA14,2006-07-18 11:59:00,-0.00381,0.00117,-0.0156,-0.00381,0.00117,-0.0156
PIET00ITA,EURA14,2006-07-19 11:59:00,-0.00076,-1e-05,-0.01305,-0.00076,-1e-05,-0.01305
PIET00ITA,EURA14,2006-07-20 11:59:00,-0.00069,7e-05,-0.01701,-0.00069,7e-05,-0.01701
PIET00ITA,EURA14,2006-07-21 11:59:00,-0.00041,0.00076,-0.01714,-0.00041,0.00076,-0.01714
PIET00ITA,EURA14,2006-07-22 11:59:00,4e-05,0.00045,-0.01054,4e-05,0.00045,-0.01054
PIET00ITA,EURA14,2006-07-23 11:59:00,-0.00193,-0.00098,-0.01113,-0.00193,-0.00098,-0.01113
PIET00ITA,EURA14,2006-07-24 11:59:00,-0.00152,0.00071,-0.01898,-0.00152,0.00071,-0.01898
PIET00ITA,EURA14,2006-07-25 11:59:00,0.00013,0.001,-0.01954,0.00013,0.001,-0.01954
PIET00ITA,EURA14,2006-07-26 11:59:00,-0.00314,-0.00135,-0.01504,-0.00314,-0.00135,-0.01504
PIET00ITA,EURA14,2006-07-27 11:59:00,-0.00286,-0.00261,-0.00223,-0.00286,-0.00261,-0.00223
PIET00ITA,EURA14,2006-07-28 11:59:00,-0.00396,0.00253,-0.00808,-0.00396,0.00253,-0.00808
PIET00ITA,EURA14,2006-07-29 11:59:00,0.0,0.00218,-0.0148,0.0,0.00218,-0.0148
PIET00ITA,EURA14,2006-07-30 11:59:00,-0.00212,-0.00033,-0.01206,-0.00212,-0.00033,-0.01206
PIET00ITA,EURA14,2006-07-31 11:59:00,-0.00075,0.0025,-0.01685,-0.00075,0.0025,-0.01685
PIET00ITA,EURA14,2006-08-01 11:59:00,0.00021,0.00097,-0.01535,0.00021,0.00097,-0.01535
PIET00ITA,EURA14,2006-08-02 11:59:00,0.00016,0.00167,-0.0102,0.00016,0.00167,-0.0102
PIET00ITA,EURA14,2006-08-03 11:59:00,0.00177,0.00156,-0.0156,0.00177,0.00156,-0.0156
PIET00ITA,EURA14,2006-08-04 11:59:00,-0.00163,0.00058,-0.01337,-0.00163,0.00058,-0.01337
PIET00ITA,EURA14,2006-08-05 11:59:00,-0.00052,0.00113,-0.01201,-0.00052,0.00113,-0.01201
PIET00ITA,EURA14,2006-08-06 11:59:00,0.00098,0.0008,-0.01592,0.00098,0.0008,-0.01592
PIET00ITA,EURA14,2006-08-07 11:59:00,-0.00081,0.00021,-0.01267,-0.00081,0.00021,-0.01267
PIET00ITA,EURA14,2006-08-08 11:59:00,0.00081,0.00127,-0.00929,0.00081,0.00127,-0.00929
PIET00ITA,EURA14,2006-08-09 11:59:00,-0.00042,-0.00019,-0.0154,-0.00042,-0.00019,-0.0154
PIET00ITA,EURA14,2006-08-10 11:59:00,-0.00152,-0.00085,-0.01337,-0.00152,-0.00085,-0.01337
PIET00ITA,EURA14,2006-08-11 11:59:00,-0.00266,-0.00014,-0.01624,-0.00266,-0.00014,-0.01624
PIET00ITA,EURA14,2006-08-12 11:59:00,-0.00062,0.00227,-0.01801,-0.00062,0.00227,-0.01801
PIET00ITA,EURA14,2006-08-13 11:59:00,-0.00055,-0.00063,-0.01548,-0.00055,-0.00063,-0.01548
PIET00ITA,EURA14,2006-08-14 11:59:00,0.00012,0.00106,-0.01371,0.00012,0.00106,-0.01371
PIET00ITA,EURA14,2006-08-15 11:59:00,-0.0004,0.00436,-0.01964,-0.0004,0.00436,-0.01964
PIET00ITA,EURA14,2006-08-16 11:59:00,-0.00054,0.00028,-0.01003,-0.00054,0.00028,-0.01003
PIET00ITA,EURA14,2006-08-17 11:59:00,0.00076,-0.0002,-0.0109,0.00076,-0.0002,-0.0109
PIET00ITA,EURA14,2006-08-18 11:59:00,-0.00116,0.00229,-0.01911,-0.00116,0.00229,-0.01911
PIET00ITA,EURA14,2006-08-19 11:59:00,0.00261,0.00144,-0.00811,0.00261,0.00144,-0.00811
PIET00ITA,EURA14,2006-08-20 11:59:00,0.00023,0.00196,-0.00585,0.00023,0.00196,-0.00585
PIET00ITA,EURA14,2006-08-21 11:59:00,-0.00174,0.00082,-0.00889,-0.00174,0.00082,-0.00889
PIET00ITA,EURA14,2006-08-22 11:59:00,-0.00091,0.00123,-0.01102,-0.00091,0.00123,-0.01102
PIET00ITA,EURA14,2006-08-23 11:59:00,-0.00081,0.00115,-0.01402,-0.00081,0.00115,-0.01402
PIET00ITA,EURA14,2006-08-24 11:59:00,-0.00081,0.00133,-0.00948,-0.00081,0.00133,-0.00948
PIET00ITA,EURA14,2006-08-25 11:59:00,-2e-05,0.00078,-0.00149,-2e-05,0.00078,-0.00149
PIET00ITA,EURA14,2006-08-26 11:59:00,-0.00018,0.00229,-0.00951,-0.00018,0.00229,-0.00951
PIET00ITA,EURA14,2006-08-27 11:59:00,0.00037,-0.0005,-0.00645,0.00037,-0.0005,-0.00645
PIET00ITA,EURA14,2006-08-28 11:59:00,0.00249,0.00042,-0.00971,0.00249,0.00042,-0.00971
PIET00ITA,EURA14,2006-08-29 11:59:00,-3e-05,0.0021,-0.01452,-3e-05,0.0021,-0.01452
PIET00ITA,EURA14,2006-08-30 11:59:00,-0.00295,0.0007,-0.0081,-0.00295,0.0007,-0.0081
PIET00ITA,EURA14,2006-08-31 11:59:00,-0.00051,0.00175,-0.01023,-0.00051,0.00175,-0.01023
PIET00ITA,EURA14,2006-09-01 11:59:00,-0.00072,0.00036,-0.0143,-0.00072,0.00036,-0.0143
PIET00ITA,EURA14,2006-09-02 11:59:00,-0.00177,0.0003,-0.00526,-0.00177,0.0003,-0.00526
PIET00ITA,EURA14,2006-09-03 11:59:00,-7e-05,0.00145,-0.01176,-7e-05,0.00145,-0.01176
PIET00ITA,EURA14,2006-09-04 11:59:00,-0.00096,0.00126,-0.01196,-0.00096,0.00126,-0.01196
PIET00ITA,EURA14,2006-09-25 11:59:00,-0.0009,0.00196,-0.01397,-0.0009,0.00196,-0.01397
PIET00ITA,EURA14,2006-09-26 11:59:00,0.0004,0.00449,-0.01209,0.0004,0.00449,-0.01209
PIET00ITA,EURA14,2006-09-27 11:59:00,-0.00146,0.0003,-0.01289,-0.00146,0.0003,-0.01289
PIET00ITA,EURA14,2006-09-28 11:59:00,-0.00167,0.00152,-0.01219,-0.00167,0.00152,-0.01219
PIET00ITA,EURA14,2006-09-29 11:59:00,-4e-05,0.00291,-0.01737,-4e-05,0.00291,-0.01737
PIET00ITA,EURA14,2006-09-30 11:59:00,-0.00106,0.00308,-0.01813,-0.00106,0.00308,-0.01813
PIET00ITA,EURA14,2006-10-01 11:59:00,0.00011,0.00184,-0.01398,0.00011,0.00184,-0.01398
PIET00ITA,EURA14,2006-10-02 11:59:00,0.0002,0.00192,-0.01513,0.0002,0.00192,-0.01513
PIET00ITA,EURA14,2006-10-03 11:59:00,-0.00026,0.00207,-0.01438,-0.00026,0.00207,-0.01438
PIET00ITA,EURA14,2006-10-04 11:59:00,-0.00467,0.00213,-0.01558,-0.00467,0.00213,-0.01558
PIET00ITA,EURA14,2006-10-05 11:59:00,0.00143,0.00199,-0.0237,0.00143,0.00199,-0.0237
PIET00ITA,EURA14,2006-10-06 11:59:00,-0.00046,0.0017,-0.01523,-0.00046,0.0017,-0.01523
PIET00ITA,EURA14,2006-10-07 11:59:00,0.00014,0.00246,-0.0143,0.00014,0.00246,-0.0143
PIET00ITA,EURA14,2006-10-08 11:59:00,-0.00146,-0.00053,-0.01247,-0.00146,-0.00053,-0.01247
PIET00ITA,EURA14,2006-10-09 11:59:00,-0.00023,0.00316,-0.01824,-0.00023,0.00316,-0.01824
PIET00ITA,EURA14,2006-10-10 11:59:00,-0.00017,0.00181,-0.01466,-0.00017,0.00181,-0.01466
PIET00ITA,EURA14,2006-10-11 11:59:00,-3e-05,0.0023,-0.01452,-3e-05,0.0023,-0.01452
PIET00ITA,EURA14,2006-10-12 11:59:00,-0.00063,0.00353,-0.02034,-0.00063,0.00353,-0.02034
PIET00ITA,EURA14,2006-10-13 11:59:00,-0.00175,0.00274,-0.01763,-0.00175,0.00274,-0.01763
PIET00ITA,EURA14,2006-10-14 11:59:00,-0.00172,0.00344,-0.01335,-0.00172,0.00344,-0.01335
PIET00ITA,EURA14,2006-10-15 11:59:00,-0.00221,0.00268,-0.01361,-0.00221,0.00268,-0.01361
