marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PIGN00ITA,EURA14,2011-08-11 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PIGN00ITA,EURA14,2011-08-12 11:59:00,-0.00155,0.00137,-0.01592,-0.00155,0.00137,-0.01592
PIGN00ITA,EURA14,2011-08-13 11:59:00,-0.00135,0.00033,-0.01089,-0.00135,0.00033,-0.01089
PIGN00ITA,EURA14,2011-08-14 11:59:00,0.0,0.00037,-0.01005,0.0,0.00037,-0.01005
PIGN00ITA,EURA14,2011-08-15 11:59:00,-0.00144,0.00235,-0.01245,-0.00144,0.00235,-0.01245
PIGN00ITA,EURA14,2011-08-16 11:59:00,-0.00089,0.00172,-0.01645,-0.00089,0.00172,-0.01645
PIGN00ITA,EURA14,2011-08-17 11:59:00,-0.00029,0.00139,-0.01278,-0.00029,0.00139,-0.01278
PIGN00ITA,EURA14,2011-08-18 11:59:00,-0.00126,0.00125,-0.00688,-0.00126,0.00125,-0.00688
PIGN00ITA,EURA14,2011-08-19 11:59:00,-0.00174,0.00226,-0.01262,-0.00174,0.00226,-0.01262
PIGN00ITA,EURA14,2011-08-20 11:59:00,0.00067,0.00138,-0.00924,0.00067,0.00138,-0.00924
PIGN00ITA,EURA14,2011-08-21 11:59:00,0.00015,0.00175,-0.00867,0.00015,0.00175,-0.00867
PIGN00ITA,EURA14,2011-08-22 11:59:00,-0.0015,0.0014,-0.00724,-0.0015,0.0014,-0.00724
PIGN00ITA,EURA14,2011-08-23 11:59:00,-0.00098,0.00164,-0.01451,-0.00098,0.00164,-0.01451
PIGN00ITA,EURA14,2011-08-24 11:59:00,-0.00049,0.00243,-0.00996,-0.00049,0.00243,-0.00996
PIGN00ITA,EURA14,2011-08-25 11:59:00,-0.00135,0.00182,-0.01047,-0.00135,0.00182,-0.01047
PIGN00ITA,EURA14,2011-08-26 11:59:00,-0.00129,0.00262,-0.00937,-0.00129,0.00262,-0.00937
PIGN00ITA,EURA14,2011-08-27 11:59:00,0.00073,0.00085,-0.00436,0.00073,0.00085,-0.00436
PIGN00ITA,EURA14,2011-08-28 11:59:00,0.00047,0.0,-0.00406,0.00047,0.0,-0.00406
PIGN00ITA,EURA14,2011-08-29 11:59:00,-0.00143,0.0008,-0.00521,-0.00143,0.0008,-0.00521
PIGN00ITA,EURA14,2011-08-30 11:59:00,-0.00127,-0.0008,-0.00033,-0.00127,-0.0008,-0.00033
PIGN00ITA,EURA14,2011-08-31 11:59:00,-0.0018,0.0005,-0.00546,-0.0018,0.0005,-0.00546
PIGN00ITA,EURA14,2011-09-01 11:59:00,-1e-05,0.00084,-0.00614,-1e-05,0.00084,-0.00614
PIGN00ITA,EURA14,2011-09-02 11:59:00,-0.00129,0.00024,-0.00345,-0.00129,0.00024,-0.00345
PIGN00ITA,EURA14,2011-09-03 11:59:00,-0.00098,0.0,-0.00322,-0.00098,0.0,-0.00322
PIGN00ITA,EURA14,2011-09-04 11:59:00,-0.00121,0.00029,-0.00801,-0.00121,0.00029,-0.00801
PIGN00ITA,EURA14,2011-09-05 11:59:00,-0.00099,-0.0005,-0.00554,-0.00099,-0.0005,-0.00554
PIGN00ITA,EURA14,2011-09-06 11:59:00,-0.00187,0.00079,-0.00363,-0.00187,0.00079,-0.00363
