marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PITI00ITA,EURA14,2010-01-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PITI00ITA,EURA14,2010-01-19 11:59:00,0.00083,0.00144,-0.00319,0.00083,0.00144,-0.00319
PITI00ITA,EURA14,2010-01-20 11:59:00,0.00084,0.00148,-0.00348,0.00084,0.00148,-0.00348
PITI00ITA,EURA14,2010-01-21 11:59:00,0.00039,0.00304,-0.00278,0.00039,0.00304,-0.00278
PITI00ITA,EURA14,2010-01-22 11:59:00,0.00093,0.00179,0.00034,0.00093,0.00179,0.00034
PITI00ITA,EURA14,2010-01-23 11:59:00,0.00026,0.00182,0.00494,0.00026,0.00182,0.00494
PITI00ITA,EURA14,2010-01-24 11:59:00,-0.00064,0.0032,-0.00299,-0.00064,0.0032,-0.00299
PITI00ITA,EURA14,2010-01-25 11:59:00,-0.00093,0.00366,-0.00022,-0.00093,0.00366,-0.00022
PITI00ITA,EURA14,2010-01-26 11:59:00,-0.00065,0.00293,0.00614,-0.00065,0.00293,0.00614
PITI00ITA,EURA14,2010-01-27 11:59:00,0.00031,0.00308,-0.00425,0.00031,0.00308,-0.00425
PITI00ITA,EURA14,2010-01-28 11:59:00,-0.00093,0.00279,0.00333,-0.00093,0.00279,0.00333
PITI00ITA,EURA14,2010-01-29 11:59:00,-0.00011,0.00067,0.00918,-0.00011,0.00067,0.00918
PITI00ITA,EURA14,2010-01-30 11:59:00,-0.00193,0.00199,0.01324,-0.00193,0.00199,0.01324
PITI00ITA,EURA14,2010-01-31 11:59:00,8e-05,0.00186,0.01021,8e-05,0.00186,0.01021
PITI00ITA,EURA14,2010-02-01 11:59:00,0.00062,0.00228,0.00498,0.00062,0.00228,0.00498
PITI00ITA,EURA14,2010-02-02 11:59:00,-0.00033,0.00155,-0.0097,-0.00033,0.00155,-0.0097
PITI00ITA,EURA14,2010-02-03 11:59:00,-0.00114,0.00277,-0.00437,-0.00114,0.00277,-0.00437
PITI00ITA,EURA14,2010-02-04 11:59:00,-0.00012,0.00222,-0.0014,-0.00012,0.00222,-0.0014
PITI00ITA,EURA14,2010-02-05 11:59:00,-0.00063,0.00082,0.00472,-0.00063,0.00082,0.00472
PITI00ITA,EURA14,2010-02-06 11:59:00,-0.00103,0.00228,0.00658,-0.00103,0.00228,0.00658
PITI00ITA,EURA14,2010-02-07 11:59:00,0.00089,0.0035,0.0044,0.00089,0.0035,0.0044
PITI00ITA,EURA14,2010-02-08 11:59:00,0.00016,0.00203,0.00558,0.00016,0.00203,0.00558
PITI00ITA,EURA14,2010-02-09 11:59:00,-0.00025,0.00261,0.00732,-0.00025,0.00261,0.00732
PITI00ITA,EURA14,2010-02-10 11:59:00,-0.00025,0.00242,0.01022,-0.00025,0.00242,0.01022
PITI00ITA,EURA14,2010-02-11 11:59:00,0.00015,-0.00012,0.01397,0.00015,-0.00012,0.01397
PITI00ITA,EURA14,2010-02-12 11:59:00,0.00134,0.00242,0.0004,0.00134,0.00242,0.0004
PITI00ITA,EURA14,2010-02-13 11:59:00,0.00134,0.00124,-0.00117,0.00134,0.00124,-0.00117
PITI00ITA,EURA14,2010-02-14 11:59:00,0.0011,0.00177,0.00448,0.0011,0.00177,0.00448
PITI00ITA,EURA14,2010-02-15 11:59:00,0.00048,0.00178,0.00185,0.00048,0.00178,0.00185
PITI00ITA,EURA14,2010-02-16 11:59:00,-0.00015,0.00227,-0.00013,-0.00015,0.00227,-0.00013
PITI00ITA,EURA14,2010-02-17 11:59:00,0.00126,0.00065,-4e-05,0.00126,0.00065,-4e-05
PITI00ITA,EURA14,2010-02-18 11:59:00,0.00164,-0.00061,-0.00149,0.00164,-0.00061,-0.00149
PITI00ITA,EURA14,2010-02-19 11:59:00,0.00395,-0.0002,0.0023,0.00395,-0.0002,0.0023
PITI00ITA,EURA14,2010-02-20 11:59:00,0.00065,0.00059,0.00735,0.00065,0.00059,0.00735
PITI00ITA,EURA14,2010-02-21 11:59:00,0.001,-0.00023,-0.00388,0.001,-0.00023,-0.00388
PITI00ITA,EURA14,2010-02-22 11:59:00,-0.00064,0.00069,0.00056,-0.00064,0.00069,0.00056
PITI00ITA,EURA14,2010-02-23 11:59:00,-0.00143,0.00125,0.00358,-0.00143,0.00125,0.00358
PITI00ITA,EURA14,2010-02-24 11:59:00,-0.00118,0.00033,-0.0016,-0.00118,0.00033,-0.0016
PITI00ITA,EURA14,2010-02-25 11:59:00,0.0008,0.00022,-0.00257,0.0008,0.00022,-0.00257
PITI00ITA,EURA14,2010-02-26 11:59:00,-0.00224,0.00114,0.00229,-0.00224,0.00114,0.00229
PITI00ITA,EURA14,2010-02-27 11:59:00,0.0008,0.00022,-0.00433,0.0008,0.00022,-0.00433
PITI00ITA,EURA14,2010-02-28 11:59:00,0.00137,0.00243,-0.00619,0.00137,0.00243,-0.00619
PITI00ITA,EURA14,2010-03-01 11:59:00,-0.0011,0.00376,-0.00148,-0.0011,0.00376,-0.00148
PITI00ITA,EURA14,2010-03-02 11:59:00,0.00113,0.00272,-0.00397,0.00113,0.00272,-0.00397
PITI00ITA,EURA14,2010-03-03 11:59:00,0.00158,0.00259,-0.00148,0.00158,0.00259,-0.00148
PITI00ITA,EURA14,2010-03-04 11:59:00,3e-05,0.00136,0.00546,3e-05,0.00136,0.00546
PITI00ITA,EURA14,2010-03-05 11:59:00,8e-05,0.00253,-0.00642,8e-05,0.00253,-0.00642
PITI00ITA,EURA14,2010-03-06 11:59:00,0.0002,0.00205,-0.00346,0.0002,0.00205,-0.00346
PITI00ITA,EURA14,2010-03-07 11:59:00,0.00112,0.00346,-0.003,0.00112,0.00346,-0.003
PITI00ITA,EURA14,2010-03-08 11:59:00,0.00077,0.00371,-0.00494,0.00077,0.00371,-0.00494
PITI00ITA,EURA14,2010-03-09 11:59:00,0.00255,0.00329,-0.00237,0.00255,0.00329,-0.00237
PITI00ITA,EURA14,2010-03-10 11:59:00,-0.00103,0.00454,0.00397,-0.00103,0.00454,0.00397
PITI00ITA,EURA14,2010-03-11 11:59:00,-0.00142,0.00331,0.00958,-0.00142,0.00331,0.00958
PITI00ITA,EURA14,2010-03-12 11:59:00,-0.00046,0.00198,-0.00553,-0.00046,0.00198,-0.00553
PITI00ITA,EURA14,2010-03-13 11:59:00,-0.00092,0.00298,-0.00883,-0.00092,0.00298,-0.00883
PITI00ITA,EURA14,2010-03-14 11:59:00,-0.00054,0.00278,-0.00392,-0.00054,0.00278,-0.00392
PITI00ITA,EURA14,2010-03-15 11:59:00,-0.00048,0.00263,-0.00547,-0.00048,0.00263,-0.00547
PITI00ITA,EURA14,2010-03-16 11:59:00,-0.00055,0.00286,-0.00786,-0.00055,0.00286,-0.00786
PITI00ITA,EURA14,2010-03-17 11:59:00,-0.00023,0.00279,-0.01092,-0.00023,0.00279,-0.01092
PITI00ITA,EURA14,2010-03-18 11:59:00,-0.00049,0.00316,-0.0092,-0.00049,0.00316,-0.0092
PITI00ITA,EURA14,2010-03-19 11:59:00,0.00068,0.00262,-0.01344,0.00068,0.00262,-0.01344
