marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PREC00ITA,EURA14,2016-11-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PREC00ITA,EURA14,2016-11-15 11:59:00,0.00095,-0.00085,-0.00131,0.00095,-0.00085,-0.00131
PREC00ITA,EURA14,2016-11-16 11:59:00,0.00078,-0.00112,0.00271,0.00078,-0.00112,0.00271
PREC00ITA,EURA14,2016-11-17 11:59:00,0.00059,-0.00126,0.00198,0.00059,-0.00126,0.00198
PREC00ITA,EURA14,2016-11-18 11:59:00,-0.00031,-0.00372,-0.00714,-0.00031,-0.00372,-0.00714
PREC00ITA,EURA14,2016-11-19 11:59:00,0.00117,-4e-05,0.00301,0.00117,-4e-05,0.00301
PREC00ITA,EURA14,2016-11-20 11:59:00,0.00106,-0.00165,0.00229,0.00106,-0.00165,0.00229
PREC00ITA,EURA14,2016-11-21 11:59:00,0.0008849999999999999,-0.001575,0.00048499999999999997,0.0008849999999999999,-0.001575,0.00048499999999999997
PREC00ITA,EURA14,2016-11-22 11:59:00,0.00071,-0.0015,-0.00132,0.00071,-0.0015,-0.00132
PREC00ITA,EURA14,2016-11-23 11:59:00,0.00063,-0.00043,-0.00327,0.00063,-0.00043,-0.00327
PREC00ITA,EURA14,2016-11-24 11:59:00,-0.00064,-0.00145,0.00056,-0.00064,-0.00145,0.00056
PREC00ITA,EURA14,2016-11-25 11:59:00,-0.00019,-0.00201,0.00084,-0.00019,-0.00201,0.00084
PREC00ITA,EURA14,2016-11-26 11:59:00,-0.00047,-0.00077,0.00161,-0.00047,-0.00077,0.00161
PREC00ITA,EURA14,2016-11-27 11:59:00,-0.00137,-0.00078,0.00088,-0.00137,-0.00078,0.00088
PREC00ITA,EURA14,2016-11-28 11:59:00,-0.00169,-0.00042,0.00345,-0.00169,-0.00042,0.00345
PREC00ITA,EURA14,2016-11-29 11:59:00,-0.00672,-0.00079,0.00462,-0.00672,-0.00079,0.00462
PREC00ITA,EURA14,2016-11-30 11:59:00,-0.00216,-0.00131,-0.00107,-0.00216,-0.00131,-0.00107
PREC00ITA,EURA14,2016-12-01 11:59:00,-0.00169,-0.00108,-8e-05,-0.00169,-0.00108,-8e-05
PREC00ITA,EURA14,2016-12-02 11:59:00,-0.00044,-0.00214,0.00086,-0.00044,-0.00214,0.00086
PREC00ITA,EURA14,2016-12-03 11:59:00,-0.00167,-0.00092,-0.00111,-0.00167,-0.00092,-0.00111
PREC00ITA,EURA14,2016-12-04 11:59:00,-0.00198,-0.00069,0.00511,-0.00198,-0.00069,0.00511
PREC00ITA,EURA14,2016-12-05 11:59:00,-0.00215,0.0,0.00192,-0.00215,0.0,0.00192
PREC00ITA,EURA14,2016-12-06 11:59:00,-0.00174,-0.00104,0.00539,-0.00174,-0.00104,0.00539
PREC00ITA,EURA14,2016-12-07 11:59:00,-0.00186,-0.00098,-0.00244,-0.00186,-0.00098,-0.00244
PREC00ITA,EURA14,2016-12-08 11:59:00,-0.00243,-0.00096,0.00141,-0.00243,-0.00096,0.00141
PREC00ITA,EURA14,2016-12-09 11:59:00,-0.00374,-0.00143,0.00409,-0.00374,-0.00143,0.00409
PREC00ITA,EURA14,2016-12-10 11:59:00,-0.00388,-0.00072,0.00245,-0.00388,-0.00072,0.00245
PREC00ITA,EURA14,2016-12-11 11:59:00,-0.00306,-0.00089,0.00476,-0.00306,-0.00089,0.00476
PREC00ITA,EURA14,2016-12-12 11:59:00,-0.00501,0.00017,0.00448,-0.00501,0.00017,0.00448
PREC00ITA,EURA14,2016-12-13 11:59:00,-0.00318,-0.00108,0.00304,-0.00318,-0.00108,0.00304
PREC00ITA,EURA14,2016-12-14 11:59:00,-0.00251,-0.00138,0.00287,-0.00251,-0.00138,0.00287
PREC00ITA,EURA14,2016-12-15 11:59:00,-0.0033,-0.00161,0.00381,-0.0033,-0.00161,0.00381
PREC00ITA,EURA14,2016-12-16 11:59:00,-0.00317,-0.00136,0.00178,-0.00317,-0.00136,0.00178
PREC00ITA,EURA14,2016-12-17 11:59:00,-0.00299,-0.00105,0.00091,-0.00299,-0.00105,0.00091
PREC00ITA,EURA14,2016-12-18 11:59:00,-0.00298,-0.00088,0.00203,-0.00298,-0.00088,0.00203
PREC00ITA,EURA14,2016-12-19 11:59:00,-0.00338,-0.0014,0.00159,-0.00338,-0.0014,0.00159
PREC00ITA,EURA14,2016-12-20 11:59:00,-0.00283,-0.00161,0.00522,-0.00283,-0.00161,0.00522
PREC00ITA,EURA14,2016-12-21 11:59:00,-0.00364,-0.00106,-0.00478,-0.00364,-0.00106,-0.00478
PREC00ITA,EURA14,2016-12-22 11:59:00,-0.00381,-0.00096,0.00572,-0.00381,-0.00096,0.00572
PREC00ITA,EURA14,2016-12-23 11:59:00,-0.00421,-0.00134,0.00443,-0.00421,-0.00134,0.00443
PREC00ITA,EURA14,2016-12-24 11:59:00,-0.00391,-0.0018,0.00357,-0.00391,-0.0018,0.00357
PREC00ITA,EURA14,2016-12-25 11:59:00,-0.00463,-0.00126,0.00388,-0.00463,-0.00126,0.00388
PREC00ITA,EURA14,2016-12-26 11:59:00,-0.00382,-0.00129,0.00511,-0.00382,-0.00129,0.00511
PREC00ITA,EURA14,2016-12-27 11:59:00,-0.00335,-0.00176,0.00534,-0.00335,-0.00176,0.00534
PREC00ITA,EURA14,2016-12-28 11:59:00,-0.00389,-4e-05,0.00446,-0.00389,-4e-05,0.00446
PREC00ITA,EURA14,2016-12-29 11:59:00,-0.0022,0.00162,0.01405,-0.0022,0.00162,0.01405
PREC00ITA,EURA14,2016-12-30 11:59:00,-0.00278,-0.00226,0.01072,-0.00278,-0.00226,0.01072
PREC00ITA,EURA14,2016-12-31 11:59:00,-0.00425,-0.00138,0.00547,-0.00425,-0.00138,0.00547
