marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
PTRJ00ITA,EURA14,2006-07-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
PTRJ00ITA,EURA14,2006-07-19 11:59:00,-0.00271,-0.00641,0.00101,-0.00271,-0.00641,0.00101
PTRJ00ITA,EURA14,2006-07-20 11:59:00,-0.00494,-0.00509,0.00119,-0.00494,-0.00509,0.00119
PTRJ00ITA,EURA14,2006-07-21 11:59:00,-0.00166,-0.00724,0.01039,-0.00166,-0.00724,0.01039
PTRJ00ITA,EURA14,2006-07-22 11:59:00,-0.00203,-0.00876,0.01513,-0.00203,-0.00876,0.01513
PTRJ00ITA,EURA14,2006-07-23 11:59:00,-0.00203,-0.00923,0.01931,-0.00203,-0.00923,0.01931
PTRJ00ITA,EURA14,2006-07-24 11:59:00,-0.00071,-0.01082,0.02174,-0.00071,-0.01082,0.02174
PTRJ00ITA,EURA14,2006-07-25 11:59:00,-0.00158,-0.00874,0.01849,-0.00158,-0.00874,0.01849
PTRJ00ITA,EURA14,2006-07-26 11:59:00,-0.00351,-0.00795,0.00685,-0.00351,-0.00795,0.00685
PTRJ00ITA,EURA14,2006-07-27 11:59:00,-0.004,-0.00418,0.00807,-0.004,-0.00418,0.00807
PTRJ00ITA,EURA14,2006-07-28 11:59:00,-0.00435,-0.00834,0.01235,-0.00435,-0.00834,0.01235
PTRJ00ITA,EURA14,2006-07-29 11:59:00,-0.00264,-0.00829,0.01146,-0.00264,-0.00829,0.01146
PTRJ00ITA,EURA14,2006-07-30 11:59:00,-0.00327,-0.00415,0.00873,-0.00327,-0.00415,0.00873
PTRJ00ITA,EURA14,2006-07-31 11:59:00,-0.00236,-0.00204,-0.00814,-0.00236,-0.00204,-0.00814
PTRJ00ITA,EURA14,2006-08-01 11:59:00,-0.00486,-0.00676,0.01051,-0.00486,-0.00676,0.01051
PTRJ00ITA,EURA14,2006-08-02 11:59:00,-0.00669,-0.00256,0.01016,-0.00669,-0.00256,0.01016
PTRJ00ITA,EURA14,2006-08-03 11:59:00,-0.00486,-0.00581,-0.00434,-0.00486,-0.00581,-0.00434
PTRJ00ITA,EURA14,2006-08-04 11:59:00,-0.00588,-0.01142,0.01232,-0.00588,-0.01142,0.01232
PTRJ00ITA,EURA14,2006-08-05 11:59:00,-0.0031,-0.00858,0.01123,-0.0031,-0.00858,0.01123
PTRJ00ITA,EURA14,2006-08-06 11:59:00,-0.00296,-0.00929,0.00607,-0.00296,-0.00929,0.00607
PTRJ00ITA,EURA14,2006-08-07 11:59:00,-0.00319,-0.00637,0.01307,-0.00319,-0.00637,0.01307
PTRJ00ITA,EURA14,2006-08-08 11:59:00,-0.00679,-0.00736,0.01418,-0.00679,-0.00736,0.01418
PTRJ00ITA,EURA14,2006-08-09 11:59:00,-0.00129,-0.00736,0.01313,-0.00129,-0.00736,0.01313
PTRJ00ITA,EURA14,2006-08-10 11:59:00,-0.0049,-0.00717,0.00911,-0.0049,-0.00717,0.00911
PTRJ00ITA,EURA14,2006-08-11 11:59:00,-0.00724,-0.00707,0.01012,-0.00724,-0.00707,0.01012
PTRJ00ITA,EURA14,2006-08-12 11:59:00,-0.00726,-0.00802,0.01205,-0.00726,-0.00802,0.01205
PTRJ00ITA,EURA14,2006-08-13 11:59:00,-0.01035,-0.00671,0.00661,-0.01035,-0.00671,0.00661
PTRJ00ITA,EURA14,2006-08-14 11:59:00,-0.00787,-0.00717,0.0052,-0.00787,-0.00717,0.0052
PTRJ00ITA,EURA14,2006-08-15 11:59:00,-0.00394,-0.00694,0.01116,-0.00394,-0.00694,0.01116
PTRJ00ITA,EURA14,2006-08-16 11:59:00,-0.00484,-0.00557,0.00273,-0.00484,-0.00557,0.00273
PTRJ00ITA,EURA14,2006-08-17 11:59:00,-0.00467,-0.00747,0.01167,-0.00467,-0.00747,0.01167
PTRJ00ITA,EURA14,2006-08-18 11:59:00,-0.00708,-0.00619,0.00181,-0.00708,-0.00619,0.00181
PTRJ00ITA,EURA14,2006-08-19 11:59:00,-0.00573,-0.00614,0.00465,-0.00573,-0.00614,0.00465
PTRJ00ITA,EURA14,2006-08-20 11:59:00,-0.00386,-0.00677,0.01071,-0.00386,-0.00677,0.01071
PTRJ00ITA,EURA14,2006-08-21 11:59:00,-0.00182,-0.00808,0.00505,-0.00182,-0.00808,0.00505
PTRJ00ITA,EURA14,2006-08-22 11:59:00,-0.00427,-0.00813,0.01391,-0.00427,-0.00813,0.01391
PTRJ00ITA,EURA14,2006-08-23 11:59:00,-0.00393,-0.00824,0.01091,-0.00393,-0.00824,0.01091
PTRJ00ITA,EURA14,2006-08-24 11:59:00,-0.00249,-0.00622,0.01741,-0.00249,-0.00622,0.01741
PTRJ00ITA,EURA14,2006-08-25 11:59:00,-0.0089,-0.00532,-0.00158,-0.0089,-0.00532,-0.00158
PTRJ00ITA,EURA14,2006-08-26 11:59:00,-0.00406,-0.00802,0.0189,-0.00406,-0.00802,0.0189
PTRJ00ITA,EURA14,2006-08-27 11:59:00,-0.00329,-0.00502,0.01297,-0.00329,-0.00502,0.01297
PTRJ00ITA,EURA14,2006-08-28 11:59:00,-0.00745,-0.00272,0.01078,-0.00745,-0.00272,0.01078
PTRJ00ITA,EURA14,2006-08-29 11:59:00,-0.01299,-0.00439,0.01719,-0.01299,-0.00439,0.01719
PTRJ00ITA,EURA14,2006-08-30 11:59:00,-0.00675,-0.00962,0.01301,-0.00675,-0.00962,0.01301
PTRJ00ITA,EURA14,2006-08-31 11:59:00,-0.00438,-0.00655,-0.0024,-0.00438,-0.00655,-0.0024
PTRJ00ITA,EURA14,2006-09-01 11:59:00,-0.00457,-0.00109,-0.00025,-0.00457,-0.00109,-0.00025
PTRJ00ITA,EURA14,2006-09-02 11:59:00,-0.00279,-0.00263,0.00907,-0.00279,-0.00263,0.00907
PTRJ00ITA,EURA14,2006-09-03 11:59:00,-0.00386,-0.00818,0.01256,-0.00386,-0.00818,0.01256
PTRJ00ITA,EURA14,2006-09-04 11:59:00,-0.00326,-0.00675,0.00815,-0.00326,-0.00675,0.00815
PTRJ00ITA,EURA14,2006-09-05 11:59:00,-0.00343,-0.00817,0.01327,-0.00343,-0.00817,0.01327
PTRJ00ITA,EURA14,2006-09-06 11:59:00,-0.00426,-0.00579,0.01939,-0.00426,-0.00579,0.01939
PTRJ00ITA,EURA14,2006-09-07 11:59:00,-0.00419,-0.00812,0.01582,-0.00419,-0.00812,0.01582
PTRJ00ITA,EURA14,2006-09-08 11:59:00,-0.00195,-0.00627,0.01442,-0.00195,-0.00627,0.01442
PTRJ00ITA,EURA14,2006-09-09 11:59:00,-0.00453,-0.0055,0.00355,-0.00453,-0.0055,0.00355
PTRJ00ITA,EURA14,2006-09-10 11:59:00,-0.00469,-0.00721,0.01599,-0.00469,-0.00721,0.01599
PTRJ00ITA,EURA14,2006-09-11 11:59:00,-0.00158,-0.00823,0.02177,-0.00158,-0.00823,0.02177
PTRJ00ITA,EURA14,2006-09-12 11:59:00,-0.00332,-0.0059,0.01356,-0.00332,-0.0059,0.01356
PTRJ00ITA,EURA14,2006-09-13 11:59:00,-0.0061,-0.00646,0.01405,-0.0061,-0.00646,0.01405
PTRJ00ITA,EURA14,2006-09-14 11:59:00,-0.00338,-0.00536,0.01353,-0.00338,-0.00536,0.01353
PTRJ00ITA,EURA14,2006-09-15 11:59:00,-0.0067,-0.00615,0.01274,-0.0067,-0.00615,0.01274
PTRJ00ITA,EURA14,2006-09-16 11:59:00,-0.00951,-0.00848,0.01616,-0.00951,-0.00848,0.01616
PTRJ00ITA,EURA14,2006-09-17 11:59:00,-0.0084,-0.0046,0.01028,-0.0084,-0.0046,0.01028
PTRJ00ITA,EURA14,2006-09-18 11:59:00,-0.00355,-0.00441,0.01488,-0.00355,-0.00441,0.01488
PTRJ00ITA,EURA14,2006-09-19 11:59:00,-0.00452,-0.0055,0.01108,-0.00452,-0.0055,0.01108
PTRJ00ITA,EURA14,2006-09-20 11:59:00,-0.00413,3e-05,0.00466,-0.00413,3e-05,0.00466
PTRJ00ITA,EURA14,2006-09-21 11:59:00,-0.00684,-0.00201,0.00751,-0.00684,-0.00201,0.00751
PTRJ00ITA,EURA14,2006-09-22 11:59:00,-0.0052,-0.00529,0.01098,-0.0052,-0.00529,0.01098
PTRJ00ITA,EURA14,2006-09-23 11:59:00,-0.00149,0.00736,-0.00826,-0.00149,0.00736,-0.00826
PTRJ00ITA,EURA14,2006-09-24 11:59:00,-0.00447,-0.00565,0.01497,-0.00447,-0.00565,0.01497
PTRJ00ITA,EURA14,2006-09-25 11:59:00,-0.00372,-0.0073,0.01835,-0.00372,-0.0073,0.01835
PTRJ00ITA,EURA14,2006-09-26 11:59:00,-0.00287,-0.00941,0.00989,-0.00287,-0.00941,0.00989
