marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RDPI00ITA,EURA14,2006-09-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RDPI00ITA,EURA14,2006-09-07 11:59:00,-0.00161,-0.00241,0.00538,-0.00161,-0.00241,0.00538
RDPI00ITA,EURA14,2006-09-08 11:59:00,0.00026,0.00049,-0.00695,0.00026,0.00049,-0.00695
RDPI00ITA,EURA14,2006-09-09 11:59:00,-0.00029,-0.00046,-0.00037,-0.00029,-0.00046,-0.00037
RDPI00ITA,EURA14,2006-09-10 11:59:00,0.00042,0.00064,-0.00278,0.00042,0.00064,-0.00278
RDPI00ITA,EURA14,2006-09-11 11:59:00,-0.00199,5e-05,-0.00645,-0.00199,5e-05,-0.00645
RDPI00ITA,EURA14,2006-09-12 11:59:00,-0.00064,0.00191,-0.00565,-0.00064,0.00191,-0.00565
RDPI00ITA,EURA14,2006-09-13 11:59:00,-0.00101,-0.00028,-0.01111,-0.00101,-0.00028,-0.01111
RDPI00ITA,EURA14,2006-09-14 11:59:00,-0.00207,0.00681,-0.01037,-0.00207,0.00681,-0.01037
RDPI00ITA,EURA14,2006-09-15 11:59:00,0.00018,0.00183,-0.01249,0.00018,0.00183,-0.01249
RDPI00ITA,EURA14,2006-09-16 11:59:00,-0.00241,0.00109,-0.00668,-0.00241,0.00109,-0.00668
RDPI00ITA,EURA14,2006-09-17 11:59:00,-0.00359,0.00176,-0.00824,-0.00359,0.00176,-0.00824
RDPI00ITA,EURA14,2006-09-18 11:59:00,-0.00116,0.00128,-0.00762,-0.00116,0.00128,-0.00762
RDPI00ITA,EURA14,2006-09-19 11:59:00,-0.00078,0.00057,-0.01223,-0.00078,0.00057,-0.01223
RDPI00ITA,EURA14,2006-09-20 11:59:00,-0.00176,0.00161,-0.00417,-0.00176,0.00161,-0.00417
RDPI00ITA,EURA14,2006-09-21 11:59:00,-0.00127,0.00113,-0.00885,-0.00127,0.00113,-0.00885
RDPI00ITA,EURA14,2006-09-22 11:59:00,-0.00017,0.00053,-0.00574,-0.00017,0.00053,-0.00574
RDPI00ITA,EURA14,2006-09-23 11:59:00,-0.00096,-0.00042,-0.00832,-0.00096,-0.00042,-0.00832
RDPI00ITA,EURA14,2006-09-24 11:59:00,-0.00025,-0.0004,-0.00666,-0.00025,-0.0004,-0.00666
RDPI00ITA,EURA14,2006-09-25 11:59:00,-0.00193,0.00273,-0.0122,-0.00193,0.00273,-0.0122
RDPI00ITA,EURA14,2006-09-26 11:59:00,0.00251,0.00182,-0.00939,0.00251,0.00182,-0.00939
RDPI00ITA,EURA14,2006-09-27 11:59:00,0.00029,4e-05,-0.00472,0.00029,4e-05,-0.00472
RDPI00ITA,EURA14,2006-09-28 11:59:00,-0.00101,0.00121,-0.00623,-0.00101,0.00121,-0.00623
RDPI00ITA,EURA14,2006-09-29 11:59:00,0.00203,0.00045,-0.01498,0.00203,0.00045,-0.01498
RDPI00ITA,EURA14,2006-09-30 11:59:00,0.00043,0.00137,-0.0157,0.00043,0.00137,-0.0157
RDPI00ITA,EURA14,2006-10-01 11:59:00,8e-05,0.00137,-0.01154,8e-05,0.00137,-0.01154
RDPI00ITA,EURA14,2006-10-02 11:59:00,0.00197,0.00088,-0.01296,0.00197,0.00088,-0.01296
RDPI00ITA,EURA14,2006-10-03 11:59:00,-0.00239,0.0025,-0.01137,-0.00239,0.0025,-0.01137
RDPI00ITA,EURA14,2006-10-04 11:59:00,-0.00351,0.00225,-0.00402,-0.00351,0.00225,-0.00402
RDPI00ITA,EURA14,2006-10-05 11:59:00,-0.001685,0.00234,-0.009524999999999999,-0.001685,0.00234,-0.009524999999999999
RDPI00ITA,EURA14,2006-10-06 11:59:00,0.00014,0.00243,-0.01503,0.00014,0.00243,-0.01503
RDPI00ITA,EURA14,2006-10-07 11:59:00,0.00102,0.00102,-0.01034,0.00102,0.00102,-0.01034
RDPI00ITA,EURA14,2006-10-08 11:59:00,0.00113,0.00374,-0.00909,0.00113,0.00374,-0.00909
RDPI00ITA,EURA14,2006-10-09 11:59:00,0.00112,0.00225,-0.00669,0.00112,0.00225,-0.00669
RDPI00ITA,EURA14,2006-10-10 11:59:00,0.00046,0.00275,-0.00946,0.00046,0.00275,-0.00946
RDPI00ITA,EURA14,2006-10-11 11:59:00,-0.00036,0.0023,-0.00546,-0.00036,0.0023,-0.00546
RDPI00ITA,EURA14,2006-10-12 11:59:00,-0.00134,0.00545,-0.00045,-0.00134,0.00545,-0.00045
RDPI00ITA,EURA14,2006-10-13 11:59:00,-0.0003,0.00236,-0.00387,-0.0003,0.00236,-0.00387
RDPI00ITA,EURA14,2006-10-14 11:59:00,0.00101,0.00378,-0.00419,0.00101,0.00378,-0.00419
RDPI00ITA,EURA14,2006-10-15 11:59:00,9e-05,0.00172,-0.00554,9e-05,0.00172,-0.00554
RDPI00ITA,EURA14,2006-10-16 11:59:00,0.0011,0.00242,-0.009,0.0011,0.00242,-0.009
RDPI00ITA,EURA14,2006-10-17 11:59:00,0.00141,0.00263,-0.00721,0.00141,0.00263,-0.00721
RDPI00ITA,EURA14,2006-10-18 11:59:00,0.00061,0.00164,-0.00825,0.00061,0.00164,-0.00825
RDPI00ITA,EURA14,2006-10-19 11:59:00,-0.00032,0.00361,-0.00958,-0.00032,0.00361,-0.00958
RDPI00ITA,EURA14,2006-10-20 11:59:00,-0.00058,0.00173,-0.01041,-0.00058,0.00173,-0.01041
RDPI00ITA,EURA14,2006-10-21 11:59:00,-0.00049,0.00345,-0.00361,-0.00049,0.00345,-0.00361
RDPI00ITA,EURA14,2006-10-22 11:59:00,0.00026,0.00015,-0.01007,0.00026,0.00015,-0.01007
RDPI00ITA,EURA14,2006-10-23 11:59:00,-0.0025,0.00404,-0.00923,-0.0025,0.00404,-0.00923
RDPI00ITA,EURA14,2006-10-24 11:59:00,-0.00116,0.00326,-0.00423,-0.00116,0.00326,-0.00423
RDPI00ITA,EURA14,2006-10-25 11:59:00,0.00037,0.00299,-0.00864,0.00037,0.00299,-0.00864
RDPI00ITA,EURA14,2006-10-26 11:59:00,0.00109,0.00216,-0.01077,0.00109,0.00216,-0.01077
RDPI00ITA,EURA14,2006-10-27 11:59:00,-0.00119,0.00285,-0.01086,-0.00119,0.00285,-0.01086
RDPI00ITA,EURA14,2006-10-28 11:59:00,0.00116,0.00142,-0.00471,0.00116,0.00142,-0.00471
RDPI00ITA,EURA14,2006-10-29 11:59:00,1e-05,0.00282,-0.00221,1e-05,0.00282,-0.00221
RDPI00ITA,EURA14,2006-10-30 11:59:00,0.00257,0.00055,-0.00883,0.00257,0.00055,-0.00883
RDPI00ITA,EURA14,2006-10-31 11:59:00,0.0002,0.00189,-0.00332,0.0002,0.00189,-0.00332
RDPI00ITA,EURA14,2006-11-01 11:59:00,0.00112,0.00375,-0.01252,0.00112,0.00375,-0.01252
RDPI00ITA,EURA14,2006-11-02 11:59:00,0.00107,0.00101,-0.00737,0.00107,0.00101,-0.00737
RDPI00ITA,EURA14,2006-11-03 11:59:00,0.00037,0.00195,-0.01314,0.00037,0.00195,-0.01314
RDPI00ITA,EURA14,2006-11-04 11:59:00,0.00011,0.00169,-0.01828,0.00011,0.00169,-0.01828
RDPI00ITA,EURA14,2006-11-05 11:59:00,0.00086,0.00222,-0.01414,0.00086,0.00222,-0.01414
RDPI00ITA,EURA14,2006-11-06 11:59:00,0.00166,0.00152,-0.00936,0.00166,0.00152,-0.00936
RDPI00ITA,EURA14,2006-11-07 11:59:00,0.00213,0.00184,-0.01262,0.00213,0.00184,-0.01262
