marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
REPI00ITA,EURA14,2005-05-31 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
REPI00ITA,EURA14,2005-06-01 11:59:00,-0.00199,0.00397,-0.0078,-0.00199,0.00397,-0.0078
REPI00ITA,EURA14,2005-06-10 11:59:00,0.00011,0.00148,-0.00444,0.00011,0.00148,-0.00444
REPI00ITA,EURA14,2005-06-11 11:59:00,-0.00199,0.0003,-0.0026,-0.00199,0.0003,-0.0026
REPI00ITA,EURA14,2005-06-16 11:59:00,-0.00459,0.00265,-0.00387,-0.00459,0.00265,-0.00387
REPI00ITA,EURA14,2005-06-17 11:59:00,-0.00213,0.00011,-0.00914,-0.00213,0.00011,-0.00914
REPI00ITA,EURA14,2005-06-18 11:59:00,-0.00121,0.00014,-0.01124,-0.00121,0.00014,-0.01124
REPI00ITA,EURA14,2005-06-19 11:59:00,-0.0008449999999999999,0.0009350000000000001,-0.006235,-0.0008449999999999999,0.0009350000000000001,-0.006235
REPI00ITA,EURA14,2005-06-20 11:59:00,-0.00048,0.00173,-0.00123,-0.00048,0.00173,-0.00123
REPI00ITA,EURA14,2005-06-21 11:59:00,-0.00161,0.00169,-0.00788,-0.00161,0.00169,-0.00788
REPI00ITA,EURA14,2005-06-22 11:59:00,-0.00201,0.00132,-0.00905,-0.00201,0.00132,-0.00905
REPI00ITA,EURA14,2005-06-23 11:59:00,-0.00111,8e-05,-0.00649,-0.00111,8e-05,-0.00649
REPI00ITA,EURA14,2005-06-24 11:59:00,-0.00263,0.00168,-0.00416,-0.00263,0.00168,-0.00416
REPI00ITA,EURA14,2005-06-25 11:59:00,-0.00294,0.0015,-0.00869,-0.00294,0.0015,-0.00869
REPI00ITA,EURA14,2005-06-26 11:59:00,-0.00131,0.001595,-0.00746,-0.00131,0.001595,-0.00746
REPI00ITA,EURA14,2005-06-27 11:59:00,0.00032,0.00169,-0.00623,0.00032,0.00169,-0.00623
REPI00ITA,EURA14,2005-06-28 11:59:00,-0.00306,0.00146,-0.00539,-0.00306,0.00146,-0.00539
REPI00ITA,EURA14,2005-06-29 11:59:00,0.00213,0.00099,0.00623,0.00213,0.00099,0.00623
REPI00ITA,EURA14,2005-06-30 11:59:00,0.00261,0.00207,0.00521,0.00261,0.00207,0.00521
REPI00ITA,EURA14,2005-07-01 11:59:00,-0.00174,0.00075,-0.00614,-0.00174,0.00075,-0.00614
REPI00ITA,EURA14,2005-07-02 11:59:00,-0.00184,0.002,-0.00268,-0.00184,0.002,-0.00268
REPI00ITA,EURA14,2005-07-05 11:59:00,0.00191,0.0037,0.00068,0.00191,0.0037,0.00068
REPI00ITA,EURA14,2005-07-06 11:59:00,-0.00077,0.00286,-0.00202,-0.00077,0.00286,-0.00202
REPI00ITA,EURA14,2005-07-07 11:59:00,-0.00123,0.00159,-0.00287,-0.00123,0.00159,-0.00287
REPI00ITA,EURA14,2005-07-08 11:59:00,-0.00084,0.00204,-0.003,-0.00084,0.00204,-0.003
REPI00ITA,EURA14,2005-07-09 11:59:00,-0.00086,-9e-05,0.00085,-0.00086,-9e-05,0.00085
REPI00ITA,EURA14,2005-07-10 11:59:00,-0.00075,-0.00107,-0.01117,-0.00075,-0.00107,-0.01117
REPI00ITA,EURA14,2005-07-11 11:59:00,-0.00074,0.00348,-0.00578,-0.00074,0.00348,-0.00578
REPI00ITA,EURA14,2005-07-12 11:59:00,-0.00128,0.00144,-0.00569,-0.00128,0.00144,-0.00569
REPI00ITA,EURA14,2005-07-13 11:59:00,-0.00138,0.00098,-0.01231,-0.00138,0.00098,-0.01231
REPI00ITA,EURA14,2005-07-14 11:59:00,-0.00065,0.00139,-0.01003,-0.00065,0.00139,-0.01003
REPI00ITA,EURA14,2005-07-15 11:59:00,-0.00065,0.00078,0.00032,-0.00065,0.00078,0.00032
REPI00ITA,EURA14,2005-07-16 11:59:00,3e-05,0.00137,-0.00219,3e-05,0.00137,-0.00219
REPI00ITA,EURA14,2005-07-17 11:59:00,0.00154,0.00254,-0.00646,0.00154,0.00254,-0.00646
REPI00ITA,EURA14,2005-07-18 11:59:00,-0.00205,0.00133,-0.0068,-0.00205,0.00133,-0.0068
REPI00ITA,EURA14,2005-07-19 11:59:00,0.00179,0.00301,-0.01179,0.00179,0.00301,-0.01179
REPI00ITA,EURA14,2005-07-20 11:59:00,-0.00171,0.00308,-0.0114,-0.00171,0.00308,-0.0114
REPI00ITA,EURA14,2005-07-21 11:59:00,-0.00214,0.00445,-0.00524,-0.00214,0.00445,-0.00524
REPI00ITA,EURA14,2005-07-22 11:59:00,-0.00289,0.00041,-0.00589,-0.00289,0.00041,-0.00589
REPI00ITA,EURA14,2005-07-23 11:59:00,-0.00281,0.00311,-0.02346,-0.00281,0.00311,-0.02346
REPI00ITA,EURA14,2005-07-24 11:59:00,-0.00197,0.00278,-0.00573,-0.00197,0.00278,-0.00573
REPI00ITA,EURA14,2005-07-25 11:59:00,0.00107,0.00117,-0.00173,0.00107,0.00117,-0.00173
REPI00ITA,EURA14,2005-07-26 11:59:00,-0.00077,0.00096,-0.00796,-0.00077,0.00096,-0.00796
REPI00ITA,EURA14,2005-07-27 11:59:00,-0.00057,0.00114,-0.00934,-0.00057,0.00114,-0.00934
REPI00ITA,EURA14,2005-07-28 11:59:00,-0.00101,0.0023,-0.01009,-0.00101,0.0023,-0.01009
REPI00ITA,EURA14,2005-07-29 11:59:00,-0.00105,0.0025,-0.01211,-0.00105,0.0025,-0.01211
