marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RETO00ITA,EURA14,2005-05-24 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RETO00ITA,EURA14,2005-05-25 11:59:00,-0.00213,-0.0016,0.00889,-0.00213,-0.0016,0.00889
RETO00ITA,EURA14,2005-05-26 11:59:00,-0.00365,-0.00314,0.00894,-0.00365,-0.00314,0.00894
RETO00ITA,EURA14,2005-05-27 11:59:00,-0.00175,-0.00111,0.00486,-0.00175,-0.00111,0.00486
RETO00ITA,EURA14,2005-05-28 11:59:00,-0.0004,-0.00076,0.00207,-0.0004,-0.00076,0.00207
RETO00ITA,EURA14,2005-05-29 11:59:00,-0.00166,-0.00139,0.00582,-0.00166,-0.00139,0.00582
RETO00ITA,EURA14,2005-05-30 11:59:00,-0.00254,0.00028,0.00689,-0.00254,0.00028,0.00689
RETO00ITA,EURA14,2005-05-31 11:59:00,0.00032,-0.0011,0.00379,0.00032,-0.0011,0.00379
RETO00ITA,EURA14,2005-06-01 11:59:00,-0.00215,-0.00071,0.0126,-0.00215,-0.00071,0.0126
RETO00ITA,EURA14,2005-06-02 11:59:00,-0.00137,-0.00335,0.0092,-0.00137,-0.00335,0.0092
RETO00ITA,EURA14,2005-06-09 11:59:00,-0.00106,-0.00104,0.00543,-0.00106,-0.00104,0.00543
RETO00ITA,EURA14,2005-06-10 11:59:00,-0.00049,-0.00211,0.00671,-0.00049,-0.00211,0.00671
RETO00ITA,EURA14,2005-06-11 11:59:00,-0.00051,-0.00151,0.00453,-0.00051,-0.00151,0.00453
RETO00ITA,EURA14,2005-06-12 11:59:00,-3e-05,-0.00144,0.00802,-3e-05,-0.00144,0.00802
RETO00ITA,EURA14,2005-06-16 11:59:00,-0.00056,4e-05,0.01033,-0.00056,4e-05,0.01033
RETO00ITA,EURA14,2005-06-17 11:59:00,-2e-05,-0.00127,0.00257,-2e-05,-0.00127,0.00257
RETO00ITA,EURA14,2005-06-18 11:59:00,-0.00086,-0.00082,-0.00103,-0.00086,-0.00082,-0.00103
RETO00ITA,EURA14,2005-06-19 11:59:00,-0.00151,-0.00251,0.00478,-0.00151,-0.00251,0.00478
RETO00ITA,EURA14,2005-06-20 11:59:00,0.00026,-0.00312,0.01125,0.00026,-0.00312,0.01125
RETO00ITA,EURA14,2005-06-21 11:59:00,1e-05,-0.00113,0.00485,1e-05,-0.00113,0.00485
RETO00ITA,EURA14,2005-06-22 11:59:00,0.00039,-0.0015,0.00441,0.00039,-0.0015,0.00441
RETO00ITA,EURA14,2005-06-23 11:59:00,0.001155,0.0007899999999999999,0.00047499999999999973,0.001155,0.0007899999999999999,0.00047499999999999973
RETO00ITA,EURA14,2005-06-24 11:59:00,0.00192,0.00308,-0.00346,0.00192,0.00308,-0.00346
RETO00ITA,EURA14,2005-06-25 11:59:00,-0.00124,-0.00177,0.00856,-0.00124,-0.00177,0.00856
RETO00ITA,EURA14,2005-06-26 11:59:00,-0.0015,-0.00047,0.00767,-0.0015,-0.00047,0.00767
RETO00ITA,EURA14,2005-06-27 11:59:00,0.0013,2e-05,-0.0006,0.0013,2e-05,-0.0006
RETO00ITA,EURA14,2005-06-28 11:59:00,0.00136,-0.00027,0.00772,0.00136,-0.00027,0.00772
RETO00ITA,EURA14,2005-06-29 11:59:00,0.00045,-0.00278,0.00772,0.00045,-0.00278,0.00772
RETO00ITA,EURA14,2005-06-30 11:59:00,9.000000000000002e-05,0.0007799999999999999,0.00511,9.000000000000002e-05,0.0007799999999999999,0.00511
RETO00ITA,EURA14,2005-07-01 11:59:00,-0.00027,0.00434,0.0025,-0.00027,0.00434,0.0025
RETO00ITA,EURA14,2005-07-02 11:59:00,-0.00079,-0.0018,0.0102,-0.00079,-0.0018,0.0102
RETO00ITA,EURA14,2005-07-03 11:59:00,0.00017,0.0007,0.01623,0.00017,0.0007,0.01623
RETO00ITA,EURA14,2005-07-06 11:59:00,0.00167,-0.00193,0.0177,0.00167,-0.00193,0.0177
RETO00ITA,EURA14,2005-07-07 11:59:00,0.00066,-0.00052,0.01049,0.00066,-0.00052,0.01049
RETO00ITA,EURA14,2005-07-08 11:59:00,0.00222,0.00097,0.01281,0.00222,0.00097,0.01281
RETO00ITA,EURA14,2005-07-09 11:59:00,0.002425,0.001865,0.00553,0.002425,0.001865,0.00553
RETO00ITA,EURA14,2005-07-10 11:59:00,0.00263,0.00276,-0.00175,0.00263,0.00276,-0.00175
RETO00ITA,EURA14,2005-07-11 11:59:00,9e-05,0.0,0.00721,9e-05,0.0,0.00721
RETO00ITA,EURA14,2005-07-12 11:59:00,-0.00077,-0.00208,0.00578,-0.00077,-0.00208,0.00578
RETO00ITA,EURA14,2005-07-13 11:59:00,-0.00069,-0.00102,0.00162,-0.00069,-0.00102,0.00162
RETO00ITA,EURA14,2005-07-14 11:59:00,0.00268,-0.00161,0.00418,0.00268,-0.00161,0.00418
RETO00ITA,EURA14,2005-07-17 11:59:00,0.00119,0.00047,0.00218,0.00119,0.00047,0.00218
RETO00ITA,EURA14,2005-07-18 11:59:00,0.00139,-0.00218,0.00627,0.00139,-0.00218,0.00627
RETO00ITA,EURA14,2005-07-19 11:59:00,0.00196,-0.00316,0.01122,0.00196,-0.00316,0.01122
RETO00ITA,EURA14,2005-07-20 11:59:00,0.00154,-0.00016,0.01028,0.00154,-0.00016,0.01028
RETO00ITA,EURA14,2005-07-21 11:59:00,0.00125,-0.00099,0.00446,0.00125,-0.00099,0.00446
RETO00ITA,EURA14,2005-07-22 11:59:00,0.00134,-0.00189,0.02084,0.00134,-0.00189,0.02084
RETO00ITA,EURA14,2005-07-23 11:59:00,0.0006850000000000001,-0.000745,0.015105,0.0006850000000000001,-0.000745,0.015105
RETO00ITA,EURA14,2005-07-24 11:59:00,3e-05,0.0004,0.00937,3e-05,0.0004,0.00937
RETO00ITA,EURA14,2005-08-07 11:59:00,0.00026,-0.00394,0.02383,0.00026,-0.00394,0.02383
RETO00ITA,EURA14,2005-08-08 11:59:00,-0.00124,-0.0012,0.01642,-0.00124,-0.0012,0.01642
RETO00ITA,EURA14,2005-08-09 11:59:00,-0.00049,-0.00117,0.00068,-0.00049,-0.00117,0.00068
RETO00ITA,EURA14,2005-08-10 11:59:00,-8e-05,-0.00029,0.01476,-8e-05,-0.00029,0.01476
RETO00ITA,EURA14,2005-08-11 11:59:00,-0.00066,-0.00204,0.00764,-0.00066,-0.00204,0.00764
RETO00ITA,EURA14,2005-08-12 11:59:00,-0.00055,0.00063,0.01812,-0.00055,0.00063,0.01812
RETO00ITA,EURA14,2005-08-13 11:59:00,-0.00061,0.002415,0.01607,-0.00061,0.002415,0.01607
RETO00ITA,EURA14,2005-08-14 11:59:00,-0.00067,0.0042,0.01402,-0.00067,0.0042,0.01402
RETO00ITA,EURA14,2005-08-15 11:59:00,-0.00075,-0.00076,0.0106,-0.00075,-0.00076,0.0106
RETO00ITA,EURA14,2005-08-16 11:59:00,-0.00033,-0.0014,0.00908,-0.00033,-0.0014,0.00908
RETO00ITA,EURA14,2005-08-17 11:59:00,-0.00037,-0.00134,0.01112,-0.00037,-0.00134,0.01112
RETO00ITA,EURA14,2005-08-18 11:59:00,-0.00073,-4e-05,0.01174,-0.00073,-4e-05,0.01174
RETO00ITA,EURA14,2005-08-19 11:59:00,-0.0013,-0.00017,0.01508,-0.0013,-0.00017,0.01508
RETO00ITA,EURA14,2005-08-20 11:59:00,-0.00075,0.0008,0.0059,-0.00075,0.0008,0.0059
