marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RIET00ITA,EURA14,2005-07-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RIET00ITA,EURA14,2005-07-07 11:59:00,-0.0009,-0.00205,0.00089,-0.0009,-0.00205,0.00089
RIET00ITA,EURA14,2005-07-08 11:59:00,0.00674,0.00134,-0.00158,0.00674,0.00134,-0.00158
RIET00ITA,EURA14,2005-07-09 11:59:00,0.0013,0.00076,-0.00771,0.0013,0.00076,-0.00771
RIET00ITA,EURA14,2005-07-10 11:59:00,-0.00056,-0.00056,4e-05,-0.00056,-0.00056,4e-05
RIET00ITA,EURA14,2005-07-11 11:59:00,0.00194,0.00108,-0.00694,0.00194,0.00108,-0.00694
RIET00ITA,EURA14,2005-07-12 11:59:00,6e-05,-0.0002,-0.00681,6e-05,-0.0002,-0.00681
RIET00ITA,EURA14,2005-07-25 11:59:00,0.00041,-0.00302,0.00821,0.00041,-0.00302,0.00821
RIET00ITA,EURA14,2005-07-26 11:59:00,0.0007,-0.00179,-0.00765,0.0007,-0.00179,-0.00765
RIET00ITA,EURA14,2005-07-27 11:59:00,0.00124,-0.00049,-0.01418,0.00124,-0.00049,-0.01418
RIET00ITA,EURA14,2005-07-28 11:59:00,0.0006,0.0006,-0.01484,0.0006,0.0006,-0.01484
RIET00ITA,EURA14,2005-07-29 11:59:00,0.00029,-0.00015,-0.01499,0.00029,-0.00015,-0.01499
RIET00ITA,EURA14,2005-07-30 11:59:00,0.00111,-0.0002,-0.00897,0.00111,-0.0002,-0.00897
RIET00ITA,EURA14,2005-07-31 11:59:00,-0.00032,0.00084,-0.00767,-0.00032,0.00084,-0.00767
RIET00ITA,EURA14,2005-08-01 11:59:00,0.00206,-0.00106,-0.00427,0.00206,-0.00106,-0.00427
RIET00ITA,EURA14,2005-08-02 11:59:00,0.0005,-0.00227,-0.00318,0.0005,-0.00227,-0.00318
RIET00ITA,EURA14,2005-08-03 11:59:00,0.00352,-0.00328,-0.00412,0.00352,-0.00328,-0.00412
RIET00ITA,EURA14,2005-08-04 11:59:00,0.0017,-0.00035,-0.00577,0.0017,-0.00035,-0.00577
RIET00ITA,EURA14,2005-08-05 11:59:00,-0.00221,-0.00099,-0.00091,-0.00221,-0.00099,-0.00091
RIET00ITA,EURA14,2005-08-06 11:59:00,-0.00046,-0.00027,-0.00695,-0.00046,-0.00027,-0.00695
RIET00ITA,EURA14,2005-08-07 11:59:00,0.00028,-0.00063,-0.00826,0.00028,-0.00063,-0.00826
RIET00ITA,EURA14,2005-08-08 11:59:00,0.0022,-9e-05,-0.00851,0.0022,-9e-05,-0.00851
RIET00ITA,EURA14,2005-08-09 11:59:00,-0.00111,0.00096,-0.00906,-0.00111,0.00096,-0.00906
RIET00ITA,EURA14,2005-08-10 11:59:00,0.00049,-0.00123,-0.00485,0.00049,-0.00123,-0.00485
RIET00ITA,EURA14,2005-08-11 11:59:00,-0.0014,0.00091,-0.00468,-0.0014,0.00091,-0.00468
RIET00ITA,EURA14,2005-08-12 11:59:00,0.00041,-0.00338,-0.00468,0.00041,-0.00338,-0.00468
RIET00ITA,EURA14,2005-08-13 11:59:00,0.00129,0.00125,-0.01358,0.00129,0.00125,-0.01358
RIET00ITA,EURA14,2005-08-14 11:59:00,0.00085,0.00187,-0.00801,0.00085,0.00187,-0.00801
RIET00ITA,EURA14,2005-08-15 11:59:00,0.00074,-0.00056,-0.00348,0.00074,-0.00056,-0.00348
RIET00ITA,EURA14,2005-08-16 11:59:00,0.0007,0.00022,-0.00873,0.0007,0.00022,-0.00873
RIET00ITA,EURA14,2005-08-17 11:59:00,0.00057,0.00034,-0.00226,0.00057,0.00034,-0.00226
RIET00ITA,EURA14,2005-08-18 11:59:00,-0.00097,-0.00048,-0.00283,-0.00097,-0.00048,-0.00283
RIET00ITA,EURA14,2005-08-19 11:59:00,0.00063,0.00021,-0.00681,0.00063,0.00021,-0.00681
RIET00ITA,EURA14,2005-08-20 11:59:00,-0.00545,0.00233,-0.02111,-0.00545,0.00233,-0.02111
RIET00ITA,EURA14,2005-08-23 11:59:00,0.00049,-0.00103,-0.00533,0.00049,-0.00103,-0.00533
RIET00ITA,EURA14,2005-08-24 11:59:00,-0.00032,-0.00228,-0.00527,-0.00032,-0.00228,-0.00527
RIET00ITA,EURA14,2005-08-25 11:59:00,-0.00063,-0.0011,-0.00984,-0.00063,-0.0011,-0.00984
RIET00ITA,EURA14,2005-08-26 11:59:00,-0.00063,0.00112,-0.01546,-0.00063,0.00112,-0.01546
RIET00ITA,EURA14,2005-08-27 11:59:00,0.00076,0.00041,-0.01414,0.00076,0.00041,-0.01414
RIET00ITA,EURA14,2005-08-28 11:59:00,-0.0019,0.00406,-0.01045,-0.0019,0.00406,-0.01045
RIET00ITA,EURA14,2005-08-31 11:59:00,0.00199,-0.00176,0.00115,0.00199,-0.00176,0.00115
RIET00ITA,EURA14,2005-09-01 11:59:00,0.00106,-0.001065,-0.0053,0.00106,-0.001065,-0.0053
RIET00ITA,EURA14,2005-09-02 11:59:00,0.00013,-0.00037,-0.01175,0.00013,-0.00037,-0.01175
RIET00ITA,EURA14,2005-09-03 11:59:00,-0.00055,-0.00125,-0.01336,-0.00055,-0.00125,-0.01336
RIET00ITA,EURA14,2005-09-04 11:59:00,0.00203,0.00116,-0.01553,0.00203,0.00116,-0.01553
RIET00ITA,EURA14,2005-09-05 11:59:00,0.00147,0.00021,-0.01486,0.00147,0.00021,-0.01486
RIET00ITA,EURA14,2005-09-06 11:59:00,-0.00047,0.00021,0.00031,-0.00047,0.00021,0.00031
RIET00ITA,EURA14,2005-09-07 11:59:00,0.00234,-0.00011,-0.01549,0.00234,-0.00011,-0.01549
RIET00ITA,EURA14,2005-09-08 11:59:00,0.00117,-0.00042,-0.01055,0.00117,-0.00042,-0.01055
RIET00ITA,EURA14,2005-09-09 11:59:00,0.00265,-0.00186,-0.00571,0.00265,-0.00186,-0.00571
RIET00ITA,EURA14,2005-09-10 11:59:00,0.00108,-0.00061,-0.00988,0.00108,-0.00061,-0.00988
RIET00ITA,EURA14,2005-09-11 11:59:00,0.00111,-0.00194,-0.00692,0.00111,-0.00194,-0.00692
RIET00ITA,EURA14,2005-09-12 11:59:00,-0.0004,0.00234,-0.00962,-0.0004,0.00234,-0.00962
RIET00ITA,EURA14,2005-09-13 11:59:00,0.00105,8e-05,-0.00926,0.00105,8e-05,-0.00926
RIET00ITA,EURA14,2005-09-14 11:59:00,0.00165,0.0005,-0.01568,0.00165,0.0005,-0.01568
RIET00ITA,EURA14,2005-09-15 11:59:00,0.00051,0.00021,-0.01095,0.00051,0.00021,-0.01095
RIET00ITA,EURA14,2005-09-16 11:59:00,-0.0007,0.00134,-0.01357,-0.0007,0.00134,-0.01357
RIET00ITA,EURA14,2005-09-17 11:59:00,-0.00017,-0.00127,-0.01628,-0.00017,-0.00127,-0.01628
RIET00ITA,EURA14,2005-09-18 11:59:00,0.00178,-0.00267,-0.00854,0.00178,-0.00267,-0.00854
RIET00ITA,EURA14,2005-09-19 11:59:00,-0.00027,-0.00038,-0.00542,-0.00027,-0.00038,-0.00542
RIET00ITA,EURA14,2005-09-20 11:59:00,0.00132,-0.00086,-0.00727,0.00132,-0.00086,-0.00727
RIET00ITA,EURA14,2005-09-21 11:59:00,-0.0007,0.00056,-0.01053,-0.0007,0.00056,-0.01053
RIET00ITA,EURA14,2005-09-22 11:59:00,0.00114,-0.00091,-0.00823,0.00114,-0.00091,-0.00823
