marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RIFL00ITA,EURA14,2012-09-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RIFL00ITA,EURA14,2012-09-19 11:59:00,-0.0004,-0.00073,0.00448,-0.0004,-0.00073,0.00448
RIFL00ITA,EURA14,2012-09-20 11:59:00,0.00055,0.00122,-0.0025,0.00055,0.00122,-0.0025
RIFL00ITA,EURA14,2012-09-21 11:59:00,0.00036,0.0006,-0.00276,0.00036,0.0006,-0.00276
RIFL00ITA,EURA14,2012-09-22 11:59:00,0.00023,0.00018,0.00126,0.00023,0.00018,0.00126
RIFL00ITA,EURA14,2012-09-23 11:59:00,2e-05,0.00142,0.00118,2e-05,0.00142,0.00118
RIFL00ITA,EURA14,2012-09-24 11:59:00,0.00025,0.0002,0.00163,0.00025,0.0002,0.00163
RIFL00ITA,EURA14,2012-09-25 11:59:00,0.00014,0.00201,0.00539,0.00014,0.00201,0.00539
RIFL00ITA,EURA14,2012-09-26 11:59:00,0.00034,-0.00213,0.00185,0.00034,-0.00213,0.00185
RIFL00ITA,EURA14,2012-09-27 11:59:00,0.00042,0.00193,0.0006,0.00042,0.00193,0.0006
RIFL00ITA,EURA14,2012-09-28 11:59:00,0.00059,-0.00019,0.00012,0.00059,-0.00019,0.00012
RIFL00ITA,EURA14,2012-09-29 11:59:00,0.00164,0.00064,0.00283,0.00164,0.00064,0.00283
RIFL00ITA,EURA14,2012-09-30 11:59:00,0.00049,0.00136,0.00074,0.00049,0.00136,0.00074
RIFL00ITA,EURA14,2012-10-01 11:59:00,0.00078,0.00026,0.00474,0.00078,0.00026,0.00474
RIFL00ITA,EURA14,2012-10-02 11:59:00,0.00113,0.00133,-0.00283,0.00113,0.00133,-0.00283
RIFL00ITA,EURA14,2012-10-03 11:59:00,0.00161,0.00118,-0.00075,0.00161,0.00118,-0.00075
RIFL00ITA,EURA14,2012-10-04 11:59:00,0.00221,0.00026,0.00204,0.00221,0.00026,0.00204
RIFL00ITA,EURA14,2012-10-05 11:59:00,0.00259,0.00087,-0.0003,0.00259,0.00087,-0.0003
RIFL00ITA,EURA14,2012-10-06 11:59:00,0.00166,0.00092,0.00163,0.00166,0.00092,0.00163
RIFL00ITA,EURA14,2012-10-07 11:59:00,0.00111,0.00136,-0.00216,0.00111,0.00136,-0.00216
RIFL00ITA,EURA14,2012-10-08 11:59:00,0.00147,0.00118,-0.00096,0.00147,0.00118,-0.00096
RIFL00ITA,EURA14,2012-10-09 11:59:00,0.00148,0.00044,0.01193,0.00148,0.00044,0.01193
RIFL00ITA,EURA14,2012-10-10 11:59:00,0.00083,0.00149,0.00534,0.00083,0.00149,0.00534
RIFL00ITA,EURA14,2012-10-11 11:59:00,0.00174,0.00204,0.00655,0.00174,0.00204,0.00655
RIFL00ITA,EURA14,2012-10-12 11:59:00,0.0014,-0.00056,0.00458,0.0014,-0.00056,0.00458
RIFL00ITA,EURA14,2012-10-13 11:59:00,0.00102,0.00068,0.00356,0.00102,0.00068,0.00356
RIFL00ITA,EURA14,2012-10-14 11:59:00,0.00176,0.00048,0.00691,0.00176,0.00048,0.00691
RIFL00ITA,EURA14,2012-10-15 11:59:00,0.0008350000000000001,0.00099,0.00544,0.0008350000000000001,0.00099,0.00544
RIFL00ITA,EURA14,2012-10-16 11:59:00,-9e-05,0.0015,0.00397,-9e-05,0.0015,0.00397
RIFL00ITA,EURA14,2012-10-17 11:59:00,0.00166,0.00065,0.00109,0.00166,0.00065,0.00109
RIFL00ITA,EURA14,2012-10-18 11:59:00,0.00251,0.00052,0.00331,0.00251,0.00052,0.00331
RIFL00ITA,EURA14,2012-10-19 11:59:00,0.00145,0.00069,0.0016,0.00145,0.00069,0.0016
RIFL00ITA,EURA14,2012-10-20 11:59:00,0.00085,0.00127,0.0003,0.00085,0.00127,0.0003
RIFL00ITA,EURA14,2012-10-21 11:59:00,0.00042,0.0018,0.00611,0.00042,0.0018,0.00611
RIFL00ITA,EURA14,2012-10-22 11:59:00,0.00157,0.00141,0.0054,0.00157,0.00141,0.0054
RIFL00ITA,EURA14,2012-10-23 11:59:00,-0.00079,-0.00041,0.00582,-0.00079,-0.00041,0.00582
RIFL00ITA,EURA14,2012-10-24 11:59:00,0.00242,0.00135,-0.00539,0.00242,0.00135,-0.00539
RIFL00ITA,EURA14,2012-10-25 11:59:00,0.00077,0.0008,0.00526,0.00077,0.0008,0.00526
RIFL00ITA,EURA14,2012-10-26 11:59:00,0.00173,0.00139,0.00937,0.00173,0.00139,0.00937
RIFL00ITA,EURA14,2012-10-27 11:59:00,0.00118,0.00161,0.01016,0.00118,0.00161,0.01016
RIFL00ITA,EURA14,2012-10-28 11:59:00,0.00048,-0.00036,0.01688,0.00048,-0.00036,0.01688
RIFL00ITA,EURA14,2012-10-29 11:59:00,0.00137,0.00139,0.00249,0.00137,0.00139,0.00249
RIFL00ITA,EURA14,2012-10-30 11:59:00,0.00138,0.00151,0.0043,0.00138,0.00151,0.0043
RIFL00ITA,EURA14,2012-10-31 11:59:00,0.00087,-0.00137,-0.00024,0.00087,-0.00137,-0.00024
RIFL00ITA,EURA14,2012-11-01 11:59:00,0.00165,0.00142,0.00878,0.00165,0.00142,0.00878
RIFL00ITA,EURA14,2012-11-02 11:59:00,0.00107,0.00125,0.00465,0.00107,0.00125,0.00465
RIFL00ITA,EURA14,2012-11-03 11:59:00,0.00136,0.00168,-0.00042,0.00136,0.00168,-0.00042
RIFL00ITA,EURA14,2012-11-04 11:59:00,0.00106,0.00308,0.00197,0.00106,0.00308,0.00197
RIFL00ITA,EURA14,2012-11-05 11:59:00,0.00119,0.00284,0.00322,0.00119,0.00284,0.00322
RIFL00ITA,EURA14,2012-11-06 11:59:00,0.00045,0.00113,0.00364,0.00045,0.00113,0.00364
RIFL00ITA,EURA14,2012-11-07 11:59:00,0.00136,0.00232,-0.00136,0.00136,0.00232,-0.00136
RIFL00ITA,EURA14,2012-11-08 11:59:00,0.00095,0.00105,-0.00012,0.00095,0.00105,-0.00012
RIFL00ITA,EURA14,2012-11-09 11:59:00,9e-05,0.00153,0.0041,9e-05,0.00153,0.0041
RIFL00ITA,EURA14,2012-11-10 11:59:00,0.00124,0.00053,0.00322,0.00124,0.00053,0.00322
RIFL00ITA,EURA14,2012-11-11 11:59:00,0.00101,-0.00205,-0.00303,0.00101,-0.00205,-0.00303
RIFL00ITA,EURA14,2012-11-12 11:59:00,0.00203,0.001,0.00056,0.00203,0.001,0.00056
RIFL00ITA,EURA14,2012-11-13 11:59:00,0.00154,0.00158,0.00244,0.00154,0.00158,0.00244
RIFL00ITA,EURA14,2012-11-14 11:59:00,0.00084,0.00254,-0.00019,0.00084,0.00254,-0.00019
RIFL00ITA,EURA14,2012-11-15 11:59:00,0.00134,0.00242,0.00173,0.00134,0.00242,0.00173
RIFL00ITA,EURA14,2012-11-16 11:59:00,0.00036,0.00215,-0.00103,0.00036,0.00215,-0.00103
RIFL00ITA,EURA14,2012-11-17 11:59:00,0.00173,0.0019,0.00181,0.00173,0.0019,0.00181
RIFL00ITA,EURA14,2012-11-18 11:59:00,-0.00024,0.00112,0.0009,-0.00024,0.00112,0.0009
RIFL00ITA,EURA14,2012-11-19 11:59:00,0.00075,0.00174,0.00254,0.00075,0.00174,0.00254
RIFL00ITA,EURA14,2012-11-20 11:59:00,0.00038,0.00204,0.00344,0.00038,0.00204,0.00344
RIFL00ITA,EURA14,2012-11-21 11:59:00,0.00037,0.00175,-0.0028,0.00037,0.00175,-0.0028
RIFL00ITA,EURA14,2012-11-22 11:59:00,6e-05,0.00229,-0.00078,6e-05,0.00229,-0.00078
RIFL00ITA,EURA14,2012-11-23 11:59:00,0.00039,0.00136,-0.00439,0.00039,0.00136,-0.00439
RIFL00ITA,EURA14,2012-11-24 11:59:00,0.00029,0.00236,-0.0035,0.00029,0.00236,-0.0035
RIFL00ITA,EURA14,2012-11-25 11:59:00,0.00126,0.00189,-0.00244,0.00126,0.00189,-0.00244
RIFL00ITA,EURA14,2012-11-26 11:59:00,0.00094,0.00172,0.00084,0.00094,0.00172,0.00084
RIFL00ITA,EURA14,2012-11-27 11:59:00,0.00092,0.0008,0.00209,0.00092,0.0008,0.00209
RIFL00ITA,EURA14,2012-11-28 11:59:00,0.00095,0.00076,0.0044,0.00095,0.00076,0.0044
RIFL00ITA,EURA14,2012-11-29 11:59:00,0.00237,4e-05,0.00267,0.00237,4e-05,0.00267
RIFL00ITA,EURA14,2012-11-30 11:59:00,0.00118,0.00077,0.0023,0.00118,0.00077,0.0023
RIFL00ITA,EURA14,2012-12-01 11:59:00,-3e-05,0.00202,0.00328,-3e-05,0.00202,0.00328
RIFL00ITA,EURA14,2012-12-02 11:59:00,-1e-05,0.00213,0.00314,-1e-05,0.00213,0.00314
RIFL00ITA,EURA14,2012-12-03 11:59:00,0.00123,0.0011,-0.00089,0.00123,0.0011,-0.00089
RIFL00ITA,EURA14,2012-12-04 11:59:00,-0.00037,0.00192,0.00025,-0.00037,0.00192,0.00025
RIFL00ITA,EURA14,2012-12-05 11:59:00,0.00166,0.00126,-0.00015,0.00166,0.00126,-0.00015
RIFL00ITA,EURA14,2012-12-06 11:59:00,0.00026,0.00318,-0.00201,0.00026,0.00318,-0.00201
RIFL00ITA,EURA14,2012-12-07 11:59:00,0.00035,0.00191,-0.00177,0.00035,0.00191,-0.00177
RIFL00ITA,EURA14,2012-12-08 11:59:00,0.00148,0.00307,0.00049,0.00148,0.00307,0.00049
RIFL00ITA,EURA14,2012-12-09 11:59:00,-0.00017,0.00251,-0.00412,-0.00017,0.00251,-0.00412
RIFL00ITA,EURA14,2012-12-10 11:59:00,0.00063,0.00185,0.00098,0.00063,0.00185,0.00098
RIFL00ITA,EURA14,2012-12-11 11:59:00,0.0012,0.00231,-0.00365,0.0012,0.00231,-0.00365
RIFL00ITA,EURA14,2012-12-12 11:59:00,0.00081,0.00202,-0.00281,0.00081,0.00202,-0.00281
RIFL00ITA,EURA14,2012-12-13 11:59:00,0.00058,0.00196,-0.00446,0.00058,0.00196,-0.00446
RIFL00ITA,EURA14,2012-12-14 11:59:00,0.00049,0.00206,0.00141,0.00049,0.00206,0.00141
RIFL00ITA,EURA14,2012-12-15 11:59:00,0.00134,0.00215,-0.00029,0.00134,0.00215,-0.00029
RIFL00ITA,EURA14,2012-12-16 11:59:00,0.00133,0.00203,0.00396,0.00133,0.00203,0.00396
RIFL00ITA,EURA14,2012-12-17 11:59:00,-1e-05,0.00249,0.00351,-1e-05,0.00249,0.00351
RIFL00ITA,EURA14,2012-12-18 11:59:00,0.00139,0.00242,-0.00388,0.00139,0.00242,-0.00388
