marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RITI00ITA,EURA14,2012-06-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RITI00ITA,EURA14,2012-06-15 11:59:00,-0.00342,-0.00193,-0.00561,-0.00342,-0.00193,-0.00561
RITI00ITA,EURA14,2012-06-16 11:59:00,-0.00293,-0.00059,-0.00037,-0.00293,-0.00059,-0.00037
RITI00ITA,EURA14,2012-06-17 11:59:00,-0.00278,-0.00103,-0.00275,-0.00278,-0.00103,-0.00275
RITI00ITA,EURA14,2012-06-18 11:59:00,-0.00269,-0.00149,0.00054,-0.00269,-0.00149,0.00054
RITI00ITA,EURA14,2012-06-19 11:59:00,-0.0024,-0.0018,-0.00366,-0.0024,-0.0018,-0.00366
RITI00ITA,EURA14,2012-06-20 11:59:00,-0.00396,-0.00114,-0.00123,-0.00396,-0.00114,-0.00123
RITI00ITA,EURA14,2012-06-21 11:59:00,-0.00286,-0.00146,-0.00072,-0.00286,-0.00146,-0.00072
RITI00ITA,EURA14,2012-06-22 11:59:00,-0.00024,-0.00078,-0.00359,-0.00024,-0.00078,-0.00359
RITI00ITA,EURA14,2012-06-23 11:59:00,-0.00209,-0.00088,-0.00038,-0.00209,-0.00088,-0.00038
RITI00ITA,EURA14,2012-06-24 11:59:00,-0.00187,-0.00248,0.00482,-0.00187,-0.00248,0.00482
RITI00ITA,EURA14,2012-06-25 11:59:00,-0.00318,-0.00096,0.00051,-0.00318,-0.00096,0.00051
RITI00ITA,EURA14,2012-06-26 11:59:00,-0.00214,-0.00011,0.00288,-0.00214,-0.00011,0.00288
RITI00ITA,EURA14,2012-09-18 11:59:00,-0.00341,-0.0039,-0.00175,-0.0019638836772983,-0.004539052532833,-0.0017487804878048
RITI00ITA,EURA14,2012-09-19 11:59:00,-0.00478,-0.00175,-0.00713,-0.0033338836772983,-0.002389052532833,-0.0071287804878048
RITI00ITA,EURA14,2012-09-20 11:59:00,-0.00272,-0.00204,-0.00178,-0.0012738836772983,-0.002679052532833,-0.0017787804878048
RITI00ITA,EURA14,2012-09-21 11:59:00,-0.00264,-0.00143,-0.00557,-0.0011938836772983,-0.002069052532833,-0.0055687804878048
RITI00ITA,EURA14,2012-09-22 11:59:00,-0.00325,-0.00152,-0.002,-0.0018038836772983,-0.002159052532833,-0.0019987804878048
RITI00ITA,EURA14,2012-09-23 11:59:00,-0.00368,-0.00132,-0.00775,-0.0022338836772983,-0.001959052532833,-0.0077487804878048
RITI00ITA,EURA14,2012-09-24 11:59:00,-0.00913,-0.00903,-0.00827,-0.0076838836772983,-0.009669052532833,-0.0082687804878048
RITI00ITA,EURA14,2012-09-25 11:59:00,-0.00252,0.00072,-0.00334,-0.0010738836772983,8.09474671669793e-05,-0.0033387804878048
RITI00ITA,EURA14,2012-09-26 11:59:00,-0.00318,-0.00493,-0.0014,-0.0017338836772983,-0.005569052532833,-0.0013987804878048
RITI00ITA,EURA14,2012-09-27 11:59:00,-0.00336,-0.0062,0.00389,-0.0019138836772983,-0.006839052532833,0.0038912195121951
RITI00ITA,EURA14,2012-09-28 11:59:00,-0.00346,-0.00244,-0.00225,-0.0020138836772983,-0.003079052532833,-0.0022487804878048
RITI00ITA,EURA14,2012-09-29 11:59:00,-0.00189,-0.0034,-0.00114,-0.0004438836772983,-0.004039052532833,-0.0011387804878048
RITI00ITA,EURA14,2012-09-30 11:59:00,-0.00351,-0.00214,-0.00562,-0.0020638836772983,-0.002779052532833,-0.0056187804878048
RITI00ITA,EURA14,2012-10-01 11:59:00,-0.00115,-0.00116,0.00172,0.0002961163227016,-0.001799052532833,0.0017212195121951
RITI00ITA,EURA14,2012-10-02 11:59:00,-0.00176,-0.00038,-0.00909,-0.0003138836772983,-0.001019052532833,-0.0090887804878048
RITI00ITA,EURA14,2012-10-03 11:59:00,-0.00271,-0.00079,-0.0049,-0.0012638836772983,-0.001429052532833,-0.0048987804878048
RITI00ITA,EURA14,2012-10-04 11:59:00,-0.00261,-0.00239,-0.00304,-0.0011638836772983,-0.003029052532833,-0.0030387804878048
RITI00ITA,EURA14,2012-10-05 11:59:00,-0.00276,-0.00188,-0.00362,-0.0013138836772983,-0.002519052532833,-0.0036187804878048
RITI00ITA,EURA14,2012-10-06 11:59:00,-0.00328,-0.00167,-0.00197,-0.0018338836772983,-0.002309052532833,-0.0019687804878048
RITI00ITA,EURA14,2012-10-07 11:59:00,-0.00247,-0.00128,0.00092,-0.0010238836772983,-0.001919052532833,0.0009212195121951
RITI00ITA,EURA14,2012-10-08 11:59:00,-0.00296,-0.00134,0.00022,-0.0015138836772983,-0.001979052532833,0.0002212195121951
RITI00ITA,EURA14,2012-10-09 11:59:00,-0.00106,0.00066,-0.00089,0.0003861163227016,2.0947467166979256e-05,-0.0008887804878048
RITI00ITA,EURA14,2012-10-10 11:59:00,-0.00311,-0.0018,0.00567,-0.0016638836772983,-0.002439052532833,0.0056712195121951
RITI00ITA,EURA14,2012-10-11 11:59:00,-0.00437,0.00036,0.00232,-0.0029238836772983,-0.000279052532833,0.0023212195121951
RITI00ITA,EURA14,2012-10-12 11:59:00,-0.00291,0.00091,0.00484,-0.0014638836772983,0.0002709474671669,0.0048412195121951
RITI00ITA,EURA14,2012-10-13 11:59:00,-0.0023,-0.0008,0.00386,-0.0008538836772983,-0.001439052532833,0.0038612195121951
RITI00ITA,EURA14,2012-10-14 11:59:00,-0.00206,-0.00207,-0.0027,-0.0006138836772983,-0.002709052532833,-0.0026987804878048
RITI00ITA,EURA14,2012-10-15 11:59:00,-0.005,-0.00317,0.00127,-0.0035538836772983,-0.003809052532833,0.0012712195121951
RITI00ITA,EURA14,2012-10-16 11:59:00,-0.00442,0.00098,-0.00306,-0.0029738836772983,0.0003409474671669,-0.0030587804878048
RITI00ITA,EURA14,2012-10-17 11:59:00,-0.00181,-0.00053,-0.00577,-0.0003638836772983,-0.001169052532833,-0.0057687804878048
RITI00ITA,EURA14,2012-10-18 11:59:00,-0.00184,-0.00041,-0.00611,-0.0003938836772983,-0.001049052532833,-0.0061087804878048
RITI00ITA,EURA14,2012-10-19 11:59:00,-0.00335,-0.00057,-0.00318,-0.0019038836772983,-0.001209052532833,-0.0031787804878048
RITI00ITA,EURA14,2012-10-20 11:59:00,-0.00275,-0.0002,-0.00441,-0.0013038836772983,-0.000839052532833,-0.0044087804878048
RITI00ITA,EURA14,2012-10-21 11:59:00,-0.0032,0.00051,-0.00045,-0.0017538836772983,-0.000129052532833,-0.0004487804878048
RITI00ITA,EURA14,2012-10-22 11:59:00,-0.00276,0.00024,-0.00319,-0.0013138836772983,-0.000399052532833,-0.0031887804878048
RITI00ITA,EURA14,2012-10-23 11:59:00,-0.00379,-0.00196,-0.00727,-0.0023438836772983,-0.002599052532833,-0.0072687804878048
RITI00ITA,EURA14,2012-10-24 11:59:00,-0.00269,-0.00021,-0.00557,-0.0012438836772983,-0.000849052532833,-0.0055687804878048
RITI00ITA,EURA14,2012-10-25 11:59:00,-0.0025,-6e-05,-0.00155,-0.0010538836772983,-0.000699052532833,-0.0015487804878048
RITI00ITA,EURA14,2012-10-26 11:59:00,-0.00224,-0.00077,-0.00021,-0.0007938836772983,-0.001409052532833,-0.0002087804878048
RITI00ITA,EURA14,2012-10-27 11:59:00,-0.0030099999999999,-0.001935,0.00216,-0.0015638836772983,-0.002574052532833,0.0021612195121951
RITI00ITA,EURA14,2012-10-28 11:59:00,-0.00378,-0.0031,0.00453,-0.0023338836772983,-0.003739052532833,0.0045312195121951
RITI00ITA,EURA14,2012-10-31 11:59:00,-0.00175,-0.00326,-0.00092,-0.0003038836772983,-0.003899052532833,-0.0009187804878048
RITI00ITA,EURA14,2012-11-01 11:59:00,-0.00081,-0.00133,-0.00056,0.0006361163227016,-0.001969052532833,-0.0005587804878048
RITI00ITA,EURA14,2012-11-02 11:59:00,-0.00268,-0.00209,-0.00238,-0.0012338836772983,-0.002729052532833,-0.0023787804878048
RITI00ITA,EURA14,2012-11-03 11:59:00,-0.00157,-4e-05,-0.00606,-0.0001238836772983,-0.000679052532833,-0.0060587804878048
RITI00ITA,EURA14,2012-11-06 11:59:00,-0.00321,-0.00074,0.00254,-0.0017638836772983,-0.001379052532833,0.0025412195121951
RITI00ITA,EURA14,2012-11-07 11:59:00,-0.00262,0.00054,-0.00693,-0.0011738836772983,-9.905253283302072e-05,-0.0069287804878048
RITI00ITA,EURA14,2012-11-08 11:59:00,-0.00263,-4e-05,-0.00907,-0.0011838836772983,-0.000679052532833,-0.0090687804878048
RITI00ITA,EURA14,2012-11-09 11:59:00,-0.00252,0.0006,-0.00035,-0.0010738836772983,-3.905253283302079e-05,-0.0003487804878048
RITI00ITA,EURA14,2012-11-10 11:59:00,-0.00182,-0.00203,-0.00509,-0.0003738836772983,-0.002669052532833,-0.0050887804878048
RITI00ITA,EURA14,2012-11-11 11:59:00,-0.00375,-0.00528,0.00172,-0.0023038836772983,-0.005919052532833,0.0017212195121951
RITI00ITA,EURA14,2012-11-12 11:59:00,-0.00222,-0.00089,-0.00503,-0.0007738836772983,-0.001529052532833,-0.0050287804878048
RITI00ITA,EURA14,2012-11-13 11:59:00,-0.00311,0.00095,-0.00539,-0.0016638836772983,0.0003109474671669,-0.0053887804878048
RITI00ITA,EURA14,2012-11-14 11:59:00,-0.00284,0.00061,-0.00227,-0.0013938836772983,-2.9052532833020767e-05,-0.0022687804878048
RITI00ITA,EURA14,2012-11-15 11:59:00,-0.00223,0.00044,-0.00298,-0.0007838836772983,-0.000199052532833,-0.0029787804878048
RITI00ITA,EURA14,2012-11-16 11:59:00,-0.00311,0.00013,-0.00508,-0.0016638836772983,-0.000509052532833,-0.0050787804878048
RITI00ITA,EURA14,2012-11-17 11:59:00,-0.00202,0.00099,-0.00317,-0.0005738836772983,0.0003509474671669,-0.0031687804878048
