marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RMPO00ITA,EURA14,2006-06-21 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RMPO00ITA,EURA14,2006-06-22 11:59:00,-0.00172,-0.00059,0.00528,-0.00172,-0.00059,0.00528
RMPO00ITA,EURA14,2006-06-23 11:59:00,-0.00172,-0.0012,0.00937,-0.00172,-0.0012,0.00937
RMPO00ITA,EURA14,2006-06-24 11:59:00,-0.00196,-0.00032,0.00761,-0.00196,-0.00032,0.00761
RMPO00ITA,EURA14,2006-06-25 11:59:00,-0.00185,-0.00046,0.01133,-0.00185,-0.00046,0.01133
RMPO00ITA,EURA14,2006-06-26 11:59:00,-0.00078,6e-05,0.00547,-0.00078,6e-05,0.00547
RMPO00ITA,EURA14,2006-06-27 11:59:00,-0.00207,-0.00016,-0.00017,-0.00207,-0.00016,-0.00017
RMPO00ITA,EURA14,2006-06-28 11:59:00,-0.00232,-0.00018,0.00654,-0.00232,-0.00018,0.00654
RMPO00ITA,EURA14,2006-06-29 11:59:00,0.00079,0.00114,0.00195,0.00079,0.00114,0.00195
RMPO00ITA,EURA14,2006-06-30 11:59:00,-0.00182,0.00037,0.00362,-0.00182,0.00037,0.00362
RMPO00ITA,EURA14,2006-07-01 11:59:00,-0.00026,0.00181,0.0001,-0.00026,0.00181,0.0001
RMPO00ITA,EURA14,2006-07-02 11:59:00,-0.00069,-0.00049,0.01013,-0.00069,-0.00049,0.01013
RMPO00ITA,EURA14,2006-07-03 11:59:00,-0.00044,0.00097,0.00046,-0.00044,0.00097,0.00046
RMPO00ITA,EURA14,2006-07-04 11:59:00,-0.00165,0.00205,0.0011,-0.00165,0.00205,0.0011
RMPO00ITA,EURA14,2006-07-05 11:59:00,-0.00063,0.00142,-0.00117,-0.00063,0.00142,-0.00117
RMPO00ITA,EURA14,2006-07-06 11:59:00,-0.00107,0.00256,-0.01066,-0.00107,0.00256,-0.01066
RMPO00ITA,EURA14,2006-07-07 11:59:00,-0.0002,0.0061,0.0057,-0.0002,0.0061,0.0057
RMPO00ITA,EURA14,2006-07-08 11:59:00,-0.00132,-0.00086,0.00107,-0.00132,-0.00086,0.00107
RMPO00ITA,EURA14,2006-07-09 11:59:00,0.00058,0.00108,0.00852,0.00058,0.00108,0.00852
RMPO00ITA,EURA14,2006-07-10 11:59:00,-0.0029,-0.00085,0.00314,-0.0029,-0.00085,0.00314
RMPO00ITA,EURA14,2006-07-11 11:59:00,-0.00329,0.00108,0.00828,-0.00329,0.00108,0.00828
RMPO00ITA,EURA14,2006-07-12 11:59:00,-0.00197,0.00349,-0.00131,-0.00197,0.00349,-0.00131
RMPO00ITA,EURA14,2006-07-13 11:59:00,-0.00084,0.00105,0.00203,-0.00084,0.00105,0.00203
RMPO00ITA,EURA14,2006-07-14 11:59:00,-0.00087,0.0026,-0.00621,-0.00087,0.0026,-0.00621
RMPO00ITA,EURA14,2006-07-15 11:59:00,-0.00175,0.00214,0.01183,-0.00175,0.00214,0.01183
RMPO00ITA,EURA14,2006-07-16 11:59:00,-0.00159,-0.00029,0.00371,-0.00159,-0.00029,0.00371
