marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RMRA00ITA,EURA14,2018-11-06 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RMRA00ITA,EURA14,2018-11-07 11:59:00,0.00133,-0.0011,0.00136,0.00133,-0.0011,0.00136
RMRA00ITA,EURA14,2018-11-08 11:59:00,0.00075,-0.00026,0.00519,0.00075,-0.00026,0.00519
RMRA00ITA,EURA14,2018-11-09 11:59:00,0.00113,-0.00028,0.00523,0.00113,-0.00028,0.00523
RMRA00ITA,EURA14,2018-11-10 11:59:00,0.00091,0.00054,0.00493,0.00091,0.00054,0.00493
RMRA00ITA,EURA14,2018-11-11 11:59:00,0.00081,0.00018,0.00864,0.00081,0.00018,0.00864
RMRA00ITA,EURA14,2018-11-12 11:59:00,0.00104,0.00152,0.00498,0.00104,0.00152,0.00498
RMRA00ITA,EURA14,2018-11-13 11:59:00,0.00088,0.00175,0.00416,0.00088,0.00175,0.00416
RMRA00ITA,EURA14,2018-11-14 11:59:00,0.00108,0.00233,0.00422,0.00108,0.00233,0.00422
RMRA00ITA,EURA14,2018-11-15 11:59:00,0.00153,0.00248,0.00797,0.00153,0.00248,0.00797
RMRA00ITA,EURA14,2018-11-16 11:59:00,0.00251,0.00321,0.00623,0.00251,0.00321,0.00623
RMRA00ITA,EURA14,2018-11-17 11:59:00,0.00202,0.00297,0.00242,0.00202,0.00297,0.00242
RMRA00ITA,EURA14,2018-11-18 11:59:00,0.00144,0.0031,0.01042,0.00144,0.0031,0.01042
RMRA00ITA,EURA14,2018-11-19 11:59:00,0.00041,0.00246,-0.00025,0.00041,0.00246,-0.00025
RMRA00ITA,EURA14,2018-11-20 11:59:00,6e-05,-0.0012,0.00767,6e-05,-0.0012,0.00767
RMRA00ITA,EURA14,2018-11-21 11:59:00,0.00029,1.500000000000004e-05,0.00537,0.00029,1.500000000000004e-05,0.00537
RMRA00ITA,EURA14,2018-11-22 11:59:00,0.00052,0.00123,0.00307,0.00052,0.00123,0.00307
RMRA00ITA,EURA14,2018-11-23 11:59:00,0.00085,0.00162,0.00488,0.00085,0.00162,0.00488
RMRA00ITA,EURA14,2018-11-24 11:59:00,-0.00203,-0.00262,-0.00233,-0.00203,-0.00262,-0.00233
RMRA00ITA,EURA14,2018-11-25 11:59:00,0.00029,0.00036,0.0099,0.00029,0.00036,0.0099
RMRA00ITA,EURA14,2018-11-26 11:59:00,-0.00148,9e-05,0.01201,-0.00148,9e-05,0.01201
RMRA00ITA,EURA14,2018-11-27 11:59:00,0.0001,0.00079,0.01058,0.0001,0.00079,0.01058
RMRA00ITA,EURA14,2018-11-28 11:59:00,-0.00065,0.0016,0.0067,-0.00065,0.0016,0.0067
RMRA00ITA,EURA14,2018-11-29 11:59:00,-0.00021,0.0019,0.00936,-0.00021,0.0019,0.00936
RMRA00ITA,EURA14,2018-11-30 11:59:00,-0.00078,0.00245,0.00603,-0.00078,0.00245,0.00603
RMRA00ITA,EURA14,2018-12-01 11:59:00,1e-05,0.0023,0.00534,1e-05,0.0023,0.00534
RMRA00ITA,EURA14,2018-12-02 11:59:00,0.00111,0.00103,0.00818,0.00111,0.00103,0.00818
RMRA00ITA,EURA14,2018-12-03 11:59:00,-0.00111,0.00159,0.00292,-0.00111,0.00159,0.00292
RMRA00ITA,EURA14,2018-12-04 11:59:00,-0.00123,0.00137,0.00637,-0.00123,0.00137,0.00637
RMRA00ITA,EURA14,2018-12-05 11:59:00,-0.00073,0.00277,0.00556,-0.00073,0.00277,0.00556
RMRA00ITA,EURA14,2018-12-06 11:59:00,-0.00076,0.00265,0.00952,-0.00076,0.00265,0.00952
RMRA00ITA,EURA14,2018-12-07 11:59:00,-0.00161,0.00181,0.00926,-0.00161,0.00181,0.00926
RMRA00ITA,EURA14,2018-12-08 11:59:00,-0.00181,0.00344,0.01012,-0.00181,0.00344,0.01012
RMRA00ITA,EURA14,2018-12-09 11:59:00,-0.00485,0.00106,0.00855,-0.00485,0.00106,0.00855
RMRA00ITA,EURA14,2018-12-10 11:59:00,-0.00106,0.00439,0.00892,-0.00106,0.00439,0.00892
RMRA00ITA,EURA14,2018-12-11 11:59:00,0.00088,0.00337,0.00876,0.00088,0.00337,0.00876
RMRA00ITA,EURA14,2018-12-14 11:59:00,-0.00075,0.00517,-0.00668,-0.00075,0.00517,-0.00668
RMRA00ITA,EURA14,2018-12-15 11:59:00,-0.00281,0.00777,0.01503,-0.00281,0.00777,0.01503
RMRA00ITA,EURA14,2018-12-16 11:59:00,-0.00159,0.00546,0.01393,-0.00159,0.00546,0.01393
RMRA00ITA,EURA14,2018-12-17 11:59:00,0.00105,0.00257,0.00704,0.00105,0.00257,0.00704
RMRA00ITA,EURA14,2018-12-18 11:59:00,0.0006,0.0047,0.00638,0.0006,0.0047,0.00638
RMRA00ITA,EURA14,2018-12-19 11:59:00,-0.00013,0.00359,0.01025,-0.00013,0.00359,0.01025
RMRA00ITA,EURA14,2018-12-20 11:59:00,0.00053,0.00251,0.00991,0.00053,0.00251,0.00991
RMRA00ITA,EURA14,2018-12-21 11:59:00,0.00146,0.00379,0.00178,0.00146,0.00379,0.00178
RMRA00ITA,EURA14,2018-12-22 11:59:00,-0.00031,0.00226,-0.00999,-0.00031,0.00226,-0.00999
RMRA00ITA,EURA14,2018-12-23 11:59:00,-0.00058,0.00391,0.00409,-0.00058,0.00391,0.00409
RMRA00ITA,EURA14,2018-12-24 11:59:00,-0.00206,0.0005,0.00899,-0.00206,0.0005,0.00899
RMRA00ITA,EURA14,2018-12-25 11:59:00,0.00285,0.00533,0.0131,0.00285,0.00533,0.0131
