marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RNI200ITA,EURA14,2004-08-10 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RNI200ITA,EURA14,2004-08-11 11:59:00,-0.00133,-0.00039,0.00836,-0.00133,-0.00039,0.00836
RNI200ITA,EURA14,2004-08-12 11:59:00,0.00115,-0.0019,0.00606,0.00115,-0.0019,0.00606
RNI200ITA,EURA14,2004-08-13 11:59:00,0.00105,0.00016,0.00899,0.00105,0.00016,0.00899
RNI200ITA,EURA14,2004-08-14 11:59:00,2e-05,-0.00287,0.01037,2e-05,-0.00287,0.01037
RNI200ITA,EURA14,2004-08-15 11:59:00,0.00132,-0.00182,0.00922,0.00132,-0.00182,0.00922
RNI200ITA,EURA14,2004-08-16 11:59:00,0.00108,-0.00029,-0.00184,0.00108,-0.00029,-0.00184
RNI200ITA,EURA14,2004-08-17 11:59:00,-0.00015,-0.00203,0.00539,-0.00015,-0.00203,0.00539
RNI200ITA,EURA14,2004-08-18 11:59:00,0.00081,-0.00156,0.00763,0.00081,-0.00156,0.00763
RNI200ITA,EURA14,2004-08-19 11:59:00,0.00249,-0.00031,0.00681,0.00249,-0.00031,0.00681
RNI200ITA,EURA14,2004-08-20 11:59:00,-0.00077,-0.00019,0.00153,-0.00077,-0.00019,0.00153
RNI200ITA,EURA14,2004-08-21 11:59:00,0.00846,0.00177,0.01036,0.00846,0.00177,0.01036
RNI200ITA,EURA14,2004-08-22 11:59:00,0.00065,-0.0001,0.00903,0.00065,-0.0001,0.00903
RNI200ITA,EURA14,2004-08-23 11:59:00,0.00054,-0.0006,0.00486,0.00054,-0.0006,0.00486
RNI200ITA,EURA14,2004-08-24 11:59:00,-0.00073,-0.00192,0.01399,-0.00073,-0.00192,0.01399
RNI200ITA,EURA14,2004-08-25 11:59:00,0.00525,0.00054,0.01288,0.00525,0.00054,0.01288
RNI200ITA,EURA14,2004-08-26 11:59:00,-0.00027,0.00108,0.01212,-0.00027,0.00108,0.01212
RNI200ITA,EURA14,2004-08-27 11:59:00,-0.00328,-0.00045,0.00635,-0.00328,-0.00045,0.00635
RNI200ITA,EURA14,2004-08-28 11:59:00,-0.00157,-0.0017,0.00542,-0.00157,-0.0017,0.00542
RNI200ITA,EURA14,2004-08-29 11:59:00,0.00018,-0.00022,0.00723,0.00018,-0.00022,0.00723
