marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ROAN00ITA,EURA14,2013-02-18 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ROAN00ITA,EURA14,2013-02-19 11:59:00,0.00027,0.00047,-0.00053,0.00027,0.00047,-0.00053
ROAN00ITA,EURA14,2013-02-20 11:59:00,-0.00036,0.00038,-0.00232,-0.00036,0.00038,-0.00232
ROAN00ITA,EURA14,2013-02-21 11:59:00,0.0004,0.00067,-0.00209,0.0004,0.00067,-0.00209
ROAN00ITA,EURA14,2013-02-22 11:59:00,0.00017,-0.00063,0.0013,0.00017,-0.00063,0.0013
ROAN00ITA,EURA14,2013-02-23 11:59:00,-0.00026,0.00051,-0.00297,-0.00026,0.00051,-0.00297
ROAN00ITA,EURA14,2013-02-24 11:59:00,-0.00034,0.00051,-0.00858,-0.00034,0.00051,-0.00858
ROAN00ITA,EURA14,2013-02-25 11:59:00,0.00063,-0.00081,-0.00853,0.00063,-0.00081,-0.00853
ROAN00ITA,EURA14,2013-02-26 11:59:00,0.0007650000000000001,0.00011000000000000007,-0.006795,0.0007650000000000001,0.00011000000000000007,-0.006795
ROAN00ITA,EURA14,2013-02-27 11:59:00,0.0009,0.00103,-0.00506,0.0009,0.00103,-0.00506
ROAN00ITA,EURA14,2013-02-28 11:59:00,6e-05,0.00128,-0.0033,6e-05,0.00128,-0.0033
ROAN00ITA,EURA14,2013-03-01 11:59:00,0.00012,1e-05,7e-05,0.00012,1e-05,7e-05
ROAN00ITA,EURA14,2013-03-02 11:59:00,0.00113,0.00123,-0.00495,0.00113,0.00123,-0.00495
ROAN00ITA,EURA14,2013-03-03 11:59:00,0.00039,0.00088,-0.00214,0.00039,0.00088,-0.00214
ROAN00ITA,EURA14,2013-03-04 11:59:00,-0.00025,0.00189,-0.01292,-0.00025,0.00189,-0.01292
ROAN00ITA,EURA14,2013-03-05 11:59:00,0.00052,0.00027,-0.00578,0.00052,0.00027,-0.00578
ROAN00ITA,EURA14,2013-03-06 11:59:00,0.00108,0.00132,-0.01014,0.00108,0.00132,-0.01014
ROAN00ITA,EURA14,2013-03-07 11:59:00,-0.00135,-0.00013,-0.00349,-0.00135,-0.00013,-0.00349
ROAN00ITA,EURA14,2013-03-08 11:59:00,0.00043,-0.00135,-0.00267,0.00043,-0.00135,-0.00267
ROAN00ITA,EURA14,2013-03-09 11:59:00,0.00013,-0.00044,-0.00681,0.00013,-0.00044,-0.00681
ROAN00ITA,EURA14,2013-03-10 11:59:00,-8e-05,0.0001,-0.00178,-8e-05,0.0001,-0.00178
ROAN00ITA,EURA14,2013-03-11 11:59:00,-0.00091,-0.00079,0.00144,-0.00091,-0.00079,0.00144
ROAN00ITA,EURA14,2013-03-12 11:59:00,-6e-05,-0.00101,0.0016,-6e-05,-0.00101,0.0016
ROAN00ITA,EURA14,2013-03-13 11:59:00,0.00049,-0.00036,-0.00517,0.00049,-0.00036,-0.00517
ROAN00ITA,EURA14,2013-03-14 11:59:00,0.00081,0.00084,-0.00366,0.00081,0.00084,-0.00366
ROAN00ITA,EURA14,2013-03-15 11:59:00,0.00105,0.00027,-0.00438,0.00105,0.00027,-0.00438
ROAN00ITA,EURA14,2013-03-16 11:59:00,0.00232,0.00142,-0.01331,0.00232,0.00142,-0.01331
ROAN00ITA,EURA14,2013-03-17 11:59:00,0.00186,-9e-05,-0.00975,0.00186,-9e-05,-0.00975
ROAN00ITA,EURA14,2013-03-18 11:59:00,0.00063,0.00048,-0.01176,0.00063,0.00048,-0.01176
ROAN00ITA,EURA14,2013-03-19 11:59:00,0.00062,-0.00127,-0.00272,0.00062,-0.00127,-0.00272
ROAN00ITA,EURA14,2013-03-20 11:59:00,0.0002,0.00066,-0.00614,0.0002,0.00066,-0.00614
ROAN00ITA,EURA14,2013-03-21 11:59:00,-2e-05,0.00076,-0.00075,-2e-05,0.00076,-0.00075
ROAN00ITA,EURA14,2013-03-22 11:59:00,0.00083,0.00086,-0.00949,0.00083,0.00086,-0.00949
ROAN00ITA,EURA14,2013-03-23 11:59:00,0.00108,0.00081,-0.01181,0.00108,0.00081,-0.01181
ROAN00ITA,EURA14,2013-03-24 11:59:00,0.00118,0.00192,-0.01011,0.00118,0.00192,-0.01011
ROAN00ITA,EURA14,2013-03-25 11:59:00,0.00063,0.00067,-0.00422,0.00063,0.00067,-0.00422
ROAN00ITA,EURA14,2013-03-26 11:59:00,0.00138,0.00123,-0.00635,0.00138,0.00123,-0.00635
ROAN00ITA,EURA14,2013-03-27 11:59:00,0.00094,0.00035,-0.00822,0.00094,0.00035,-0.00822
ROAN00ITA,EURA14,2013-03-28 11:59:00,0.00108,0.00058,-0.00729,0.00108,0.00058,-0.00729
ROAN00ITA,EURA14,2013-03-29 11:59:00,0.00017,0.00082,-0.00966,0.00017,0.00082,-0.00966
ROAN00ITA,EURA14,2013-03-30 11:59:00,0.0004,0.00025,-0.00333,0.0004,0.00025,-0.00333
ROAN00ITA,EURA14,2013-03-31 11:59:00,0.00109,0.00106,-0.00487,0.00109,0.00106,-0.00487
ROAN00ITA,EURA14,2013-04-01 11:59:00,0.00165,0.00101,-0.0078,0.00165,0.00101,-0.0078
ROAN00ITA,EURA14,2013-04-02 11:59:00,-0.00122,0.00032,-0.00346,-0.00122,0.00032,-0.00346
ROAN00ITA,EURA14,2013-04-03 11:59:00,0.00012,0.00104,-0.00656,0.00012,0.00104,-0.00656
ROAN00ITA,EURA14,2013-04-04 11:59:00,0.00115,0.00058,-0.0112,0.00115,0.00058,-0.0112
ROAN00ITA,EURA14,2013-04-05 11:59:00,0.00113,0.00045,-0.00713,0.00113,0.00045,-0.00713
ROAN00ITA,EURA14,2013-04-06 11:59:00,-0.00122,0.00219,-0.01071,-0.00122,0.00219,-0.01071
ROAN00ITA,EURA14,2013-04-07 11:59:00,-0.0006749999999999999,0.001845,-0.009315,-0.0006749999999999999,0.001845,-0.009315
ROAN00ITA,EURA14,2013-04-08 11:59:00,-0.00013,0.0015,-0.00792,-0.00013,0.0015,-0.00792
ROAN00ITA,EURA14,2013-04-09 11:59:00,0.00081,0.00079,-0.00799,0.00081,0.00079,-0.00799
ROAN00ITA,EURA14,2013-04-10 11:59:00,-0.00017,0.00075,-0.01249,-0.00017,0.00075,-0.01249
ROAN00ITA,EURA14,2013-04-11 11:59:00,0.00029,0.001,-0.01365,0.00029,0.001,-0.01365
ROAN00ITA,EURA14,2013-04-12 11:59:00,0.00036,-0.0002,-0.00969,0.00036,-0.0002,-0.00969
ROAN00ITA,EURA14,2013-04-13 11:59:00,0.00019,0.00145,-0.0128,0.00019,0.00145,-0.0128
ROAN00ITA,EURA14,2013-04-14 11:59:00,0.00011,0.001725,-0.011290000000000001,0.00011,0.001725,-0.011290000000000001
ROAN00ITA,EURA14,2013-04-15 11:59:00,3e-05,0.002,-0.00978,3e-05,0.002,-0.00978
ROAN00ITA,EURA14,2013-04-16 11:59:00,0.00064,0.00197,-0.00946,0.00064,0.00197,-0.00946
ROAN00ITA,EURA14,2013-04-17 11:59:00,-0.00109,0.00276,-0.01541,-0.00109,0.00276,-0.01541
ROAN00ITA,EURA14,2013-04-18 11:59:00,-0.00015,0.00103,-0.00642,-0.00015,0.00103,-0.00642
ROAN00ITA,EURA14,2013-04-19 11:59:00,-0.00076,0.0017,-0.00848,-0.00076,0.0017,-0.00848
