marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ROIO00ITA,EURA14,2016-04-26 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ROIO00ITA,EURA14,2016-04-27 11:59:00,0.00093,-3e-05,-0.01861,0.00093,-3e-05,-0.01861
ROIO00ITA,EURA14,2016-04-28 11:59:00,-0.00373,0.00035,-0.01738,-0.00373,0.00035,-0.01738
ROIO00ITA,EURA14,2016-04-29 11:59:00,-0.00287,0.0023,-0.01736,-0.00287,0.0023,-0.01736
ROIO00ITA,EURA14,2016-04-30 11:59:00,-0.00224,0.00166,-0.02078,-0.00224,0.00166,-0.02078
ROIO00ITA,EURA14,2016-05-01 11:59:00,-0.004,0.00328,-0.01353,-0.004,0.00328,-0.01353
ROIO00ITA,EURA14,2016-05-02 11:59:00,-0.00293,0.00169,-0.00966,-0.00293,0.00169,-0.00966
ROIO00ITA,EURA14,2016-05-03 11:59:00,-0.00171,0.00124,-0.01117,-0.00171,0.00124,-0.01117
ROIO00ITA,EURA14,2016-05-04 11:59:00,-0.00251,0.00184,-0.02162,-0.00251,0.00184,-0.02162
ROIO00ITA,EURA14,2016-05-05 11:59:00,-0.00156,0.00108,-0.02553,-0.00156,0.00108,-0.02553
ROIO00ITA,EURA14,2016-05-06 11:59:00,-0.00122,0.00221,-0.03219,-0.00122,0.00221,-0.03219
ROIO00ITA,EURA14,2016-05-07 11:59:00,-0.0019,0.00155,-0.0201,-0.0019,0.00155,-0.0201
ROIO00ITA,EURA14,2016-05-08 11:59:00,-0.00247,0.00068,-0.02367,-0.00247,0.00068,-0.02367
ROIO00ITA,EURA14,2016-05-09 11:59:00,-0.00242,0.00257,-0.02541,-0.00242,0.00257,-0.02541
ROIO00ITA,EURA14,2016-05-10 11:59:00,-0.00023,0.00308,-0.02321,-0.00023,0.00308,-0.02321
ROIO00ITA,EURA14,2016-05-11 11:59:00,0.00291,0.00196,-0.01289,0.00291,0.00196,-0.01289
ROIO00ITA,EURA14,2016-05-12 11:59:00,-0.00199,0.00089,-0.00475,-0.00199,0.00089,-0.00475
ROIO00ITA,EURA14,2016-05-13 11:59:00,0.00234,0.00038,-0.01408,0.00234,0.00038,-0.01408
ROIO00ITA,EURA14,2016-05-14 11:59:00,-0.00101,0.00191,-0.0104,-0.00101,0.00191,-0.0104
ROIO00ITA,EURA14,2016-05-15 11:59:00,-0.00347,0.00267,-0.01635,-0.00347,0.00267,-0.01635
ROIO00ITA,EURA14,2016-05-16 11:59:00,-0.0066,0.00291,-0.01393,-0.0066,0.00291,-0.01393
ROIO00ITA,EURA14,2016-05-17 11:59:00,-0.00419,0.00365,-0.01427,-0.00419,0.00365,-0.01427
ROIO00ITA,EURA14,2016-05-18 11:59:00,-0.00468,0.00216,-0.02962,-0.00468,0.00216,-0.02962
ROIO00ITA,EURA14,2016-05-19 11:59:00,-0.00409,-0.00136,-0.02366,-0.00409,-0.00136,-0.02366
ROIO00ITA,EURA14,2016-05-20 11:59:00,-0.0038,0.00075,0.01619,-0.0038,0.00075,0.01619
ROIO00ITA,EURA14,2016-05-21 11:59:00,-0.00107,-0.0011,-0.01503,-0.00107,-0.0011,-0.01503
ROIO00ITA,EURA14,2016-05-22 11:59:00,-0.0032,0.00237,-0.02464,-0.0032,0.00237,-0.02464
ROIO00ITA,EURA14,2016-05-23 11:59:00,-0.0058,0.00486,-0.02204,-0.0058,0.00486,-0.02204
ROIO00ITA,EURA14,2016-05-24 11:59:00,-0.00555,0.00128,-0.02341,-0.00555,0.00128,-0.02341
ROIO00ITA,EURA14,2016-05-25 11:59:00,-0.0043,0.00301,-0.02479,-0.0043,0.00301,-0.02479
ROIO00ITA,EURA14,2016-05-26 11:59:00,-0.00282,0.00308,-0.02979,-0.00282,0.00308,-0.02979
ROIO00ITA,EURA14,2016-05-27 11:59:00,-0.00366,0.00161,-0.02037,-0.00366,0.00161,-0.02037
ROIO00ITA,EURA14,2016-05-28 11:59:00,-0.0031,-0.00038,-0.03667,-0.0031,-0.00038,-0.03667
ROIO00ITA,EURA14,2016-05-29 11:59:00,0.00579,0.00091,-0.03847,0.00579,0.00091,-0.03847
ROIO00ITA,EURA14,2016-05-30 11:59:00,-0.0034,0.00563,-0.02602,-0.0034,0.00563,-0.02602
ROIO00ITA,EURA14,2016-05-31 11:59:00,0.00323,0.00453,-0.02574,0.00323,0.00453,-0.02574
ROIO00ITA,EURA14,2016-06-01 11:59:00,-0.00091,0.00024,-0.01958,-0.00091,0.00024,-0.01958
ROIO00ITA,EURA14,2016-06-02 11:59:00,-0.00442,0.00172,-0.0127,-0.00442,0.00172,-0.0127
ROIO00ITA,EURA14,2016-06-03 11:59:00,-0.0052,0.00427,-0.02411,-0.0052,0.00427,-0.02411
ROIO00ITA,EURA14,2016-06-04 11:59:00,-0.00383,0.00156,-0.02725,-0.00383,0.00156,-0.02725
ROIO00ITA,EURA14,2016-06-05 11:59:00,-0.00251,-0.00037,-0.01015,-0.00251,-0.00037,-0.01015
ROIO00ITA,EURA14,2016-06-06 11:59:00,-0.00447,0.00157,-0.01503,-0.00447,0.00157,-0.01503
ROIO00ITA,EURA14,2016-06-07 11:59:00,-0.00632,0.0012,-0.01991,-0.00632,0.0012,-0.01991
ROIO00ITA,EURA14,2016-06-08 11:59:00,-0.00205,0.0005,-0.03042,-0.00205,0.0005,-0.03042
ROIO00ITA,EURA14,2016-06-09 11:59:00,-0.00268,0.00195,-0.01405,-0.00268,0.00195,-0.01405
ROIO00ITA,EURA14,2016-06-10 11:59:00,-0.00443,0.00092,-0.02046,-0.00443,0.00092,-0.02046
ROIO00ITA,EURA14,2016-06-11 11:59:00,-0.00432,0.00188,-0.01147,-0.00432,0.00188,-0.01147
ROIO00ITA,EURA14,2016-06-12 11:59:00,-0.00654,0.00179,0.0002,-0.00654,0.00179,0.0002
ROIO00ITA,EURA14,2016-06-13 11:59:00,-0.0021,0.00285,-0.01178,-0.0021,0.00285,-0.01178
ROIO00ITA,EURA14,2016-06-14 11:59:00,-0.00779,-0.00156,-0.025,-0.00779,-0.00156,-0.025
ROIO00ITA,EURA14,2016-06-15 11:59:00,-0.00474,0.00557,-0.02304,-0.00474,0.00557,-0.02304
ROIO00ITA,EURA14,2016-06-16 11:59:00,-0.00599,-0.00782,-0.03195,-0.00599,-0.00782,-0.03195
ROIO00ITA,EURA14,2016-06-17 11:59:00,-0.00731,-6e-05,-0.04053,-0.00731,-6e-05,-0.04053
ROIO00ITA,EURA14,2016-06-18 11:59:00,-0.00392,0.00355,-0.02219,-0.00392,0.00355,-0.02219
ROIO00ITA,EURA14,2016-06-19 11:59:00,-0.00375,0.00373,-0.01443,-0.00375,0.00373,-0.01443
ROIO00ITA,EURA14,2016-06-20 11:59:00,-0.00664,0.00214,-0.03016,-0.00664,0.00214,-0.03016
ROIO00ITA,EURA14,2016-06-21 11:59:00,-0.00361,0.00196,-0.03202,-0.00361,0.00196,-0.03202
ROIO00ITA,EURA14,2016-06-22 11:59:00,-0.00225,0.00278,-0.01485,-0.00225,0.00278,-0.01485
ROIO00ITA,EURA14,2016-06-23 11:59:00,-0.00474,0.00196,-0.02645,-0.00474,0.00196,-0.02645
ROIO00ITA,EURA14,2016-06-24 11:59:00,0.00561,-0.00384,-0.00614,0.00561,-0.00384,-0.00614
ROIO00ITA,EURA14,2016-06-25 11:59:00,-0.00561,0.00524,-0.02981,-0.00561,0.00524,-0.02981
ROIO00ITA,EURA14,2016-06-26 11:59:00,-0.00519,0.00229,-0.03514,-0.00519,0.00229,-0.03514
ROIO00ITA,EURA14,2016-06-27 11:59:00,-0.0046,-0.00214,-0.02194,-0.0046,-0.00214,-0.02194
ROIO00ITA,EURA14,2016-06-28 11:59:00,-0.00238,8e-05,-0.01264,-0.00238,8e-05,-0.01264
ROIO00ITA,EURA14,2016-06-29 11:59:00,-0.0032,0.00599,-0.03091,-0.0032,0.00599,-0.03091
ROIO00ITA,EURA14,2016-06-30 11:59:00,-0.00327,0.00192,-0.01401,-0.00327,0.00192,-0.01401
ROIO00ITA,EURA14,2016-07-01 11:59:00,-0.00435,-0.00227,-0.03448,-0.00435,-0.00227,-0.03448
ROIO00ITA,EURA14,2016-07-02 11:59:00,-0.00045,0.00439,-0.02102,-0.00045,0.00439,-0.02102
ROIO00ITA,EURA14,2016-07-03 11:59:00,-0.00429,0.00743,-0.03138,-0.00429,0.00743,-0.03138
ROIO00ITA,EURA14,2016-07-04 11:59:00,-0.00368,0.00687,-0.02582,-0.00368,0.00687,-0.02582
ROIO00ITA,EURA14,2016-07-05 11:59:00,-0.00199,0.0015,-0.01168,-0.00199,0.0015,-0.01168
ROIO00ITA,EURA14,2016-07-06 11:59:00,0.00046,0.00109,-0.01726,0.00046,0.00109,-0.01726
ROIO00ITA,EURA14,2016-07-07 11:59:00,-0.00323,-0.00164,-0.02088,-0.00323,-0.00164,-0.02088
ROIO00ITA,EURA14,2016-07-08 11:59:00,-0.00505,0.00442,-0.04211,-0.00505,0.00442,-0.04211
ROIO00ITA,EURA14,2016-07-09 11:59:00,-0.00122,0.00436,-0.033,-0.00122,0.00436,-0.033
ROIO00ITA,EURA14,2016-07-10 11:59:00,0.00019,-0.00263,0.0114,0.00019,-0.00263,0.0114
ROIO00ITA,EURA14,2016-07-11 11:59:00,-0.00022,0.00231,-0.02907,-0.00022,0.00231,-0.02907
ROIO00ITA,EURA14,2016-07-12 11:59:00,-0.00415,0.00047,-0.0243,-0.00415,0.00047,-0.0243
ROIO00ITA,EURA14,2016-07-13 11:59:00,0.00279,0.00105,-0.01086,0.00279,0.00105,-0.01086
ROIO00ITA,EURA14,2016-07-14 11:59:00,-0.00093,0.00568,-0.02159,-0.00093,0.00568,-0.02159
ROIO00ITA,EURA14,2016-07-15 11:59:00,-0.00682,0.00459,-0.00466,-0.00682,0.00459,-0.00466
ROIO00ITA,EURA14,2016-07-16 11:59:00,-0.00456,-0.00245,-0.01549,-0.00456,-0.00245,-0.01549
ROIO00ITA,EURA14,2016-07-17 11:59:00,-0.0054,0.00082,-0.01068,-0.0054,0.00082,-0.01068
ROIO00ITA,EURA14,2016-07-18 11:59:00,-0.00359,0.00451,-0.02378,-0.00359,0.00451,-0.02378
ROIO00ITA,EURA14,2016-07-19 11:59:00,-0.00767,0.00085,-0.0183,-0.00767,0.00085,-0.0183
ROIO00ITA,EURA14,2016-07-20 11:59:00,-0.00958,0.00255,-0.0244,-0.00958,0.00255,-0.0244
ROIO00ITA,EURA14,2016-07-21 11:59:00,-0.00641,0.0029,-0.03562,-0.00641,0.0029,-0.03562
ROIO00ITA,EURA14,2016-07-25 11:59:00,-0.00619,0.00387,-0.03425,-0.00619,0.00387,-0.03425
ROIO00ITA,EURA14,2016-07-26 11:59:00,-0.00709,0.00386,-0.01772,-0.00709,0.00386,-0.01772
ROIO00ITA,EURA14,2016-07-27 11:59:00,-0.00306,0.00274,-0.01412,-0.00306,0.00274,-0.01412
ROIO00ITA,EURA14,2016-07-28 11:59:00,-0.00901,0.00221,-0.03416,-0.00901,0.00221,-0.03416
ROIO00ITA,EURA14,2016-07-29 11:59:00,-0.00567,0.00689,-0.02943,-0.00567,0.00689,-0.02943
ROIO00ITA,EURA14,2016-07-30 11:59:00,-0.00362,0.00434,-0.0268,-0.00362,0.00434,-0.0268
ROIO00ITA,EURA14,2016-07-31 11:59:00,-0.00415,0.00276,-0.0042,-0.00415,0.00276,-0.0042
ROIO00ITA,EURA14,2016-08-01 11:59:00,-0.00707,0.00314,-0.01832,-0.00707,0.00314,-0.01832
ROIO00ITA,EURA14,2016-08-02 11:59:00,-0.00395,0.0065,-0.02003,-0.00395,0.0065,-0.02003
ROIO00ITA,EURA14,2016-08-03 11:59:00,-0.00506,0.00452,-0.02565,-0.00506,0.00452,-0.02565
ROIO00ITA,EURA14,2016-08-04 11:59:00,-0.00451,0.0034,-0.0121,-0.00451,0.0034,-0.0121
ROIO00ITA,EURA14,2016-08-05 11:59:00,0.00099,0.00388,-0.01589,0.00099,0.00388,-0.01589
ROIO00ITA,EURA14,2016-08-06 11:59:00,-0.00909,0.00324,-0.01006,-0.00909,0.00324,-0.01006
ROIO00ITA,EURA14,2016-08-07 11:59:00,-0.00676,0.00471,-0.02223,-0.00676,0.00471,-0.02223
ROIO00ITA,EURA14,2016-08-08 11:59:00,-0.00656,0.00297,-0.02985,-0.00656,0.00297,-0.02985
ROIO00ITA,EURA14,2016-08-09 11:59:00,-0.00194,0.00524,-0.0251,-0.00194,0.00524,-0.0251
ROIO00ITA,EURA14,2016-08-10 11:59:00,0.00032,0.00022,-0.01473,0.00032,0.00022,-0.01473
ROIO00ITA,EURA14,2016-08-11 11:59:00,-0.00525,0.00413,-0.0241,-0.00525,0.00413,-0.0241
ROIO00ITA,EURA14,2016-08-12 11:59:00,-0.00865,0.00192,-0.02598,-0.00865,0.00192,-0.02598
ROIO00ITA,EURA14,2016-08-13 11:59:00,-0.00587,0.00391,-0.02971,-0.00587,0.00391,-0.02971
ROIO00ITA,EURA14,2016-08-14 11:59:00,-0.0033,0.00364,-0.0272,-0.0033,0.00364,-0.0272
ROIO00ITA,EURA14,2016-08-15 11:59:00,-0.00686,0.00624,-0.04159,-0.00686,0.00624,-0.04159
