marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ROMA00ITA,EURA14,2005-12-16 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ROMA00ITA,EURA14,2005-12-17 11:59:00,0.0004,-0.00018,0.00257,0.0004,-0.00018,0.00257
ROMA00ITA,EURA14,2005-12-18 11:59:00,-0.00056,0.00145,-0.0051,-0.00056,0.00145,-0.0051
ROMA00ITA,EURA14,2005-12-19 11:59:00,0.00067,0.0001,-0.00578,0.00067,0.0001,-0.00578
ROMA00ITA,EURA14,2005-12-20 11:59:00,0.00033,0.00012,-0.00354,0.00033,0.00012,-0.00354
ROMA00ITA,EURA14,2005-12-21 11:59:00,0.00076,-0.00029,-0.00311,0.00076,-0.00029,-0.00311
ROMA00ITA,EURA14,2005-12-22 11:59:00,-0.00012,0.00038,-0.00107,-0.00012,0.00038,-0.00107
ROMA00ITA,EURA14,2005-12-23 11:59:00,0.00044,0.00015,-0.00467,0.00044,0.00015,-0.00467
ROMA00ITA,EURA14,2005-12-24 11:59:00,5e-05,-0.00011,-0.005,5e-05,-0.00011,-0.005
ROMA00ITA,EURA14,2005-12-25 11:59:00,-0.00058,-0.00022,-0.0009,-0.00058,-0.00022,-0.0009
ROMA00ITA,EURA14,2005-12-26 11:59:00,-0.00041,-0.00094,0.00173,-0.00041,-0.00094,0.00173
ROMA00ITA,EURA14,2005-12-27 11:59:00,-0.00062,-0.00176,0.00453,-0.00062,-0.00176,0.00453
ROMA00ITA,EURA14,2005-12-28 11:59:00,0.00068,0.00045,0.00821,0.00068,0.00045,0.00821
ROMA00ITA,EURA14,2005-12-29 11:59:00,0.00087,-0.00038,0.00231,0.00087,-0.00038,0.00231
ROMA00ITA,EURA14,2005-12-30 11:59:00,0.00146,0.00014,-0.00234,0.00146,0.00014,-0.00234
ROMA00ITA,EURA14,2005-12-31 11:59:00,0.00125,-0.00027,-0.00601,0.00125,-0.00027,-0.00601
ROMA00ITA,EURA14,2006-01-01 11:59:00,0.00188,-0.00089,0.00249,0.00188,-0.00089,0.00249
ROMA00ITA,EURA14,2006-01-02 11:59:00,0.002,0.00061,0.00514,0.002,0.00061,0.00514
ROMA00ITA,EURA14,2006-01-03 11:59:00,0.00094,-0.0006,-0.00057,0.00094,-0.0006,-0.00057
ROMA00ITA,EURA14,2006-01-04 11:59:00,0.00187,0.00151,0.00341,0.00187,0.00151,0.00341
ROMA00ITA,EURA14,2006-01-05 11:59:00,0.00205,-7e-05,0.00248,0.00205,-7e-05,0.00248
ROMA00ITA,EURA14,2006-01-06 11:59:00,0.00154,0.00087,-0.00021,0.00154,0.00087,-0.00021
ROMA00ITA,EURA14,2006-01-07 11:59:00,0.00222,0.00152,-0.00479,0.00222,0.00152,-0.00479
ROMA00ITA,EURA14,2006-01-08 11:59:00,0.00116,0.00023,-0.00213,0.00116,0.00023,-0.00213
