marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ROPI00ITA,EURA14,2009-04-07 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ROPI00ITA,EURA14,2009-04-08 11:59:00,-0.0012,0.00139,0.00031,-0.0012,0.00139,0.00031
ROPI00ITA,EURA14,2009-04-09 11:59:00,-0.00238,0.0007,-0.00469,-0.00238,0.0007,-0.00469
ROPI00ITA,EURA14,2009-04-10 11:59:00,-0.00249,0.00068,-0.00714,-0.00249,0.00068,-0.00714
ROPI00ITA,EURA14,2009-04-11 11:59:00,-0.00288,-0.00191,-0.00533,-0.00288,-0.00191,-0.00533
ROPI00ITA,EURA14,2009-04-12 11:59:00,0.00031,-0.00195,-0.00529,0.00031,-0.00195,-0.00529
ROPI00ITA,EURA14,2009-04-13 11:59:00,-0.00207,-0.0044,-0.00968,-0.00207,-0.0044,-0.00968
ROPI00ITA,EURA14,2009-04-14 11:59:00,-0.00225,-0.00275,-0.0036,-0.00225,-0.00275,-0.0036
ROPI00ITA,EURA14,2009-04-15 11:59:00,-0.00224,-0.00166,-0.00885,-0.00224,-0.00166,-0.00885
ROPI00ITA,EURA14,2009-04-16 11:59:00,-0.00593,-0.00448,-0.00907,-0.00593,-0.00448,-0.00907
ROPI00ITA,EURA14,2009-04-17 11:59:00,-0.00476,-0.00294,-0.00986,-0.00476,-0.00294,-0.00986
ROPI00ITA,EURA14,2009-04-18 11:59:00,-0.00442,-0.00305,-0.00597,-0.00442,-0.00305,-0.00597
ROPI00ITA,EURA14,2009-04-19 11:59:00,-0.00414,-0.00176,-0.01279,-0.00414,-0.00176,-0.01279
ROPI00ITA,EURA14,2009-04-20 11:59:00,-0.00406,-0.00342,-0.01001,-0.00406,-0.00342,-0.01001
ROPI00ITA,EURA14,2009-04-21 11:59:00,-0.00354,-0.00432,-0.0156,-0.00354,-0.00432,-0.0156
ROPI00ITA,EURA14,2009-04-22 11:59:00,-0.00186,-0.00313,-0.01944,-0.00186,-0.00313,-0.01944
ROPI00ITA,EURA14,2009-04-25 11:59:00,-0.00393,-0.00298,-0.01305,-0.00393,-0.00298,-0.01305
ROPI00ITA,EURA14,2009-04-26 11:59:00,-0.00206,-0.00249,-0.00989,-0.00206,-0.00249,-0.00989
ROPI00ITA,EURA14,2009-04-27 11:59:00,-0.00313,-0.00403,-0.00406,-0.00313,-0.00403,-0.00406
ROPI00ITA,EURA14,2009-04-28 11:59:00,-0.00335,-0.00337,-0.0041,-0.00335,-0.00337,-0.0041
ROPI00ITA,EURA14,2009-04-29 11:59:00,-0.00487,-0.00495,-0.01417,-0.00487,-0.00495,-0.01417
ROPI00ITA,EURA14,2009-04-30 11:59:00,-0.00351,-0.00285,-0.01267,-0.00351,-0.00285,-0.01267
ROPI00ITA,EURA14,2009-05-01 11:59:00,-0.00444,-0.00451,-0.01075,-0.00444,-0.00451,-0.01075
