marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ROPR00ITA,EURA14,2014-02-19 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ROPR00ITA,EURA14,2014-02-20 11:59:00,-0.00079,0.00439,0.00518,-0.00079,0.00439,0.00518
ROPR00ITA,EURA14,2014-02-21 11:59:00,-0.00115,0.00369,0.00287,-0.00115,0.00369,0.00287
ROPR00ITA,EURA14,2014-02-22 11:59:00,-0.00212,0.00419,0.00593,-0.00212,0.00419,0.00593
ROPR00ITA,EURA14,2014-02-23 11:59:00,-0.0006,0.00348,0.00703,-0.0006,0.00348,0.00703
ROPR00ITA,EURA14,2014-02-24 11:59:00,-0.00045,0.00492,0.00505,-0.00045,0.00492,0.00505
ROPR00ITA,EURA14,2014-02-25 11:59:00,-0.00114,0.00348,0.00441,-0.00114,0.00348,0.00441
ROPR00ITA,EURA14,2014-02-26 11:59:00,-0.001,0.00473,0.00706,-0.001,0.00473,0.00706
ROPR00ITA,EURA14,2014-02-27 11:59:00,-0.00084,0.00458,0.00317,-0.00084,0.00458,0.00317
ROPR00ITA,EURA14,2014-02-28 11:59:00,-0.00021,0.00426,0.00974,-0.00021,0.00426,0.00974
ROPR00ITA,EURA14,2014-03-01 11:59:00,-0.00044,0.00376,0.00886,-0.00044,0.00376,0.00886
ROPR00ITA,EURA14,2014-03-02 11:59:00,-0.00097,0.00347,0.00935,-0.00097,0.00347,0.00935
ROPR00ITA,EURA14,2014-03-03 11:59:00,-0.00041,0.00275,0.00839,-0.00041,0.00275,0.00839
ROPR00ITA,EURA14,2014-03-04 11:59:00,-0.00195,0.00363,0.00556,-0.00195,0.00363,0.00556
ROPR00ITA,EURA14,2014-03-05 11:59:00,-0.0019,0.00473,0.00889,-0.0019,0.00473,0.00889
ROPR00ITA,EURA14,2014-03-06 11:59:00,-0.00167,0.00432,0.00547,-0.00167,0.00432,0.00547
ROPR00ITA,EURA14,2014-03-07 11:59:00,-0.00127,0.0047,-0.00061,-0.00127,0.0047,-0.00061
ROPR00ITA,EURA14,2014-03-08 11:59:00,-0.00112,0.0041,-0.00104,-0.00112,0.0041,-0.00104
ROPR00ITA,EURA14,2014-03-09 11:59:00,-0.00205,0.00381,-0.00223,-0.00205,0.00381,-0.00223
ROPR00ITA,EURA14,2014-03-10 11:59:00,-0.00168,0.00443,-8e-05,-0.00168,0.00443,-8e-05
ROPR00ITA,EURA14,2014-03-11 11:59:00,-0.00069,0.0036,1e-05,-0.00069,0.0036,1e-05
ROPR00ITA,EURA14,2014-03-12 11:59:00,-0.00102,0.00469,0.00099,-0.00102,0.00469,0.00099
ROPR00ITA,EURA14,2014-03-13 11:59:00,0.00051,0.00419,-0.00202,0.00051,0.00419,-0.00202
ROPR00ITA,EURA14,2014-03-14 11:59:00,-0.00027,0.00446,-0.00116,-0.00027,0.00446,-0.00116
ROPR00ITA,EURA14,2014-03-15 11:59:00,-0.00155,0.00246,6e-05,-0.00155,0.00246,6e-05
ROPR00ITA,EURA14,2014-03-16 11:59:00,-0.00038,0.00367,0.00254,-0.00038,0.00367,0.00254
ROPR00ITA,EURA14,2014-03-17 11:59:00,-0.0001,0.00375,0.00039,-0.0001,0.00375,0.00039
ROPR00ITA,EURA14,2014-03-18 11:59:00,-0.00126,0.00383,-0.00056,-0.00126,0.00383,-0.00056
ROPR00ITA,EURA14,2014-03-19 11:59:00,-0.00042,0.00431,0.00375,-0.00042,0.00431,0.00375
ROPR00ITA,EURA14,2014-03-20 11:59:00,-0.0006,0.00555,-8e-05,-0.0006,0.00555,-8e-05
ROPR00ITA,EURA14,2014-03-21 11:59:00,-0.00079,0.00321,0.00338,-0.00079,0.00321,0.00338
ROPR00ITA,EURA14,2014-03-22 11:59:00,-0.00096,0.00546,0.00802,-0.00096,0.00546,0.00802
ROPR00ITA,EURA14,2014-03-23 11:59:00,0.00059,0.00359,0.00815,0.00059,0.00359,0.00815
ROPR00ITA,EURA14,2014-03-24 11:59:00,-0.00222,0.00328,0.00875,-0.00222,0.00328,0.00875
ROPR00ITA,EURA14,2014-03-25 11:59:00,-0.00073,0.00363,0.0079,-0.00073,0.00363,0.0079
ROPR00ITA,EURA14,2014-03-26 11:59:00,-0.001,0.00465,0.0091,-0.001,0.00465,0.0091
ROPR00ITA,EURA14,2014-03-27 11:59:00,-9e-05,0.00399,0.00596,-9e-05,0.00399,0.00596
ROPR00ITA,EURA14,2014-03-28 11:59:00,-0.00031,0.00336,0.00468,-0.00031,0.00336,0.00468
ROPR00ITA,EURA14,2014-03-29 11:59:00,0.00014,0.00396,0.00243,0.00014,0.00396,0.00243
ROPR00ITA,EURA14,2014-03-30 11:59:00,-0.00052,0.00449,0.00529,-0.00052,0.00449,0.00529
ROPR00ITA,EURA14,2014-03-31 11:59:00,-0.00112,0.00411,0.00194,-0.00112,0.00411,0.00194
ROPR00ITA,EURA14,2014-04-01 11:59:00,0.00067,0.00409,0.0054,0.00067,0.00409,0.0054
ROPR00ITA,EURA14,2014-04-02 11:59:00,-0.0006,0.0038,0.00291,-0.0006,0.0038,0.00291
ROPR00ITA,EURA14,2014-04-03 11:59:00,-0.00044,0.00257,0.00866,-0.00044,0.00257,0.00866
ROPR00ITA,EURA14,2014-04-04 11:59:00,-0.00325,0.00303,0.00979,-0.00325,0.00303,0.00979
ROPR00ITA,EURA14,2014-04-05 11:59:00,-0.00064,0.0034,0.01103,-0.00064,0.0034,0.01103
ROPR00ITA,EURA14,2014-04-06 11:59:00,-0.00138,0.00454,0.00552,-0.00138,0.00454,0.00552
ROPR00ITA,EURA14,2014-04-07 11:59:00,2e-05,0.00411,0.00076,2e-05,0.00411,0.00076
ROPR00ITA,EURA14,2014-04-08 11:59:00,-0.0024,0.00531,0.00223,-0.0024,0.00531,0.00223
ROPR00ITA,EURA14,2014-04-09 11:59:00,-0.00094,0.00472,-0.00332,-0.00094,0.00472,-0.00332
ROPR00ITA,EURA14,2014-04-10 11:59:00,-0.00172,0.00458,-0.00094,-0.00172,0.00458,-0.00094
ROPR00ITA,EURA14,2014-04-11 11:59:00,-0.002,0.0041,0.00237,-0.002,0.0041,0.00237
ROPR00ITA,EURA14,2014-04-12 11:59:00,-0.0002,0.00301,0.00148,-0.0002,0.00301,0.00148
ROPR00ITA,EURA14,2014-04-13 11:59:00,-0.0001,0.00457,0.00086,-0.0001,0.00457,0.00086
ROPR00ITA,EURA14,2014-04-14 11:59:00,0.00011,0.00411,0.00219,0.00011,0.00411,0.00219
ROPR00ITA,EURA14,2014-04-15 11:59:00,-0.00124,0.00412,0.00468,-0.00124,0.00412,0.00468
ROPR00ITA,EURA14,2014-04-16 11:59:00,-0.00183,0.00373,0.00797,-0.00183,0.00373,0.00797
ROPR00ITA,EURA14,2014-04-17 11:59:00,-0.0012,0.00346,0.00348,-0.0012,0.00346,0.00348
ROPR00ITA,EURA14,2014-04-18 11:59:00,-0.0019,0.00297,0.00521,-0.0019,0.00297,0.00521
ROPR00ITA,EURA14,2014-04-19 11:59:00,-0.00297,0.00444,0.00476,-0.00297,0.00444,0.00476
ROPR00ITA,EURA14,2014-04-20 11:59:00,-0.00303,0.00392,0.00521,-0.00303,0.00392,0.00521
ROPR00ITA,EURA14,2014-04-21 11:59:00,-0.00077,0.00427,0.00591,-0.00077,0.00427,0.00591
ROPR00ITA,EURA14,2014-04-22 11:59:00,-0.00063,0.00351,0.00321,-0.00063,0.00351,0.00321
ROPR00ITA,EURA14,2014-04-23 11:59:00,-0.00128,0.00204,0.00391,-0.00128,0.00204,0.00391
ROPR00ITA,EURA14,2014-04-24 11:59:00,-0.00079,0.00252,0.00097,-0.00079,0.00252,0.00097
ROPR00ITA,EURA14,2014-04-25 11:59:00,-0.00181,0.00457,0.00078,-0.00181,0.00457,0.00078
ROPR00ITA,EURA14,2014-04-26 11:59:00,0.0001,0.00306,0.00596,0.0001,0.00306,0.00596
ROPR00ITA,EURA14,2014-04-27 11:59:00,-0.0019,0.00434,0.00502,-0.0019,0.00434,0.00502
ROPR00ITA,EURA14,2014-04-28 11:59:00,-0.00148,0.00404,0.00263,-0.00148,0.00404,0.00263
ROPR00ITA,EURA14,2014-04-29 11:59:00,-0.00076,0.00276,0.0,-0.00076,0.00276,0.0
ROPR00ITA,EURA14,2014-04-30 11:59:00,-0.00235,0.00288,0.00297,-0.00235,0.00288,0.00297
ROPR00ITA,EURA14,2014-05-01 11:59:00,-0.00061,0.00289,0.00132,-0.00061,0.00289,0.00132
ROPR00ITA,EURA14,2014-05-02 11:59:00,-0.00105,0.00397,0.00855,-0.00105,0.00397,0.00855
ROPR00ITA,EURA14,2014-05-03 11:59:00,-0.00137,0.00253,-0.00183,-0.00137,0.00253,-0.00183
ROPR00ITA,EURA14,2014-05-04 11:59:00,-0.00233,0.00254,0.00795,-0.00233,0.00254,0.00795
ROPR00ITA,EURA14,2014-05-05 11:59:00,-0.00189,0.00325,0.00544,-0.00189,0.00325,0.00544
ROPR00ITA,EURA14,2014-05-06 11:59:00,-0.0028,0.00276,-0.00292,-0.0028,0.00276,-0.00292
ROPR00ITA,EURA14,2014-05-07 11:59:00,-0.00146,0.0036,0.00231,-0.00146,0.0036,0.00231
ROPR00ITA,EURA14,2014-07-09 11:59:00,-0.00473,0.00571,0.00552,-0.00473,0.00571,0.00552
ROPR00ITA,EURA14,2014-07-10 11:59:00,-0.00365,0.00459,0.00713,-0.00365,0.00459,0.00713
ROPR00ITA,EURA14,2014-07-11 11:59:00,-0.00459,0.003,0.013,-0.00459,0.003,0.013
ROPR00ITA,EURA14,2014-07-12 11:59:00,-0.00516,0.00408,0.01314,-0.00516,0.00408,0.01314
ROPR00ITA,EURA14,2014-07-13 11:59:00,-0.00288,0.00262,0.00682,-0.00288,0.00262,0.00682
ROPR00ITA,EURA14,2014-07-14 11:59:00,-0.00447,0.00324,0.00702,-0.00447,0.00324,0.00702
ROPR00ITA,EURA14,2014-07-15 11:59:00,-0.00479,0.00306,0.01387,-0.00479,0.00306,0.01387
ROPR00ITA,EURA14,2014-07-16 11:59:00,-0.00191,0.003,0.0092,-0.00191,0.003,0.0092
ROPR00ITA,EURA14,2014-07-17 11:59:00,-0.00244,0.00408,0.01275,-0.00244,0.00408,0.01275
ROPR00ITA,EURA14,2014-07-18 11:59:00,-0.00327,0.00139,0.0119,-0.00327,0.00139,0.0119
ROPR00ITA,EURA14,2014-07-19 11:59:00,-0.00398,0.00186,0.00954,-0.00398,0.00186,0.00954
ROPR00ITA,EURA14,2014-10-17 11:59:00,-0.00202,0.00327,0.00782,-0.001925415228676854,0.0030925665601403748,0.006766730141634232
ROPR00ITA,EURA14,2014-10-18 11:59:00,-0.00113,0.00313,0.00852,-0.0010354152286768537,0.002952566560140375,0.007466730141634231
ROPR00ITA,EURA14,2014-10-19 11:59:00,-0.00196,0.00352,0.00687,-0.0018654152286768538,0.003342566560140375,0.005816730141634231
ROPR00ITA,EURA14,2014-10-20 11:59:00,-0.00118,0.00407,0.00811,-0.0010854152286768539,0.0038925665601403747,0.00705673014163423
ROPR00ITA,EURA14,2014-10-21 11:59:00,-0.00138,0.00318,0.01201,-0.0012854152286768538,0.003002566560140375,0.010956730141634232
ROPR00ITA,EURA14,2014-10-22 11:59:00,-0.00122,0.00463,0.0134,-0.0011254152286768538,0.004452566560140374,0.012346730141634232
ROPR00ITA,EURA14,2014-10-23 11:59:00,-0.00112,0.00313,0.00974,-0.0010254152286768537,0.002952566560140375,0.008686730141634232
ROPR00ITA,EURA14,2014-10-24 11:59:00,-0.00248,0.00414,0.0062,-0.002385415228676854,0.003962566560140374,0.005146730141634231
ROPR00ITA,EURA14,2014-10-25 11:59:00,-0.00191,0.00459,0.00532,-0.0018154152286768538,0.004412566560140375,0.004266730141634231
ROPR00ITA,EURA14,2014-10-26 11:59:00,-0.00129,0.00453,0.00793,-0.0011954152286768537,0.004352566560140375,0.0068767301416342306
ROPR00ITA,EURA14,2014-10-27 11:59:00,-0.00222,0.00469,0.00753,-0.0021254152286768542,0.004512566560140374,0.006476730141634231
ROPR00ITA,EURA14,2014-10-28 11:59:00,-0.00151,0.00345,0.0101,-0.0014154152286768539,0.003272566560140375,0.009046730141634231
ROPR00ITA,EURA14,2014-10-29 11:59:00,-0.00227,0.00387,0.00589,-0.002175415228676854,0.003692566560140375,0.004836730141634231
ROPR00ITA,EURA14,2014-10-30 11:59:00,-0.00115,0.00459,0.00543,-0.0010554152286768538,0.004412566560140375,0.004376730141634231
ROPR00ITA,EURA14,2014-10-31 11:59:00,-0.0017,0.00502,0.00704,-0.0016054152286768537,0.004842566560140375,0.005986730141634231
ROPR00ITA,EURA14,2014-11-01 11:59:00,-0.00172,0.00567,0.00526,-0.0016254152286768538,0.005492566560140374,0.004206730141634231
ROPR00ITA,EURA14,2014-11-02 11:59:00,-0.00108,0.0033,0.00517,-0.0009854152286768538,0.003122566560140375,0.004116730141634231
ROPR00ITA,EURA14,2014-11-03 11:59:00,-0.00018,0.00428,0.0104,-8.541522867685386e-05,0.004102566560140374,0.009346730141634231
ROPR00ITA,EURA14,2014-11-04 11:59:00,-0.00547,0.00219,0.01459,-0.005375415228676854,0.002012566560140375,0.013536730141634232
ROPR00ITA,EURA14,2014-11-05 11:59:00,-0.00746,-0.00137,0.01429,-0.007365415228676854,-0.0015474334398596253,0.013236730141634232
ROPR00ITA,EURA14,2014-11-06 11:59:00,-0.00068,0.00225,0.01468,-0.0005854152286768539,0.0020725665601403747,0.013626730141634232
ROPR00ITA,EURA14,2014-11-07 11:59:00,-0.00271,0.0034,0.00923,-0.002615415228676854,0.0032225665601403747,0.008176730141634232
ROPR00ITA,EURA14,2014-11-08 11:59:00,-0.00162,0.0039,0.00947,-0.0015254152286768537,0.0037225665601403747,0.008416730141634231
ROPR00ITA,EURA14,2014-11-09 11:59:00,-0.00268,0.00412,0.01151,-0.002585415228676854,0.003942566560140375,0.010456730141634231
ROPR00ITA,EURA14,2014-11-10 11:59:00,-0.00159,0.00512,0.00773,-0.0014954152286768539,0.004942566560140375,0.006676730141634231
ROPR00ITA,EURA14,2014-11-11 11:59:00,0.00016,0.00558,0.00942,0.00025458477132314617,0.005402566560140374,0.008366730141634231
ROPR00ITA,EURA14,2014-11-12 11:59:00,-0.0024,0.00333,0.0118,-0.002305415228676854,0.003152566560140375,0.010746730141634232
ROPR00ITA,EURA14,2014-11-13 11:59:00,-0.00142,0.00375,0.01055,-0.0013254152286768539,0.0035725665601403747,0.009496730141634232
ROPR00ITA,EURA14,2014-11-14 11:59:00,-0.00158,0.00409,0.01093,-0.0014854152286768538,0.003912566560140374,0.009876730141634232
ROPR00ITA,EURA14,2014-11-15 11:59:00,-0.00218,0.00504,0.0098,-0.002085415228676854,0.004862566560140375,0.008746730141634232
ROPR00ITA,EURA14,2014-11-16 11:59:00,-0.00055,0.00471,0.00748,-0.00045541522867685385,0.004532566560140374,0.006426730141634231
ROPR00ITA,EURA14,2014-11-17 11:59:00,-0.00238,0.00344,0.00419,-0.002285415228676854,0.003262566560140375,0.003136730141634231
ROPR00ITA,EURA14,2014-11-18 11:59:00,-0.00246,0.00545,0.01139,-0.002365415228676854,0.005272566560140374,0.010336730141634233
ROPR00ITA,EURA14,2014-11-19 11:59:00,-0.00188,0.00498,0.00591,-0.0017854152286768538,0.0048025665601403745,0.004856730141634231
ROPR00ITA,EURA14,2014-11-20 11:59:00,-0.00104,0.00553,0.00354,-0.0009454152286768537,0.005352566560140375,0.0024867301416342316
ROPR00ITA,EURA14,2014-11-21 11:59:00,-0.00228,0.00449,0.00649,-0.002185415228676854,0.0043125665601403745,0.005436730141634231
ROPR00ITA,EURA14,2014-11-22 11:59:00,-0.00197,0.00524,0.00185,-0.0018754152286768538,0.005062566560140374,0.0007967301416342313
ROPR00ITA,EURA14,2014-11-23 11:59:00,-0.00186,0.00449,0.00094,-0.001765415228676854,0.0043125665601403745,-0.0001132698583657688
ROPR00ITA,EURA14,2014-11-24 11:59:00,-0.00142,0.00452,0.0021,-0.0013254152286768539,0.004342566560140374,0.001046730141634231
ROPR00ITA,EURA14,2014-11-25 11:59:00,-0.00158,0.00385,0.00759,-0.0014854152286768538,0.003672566560140375,0.006536730141634231
ROPR00ITA,EURA14,2014-11-26 11:59:00,-0.00171,0.00516,0.00401,-0.0016154152286768537,0.004982566560140374,0.0029567301416342307
ROPR00ITA,EURA14,2014-11-27 11:59:00,-0.00153,0.00418,0.00475,-0.0014354152286768537,0.004002566560140374,0.003696730141634231
ROPR00ITA,EURA14,2014-11-28 11:59:00,-0.0007,0.00357,0.00205,-0.0006054152286768538,0.0033925665601403747,0.0009967301416342314
ROPR00ITA,EURA14,2014-11-29 11:59:00,-0.00014,0.00538,0.00886,-4.541522867685383e-05,0.005202566560140375,0.007806730141634231
ROPR00ITA,EURA14,2014-11-30 11:59:00,-0.00076,0.00326,0.00891,-0.0006654152286768539,0.0030825665601403747,0.007856730141634231
ROPR00ITA,EURA14,2014-12-01 11:59:00,-0.00356,0.00388,0.01451,-0.003465415228676854,0.003702566560140375,0.013456730141634232
ROPR00ITA,EURA14,2014-12-02 11:59:00,-0.00209,0.00361,0.00968,-0.001995415228676854,0.003432566560140375,0.008626730141634231
ROPR00ITA,EURA14,2014-12-03 11:59:00,-0.00246,0.00307,0.00321,-0.002365415228676854,0.0028925665601403747,0.002156730141634231
ROPR00ITA,EURA14,2014-12-04 11:59:00,-0.00229,0.00473,-0.00017,-0.002195415228676854,0.004552566560140374,-0.0012232698583657688
ROPR00ITA,EURA14,2014-12-05 11:59:00,-0.00163,0.0034,0.00417,-0.0015354152286768538,0.0032225665601403747,0.003116730141634231
ROPR00ITA,EURA14,2014-12-06 11:59:00,-0.00353,0.00462,0.00418,-0.003435415228676854,0.004442566560140374,0.0031267301416342307
ROPR00ITA,EURA14,2014-12-07 11:59:00,-0.00013,0.0045,0.00814,-3.541522867685383e-05,0.004322566560140374,0.007086730141634231
ROPR00ITA,EURA14,2014-12-08 11:59:00,-0.00188,0.0044,0.01071,-0.0017854152286768538,0.004222566560140375,0.009656730141634233
ROPR00ITA,EURA14,2014-12-09 11:59:00,-0.0029,0.00451,0.01204,-0.002805415228676854,0.0043325665601403746,0.010986730141634232
ROPR00ITA,EURA14,2014-12-10 11:59:00,-0.00275,0.00444,0.00355,-0.002655415228676854,0.004262566560140375,0.002496730141634231
ROPR00ITA,EURA14,2014-12-11 11:59:00,-0.00223,0.00432,0.00667,-0.0021354152286768542,0.0041425665601403745,0.005616730141634231
ROPR00ITA,EURA14,2014-12-12 11:59:00,-0.00231,0.00388,0.00485,-0.002215415228676854,0.003702566560140375,0.003796730141634231
ROPR00ITA,EURA14,2014-12-13 11:59:00,-0.00219,0.00468,0.00134,-0.002095415228676854,0.004502566560140375,0.00028673014163423127
ROPR00ITA,EURA14,2014-12-14 11:59:00,-0.00204,0.00328,0.0042,-0.001945415228676854,0.003102566560140375,0.0031467301416342307
ROPR00ITA,EURA14,2014-12-15 11:59:00,-0.00195,0.00478,0.00589,-0.0018554152286768537,0.004602566560140375,0.004836730141634231
ROPR00ITA,EURA14,2014-12-16 11:59:00,-0.00313,0.00301,0.00482,-0.003035415228676854,0.002832566560140375,0.0037667301416342306
ROPR00ITA,EURA14,2014-12-17 11:59:00,-0.00109,0.00378,0.00474,-0.0009954152286768539,0.003602566560140375,0.0036867301416342313
ROPR00ITA,EURA14,2014-12-18 11:59:00,-0.00257,0.00407,0.0043,-0.002475415228676854,0.0038925665601403747,0.003246730141634231
