marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
ROUN00ITA,EURA14,2012-05-23 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
ROUN00ITA,EURA14,2012-05-24 11:59:00,-0.00213,-0.00091,0.00724,-0.00213,-0.00091,0.00724
ROUN00ITA,EURA14,2012-05-25 11:59:00,-0.00341,-0.00147,0.01447,-0.00341,-0.00147,0.01447
ROUN00ITA,EURA14,2012-05-26 11:59:00,-0.00231,-0.00177,0.00696,-0.00231,-0.00177,0.00696
ROUN00ITA,EURA14,2012-05-27 11:59:00,-0.002,-0.00168,0.01129,-0.002,-0.00168,0.01129
ROUN00ITA,EURA14,2012-05-28 11:59:00,-0.0033,-0.00279,0.0134,-0.0033,-0.00279,0.0134
ROUN00ITA,EURA14,2012-05-29 11:59:00,-0.00232,-0.00267,0.01536,-0.00232,-0.00267,0.01536
ROUN00ITA,EURA14,2012-05-30 11:59:00,-0.0019,-0.00059,0.00934,-0.0019,-0.00059,0.00934
ROUN00ITA,EURA14,2012-05-31 11:59:00,-0.00244,-0.00244,0.01083,-0.00244,-0.00244,0.01083
ROUN00ITA,EURA14,2012-06-01 11:59:00,-0.00216,-0.00185,0.01483,-0.00216,-0.00185,0.01483
ROUN00ITA,EURA14,2012-06-02 11:59:00,-0.00166,-0.00227,0.01246,-0.00166,-0.00227,0.01246
ROUN00ITA,EURA14,2012-06-03 11:59:00,-0.00205,-0.00192,0.00959,-0.00205,-0.00192,0.00959
ROUN00ITA,EURA14,2012-06-04 11:59:00,-0.00212,-0.0019,0.01161,-0.00212,-0.0019,0.01161
ROUN00ITA,EURA14,2012-06-05 11:59:00,-0.00098,-0.0026,0.01658,-0.00098,-0.0026,0.01658
ROUN00ITA,EURA14,2012-06-06 11:59:00,-0.00088,-0.00328,0.01361,-0.00088,-0.00328,0.01361
ROUN00ITA,EURA14,2012-06-07 11:59:00,-0.00137,-0.00237,0.01604,-0.00137,-0.00237,0.01604
ROUN00ITA,EURA14,2012-06-08 11:59:00,-0.00306,-0.00196,0.0134,-0.00306,-0.00196,0.0134
ROUN00ITA,EURA14,2012-06-09 11:59:00,-0.00317,-0.00079,0.00945,-0.00317,-0.00079,0.00945
ROUN00ITA,EURA14,2012-06-10 11:59:00,-0.00159,-0.0014,0.01459,-0.00159,-0.0014,0.01459
ROUN00ITA,EURA14,2012-06-11 11:59:00,-0.00065,-0.003,0.01718,-0.00065,-0.003,0.01718
ROUN00ITA,EURA14,2012-06-12 11:59:00,-0.00242,-0.00087,0.01899,-0.00242,-0.00087,0.01899
ROUN00ITA,EURA14,2012-06-13 11:59:00,-0.00098,-0.00201,0.01247,-0.00098,-0.00201,0.01247
ROUN00ITA,EURA14,2012-06-14 11:59:00,-0.00401,-0.00144,0.0131,-0.00401,-0.00144,0.0131
ROUN00ITA,EURA14,2012-06-15 11:59:00,-0.0009,-0.00287,0.01805,-0.0009,-0.00287,0.01805
ROUN00ITA,EURA14,2012-06-16 11:59:00,-0.00106,-0.00072,0.01225,-0.00106,-0.00072,0.01225
ROUN00ITA,EURA14,2012-06-17 11:59:00,-0.00082,-0.00168,0.01877,-0.00082,-0.00168,0.01877
ROUN00ITA,EURA14,2012-06-18 11:59:00,-0.00026,-0.0022,0.01516,-0.00026,-0.0022,0.01516
ROUN00ITA,EURA14,2012-06-19 11:59:00,0.00042,-0.00453,0.01928,0.00042,-0.00453,0.01928
ROUN00ITA,EURA14,2012-06-20 11:59:00,-0.00159,-0.00266,0.01873,-0.00159,-0.00266,0.01873
ROUN00ITA,EURA14,2012-06-21 11:59:00,-1e-05,-0.00184,0.02166,-1e-05,-0.00184,0.02166
ROUN00ITA,EURA14,2012-06-22 11:59:00,-0.0002,-0.00297,0.02091,-0.0002,-0.00297,0.02091
ROUN00ITA,EURA14,2012-06-23 11:59:00,-0.00066,-0.0014,0.01787,-0.00066,-0.0014,0.01787
ROUN00ITA,EURA14,2012-06-24 11:59:00,-0.00059,-0.00191,0.01276,-0.00059,-0.00191,0.01276
ROUN00ITA,EURA14,2012-06-25 11:59:00,0.00061,-0.00076,0.02087,0.00061,-0.00076,0.02087
ROUN00ITA,EURA14,2012-06-26 11:59:00,0.00146,-0.00377,0.01566,0.00146,-0.00377,0.01566
ROUN00ITA,EURA14,2012-09-18 11:59:00,-0.00249,-0.00343,0.01401,-0.0015055643870998424,-0.0038163596386457535,0.014042058160486419
ROUN00ITA,EURA14,2012-09-19 11:59:00,-0.00359,-0.00353,0.01968,-0.002605564387099842,-0.003916359638645754,0.019712058160486417
ROUN00ITA,EURA14,2012-09-20 11:59:00,-0.00312,-0.00352,0.01559,-0.002135564387099842,-0.003906359638645754,0.015622058160486419
ROUN00ITA,EURA14,2012-09-21 11:59:00,-0.00155,-0.00295,0.01581,-0.0005655643870998424,-0.0033363596386457536,0.01584205816048642
ROUN00ITA,EURA14,2012-09-22 11:59:00,-0.00353,-0.00326,0.01859,-0.002545564387099843,-0.0036463596386457535,0.018622058160486416
ROUN00ITA,EURA14,2012-09-23 11:59:00,-0.00229,-0.00294,0.01769,-0.0013055643870998424,-0.0033263596386457536,0.017722058160486418
ROUN00ITA,EURA14,2012-09-24 11:59:00,-0.00352,-0.00399,0.01805,-0.0025355643870998423,-0.004376359638645753,0.018082058160486417
ROUN00ITA,EURA14,2012-09-25 11:59:00,-0.00154,-0.00174,0.01488,-0.0005555643870998423,-0.002126359638645754,0.01491205816048642
ROUN00ITA,EURA14,2012-09-26 11:59:00,-0.00313,-0.00388,0.01511,-0.0021455643870998426,-0.004266359638645754,0.01514205816048642
ROUN00ITA,EURA14,2012-09-27 11:59:00,-0.00194,-0.00383,0.01739,-0.0009555643870998425,-0.004216359638645754,0.017422058160486417
ROUN00ITA,EURA14,2012-09-28 11:59:00,-0.00139,-0.00248,0.01704,-0.0004055643870998424,-0.0028663596386457536,0.017072058160486417
ROUN00ITA,EURA14,2012-09-29 11:59:00,-0.00223,-0.00163,0.01781,-0.0012455643870998426,-0.0020163596386457536,0.017842058160486417
ROUN00ITA,EURA14,2012-09-30 11:59:00,-0.00254,-0.00327,0.01369,-0.0015555643870998426,-0.0036563596386457536,0.01372205816048642
ROUN00ITA,EURA14,2012-10-01 11:59:00,-0.00144,-0.0019,0.01859,-0.0004555643870998425,-0.002286359638645754,0.018622058160486416
ROUN00ITA,EURA14,2012-10-02 11:59:00,-0.00199,-0.00231,0.0113,-0.0010055643870998424,-0.0026963596386457536,0.011332058160486418
ROUN00ITA,EURA14,2012-10-03 11:59:00,-0.00224,-0.00286,0.01327,-0.0012555643870998422,-0.0032463596386457538,0.01330205816048642
ROUN00ITA,EURA14,2012-10-04 11:59:00,-0.0019,-0.00291,0.01645,-0.0009155643870998424,-0.0032963596386457535,0.016482058160486417
ROUN00ITA,EURA14,2012-10-05 11:59:00,-0.00147,-0.00242,0.00892,-0.0004855643870998424,-0.0028063596386457535,0.00895205816048642
ROUN00ITA,EURA14,2012-10-06 11:59:00,-0.00259,-0.0027,0.0126,-0.0016055643870998423,-0.003086359638645754,0.012632058160486419
ROUN00ITA,EURA14,2012-10-07 11:59:00,-0.00299,-0.00296,0.01365,-0.0020055643870998422,-0.0033463596386457536,0.01368205816048642
ROUN00ITA,EURA14,2012-10-08 11:59:00,-0.00202,-0.00219,0.0118,-0.0010355643870998425,-0.0025763596386457538,0.011832058160486419
ROUN00ITA,EURA14,2012-10-09 11:59:00,-0.0017,-0.00352,0.0239,-0.0007155643870998423,-0.003906359638645754,0.02393205816048642
ROUN00ITA,EURA14,2012-10-10 11:59:00,-0.0027,-0.00233,0.01818,-0.0017155643870998426,-0.0027163596386457537,0.01821205816048642
ROUN00ITA,EURA14,2012-10-11 11:59:00,-0.00277,-0.00209,0.02058,-0.0017855643870998423,-0.0024763596386457535,0.02061205816048642
ROUN00ITA,EURA14,2012-10-12 11:59:00,-0.00183,-0.00163,0.00846,-0.0008455643870998425,-0.0020163596386457536,0.00849205816048642
ROUN00ITA,EURA14,2012-10-13 11:59:00,-0.00182,-0.00228,0.01559,-0.0008355643870998424,-0.0026663596386457536,0.015622058160486419
ROUN00ITA,EURA14,2012-10-14 11:59:00,-0.00134,-0.00288,0.02085,-0.00035556438709984247,-0.003266359638645754,0.020882058160486418
ROUN00ITA,EURA14,2012-10-15 11:59:00,-0.00144,-0.0036,0.0258,-0.0004555643870998425,-0.0039863596386457536,0.025832058160486417
ROUN00ITA,EURA14,2012-10-16 11:59:00,-0.00267,-0.00204,0.01657,-0.0016855643870998425,-0.002426359638645754,0.01660205816048642
ROUN00ITA,EURA14,2012-10-17 11:59:00,-0.00146,-0.00241,0.01481,-0.00047556438709984235,-0.0027963596386457535,0.01484205816048642
ROUN00ITA,EURA14,2012-10-18 11:59:00,-0.00097,-0.00134,0.01248,1.4435612900157526e-05,-0.0017263596386457537,0.012512058160486419
ROUN00ITA,EURA14,2012-10-19 11:59:00,-0.00124,-0.00247,0.01319,-0.0002555643870998424,-0.0028563596386457536,0.01322205816048642
ROUN00ITA,EURA14,2012-10-20 11:59:00,-0.0022,-0.0016,0.01409,-0.0012155643870998426,-0.001986359638645754,0.014122058160486419
ROUN00ITA,EURA14,2012-10-21 11:59:00,-0.00295,-0.00096,0.01839,-0.001965564387099842,-0.0013463596386457538,0.018422058160486417
ROUN00ITA,EURA14,2012-10-22 11:59:00,-0.00242,-0.00211,0.01831,-0.0014355643870998423,-0.0024963596386457535,0.018342058160486417
ROUN00ITA,EURA14,2012-10-23 11:59:00,-0.00185,-0.00162,0.01019,-0.0008655643870998425,-0.0020063596386457536,0.010222058160486418
ROUN00ITA,EURA14,2012-10-24 11:59:00,-0.00111,-0.00169,0.01275,-0.00012556438709984252,-0.0020763596386457537,0.012782058160486418
ROUN00ITA,EURA14,2012-10-25 11:59:00,-0.00231,-0.00179,0.01955,-0.0013255643870998424,-0.0021763596386457536,0.01958205816048642
ROUN00ITA,EURA14,2012-10-26 11:59:00,-0.00152,-0.00307,0.02072,-0.0005355643870998425,-0.0034563596386457535,0.020752058160486416
ROUN00ITA,EURA14,2012-10-27 11:59:00,-0.00266,-0.0034,0.01875,-0.0016755643870998425,-0.0037863596386457535,0.018782058160486417
ROUN00ITA,EURA14,2012-10-28 11:59:00,-0.00359,-0.0029,0.02624,-0.002605564387099842,-0.0032863596386457535,0.026272058160486417
ROUN00ITA,EURA14,2012-10-29 11:59:00,-0.00144,-0.00188,0.01704,-0.0004555643870998425,-0.002266359638645754,0.017072058160486417
ROUN00ITA,EURA14,2012-10-30 11:59:00,-0.00164,-0.00122,0.01506,-0.0006555643870998424,-0.0016063596386457536,0.01509205816048642
ROUN00ITA,EURA14,2012-10-31 11:59:00,-0.00257,-0.00201,0.02137,-0.0015855643870998422,-0.0023963596386457537,0.021402058160486417
ROUN00ITA,EURA14,2012-11-01 11:59:00,-0.00288,-0.00169,0.02301,-0.0018955643870998426,-0.0020763596386457537,0.023042058160486417
ROUN00ITA,EURA14,2012-11-02 11:59:00,-0.00234,-0.00261,0.01112,-0.0013555643870998425,-0.0029963596386457536,0.011152058160486419
ROUN00ITA,EURA14,2012-11-03 11:59:00,-0.00147,-0.00178,0.01092,-0.0004855643870998424,-0.0021663596386457535,0.010952058160486418
ROUN00ITA,EURA14,2012-11-04 11:59:00,-0.0026,-0.00106,0.01051,-0.0016155643870998423,-0.0014463596386457536,0.01054205816048642
ROUN00ITA,EURA14,2012-11-05 11:59:00,-0.00398,-0.00044,0.00859,-0.0029955643870998427,-0.0008263596386457537,0.00862205816048642
ROUN00ITA,EURA14,2012-11-06 11:59:00,-0.00263,-0.00135,0.01265,-0.0016455643870998424,-0.0017363596386457537,0.012682058160486419
ROUN00ITA,EURA14,2012-11-07 11:59:00,-0.00167,-0.00027,0.00851,-0.0006855643870998425,-0.0006563596386457537,0.00854205816048642
ROUN00ITA,EURA14,2012-11-08 11:59:00,-0.00202,-0.00187,0.01142,-0.0010355643870998425,-0.002256359638645754,0.011452058160486419
ROUN00ITA,EURA14,2012-11-09 11:59:00,-0.00295,-0.00115,0.01284,-0.001965564387099842,-0.0015363596386457536,0.01287205816048642
ROUN00ITA,EURA14,2012-11-10 11:59:00,-0.00168,-0.00195,0.01601,-0.0006955643870998425,-0.0023363596386457536,0.016042058160486417
ROUN00ITA,EURA14,2012-11-11 11:59:00,-0.001,-0.0015,0.01473,-1.5564387099842444e-05,-0.0018863596386457537,0.014762058160486419
ROUN00ITA,EURA14,2012-11-12 11:59:00,-0.00182,-0.00074,0.01125,-0.0008355643870998424,-0.0011263596386457536,0.011282058160486419
ROUN00ITA,EURA14,2012-11-13 11:59:00,-0.00144,-0.00121,0.01471,-0.0004555643870998425,-0.0015963596386457536,0.01474205816048642
ROUN00ITA,EURA14,2012-11-14 11:59:00,-0.0032,-0.00082,0.01451,-0.0022155643870998424,-0.0012063596386457536,0.01454205816048642
ROUN00ITA,EURA14,2012-11-15 11:59:00,-0.0027,-0.00056,0.01494,-0.0017155643870998426,-0.0009463596386457536,0.01497205816048642
ROUN00ITA,EURA14,2012-11-16 11:59:00,-0.00303,-0.00065,0.01319,-0.0020455643870998423,-0.0010363596386457536,0.01322205816048642
ROUN00ITA,EURA14,2012-11-17 11:59:00,-0.00162,-0.00113,0.01577,-0.0006355643870998423,-0.0015163596386457536,0.015802058160486417
ROUN00ITA,EURA14,2012-11-18 11:59:00,-0.0018,-0.00038,0.01472,-0.0008155643870998424,-0.0007663596386457538,0.01475205816048642
ROUN00ITA,EURA14,2012-11-19 11:59:00,-0.00225,-0.00134,0.01246,-0.0012655643870998423,-0.0017263596386457537,0.01249205816048642
ROUN00ITA,EURA14,2012-11-20 11:59:00,-0.00238,-0.00111,0.01494,-0.0013955643870998426,-0.0014963596386457537,0.01497205816048642
ROUN00ITA,EURA14,2012-11-21 11:59:00,-0.00281,-0.00148,0.01145,-0.0018255643870998424,-0.0018663596386457536,0.01148205816048642
ROUN00ITA,EURA14,2012-11-22 11:59:00,-0.00294,-0.00102,0.01149,-0.0019555643870998425,-0.0014063596386457537,0.01152205816048642
ROUN00ITA,EURA14,2012-11-23 11:59:00,-0.00212,-0.00231,0.01261,-0.0011355643870998423,-0.0026963596386457536,0.012642058160486419
ROUN00ITA,EURA14,2012-11-24 11:59:00,-0.00282,-0.00126,0.01127,-0.0018355643870998424,-0.0016463596386457537,0.01130205816048642
ROUN00ITA,EURA14,2012-11-25 11:59:00,-0.00196,-0.00157,0.00852,-0.0009755643870998424,-0.001956359638645754,0.008552058160486419
ROUN00ITA,EURA14,2012-11-26 11:59:00,-0.003,-0.00219,0.0136,-0.0020155643870998427,-0.0025763596386457538,0.013632058160486418
ROUN00ITA,EURA14,2012-11-27 11:59:00,-0.00275,-0.00239,0.01784,-0.0017655643870998423,-0.002776359638645754,0.01787205816048642
ROUN00ITA,EURA14,2012-11-28 11:59:00,-0.00184,-0.00186,0.01822,-0.0008555643870998425,-0.0022463596386457538,0.018252058160486417
ROUN00ITA,EURA14,2012-11-29 11:59:00,-0.00228,-0.00119,0.01964,-0.0012955643870998423,-0.0015763596386457537,0.01967205816048642
ROUN00ITA,EURA14,2012-11-30 11:59:00,-0.00199,-0.00175,0.01746,-0.0010055643870998424,-0.002136359638645754,0.017492058160486417
