marker,referenceSystem,date,E,N,U,E_clean,N_clean,U_clean
RSTO00ITA,EURA14,2001-09-14 11:59:00,0.0,0.0,0.0,0.0,0.0,0.0
RSTO00ITA,EURA14,2001-09-15 11:59:00,0.000125,-0.001525,0.00577,0.000125,-0.001525,0.00577
RSTO00ITA,EURA14,2001-09-16 11:59:00,0.00025,-0.00305,0.01154,0.00025,-0.00305,0.01154
RSTO00ITA,EURA14,2001-09-17 11:59:00,0.00124,-0.00014,0.01278,0.00124,-0.00014,0.01278
RSTO00ITA,EURA14,2001-09-18 11:59:00,0.00134,-0.0028,0.00642,0.00134,-0.0028,0.00642
RSTO00ITA,EURA14,2001-09-19 11:59:00,0.00194,-0.00125,-0.00026,0.00194,-0.00125,-0.00026
RSTO00ITA,EURA14,2001-09-20 11:59:00,0.0019850000000000002,-0.0016250000000000001,0.0012349999999999998,0.0019850000000000002,-0.0016250000000000001,0.0012349999999999998
RSTO00ITA,EURA14,2001-09-21 11:59:00,0.00203,-0.002,0.00273,0.00203,-0.002,0.00273
RSTO00ITA,EURA14,2001-09-22 11:59:00,0.00095,-0.00209,0.00629,0.00095,-0.00209,0.00629
RSTO00ITA,EURA14,2001-09-23 11:59:00,0.00177,0.00016,0.00416,0.00177,0.00016,0.00416
RSTO00ITA,EURA14,2001-09-24 11:59:00,-8e-05,-0.00953,-0.01449,-8e-05,-0.00953,-0.01449
RSTO00ITA,EURA14,2001-09-25 11:59:00,0.0009850000000000002,-0.00614,-0.007345,0.0009850000000000002,-0.00614,-0.007345
RSTO00ITA,EURA14,2001-09-26 11:59:00,0.00205,-0.00275,-0.0002,0.00205,-0.00275,-0.0002
RSTO00ITA,EURA14,2001-09-27 11:59:00,0.00162,-0.00099,-0.00458,0.00162,-0.00099,-0.00458
RSTO00ITA,EURA14,2001-09-28 11:59:00,0.001415,-0.00086,-0.002415,0.001415,-0.00086,-0.002415
RSTO00ITA,EURA14,2001-09-29 11:59:00,0.00121,-0.00073,-0.00025,0.00121,-0.00073,-0.00025
RSTO00ITA,EURA14,2001-09-30 11:59:00,0.00049,-0.00049,-0.00342,0.00049,-0.00049,-0.00342
RSTO00ITA,EURA14,2001-10-01 11:59:00,0.00064,-0.00162,-0.00392,0.00064,-0.00162,-0.00392
RSTO00ITA,EURA14,2001-10-02 11:59:00,0.0002,-0.00182,0.00015,0.0002,-0.00182,0.00015
RSTO00ITA,EURA14,2001-10-03 11:59:00,0.00119,-0.00216,0.00468,0.00119,-0.00216,0.00468
RSTO00ITA,EURA14,2001-10-04 11:59:00,0.001165,-0.0029,0.00195,0.001165,-0.0029,0.00195
RSTO00ITA,EURA14,2001-10-05 11:59:00,0.00114,-0.00364,-0.00078,0.00114,-0.00364,-0.00078
RSTO00ITA,EURA14,2001-10-06 11:59:00,0.0005350000000000001,-0.00338,0.000295,0.0005350000000000001,-0.00338,0.000295
RSTO00ITA,EURA14,2001-10-07 11:59:00,-7e-05,-0.00312,0.00137,-7e-05,-0.00312,0.00137
RSTO00ITA,EURA14,2001-10-08 11:59:00,0.00085,-0.00105,0.01603,0.00085,-0.00105,0.01603
RSTO00ITA,EURA14,2001-10-09 11:59:00,0.00142,-0.00304,-0.00218,0.00142,-0.00304,-0.00218
RSTO00ITA,EURA14,2001-10-10 11:59:00,0.00157,-0.00078,0.00444,0.00157,-0.00078,0.00444
RSTO00ITA,EURA14,2001-10-11 11:59:00,0.00251,0.0007,0.00046999999999999993,0.00251,0.0007,0.00046999999999999993
RSTO00ITA,EURA14,2001-10-12 11:59:00,0.00345,0.00218,-0.0035,0.00345,0.00218,-0.0035
RSTO00ITA,EURA14,2001-10-13 11:59:00,0.00017,-0.00146,0.00181,0.00017,-0.00146,0.00181
RSTO00ITA,EURA14,2001-10-14 11:59:00,0.00162,-0.00293,0.00673,0.00162,-0.00293,0.00673
RSTO00ITA,EURA14,2001-10-15 11:59:00,0.00085,-0.00291,0.00262,0.00085,-0.00291,0.00262
RSTO00ITA,EURA14,2001-10-16 11:59:00,-0.00014,-0.00229,-0.00049,-0.00014,-0.00229,-0.00049
RSTO00ITA,EURA14,2001-10-17 11:59:00,-0.00012,-0.00198,0.00477,-0.00012,-0.00198,0.00477
RSTO00ITA,EURA14,2001-10-18 11:59:00,0.00106,-0.00162,0.00297,0.00106,-0.00162,0.00297
RSTO00ITA,EURA14,2001-10-19 11:59:00,0.00088,-0.00162,0.00754,0.00088,-0.00162,0.00754
RSTO00ITA,EURA14,2001-10-20 11:59:00,0.0005,-0.00088,-0.00279,0.0005,-0.00088,-0.00279
RSTO00ITA,EURA14,2001-10-23 11:59:00,-0.00186,-0.00305,0.00873,-0.00186,-0.00305,0.00873
RSTO00ITA,EURA14,2001-10-24 11:59:00,-0.00021,-0.00205,0.00327,-0.00021,-0.00205,0.00327
RSTO00ITA,EURA14,2001-10-25 11:59:00,0.0021,-8e-05,-0.00328,0.0021,-8e-05,-0.00328
RSTO00ITA,EURA14,2001-10-26 11:59:00,0.00022,-0.00203,-0.00364,0.00022,-0.00203,-0.00364
RSTO00ITA,EURA14,2001-10-27 11:59:00,0.00111,-0.00157,-0.00159,0.00111,-0.00157,-0.00159
RSTO00ITA,EURA14,2001-10-28 11:59:00,0.00076,-0.0008,0.00012,0.00076,-0.0008,0.00012
RSTO00ITA,EURA14,2001-10-29 11:59:00,0.00108,-0.00155,0.00023,0.00108,-0.00155,0.00023
RSTO00ITA,EURA14,2001-10-30 11:59:00,0.00212,-0.00296,0.00613,0.00212,-0.00296,0.00613
RSTO00ITA,EURA14,2001-10-31 11:59:00,0.00113,-0.00331,0.00503,0.00113,-0.00331,0.00503
RSTO00ITA,EURA14,2001-11-01 11:59:00,0.00104,-0.00248,0.00547,0.00104,-0.00248,0.00547
RSTO00ITA,EURA14,2001-11-02 11:59:00,0.00055,-0.00116,0.00694,0.00055,-0.00116,0.00694
RSTO00ITA,EURA14,2001-11-03 11:59:00,-0.00061,-0.00047,0.00533,-0.00061,-0.00047,0.00533
RSTO00ITA,EURA14,2001-11-04 11:59:00,0.00134,-0.00221,0.00316,0.00134,-0.00221,0.00316
RSTO00ITA,EURA14,2001-11-05 11:59:00,3e-05,-0.00192,0.00672,3e-05,-0.00192,0.00672
RSTO00ITA,EURA14,2001-11-06 11:59:00,0.00055,-0.00117,0.00651,0.00055,-0.00117,0.00651
RSTO00ITA,EURA14,2001-11-07 11:59:00,0.00052,-0.00112,0.00865,0.00052,-0.00112,0.00865
RSTO00ITA,EURA14,2001-11-08 11:59:00,-0.00114,-0.00056,0.00766,-0.00114,-0.00056,0.00766
RSTO00ITA,EURA14,2001-11-09 11:59:00,0.00026,-0.00085,0.00691,0.00026,-0.00085,0.00691
RSTO00ITA,EURA14,2001-11-10 11:59:00,0.00137,-0.00072,0.00627,0.00137,-0.00072,0.00627
RSTO00ITA,EURA14,2001-11-11 11:59:00,0.00047,-0.00107,-0.00092,0.00047,-0.00107,-0.00092
RSTO00ITA,EURA14,2001-11-12 11:59:00,0.00117,-0.00095,0.00925,0.00117,-0.00095,0.00925
RSTO00ITA,EURA14,2001-11-13 11:59:00,0.001005,-4.999999999999905e-06,0.007549999999999999,0.001005,-4.999999999999905e-06,0.007549999999999999
RSTO00ITA,EURA14,2001-11-14 11:59:00,0.00084,0.00094,0.00585,0.00084,0.00094,0.00585
RSTO00ITA,EURA14,2001-11-15 11:59:00,0.00038,0.00017,0.00429,0.00038,0.00017,0.00429
RSTO00ITA,EURA14,2001-11-16 11:59:00,0.00088,-6e-05,0.00446,0.00088,-6e-05,0.00446
RSTO00ITA,EURA14,2001-11-17 11:59:00,0.00105,0.0001,0.00717,0.00105,0.0001,0.00717
RSTO00ITA,EURA14,2001-11-18 11:59:00,-0.0009,-4e-05,0.00256,-0.0009,-4e-05,0.00256
RSTO00ITA,EURA14,2001-11-19 11:59:00,-0.00144,0.00021,0.01413,-0.00144,0.00021,0.01413
RSTO00ITA,EURA14,2001-11-20 11:59:00,0.00037,0.00041,0.01059,0.00037,0.00041,0.01059
RSTO00ITA,EURA14,2001-11-21 11:59:00,0.00017,0.0001,0.00738,0.00017,0.0001,0.00738
RSTO00ITA,EURA14,2001-11-22 11:59:00,0.00076,-7e-05,0.00957,0.00076,-7e-05,0.00957
RSTO00ITA,EURA14,2001-11-23 11:59:00,0.00082,6.500000000000001e-05,0.008895,0.00082,6.500000000000001e-05,0.008895
RSTO00ITA,EURA14,2001-11-24 11:59:00,0.00088,0.0002,0.00822,0.00088,0.0002,0.00822
RSTO00ITA,EURA14,2001-11-25 11:59:00,0.0002,0.00129,0.00924,0.0002,0.00129,0.00924
RSTO00ITA,EURA14,2001-11-26 11:59:00,-0.00024,0.00051,0.0124,-0.00024,0.00051,0.0124
RSTO00ITA,EURA14,2001-11-27 11:59:00,0.00039,0.00043,0.01507,0.00039,0.00043,0.01507
RSTO00ITA,EURA14,2001-11-28 11:59:00,-0.00076,0.00081,0.01215,-0.00076,0.00081,0.01215
RSTO00ITA,EURA14,2001-11-29 11:59:00,-0.00157,0.00179,0.01026,-0.00157,0.00179,0.01026
RSTO00ITA,EURA14,2001-11-30 11:59:00,-0.00122,0.00077,0.01258,-0.00122,0.00077,0.01258
RSTO00ITA,EURA14,2001-12-01 11:59:00,-0.00084,0.00143,0.00794,-0.00084,0.00143,0.00794
RSTO00ITA,EURA14,2001-12-02 11:59:00,-1e-05,0.00092,0.00558,-1e-05,0.00092,0.00558
RSTO00ITA,EURA14,2001-12-03 11:59:00,-0.00206,0.00043,0.01101,-0.00206,0.00043,0.01101
RSTO00ITA,EURA14,2001-12-04 11:59:00,-0.00031,0.00079,0.01341,-0.00031,0.00079,0.01341
RSTO00ITA,EURA14,2001-12-05 11:59:00,-0.00066,0.00092,0.01055,-0.00066,0.00092,0.01055
RSTO00ITA,EURA14,2001-12-06 11:59:00,-0.00043,0.00213,0.01462,-0.00043,0.00213,0.01462
RSTO00ITA,EURA14,2001-12-07 11:59:00,-0.00096,0.00023,0.00686,-0.00096,0.00023,0.00686
RSTO00ITA,EURA14,2001-12-08 11:59:00,0.00127,0.0006,0.01039,0.00127,0.0006,0.01039
RSTO00ITA,EURA14,2001-12-09 11:59:00,0.00055,0.00063,0.00917,0.00055,0.00063,0.00917
RSTO00ITA,EURA14,2001-12-10 11:59:00,0.00043,0.00185,0.00742,0.00043,0.00185,0.00742
RSTO00ITA,EURA14,2001-12-11 11:59:00,0.00034,0.00093,0.01182,0.00034,0.00093,0.01182
RSTO00ITA,EURA14,2001-12-12 11:59:00,-0.00144,0.00069,0.00533,-0.00144,0.00069,0.00533
RSTO00ITA,EURA14,2001-12-13 11:59:00,-0.0001600000000000002,0.00115,0.006725,-0.0001600000000000002,0.00115,0.006725
RSTO00ITA,EURA14,2001-12-14 11:59:00,0.00112,0.00161,0.00812,0.00112,0.00161,0.00812
RSTO00ITA,EURA14,2001-12-15 11:59:00,-0.00065,0.00117,0.00987,-0.00065,0.00117,0.00987
RSTO00ITA,EURA14,2001-12-16 11:59:00,-0.00255,0.00115,0.00449,-0.00255,0.00115,0.00449
RSTO00ITA,EURA14,2001-12-17 11:59:00,-0.00168,0.00022,0.01087,-0.00168,0.00022,0.01087
RSTO00ITA,EURA14,2001-12-18 11:59:00,-0.00082,-0.00061,0.0097,-0.00082,-0.00061,0.0097
RSTO00ITA,EURA14,2001-12-19 11:59:00,-0.00075,0.00127,0.00808,-0.00075,0.00127,0.00808
RSTO00ITA,EURA14,2001-12-22 11:59:00,-4e-05,0.00063,0.00773,-4e-05,0.00063,0.00773
RSTO00ITA,EURA14,2001-12-23 11:59:00,-0.00021,0.00082,0.00862,-0.00021,0.00082,0.00862
RSTO00ITA,EURA14,2001-12-24 11:59:00,-0.00038,0.00101,0.00951,-0.00038,0.00101,0.00951
RSTO00ITA,EURA14,2001-12-25 11:59:00,-0.00075,-0.00014,0.01115,-0.00075,-0.00014,0.01115
RSTO00ITA,EURA14,2001-12-26 11:59:00,0.00054,-0.00013,0.01247,0.00054,-0.00013,0.01247
